Date,vix,Position,Action,PE_Long_Time,PE_Short_Time,CE_Short_Time,CE_Long_Time,Index Value,PE_Long_Strike,PE_Short_Strike,CE_Short_Strike,CE_Long_Strike,ExpiryDate,DaysToExpiry,Day,PE_Long_Premium,PE_Short_Premium,CE_Short_Premium,CE_Long_Premium,PE_Long_Stoploss,PE_Short_Stoploss,CE_Short_Stoploss,CE_Long_Stoploss,PE_Short_target,CE_Short_target,PE_Long_Exit,PE_Short_Exit,CE_Short_Exit,CE_Long_Exit
2024-06-03,20.26,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23135.6,21900,22650,23650,24500,2024-06-06 00:00:00,3,Monday,46.05,138.4,145.25,46.8,0,276.8,290.5,0,13.840000000000002,14.525,,,,
2024-06-03,,0,Long,2024-06-04 09:16:00,2024-06-04 09:16:00,2024-06-06 15:00:00,2024-06-06 15:00:00,,21900,22650,23650,24500,2024-06-06 00:00:00,3,Monday,"[104.5, 0.05]","[285.6, 1.6]","[29.45, 29.45]","[0.05, 0.05]",0,,,0,,,Exit,SL hit,Universal exit,Exit
2024-06-04,25.22,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,22478.85,21150,22000,23000,23900,2024-06-06 00:00:00,2,Tuesday,98.3,279.55,235.65,76.75,0,559.1,471.3,0,27.955000000000002,23.565,,,,
2024-06-04,,0,Long,2024-06-04 12:03:00,2024-06-04 12:03:00,2024-06-05 09:19:00,2024-06-05 09:19:00,,21150,22000,23000,23900,2024-06-06 00:00:00,2,Tuesday,"[187.55, 0.05]","[574.45, 0.1]","[14.2, 14.2]","[4.8, 4.8]",0,,,0,,,Exit,SL hit,Target hit,Exit
2024-06-05,21.94,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,22008.2,21200,21700,22300,23750,2024-06-06 00:00:00,1,Wednesday,44.6,137.0,80.1,26.8,0,274.0,160.2,0,13.700000000000001,8.01,,,,
2024-06-05,,0,Long,2024-06-05 14:11:00,2024-06-05 14:11:00,2024-06-05 11:11:00,2024-06-05 11:11:00,,21200,21700,22300,23750,2024-06-06 00:00:00,1,Wednesday,"[6.55, 6.55]","[13.7, 13.7]","[166.7, 472.55]","[26.8, 19.55]",0,,,0,,,Exit,Target hit,SL hit,Exit
2024-06-06,17.85,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,22714.7,22450,22700,22700,23350,2024-06-06 00:00:00,0,Thursday,37.3,121.45,117.25,37.75,0,242.9,234.5,0,12.145000000000001,11.725000000000001,,,,
2024-06-06,,0,Long,2024-06-06 14:47:00,2024-06-06 14:47:00,2024-06-06 15:00:00,2024-06-06 15:00:00,,22450,22700,22700,23350,2024-06-06 00:00:00,0,Thursday,"[0.3, 0.3]","[9.95, 9.95]","[75.1, 75.1]","[32.55, 32.55]",0,,,0,,,Exit,Target hit,Universal exit,Exit
2024-06-07,16.98,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,22919.25,21800,22300,23500,23850,2024-06-13 00:00:00,6,Friday,18.35,56.15,46.2,15.1,0,112.3,92.4,0,5.615,4.62,,,,
2024-06-07,,0,Long,2024-06-10 14:09:00,2024-06-10 14:09:00,2024-06-07 11:52:00,2024-06-07 11:52:00,,21800,22300,23500,23850,2024-06-13 00:00:00,6,Friday,"[1.95, 1.95]","[5.45, 5.45]","[97.0, 0.35]","[28.8, 0.05]",0,,,0,,,Exit,Target hit,SL hit,Exit
2024-06-10,16.89,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23399.65,22550,22950,23850,24200,2024-06-13 00:00:00,3,Monday,18.25,55.9,43.65,13.2,0,111.8,87.3,0,5.59,4.365,,,,
2024-06-10,,0,Long,2024-06-13 09:15:00,2024-06-13 09:15:00,2024-06-11 14:20:00,2024-06-11 14:20:00,,22550,22950,23850,24200,2024-06-13 00:00:00,3,Monday,"[0.65, 0.65]","[4.4, 4.4]","[4.35, 4.35]","[1.25, 1.25]",0,,,0,,,Exit,Target hit,Target hit,Exit
2024-06-11,15.92,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23282.7,22700,22950,23650,23850,2024-06-13 00:00:00,2,Tuesday,16.6,47.25,28.1,9.85,0,94.5,56.2,0,4.7250000000000005,2.8100000000000005,,,,
