Date,vix,Position,Action,PE_Long_Time,PE_Short_Time,CE_Short_Time,CE_Long_Time,Index Value,PE_Long_Strike,PE_Short_Strike,CE_Short_Strike,CE_Long_Strike,ExpiryDate,DaysToExpiry,Day,PE_Long_Premium,PE_Short_Premium,CE_Short_Premium,CE_Long_Premium,PE_Long_Stoploss,PE_Short_Stoploss,CE_Short_Stoploss,CE_Long_Stoploss,PE_Short_target,CE_Short_target,PE_Long_Exit,PE_Short_Exit,CE_Short_Exit,CE_Long_Exit
2024-06-03,20.26,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23135.6,22200,22650,23650,24150,2024-06-06 00:00:00,3,Monday,69.65,138.4,145.25,71.05,0,346.0,363.125,0,13.840000000000002,14.525,,,,
2024-06-03,,0,Long,2024-06-04 09:23:00,2024-06-04 09:23:00,2024-06-06 15:00:00,2024-06-06 15:00:00,,22200,22650,23650,24150,2024-06-06 00:00:00,3,Monday,"[266.4, 0.15]","[436.05, 1.6]","[29.45, 29.45]","[13.8, 13.8]",0,,,0,,,Exit,SL hit,Universal exit,Exit
2024-06-04,25.22,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,22478.85,21450,22000,23000,23500,2024-06-06 00:00:00,2,Tuesday,142.05,279.55,235.65,119.4,0,698.875,589.125,0,27.955000000000002,23.565,,,,
2024-06-04,,0,Long,2024-06-04 12:11:00,2024-06-04 12:11:00,2024-06-05 09:19:00,2024-06-05 09:19:00,,21450,22000,23000,23500,2024-06-06 00:00:00,2,Tuesday,"[409.3, 0.05]","[735.8, 0.1]","[14.2, 14.2]","[7.05, 7.05]",0,,,0,,,Exit,SL hit,Target hit,Exit
2024-06-05,21.94,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,22008.2,21400,21700,22300,23550,2024-06-06 00:00:00,1,Wednesday,71.0,137.0,80.1,39.95,0,342.5,200.25,0,13.700000000000001,8.01,,,,
2024-06-05,,0,Long,2024-06-05 14:11:00,2024-06-05 14:11:00,2024-06-05 11:27:00,2024-06-05 11:27:00,,21400,21700,22300,23550,2024-06-06 00:00:00,1,Wednesday,"[8.6, 8.6]","[13.7, 13.7]","[214.1, 472.55]","[39.3, 33.9]",0,,,0,,,Exit,Target hit,SL hit,Exit
2024-06-06,17.85,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,22714.7,22550,22700,22700,22850,2024-06-06 00:00:00,0,Thursday,62.15,121.45,117.25,64.35,0,303.625,293.125,0,12.145000000000001,11.725000000000001,,,,
2024-06-06,,0,Long,2024-06-06 14:47:00,2024-06-06 14:47:00,2024-06-06 15:00:00,2024-06-06 15:00:00,,22550,22700,22700,22850,2024-06-06 00:00:00,0,Thursday,"[0.7, 0.7]","[9.95, 9.95]","[75.1, 75.1]","[2.4, 2.4]",0,,,0,,,Exit,Target hit,Universal exit,Exit
2024-06-07,16.98,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,22919.25,22000,22300,23500,24050,2024-06-13 00:00:00,6,Friday,28.3,56.15,46.2,23.9,0,140.375,115.5,0,5.615,4.62,,,,
2024-06-07,,0,Long,2024-06-10 14:09:00,2024-06-10 14:09:00,2024-06-07 14:17:00,2024-06-07 14:17:00,,22000,22300,23500,24050,2024-06-13 00:00:00,6,Friday,"[2.8, 2.8]","[5.45, 5.45]","[117.6, 0.35]","[22.55, 0.05]",0,,,0,,,Exit,Target hit,SL hit,Exit
2024-06-10,16.89,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23399.65,22700,22950,23850,24050,2024-06-13 00:00:00,3,Monday,27.75,55.9,43.65,22.0,0,139.75,109.125,0,5.59,4.365,,,,
2024-06-10,,0,Long,2024-06-13 09:15:00,2024-06-13 09:15:00,2024-06-11 14:20:00,2024-06-11 14:20:00,,22700,22950,23850,24050,2024-06-13 00:00:00,3,Monday,"[0.7, 0.7]","[4.4, 4.4]","[4.35, 4.35]","[2.0, 2.0]",0,,,0,,,Exit,Target hit,Target hit,Exit
2024-06-11,15.92,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23282.7,22800,22950,23650,23800,2024-06-13 00:00:00,2,Tuesday,25.35,47.25,28.1,12.85,0,118.125,70.25,0,4.7250000000000005,2.8100000000000005,,,,
2024-06-11,,0,Long,2024-06-13 09:15:00,2024-06-13 09:15:00,2024-06-13 09:45:00,2024-06-13 09:45:00,,22800,22950,23650,23800,2024-06-13 00:00:00,2,Tuesday,"[1.45, 1.45]","[4.4, 4.4]","[2.75, 2.75]","[0.85, 0.85]",0,,,0,,,Exit,Target hit,Target hit,Exit
2024-06-12,14.56,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23355.3,23000,23150,23550,23650,2024-06-13 00:00:00,1,Wednesday,17.55,37.55,23.9,10.15,0,93.875,59.75,0,3.755,2.39,,,,
2024-06-12,,0,Long,2024-06-13 10:15:00,2024-06-13 10:15:00,2024-06-13 12:48:00,2024-06-13 12:48:00,,23000,23150,23550,23650,2024-06-13 00:00:00,1,Wednesday,"[1.3, 1.3]","[3.55, 3.55]","[2.15, 2.15]","[0.8, 0.8]",0,,,0,,,Exit,Target hit,Target hit,Exit
2024-06-13,14.08,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23418.2,23300,23400,23400,23500,2024-06-13 00:00:00,0,Thursday,21.8,51.6,66.0,26.05,0,129.0,165.0,0,5.16,6.6000000000000005,,,,
2024-06-13,,0,Long,2024-06-13 15:00:00,2024-06-13 15:00:00,2024-06-13 14:57:00,2024-06-13 14:57:00,,23300,23400,23400,23500,2024-06-13 00:00:00,0,Thursday,"[0.5, 0.5]","[8.35, 8.35]","[5.9, 5.9]","[0.35, 0.35]",0,,,0,,,Exit,Universal exit,Target hit,Exit
2024-06-14,13.18,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23351.9,22750,22900,23800,23950,2024-06-20 00:00:00,6,Friday,11.8,22.0,13.7,5.95,0,55.0,34.25,0,2.2,1.37,,,,
2024-06-14,,0,Long,2024-06-19 09:16:00,2024-06-19 09:16:00,2024-06-20 12:11:00,2024-06-20 12:11:00,,22750,22900,23800,23950,2024-06-20 00:00:00,6,Friday,"[1.4, 1.4]","[2.1, 2.1]","[1.3, 1.3]","[0.55, 0.55]",0,,,0,,,Exit,Target hit,Target hit,Exit
2024-06-18,13.4,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23515.0,23000,23200,23800,23900,2024-06-20 00:00:00,2,Tuesday,8.25,17.8,13.8,5.4,0,44.5,34.5,0,1.7800000000000002,1.3800000000000001,,,,
2024-06-18,,0,Long,2024-06-20 11:21:00,2024-06-20 11:21:00,2024-06-20 12:11:00,2024-06-20 12:11:00,,23000,23200,23800,23900,2024-06-20 00:00:00,2,Tuesday,"[0.55, 0.55]","[1.7, 1.7]","[1.3, 1.3]","[0.7, 0.7]",0,,,0,,,Exit,Target hit,Target hit,Exit
2024-06-19,13.17,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23557.3,23250,23350,23750,23800,2024-06-20 00:00:00,1,Wednesday,12.35,22.35,20.05,11.95,0,55.875,50.125,0,2.2350000000000003,2.0050000000000003,,,,
