Date,vix,Position,Action,PE_Long_Time,PE_Short_Time,CE_Short_Time,CE_Long_Time,Index Value,PE_Long_Strike,PE_Short_Strike,CE_Short_Strike,CE_Long_Strike,ExpiryDate,DaysToExpiry,Day,PE_Long_Premium,PE_Short_Premium,CE_Short_Premium,CE_Long_Premium,PE_Long_Stoploss,PE_Short_Stoploss,CE_Short_Stoploss,CE_Long_Stoploss,PE_Short_target,CE_Short_target,PE_Long_Exit,PE_Short_Exit,CE_Short_Exit,CE_Long_Exit,Premium
2024-06-07,16.98,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,22919.25,21800.0,22300,23500,23850,2024-06-13 00:00:00,6,Friday,18.35,56.15,46.2,15.1,0,112.3,92.4,0,5.615,4.62,,,,,68.89999999999999
2024-06-07,,0,Long,2024-06-10 14:09:00,2024-06-10 14:09:00,2024-06-07 11:52:00,2024-06-07 11:52:00,,21800.0,22300,23500,23850,2024-06-13 00:00:00,6,Friday,"[1.95, 1.95]","[5.45, 5.45]","[97.0, 0.35]","[28.8, 0.05]",0,,,0,,,Exit,Target hit,SL hit,Exit,-71.7
2024-06-14,13.18,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23351.9,22600.0,22900,23800,24000,2024-06-20 00:00:00,6,Friday,6.95,22.0,13.7,4.9,0,44.0,27.4,0,2.2,1.37,,,,,23.85
2024-06-14,,0,Long,2024-06-19 09:16:00,2024-06-19 09:16:00,2024-06-19 14:37:00,2024-06-19 14:37:00,,22600.0,22900,23800,24000,2024-06-20 00:00:00,6,Friday,"[1.15, 1.15]","[2.1, 2.1]","[28.7, 0.15]","[4.0, 0.15]",0,,,0,,,Exit,Target hit,SL hit,Exit,-25.65
2024-06-21,13.36,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23607.85,22800.0,23100,24100,24350,2024-06-27 00:00:00,6,Friday,6.3,19.25,9.5,3.05,0,38.5,19.0,0,1.925,0.95,,,,,19.4
2024-06-21,,0,Long,2024-06-21 14:36:00,2024-06-21 14:36:00,2024-06-27 10:05:00,2024-06-27 10:05:00,,22800.0,23100,24100,24350,2024-06-27 00:00:00,6,Friday,"[11.45, 0.1]","[40.3, 0.05]","[19.65, 3.25]","[0.85, 0.1]",0,,,0,,,Exit,SL hit,SL hit,Exit,-47.65
2024-06-28,14.14,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24131.95,23250.0,23650,24650,24850,2024-07-04 00:00:00,6,Friday,12.05,38.95,14.25,5.0,0,77.9,28.5,0,3.895000000000001,1.425,,,,,36.150000000000006
2024-06-28,,0,Long,2024-07-03 09:16:00,2024-07-03 09:16:00,2024-07-04 09:40:00,2024-07-04 09:40:00,,23250.0,23650,24650,24850,2024-07-04 00:00:00,6,Friday,"[1.2, 1.2]","[3.55, 3.55]","[1.35, 1.35]","[0.45, 0.45]",0,,,0,,,Exit,Target hit,Target hit,Exit,-3.2500000000000004
2024-07-05,12.94,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24186.15,23400.0,23700,24700,24950,2024-07-11 00:00:00,6,Friday,5.2,16.25,11.0,3.65,0,32.5,22.0,0,1.625,1.1,,,,,18.4
2024-07-05,,0,Long,2024-07-10 09:27:00,2024-07-10 09:27:00,2024-07-10 15:23:00,2024-07-10 15:23:00,,23400.0,23700,24700,24950,2024-07-11 00:00:00,6,Friday,"[1.05, 1.05]","[1.6, 1.6]","[1.1, 1.1]","[0.4, 0.4]",0,,,0,,,Exit,Target hit,Target hit,Exit,-1.25
2024-07-12,13.89,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24433.05,23650.0,23950,24950,25150,2024-07-18 00:00:00,6,Friday,4.5,13.15,5.75,1.8,0,26.3,11.5,0,1.3150000000000002,0.5750000000000001,,,,,12.599999999999998
2024-07-12,,0,Long,2024-07-16 15:14:00,2024-07-16 15:14:00,2024-07-12 11:02:00,2024-07-12 11:02:00,,23650.0,23950,24950,25150,2024-07-18 00:00:00,6,Friday,"[0.8, 0.8]","[1.3, 1.3]","[12.8, 0.35]","[3.0, 0.1]",0,,,0,,,Exit,Target hit,SL hit,Exit,-10.3
2024-07-19,14.42,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24769.4,23750.0,24200,25300,25600,2024-07-25 00:00:00,6,Friday,18.95,57.15,45.75,14.0,0,114.3,91.5,0,5.715,4.575,,,,,69.95
2024-07-19,,0,Long,2024-07-22 09:15:00,2024-07-22 09:15:00,2024-07-23 13:09:00,2024-07-23 13:09:00,,23750.0,24200,25300,25600,2024-07-25 00:00:00,6,Friday,"[31.7, 0.1]","[141.1, 0.3]","[4.4, 4.4]","[2.25, 2.25]",0,,,0,,,Exit,SL hit,Target hit,Exit,-111.55
2024-07-26,12.29,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24477.65,23750.0,24050,24950,25150,2024-08-01 00:00:00,6,Friday,10.1,30.95,12.6,4.2,0,61.9,25.2,0,3.095,1.26,,,,,29.25
2024-07-26,,0,Long,2024-07-30 12:51:00,2024-07-30 12:51:00,2024-07-26 10:08:00,2024-07-26 10:08:00,,23750.0,24050,24950,25150,2024-08-01 00:00:00,6,Friday,"[2.15, 2.15]","[3.05, 3.05]","[26.5, 44.3]","[7.8, 0.15]",0,,,0,,,Exit,Target hit,SL hit,Exit,-19.6
2024-08-02,13.29,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24836.0,24050.0,24350,25350,25600,2024-08-08 00:00:00,6,Friday,9.6,28.35,14.25,4.55,0,56.7,28.5,0,2.8350000000000004,1.425,,,,,28.450000000000003
2024-08-02,,0,Long,2024-08-02 09:47:00,2024-08-02 09:47:00,2024-08-07 09:21:00,2024-08-07 09:21:00,,24050.0,24350,25350,25600,2024-08-08 00:00:00,6,Friday,"[21.55, 0.95]","[57.5, 198.2]","[1.35, 1.35]","[1.2, 1.2]",0,,,0,,,Exit,SL hit,Target hit,Exit,-36.1
2024-08-09,15.65,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24388.95,23450.0,23850,24950,25150,2024-08-14 00:00:00,5,Friday,9.3,27.7,14.3,5.15,0,55.4,28.6,0,2.77,1.4300000000000002,,,,,27.55
2024-08-09,,0,Long,2024-08-14 09:46:00,2024-08-14 09:46:00,2024-08-13 10:19:00,2024-08-13 10:19:00,,23450.0,23850,24950,25150,2024-08-14 00:00:00,5,Friday,"[0.8, 0.8]","[2.45, 2.45]","[1.4, 1.4]","[1.0, 1.0]",0,,,0,,,Exit,Target hit,Target hit,Exit,-2.05
2024-08-16,15.01,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24385.3,23500.0,23850,24950,25200,2024-08-22 00:00:00,6,Friday,6.5,19.55,8.55,2.9,0,39.1,17.1,0,1.955,0.8550000000000001,,,,,18.700000000000003
2024-08-16,,0,Long,2024-08-16 10:29:00,2024-08-16 10:29:00,2024-08-19 09:17:00,2024-08-19 09:17:00,,23500.0,23850,24950,25200,2024-08-22 00:00:00,6,Friday,"[12.0, 0.05]","[40.85, 0.05]","[17.9, 0.2]","[3.15, 0.1]",0,,,0,,,Exit,SL hit,SL hit,Exit,-43.6
2024-08-23,12.98,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24829.15,23950.0,24350,25350,25550,2024-08-29 00:00:00,6,Friday,6.25,18.25,8.7,3.1,0,36.5,17.4,0,1.825,0.87,,,,,17.6
2024-08-23,,0,Long,2024-08-28 09:16:00,2024-08-28 09:16:00,2024-08-26 10:19:00,2024-08-26 10:19:00,,23950.0,24350,25350,25550,2024-08-29 00:00:00,6,Friday,"[1.3, 1.3]","[1.75, 1.75]","[20.25, 0.35]","[4.4, 0.1]",0,,,0,,,Exit,Target hit,SL hit,Exit,-16.3
2024-08-30,13.68,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,25252.75,24200.0,24700,25800,26050,2024-09-05 00:00:00,6,Friday,5.1,15.05,7.1,2.2,0,30.1,14.2,0,1.505,0.71,,,,,14.849999999999998
2024-08-30,,0,Long,2024-09-04 15:30:00,2024-09-04 15:30:00,2024-09-04 15:14:00,2024-09-04 15:14:00,,24200.0,24700,25800,26050,2024-09-05 00:00:00,6,Friday,"[0.6, 0.6]","[1.4, 1.4]","[0.7, 0.7]","[0.5, 0.5]",0,,,0,,,Exit,Target hit,Target hit,Exit,-0.9999999999999996
2024-09-06,13.91,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,25137.3,24250.0,24600,25700,26000,2024-09-12 00:00:00,6,Friday,5.3,15.9,5.95,2.05,0,31.8,11.9,0,1.59,0.5950000000000001,,,,,14.500000000000002
2024-09-06,,0,Long,2024-09-06 09:46:00,2024-09-06 09:46:00,2024-09-11 12:28:00,2024-09-11 12:28:00,,24250.0,24600,25700,26000,2024-09-12 00:00:00,6,Friday,"[9.95, 0.25]","[32.7, 0.4]","[0.55, 0.55]","[0.4, 0.4]",0,,,0,,,Exit,SL hit,Target hit,Exit,-22.9
2024-09-13,12.86,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,25314.95,24350.0,24800,25800,26100,2024-09-19 00:00:00,6,Friday,8.5,25.8,13.7,4.3,0,51.6,27.4,0,2.58,1.37,,,,,26.7
2024-09-13,,0,Long,2024-09-19 09:16:00,2024-09-19 09:16:00,2024-09-19 11:38:00,2024-09-19 11:38:00,,24350.0,24800,25800,26100,2024-09-19 00:00:00,6,Friday,"[0.45, 0.45]","[0.85, 0.85]","[1.35, 1.35]","[0.65, 0.65]",0,,,0,,,Exit,Target hit,Target hit,Exit,-1.1
2024-09-20,12.57,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,25488.9,24500.0,25000,26000,26250,2024-09-26 00:00:00,6,Friday,11.6,35.9,13.65,4.55,0,71.8,27.3,0,3.59,1.3650000000000002,,,,,33.4
2024-09-20,,0,Long,2024-09-25 09:15:00,2024-09-25 09:15:00,2024-09-20 10:41:00,2024-09-20 10:41:00,,24500.0,25000,26000,26250,2024-09-26 00:00:00,6,Friday,"[2.1, 2.1]","[3.0, 3.0]","[28.9, 216.15]","[7.55, 14.0]",0,,,0,,,Exit,Target hit,SL hit,Exit,-22.25
2024-09-27,11.85,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,26230.75,25300.0,25750,26750,27050,2024-10-03 00:00:00,6,Friday,8.4,24.7,14.1,4.3,0,49.4,28.2,0,2.47,1.41,,,,,26.1
2024-09-27,,0,Long,2024-09-30 09:55:00,2024-09-30 09:55:00,2024-10-01 14:12:00,2024-10-01 14:12:00,,25300.0,25750,26750,27050,2024-10-03 00:00:00,6,Friday,"[10.65, 45.45]","[50.7, 493.1]","[1.4, 1.4]","[1.1, 1.1]",0,,,0,,,Exit,SL hit,Target hit,Exit,-40.35
2024-02-02,14.22,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,21941.15,21050.0,21450,22450,22700,2024-02-08 00:00:00,6,Friday,8.75,26.85,23.5,7.25,0,53.7,47.0,0,2.6850000000000005,2.35,,,,,34.35
2024-02-02,,0,Long,2024-02-05 14:46:00,2024-02-05 14:46:00,2024-02-02 11:39:00,2024-02-02 11:39:00,,21050.0,21450,22450,22700,2024-02-08 00:00:00,6,Friday,"[9.95, 0.05]","[61.6, 0.2]","[47.6, 0.1]","[12.9, 0.1]",0,,,0,,,Exit,SL hit,SL hit,Exit,-86.35
2024-02-09,15.92,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,21770.1,20900.0,21200,22300,22550,2024-02-15 00:00:00,6,Friday,8.9,25.2,25.75,7.4,0,50.4,51.5,0,2.52,2.575,,,,,34.650000000000006
2024-02-09,,0,Long,2024-02-09 11:05:00,2024-02-09 11:05:00,2024-02-13 11:31:00,2024-02-13 11:31:00,,20900.0,21200,22300,22550,2024-02-15 00:00:00,6,Friday,"[17.9, 0.05]","[50.65, 0.15]","[2.55, 2.55]","[1.25, 1.25]",0,,,0,,,Exit,SL hit,Target hit,Exit,-34.05
2024-02-16,15.09,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,22005.8,21200.0,21500,22500,22700,2024-02-22 00:00:00,6,Friday,9.2,26.2,18.75,5.65,0,52.4,37.5,0,2.62,1.875,,,,,30.1
2024-02-16,,0,Long,2024-02-21 09:57:00,2024-02-21 09:57:00,2024-02-21 15:17:00,2024-02-21 15:17:00,,21200.0,21500,22500,22700,2024-02-22 00:00:00,6,Friday,"[1.35, 1.35]","[2.6, 2.6]","[1.8, 1.8]","[0.8, 0.8]",0,,,0,,,Exit,Target hit,Target hit,Exit,-2.25
