Date,vix,Position,Action,PE_Long_Time,PE_Short_Time,CE_Short_Time,CE_Long_Time,Index Value,PE_Long_Strike,PE_Short_Strike,CE_Short_Strike,CE_Long_Strike,ExpiryDate,DaysToExpiry,Day,PE_Long_Premium,PE_Short_Premium,CE_Short_Premium,CE_Long_Premium,PE_Long_Stoploss,PE_Short_Stoploss,CE_Short_Stoploss,CE_Long_Stoploss,PE_Short_target,CE_Short_target,PE_Long_Exit,PE_Short_Exit,CE_Short_Exit,CE_Long_Exit,Premium
2024-06-07,16.98,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,22919.25,22000.0,22300,23500,24050,2024-06-13 00:00:00,6,Friday,28.3,56.15,46.2,23.9,0,168.45,138.60000000000002,0,11.23,9.24,,,,,100.29999999999998
2024-06-07,,0,Long,2024-06-10 09:28:00,2024-06-10 09:28:00,2024-06-10 09:16:00,2024-06-10 09:16:00,,22000.0,22300,23500,24050,2024-06-13 00:00:00,6,Friday,"[5.95, 5.95]","[10.2, 10.2]","[154.45, 0.35]","[26.15, 0.05]",0,,,0,,,Exit,Target hit,SL hit,Exit,-137.1
2024-06-14,13.18,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23351.9,22750.0,22900,23800,23950,2024-06-20 00:00:00,6,Friday,11.8,22.0,13.7,5.95,0,66.0,41.1,0,4.4,2.74,,,,,35.900000000000006
2024-06-14,,0,Long,2024-06-18 10:00:00,2024-06-18 10:00:00,2024-06-20 10:34:00,2024-06-20 10:34:00,,22750.0,22900,23800,23950,2024-06-20 00:00:00,6,Friday,"[2.9, 2.9]","[4.3, 4.3]","[2.55, 2.55]","[0.9, 0.9]",0,,,0,,,Exit,Target hit,Target hit,Exit,-6.1
2024-06-21,13.36,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23607.85,22900.0,23100,24100,24250,2024-06-27 00:00:00,6,Friday,8.9,19.25,9.5,4.45,0,57.75,28.5,0,3.85,1.9,,,,,30.8
2024-06-21,,0,Long,2024-06-26 10:36:00,2024-06-26 10:36:00,2024-06-27 12:15:00,2024-06-27 12:15:00,,22900.0,23100,24100,24250,2024-06-27 00:00:00,6,Friday,"[2.15, 2.15]","[3.85, 3.85]","[29.25, 3.25]","[3.65, 0.15]",0,,,0,,,Exit,Target hit,SL hit,Exit,-32.1
2024-06-28,14.14,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24131.95,23400.0,23650,24650,24800,2024-07-04 00:00:00,6,Friday,18.2,38.95,14.25,6.4,0,116.85,42.75,0,7.790000000000001,2.85,,,,,57.2
2024-06-28,,0,Long,2024-07-02 14:38:00,2024-07-02 14:38:00,2024-07-02 11:41:00,2024-07-02 11:41:00,,23400.0,23650,24650,24800,2024-07-04 00:00:00,6,Friday,"[3.1, 3.1]","[7.75, 7.75]","[2.65, 2.65]","[1.1, 1.1]",0,,,0,,,Exit,Target hit,Target hit,Exit,-12.4
2024-07-05,12.94,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24186.15,23500.0,23700,24700,24850,2024-07-11 00:00:00,6,Friday,7.6,16.25,11.0,5.0,0,48.75,33.0,0,3.25,2.2,,,,,29.3
2024-07-05,,0,Long,2024-07-09 09:16:00,2024-07-09 09:16:00,2024-07-10 13:33:00,2024-07-10 13:33:00,,23500.0,23700,24700,24850,2024-07-11 00:00:00,6,Friday,"[2.0, 2.0]","[2.95, 2.95]","[2.2, 2.2]","[1.3, 1.3]",0,,,0,,,Exit,Target hit,Target hit,Exit,-3.700000000000001
