Date,vix,Position,Action,PE_Long_Time,PE_Short_Time,CE_Short_Time,CE_Long_Time,Index Value,PE_Long_Strike,PE_Short_Strike,CE_Short_Strike,CE_Long_Strike,ExpiryDate,DaysToExpiry,Day,PE_Long_Premium,PE_Short_Premium,CE_Short_Premium,CE_Long_Premium,PE_Long_Stoploss,PE_Short_Stoploss,CE_Short_Stoploss,CE_Long_Stoploss,PE_Short_target,CE_Short_target,PE_Long_Exit,PE_Short_Exit,CE_Short_Exit,CE_Long_Exit,Premium
2024-06-07,16.64,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,23260.4,22350.0,22650,23850,24000,2024-06-13 00:00:00,6,Friday,26.1,51.55,32.85,20.15,0,128.875,82.125,0,5.155,3.285,,,,,38.150000000000006
2024-06-07,,0,Long,2024-06-12 09:16:00,2024-06-12 09:16:00,2024-06-11 14:41:00,2024-06-11 14:41:00,,22350.0,22650,23850,24000,2024-06-13 00:00:00,6,Friday,"[1.25, 1.25]","[3.45, 3.45]","[3.2, 3.2]","[2.05, 2.05]",0,,,0,,,Exit,Target hit,Target hit,Exit,-3.3500000000000005
2024-06-14,12.73,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,23448.05,22850.0,23000,23900,24050,2024-06-20 00:00:00,6,Friday,9.3,17.55,5.95,2.8,0,43.875,14.875,0,1.755,0.5950000000000001,,,,,11.4
2024-06-14,,0,Long,2024-06-19 14:54:00,2024-06-19 14:54:00,2024-06-20 12:15:00,2024-06-20 12:15:00,,22850.0,23000,23900,24050,2024-06-20 00:00:00,6,Friday,"[1.05, 1.05]","[1.75, 1.75]","[0.55, 0.55]","[0.35, 0.35]",0,,,0,,,Exit,Target hit,Target hit,Exit,-0.8999999999999999
2024-06-21,13.38,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,23443.4,22800.0,22950,23950,24100,2024-06-27 00:00:00,6,Friday,8.8,16.55,11.3,5.3,0,41.375,28.25,0,1.6550000000000002,1.13,,,,,13.75
2024-06-21,,0,Long,2024-06-26 14:27:00,2024-06-26 14:27:00,2024-06-26 11:01:00,2024-06-26 11:01:00,,22800.0,22950,23950,24100,2024-06-27 00:00:00,6,Friday,"[1.35, 1.35]","[1.65, 1.65]","[29.55, 87.8]","[7.15, 3.25]",0,,,0,,,Exit,Target hit,SL hit,Exit,-22.7
2024-06-28,13.84,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,24096.45,23350.0,23600,24600,24750,2024-07-04 00:00:00,6,Friday,11.4,24.3,14.9,6.55,0,60.75,37.25,0,2.43,1.4900000000000002,,,,,21.250000000000004
2024-06-28,,0,Long,2024-07-03 11:49:00,2024-07-03 11:49:00,2024-07-04 10:24:00,2024-07-04 10:24:00,,23350.0,23600,24600,24750,2024-07-04 00:00:00,6,Friday,"[1.45, 1.45]","[2.4, 2.4]","[1.45, 1.45]","[0.5, 0.5]",0,,,0,,,Exit,Target hit,Target hit,Exit,-1.9
2024-07-05,12.73,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,24224.65,23550.0,23750,24650,24750,2024-07-11 00:00:00,6,Friday,5.9,12.8,11.7,6.05,0,32.0,29.25,0,1.2800000000000002,1.17,,,,,12.55
2024-07-05,,0,Long,2024-07-10 14:40:00,2024-07-10 14:40:00,2024-07-11 09:33:00,2024-07-11 09:33:00,,23550.0,23750,24650,24750,2024-07-11 00:00:00,6,Friday,"[0.9, 0.9]","[1.25, 1.25]","[1.15, 1.15]","[0.6, 0.6]",0,,,0,,,Exit,Target hit,Target hit,Exit,-0.8999999999999999
2024-07-12,13.84,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,24564.7,23850.0,24050,25050,25150,2024-07-18 00:00:00,6,Friday,7.45,14.8,5.2,2.45,0,37.0,13.0,0,1.4800000000000002,0.52,,,,,10.1
2024-07-12,,0,Long,2024-07-16 15:25:00,2024-07-16 15:25:00,2024-07-18 09:18:00,2024-07-18 09:18:00,,23850.0,24050,25050,25150,2024-07-18 00:00:00,6,Friday,"[0.95, 0.95]","[1.45, 1.45]","[0.5, 0.5]","[0.4, 0.4]",0,,,0,,,Exit,Target hit,Target hit,Exit,-0.5999999999999999
2024-07-19,14.68,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,24576.9,23800.0,24050,25150,25350,2024-07-25 00:00:00,6,Friday,33.45,65.05,44.15,22.6,0,162.625,110.375,0,6.505,4.415,,,,,53.149999999999984
2024-07-19,,0,Long,2024-07-23 12:23:00,2024-07-23 12:23:00,2024-07-23 15:11:00,2024-07-23 15:11:00,,23800.0,24050,25150,25350,2024-07-25 00:00:00,6,Friday,"[93.25, 0.1]","[166.55, 0.2]","[4.2, 4.2]","[2.65, 2.65]",0,,,0,,,Exit,SL hit,Target hit,Exit,-74.85
2024-07-26,12.23,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,24783.25,24150.0,24350,25250,25400,2024-08-01 00:00:00,6,Friday,13.8,26.95,13.7,6.45,0,67.375,34.25,0,2.6950000000000003,1.37,,,,,20.4
2024-07-26,,0,Long,2024-08-01 09:15:00,2024-08-01 09:15:00,2024-07-29 11:42:00,2024-07-29 11:42:00,,24150.0,24350,25250,25400,2024-08-01 00:00:00,6,Friday,"[0.9, 0.9]","[0.65, 0.65]","[34.3, 0.1]","[13.2, 0.1]",0,,,0,,,Exit,Target hit,SL hit,Exit,-20.849999999999994
2024-08-02,13.99,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,24767.1,24000.0,24200,25300,25450,2024-08-08 00:00:00,6,Friday,10.55,20.45,10.45,5.35,0,51.125,26.125,0,2.045,1.045,,,,,14.999999999999998
2024-08-02,,0,Long,2024-08-05 09:15:00,2024-08-05 09:15:00,2024-08-07 09:52:00,2024-08-07 09:52:00,,24000.0,24200,25300,25450,2024-08-08 00:00:00,6,Friday,"[57.95, 0.55]","[75.3, 48.15]","[1.0, 1.0]","[0.95, 0.95]",0,,,0,,,Exit,SL hit,Target hit,Exit,-17.39999999999999
2024-08-09,15.29,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,24365.4,23600.0,23850,24850,25000,2024-08-14 00:00:00,5,Friday,11.1,23.8,13.7,6.5,0,59.5,34.25,0,2.3800000000000003,1.37,,,,,19.9
2024-08-09,,0,Long,2024-08-14 09:48:00,2024-08-14 09:48:00,2024-08-14 09:15:00,2024-08-14 09:15:00,,23600.0,23850,24850,25000,2024-08-14 00:00:00,5,Friday,"[0.9, 0.9]","[2.05, 2.05]","[1.1, 1.1]","[0.8, 0.8]",0,,,0,,,Exit,Target hit,Target hit,Exit,-1.4499999999999995
2024-08-16,14.56,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,24504.85,23700.0,23950,25050,25150,2024-08-22 00:00:00,6,Friday,10.05,19.45,6.5,3.55,0,48.625,16.25,0,1.945,0.65,,,,,12.349999999999998
2024-08-16,,0,Long,2024-08-21 09:16:00,2024-08-21 09:16:00,2024-08-22 12:13:00,2024-08-22 12:13:00,,23700.0,23950,25050,25150,2024-08-22 00:00:00,6,Friday,"[1.2, 1.2]","[1.8, 1.8]","[0.65, 0.65]","[0.4, 0.4]",0,,,0,,,Exit,Target hit,Target hit,Exit,-0.8500000000000001
2024-08-23,13.31,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,24839.8,24000.0,24350,25350,25500,2024-08-29 00:00:00,6,Friday,6.45,13.15,6.45,3.0,0,32.875,16.125,0,1.3150000000000002,0.645,,,,,10.150000000000002
2024-08-23,,0,Long,2024-08-28 14:32:00,2024-08-28 14:32:00,2024-08-26 10:19:00,2024-08-26 10:19:00,,24000.0,24350,25350,25500,2024-08-29 00:00:00,6,Friday,"[1.0, 1.0]","[1.3, 1.3]","[20.25, 0.35]","[6.35, 0.15]",0,,,0,,,Exit,Target hit,SL hit,Exit,-14.2
2024-08-30,13.63,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,25245.6,24350.0,24700,25800,25950,2024-09-05 00:00:00,6,Friday,6.15,12.2,5.1,2.5,0,30.5,12.75,0,1.22,0.51,,,,,8.649999999999997
2024-08-30,,0,Long,2024-09-05 09:15:00,2024-09-05 09:15:00,2024-09-04 15:29:00,2024-09-04 15:29:00,,24350.0,24700,25800,25950,2024-09-05 00:00:00,6,Friday,"[0.4, 0.4]","[0.4, 0.4]","[0.5, 0.5]","[0.45, 0.45]",0,,,0,,,Exit,Target hit,Target hit,Exit,-0.0499999999999999
2024-09-06,15.27,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,24835.15,24000.0,24250,25450,25600,2024-09-12 00:00:00,6,Friday,11.7,22.9,11.15,5.85,0,57.25,27.875,0,2.29,1.115,,,,,16.5
