Date,vix,Position,Action,PE_Long_Time,PE_Short_Time,CE_Short_Time,CE_Long_Time,Index Value,PE_Long_Strike,PE_Short_Strike,CE_Short_Strike,CE_Long_Strike,ExpiryDate,DaysToExpiry,Day,PE_Long_Premium,PE_Short_Premium,CE_Short_Premium,CE_Long_Premium,PE_Long_Stoploss,PE_Short_Stoploss,CE_Short_Stoploss,CE_Long_Stoploss,PE_Short_target,CE_Short_target,PE_Long_Exit,PE_Short_Exit,CE_Short_Exit,CE_Long_Exit,Premium
2024-06-07,16.98,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,22919.25,21800,22300,23500,24000,2024-06-13 00:00:00,6,Friday,18.35,56.15,46.2,9.75,0,140.375,115.5,0,5.615,4.62,,,,,297.0
2024-06-07,,0,Long,2024-06-10 14:09:00,2024-06-10 14:09:00,2024-06-07 14:17:00,2024-06-07 14:17:00,,21800,22300,23500,24000,2024-06-13 00:00:00,6,Friday,"[1.95, 1.95]","[5.45, 5.45]","[117.6, 0.35]","[21.45, 0.05]",0,,,0,,,Exit,Target hit,SL hit,Exit,-111.04999999999998
2024-06-14,13.18,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23351.9,22400,22900,23800,24300,2024-06-20 00:00:00,6,Friday,3.6,22.0,13.7,1.9,0,55.0,34.25,0,2.2,1.37,,,,,120.8
2024-06-14,,0,Long,2024-06-19 09:16:00,2024-06-19 09:16:00,2024-06-20 12:11:00,2024-06-20 12:11:00,,22400,22900,23800,24300,2024-06-20 00:00:00,6,Friday,"[1.1, 1.1]","[2.1, 2.1]","[1.3, 1.3]","[0.2, 0.2]",0,,,0,,,Exit,Target hit,Target hit,Exit,-8.400000000000002
2024-06-21,13.36,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23607.85,22600,23100,24100,24600,2024-06-27 00:00:00,6,Friday,3.95,19.25,9.5,1.8,0,48.125,23.75,0,1.925,0.95,,,,,92.0
2024-06-21,,0,Long,2024-06-26 15:02:00,2024-06-26 15:02:00,2024-06-27 12:15:00,2024-06-27 12:15:00,,22600,23100,24100,24600,2024-06-27 00:00:00,6,Friday,"[0.85, 0.85]","[1.9, 1.9]","[29.25, 3.25]","[0.15, 0.05]",0,,,0,,,Exit,Target hit,SL hit,Exit,-42.89999999999999
2024-06-28,14.14,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24131.95,23150,23650,24650,25150,2024-07-04 00:00:00,6,Friday,9.35,38.95,14.25,1.8,0,97.375,35.625,0,3.895000000000001,1.425,,,,,168.20000000000002
2024-06-28,,0,Long,2024-07-03 09:16:00,2024-07-03 09:16:00,2024-07-04 09:40:00,2024-07-04 09:40:00,,23150,23650,24650,25150,2024-07-04 00:00:00,6,Friday,"[1.05, 1.05]","[3.55, 3.55]","[1.35, 1.35]","[0.2, 0.2]",0,,,0,,,Exit,Target hit,Target hit,Exit,-14.599999999999998
2024-07-05,12.94,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24186.15,23200,23700,24700,25200,2024-07-11 00:00:00,6,Friday,3.0,16.25,11.0,1.9,0,40.625,27.5,0,1.625,1.1,,,,,89.4
2024-07-05,,0,Long,2024-07-10 09:27:00,2024-07-10 09:27:00,2024-07-10 15:23:00,2024-07-10 15:23:00,,23200,23700,24700,25200,2024-07-11 00:00:00,6,Friday,"[0.8, 0.8]","[1.6, 1.6]","[1.1, 1.1]","[0.3, 0.3]",0,,,0,,,Exit,Target hit,Target hit,Exit,-6.4
2024-07-12,13.89,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24433.05,23450,23950,24950,25450,2024-07-18 00:00:00,6,Friday,2.85,13.15,5.75,0.95,0,32.875,14.375,0,1.3150000000000002,0.5750000000000001,,,,,60.39999999999999
2024-07-12,,0,Long,2024-07-16 15:14:00,2024-07-16 15:14:00,2024-07-12 11:04:00,2024-07-12 11:04:00,,23450,23950,24950,25450,2024-07-18 00:00:00,6,Friday,"[0.55, 0.55]","[1.3, 1.3]","[15.15, 0.35]","[1.15, 0.1]",0,,,0,,,Exit,Target hit,SL hit,Exit,-17.75
2024-07-19,14.42,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24769.4,23700,24200,25300,25800,2024-07-25 00:00:00,6,Friday,16.85,57.15,45.75,7.2,0,142.875,114.375,0,5.715,4.575,,,,,315.40000000000003
2024-07-19,,0,Long,2024-07-22 09:16:00,2024-07-22 09:16:00,2024-07-23 13:09:00,2024-07-23 13:09:00,,23700,24200,25300,25800,2024-07-25 00:00:00,6,Friday,"[39.55, 0.05]","[143.0, 0.3]","[4.4, 4.4]","[1.75, 1.75]",0,,,0,,,Exit,SL hit,Target hit,Exit,-114.8
2024-07-26,12.29,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24477.65,23550,24050,24950,25450,2024-08-01 00:00:00,6,Friday,5.4,30.95,12.6,1.95,0,77.375,31.5,0,3.095,1.26,,,,,144.79999999999998
