Date,vix,Position,Action,PE_Long_Time,PE_Short_Time,CE_Short_Time,CE_Long_Time,Index Value,PE_Long_Strike,PE_Short_Strike,CE_Short_Strike,CE_Long_Strike,ExpiryDate,DaysToExpiry,Day,PE_Long_Premium,PE_Short_Premium,CE_Short_Premium,CE_Long_Premium,PE_Long_Stoploss,PE_Short_Stoploss,CE_Short_Stoploss,CE_Long_Stoploss,PE_Short_target,CE_Short_target,PE_Long_Exit,PE_Short_Exit,CE_Short_Exit,CE_Long_Exit,Premium
2024-06-07,16.64,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,23260.4,22150,22650,23850,24350,2024-06-13 00:00:00,6,Friday,17.25,51.55,32.85,6.85,0,128.875,82.125,0,15.464999999999998,9.855,,,,,180.9
2024-06-07,,0,Long,2024-06-11 09:24:00,2024-06-11 09:24:00,2024-06-11 09:30:00,2024-06-11 09:30:00,,22150,22650,23850,24350,2024-06-13 00:00:00,6,Friday,"[2.5, 2.5]","[15.45, 15.45]","[9.85, 9.85]","[1.8, 1.8]",0,,,0,,,Exit,Target hit,Target hit,Exit,-63.00000000000001
2024-06-14,12.73,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,23448.05,22500,23000,23900,24400,2024-06-20 00:00:00,6,Friday,4.0,17.55,5.95,1.25,0,43.875,14.875,0,5.265,1.785,,,,,54.75
2024-06-14,,0,Long,2024-06-18 10:40:00,2024-06-18 10:40:00,2024-06-20 09:53:00,2024-06-20 09:53:00,,22500,23000,23900,24400,2024-06-20 00:00:00,6,Friday,"[1.6, 1.6]","[5.2, 5.2]","[1.75, 1.75]","[0.3, 0.3]",0,,,0,,,Exit,Target hit,Target hit,Exit,-15.150000000000002
2024-06-21,13.38,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,23443.4,22450,22950,23950,24450,2024-06-27 00:00:00,6,Friday,3.1,16.55,11.3,1.5,0,41.375,28.25,0,4.965,3.39,,,,,69.75000000000001
2024-06-21,,0,Long,2024-06-25 09:42:00,2024-06-25 09:42:00,2024-06-26 11:01:00,2024-06-26 11:01:00,,22450,22950,23950,24450,2024-06-27 00:00:00,6,Friday,"[1.5, 1.5]","[4.95, 4.95]","[29.55, 87.8]","[0.9, 0.1]",0,,,0,,,Exit,Target hit,SL hit,Exit,-214.4
2024-06-28,13.84,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,24096.45,23100,23600,24600,25100,2024-07-04 00:00:00,6,Friday,6.6,24.3,14.9,1.75,0,60.75,37.25,0,7.29,4.47,,,,,92.55
2024-06-28,,0,Long,2024-07-02 11:09:00,2024-07-02 11:09:00,2024-07-02 11:41:00,2024-07-02 11:41:00,,23100,23600,24600,25100,2024-07-04 00:00:00,6,Friday,"[2.1, 2.1]","[7.25, 7.25]","[3.95, 3.95]","[0.6, 0.6]",0,,,0,,,Exit,Target hit,Target hit,Exit,-25.5
2024-07-05,12.73,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,24224.65,23250,23750,24650,25150,2024-07-11 00:00:00,6,Friday,2.9,12.8,11.7,1.55,0,32.0,29.25,0,3.84,3.51,,,,,60.15
2024-07-05,,0,Long,2024-07-09 09:16:00,2024-07-09 09:16:00,2024-07-10 11:48:00,2024-07-10 11:48:00,,23250,23750,24650,25150,2024-07-11 00:00:00,6,Friday,"[1.4, 1.4]","[3.3, 3.3]","[3.5, 3.5]","[0.05, 0.05]",0,,,0,,,Exit,Target hit,Target hit,Exit,-16.049999999999997
