Date,DaysToExpiry,ExpiryDate,PnL
2021-06-04,6,2021-06-10 00:00:00,1038.3187500000004
2021-06-11,6,2021-06-17 00:00:00,289.2687500000002
2021-06-18,6,2021-06-24 00:00:00,237.3000000000004
2021-06-25,6,2021-07-01 00:00:00,1254.1687500000005
2021-07-02,6,2021-07-08 00:00:00,351.8625000000003
2021-07-09,6,2021-07-15 00:00:00,1175.5874999999999
2021-07-16,6,2021-07-22 00:00:00,-9.806250000000091
2021-07-23,6,2021-07-29 00:00:00,35.112499999999955
2021-07-30,6,2021-08-05 00:00:00,-10331.893750000001
2021-08-06,6,2021-08-12 00:00:00,1502.30625
2021-08-13,5,2021-08-18 00:00:00,667.8812500000001
2021-08-20,6,2021-08-26 00:00:00,1297.2562500000004
2021-08-27,6,2021-09-02 00:00:00,-13855.274999999998
2021-09-03,6,2021-09-09 00:00:00,1427.3999999999996
2021-09-17,6,2021-09-23 00:00:00,-253.64374999999995
2021-09-24,6,2021-09-30 00:00:00,1378.6124999999997
2021-10-01,6,2021-10-07 00:00:00,1831.66875
2021-10-08,6,2021-10-14 00:00:00,1073.9625
2021-10-22,6,2021-10-28 00:00:00,494.13750000000005
2021-10-29,5,2021-11-03 00:00:00,3191.550000000001
2021-11-12,6,2021-11-18 00:00:00,-860.6187500000001
2021-11-26,6,2021-12-02 00:00:00,1061.3374999999994
2021-12-03,6,2021-12-09 00:00:00,3000.506250000001
2021-12-10,6,2021-12-16 00:00:00,1599.88125
2021-12-17,6,2021-12-23 00:00:00,908.7124999999994
2021-12-24,6,2021-12-30 00:00:00,1974.2062500000002
2021-12-31,6,2022-01-06 00:00:00,341.9375
2022-01-07,6,2022-01-13 00:00:00,1175.1750000000002
2022-01-14,6,2022-01-20 00:00:00,1327.7812499999998
2022-01-21,6,2022-01-27 00:00:00,797.7062499999997
2022-01-28,6,2022-02-03 00:00:00,4484.081250000001
2022-02-04,6,2022-02-10 00:00:00,359.6375000000003
2022-02-11,6,2022-02-17 00:00:00,121.18124999999964
2022-02-18,6,2022-02-24 00:00:00,3284.53125
