Date,DaysToExpiry,ExpiryDate,PnL
2021-06-04,6,2021-06-10 00:00:00,654.3500000000001
2021-06-11,6,2021-06-17 00:00:00,-81.86249999999984
2021-06-18,6,2021-06-24 00:00:00,-34.6875
2021-06-25,6,2021-07-01 00:00:00,784.625
2021-07-02,6,2021-07-08 00:00:00,-31.700000000000273
2021-07-09,6,2021-07-15 00:00:00,673.5000000000001
2021-07-16,6,2021-07-22 00:00:00,-359.7500000000001
2021-07-23,6,2021-07-29 00:00:00,-164.53750000000002
2021-07-30,6,2021-08-05 00:00:00,-4653.1375
2021-08-06,6,2021-08-12 00:00:00,925.725
2021-08-13,5,2021-08-18 00:00:00,301.26249999999993
2021-08-20,6,2021-08-26 00:00:00,842.7624999999998
2021-08-27,6,2021-09-02 00:00:00,-3782.7124999999996
2021-09-03,6,2021-09-09 00:00:00,963.0374999999999
2021-09-17,6,2021-09-23 00:00:00,-534.6499999999999
2021-09-24,6,2021-09-30 00:00:00,895.7624999999998
2021-10-01,6,2021-10-07 00:00:00,1089.1625000000001
2021-10-08,6,2021-10-14 00:00:00,698.5875000000001
2021-10-22,6,2021-10-28 00:00:00,19.637499999999932
2021-10-29,5,2021-11-03 00:00:00,1933.6625000000006
2021-11-12,6,2021-11-18 00:00:00,-1320.6125000000002
2021-11-26,6,2021-12-02 00:00:00,298.5875000000001
2021-12-03,6,2021-12-09 00:00:00,2314.9875
2021-12-10,6,2021-12-16 00:00:00,994.925
2021-12-17,6,2021-12-23 00:00:00,-182.01250000000027
2021-12-24,6,2021-12-30 00:00:00,1172.6124999999997
2021-12-31,6,2022-01-06 00:00:00,239.76249999999993
2022-01-07,6,2022-01-13 00:00:00,943.5375000000001
2022-01-14,6,2022-01-20 00:00:00,-1572.2499999999995
2022-01-21,6,2022-01-27 00:00:00,77.38749999999982
2022-01-28,6,2022-02-03 00:00:00,3095.9250000000006
2022-02-04,6,2022-02-10 00:00:00,-327.7625000000003
2022-02-11,6,2022-02-17 00:00:00,-286.39999999999986
2022-02-18,6,2022-02-24 00:00:00,1957.375
2022-02-25,6,2022-03-03 00:00:00,2699.725
2022-03-04,6,2022-03-10 00:00:00,2439.875
2022-03-11,6,2022-03-17 00:00:00,-1287.9625
2022-03-25,6,2022-03-31 00:00:00,1159.4750000000004
2022-04-01,6,2022-04-07 00:00:00,347.85000000000014
2022-04-08,5,2022-04-13 00:00:00,1203.6499999999996
2022-04-22,6,2022-04-28 00:00:00,-133.07499999999982
2022-04-29,6,2022-05-05 00:00:00,-1849.5249999999999
2022-05-06,6,2022-05-12 00:00:00,-3400.6875
2022-05-13,6,2022-05-19 00:00:00,1385.6875000000002
2022-05-20,6,2022-05-26 00:00:00,1451.5000000000002
2022-05-27,6,2022-06-02 00:00:00,463.78750000000025
2022-06-03,6,2022-06-09 00:00:00,-209.8375000000001
2022-06-10,6,2022-06-16 00:00:00,-3555.8875
2022-06-24,6,2022-06-30 00:00:00,1248.3125
2022-07-01,6,2022-07-07 00:00:00,1108.9500000000003
2022-07-08,6,2022-07-14 00:00:00,872.375
2022-07-15,6,2022-07-21 00:00:00,-2043.9249999999997
2022-07-22,6,2022-07-28 00:00:00,718.325
2022-07-29,6,2022-08-04 00:00:00,795.9375000000001
2022-08-05,6,2022-08-11 00:00:00,1025.3000000000002
2022-08-12,6,2022-08-18 00:00:00,437.1375
2022-08-19,6,2022-08-25 00:00:00,-23.874999999999943
2022-08-26,6,2022-09-01 00:00:00,-69.43750000000011
2022-09-02,6,2022-09-08 00:00:00,945.4375
2022-09-09,6,2022-09-15 00:00:00,621.7500000000002
2022-09-16,6,2022-09-22 00:00:00,49.63750000000027
2022-09-23,6,2022-09-29 00:00:00,-4522.387500000001
2022-09-30,6,2022-10-06 00:00:00,302.36249999999995
2022-10-07,6,2022-10-13 00:00:00,783.6499999999999
2022-10-14,6,2022-10-20 00:00:00,774.4375000000002
2022-10-21,6,2022-10-27 00:00:00,589.7375000000001
2022-10-28,6,2022-11-03 00:00:00,318.85000000000014
2022-11-04,6,2022-11-10 00:00:00,516.6875
2022-11-11,6,2022-11-17 00:00:00,564.5374999999999
2022-11-18,6,2022-11-24 00:00:00,506.775
2022-11-25,6,2022-12-01 00:00:00,-562.2125000000001
