Date,DaysToExpiry,ExpiryDate,PnL
2021-06-04,6,2021-06-10 00:00:00,258.01250000000005
2021-06-11,6,2021-06-17 00:00:00,-310.8312500000001
2021-06-18,6,2021-06-24 00:00:00,-233.3125
2021-06-25,6,2021-07-01 00:00:00,319.5875
2021-07-02,6,2021-07-08 00:00:00,-204.31875000000002
2021-07-09,6,2021-07-15 00:00:00,317.1
2021-07-16,6,2021-07-22 00:00:00,-625.6187500000001
2021-07-23,6,2021-07-29 00:00:00,-352.525
2021-07-30,6,2021-08-05 00:00:00,66.5
2021-08-06,6,2021-08-12 00:00:00,407.3125
2021-08-13,5,2021-08-18 00:00:00,103.91875000000002
2021-08-20,6,2021-08-26 00:00:00,329.49375
2021-08-27,6,2021-09-02 00:00:00,-289.24375
2021-09-03,6,2021-09-09 00:00:00,448.6937499999999
2021-09-17,6,2021-09-23 00:00:00,-262.27500000000003
2021-09-24,6,2021-09-30 00:00:00,430.20624999999995
2021-10-01,6,2021-10-07 00:00:00,482.9937500000001
2021-10-08,6,2021-10-14 00:00:00,327.83124999999995
2021-10-22,6,2021-10-28 00:00:00,-254.67500000000018
2021-10-29,5,2021-11-03 00:00:00,851.9437500000004
2021-11-12,6,2021-11-18 00:00:00,-1618.5437499999998
2021-11-26,6,2021-12-02 00:00:00,-214.9374999999999
2021-12-03,6,2021-12-09 00:00:00,-332.4937500000001
2021-12-10,6,2021-12-16 00:00:00,487.36249999999995
2021-12-17,6,2021-12-23 00:00:00,-818.2062500000002
2021-12-24,6,2021-12-30 00:00:00,-403.2187499999999
2021-12-31,6,2022-01-06 00:00:00,111.67500000000001
2022-01-07,6,2022-01-13 00:00:00,432.7562500000001
2022-01-14,6,2022-01-20 00:00:00,395.4937500000001
2022-01-21,6,2022-01-27 00:00:00,-400.0250000000001
2022-01-28,6,2022-02-03 00:00:00,1291.9500000000005
2022-02-04,6,2022-02-10 00:00:00,-725.0625000000001
2022-02-11,6,2022-02-17 00:00:00,-280.18125
2022-02-18,6,2022-02-24 00:00:00,836.0250000000001
2022-02-25,6,2022-03-03 00:00:00,1003.05
2022-03-04,6,2022-03-10 00:00:00,-913.6874999999998
2022-03-11,6,2022-03-17 00:00:00,-412.9437499999999
2022-03-25,6,2022-03-31 00:00:00,505.2500000000002
2022-04-01,6,2022-04-07 00:00:00,35.681250000000034
2022-04-08,5,2022-04-13 00:00:00,-55.93750000000023
2022-04-22,6,2022-04-28 00:00:00,-599.3124999999998
2022-04-29,6,2022-05-05 00:00:00,-207.6624999999999
2022-05-06,6,2022-05-12 00:00:00,-1308.0625
2022-05-13,6,2022-05-19 00:00:00,-175.7562499999998
2022-05-20,6,2022-05-26 00:00:00,-21.649999999999636
2022-05-27,6,2022-06-02 00:00:00,-42.06874999999968
2022-06-03,6,2022-06-09 00:00:00,-409.18125
2022-06-10,6,2022-06-16 00:00:00,-289.45624999999995
2022-06-24,6,2022-06-30 00:00:00,531.9937500000001
2022-07-01,6,2022-07-07 00:00:00,472.68750000000017
2022-07-08,6,2022-07-14 00:00:00,383.4375
2022-07-15,6,2022-07-21 00:00:00,-43.52499999999992
2022-07-22,6,2022-07-28 00:00:00,330.95000000000005
2022-07-29,6,2022-08-04 00:00:00,22.018750000000068
2022-08-05,6,2022-08-11 00:00:00,459.6250000000001
2022-08-12,6,2022-08-18 00:00:00,-85.85625000000007
2022-08-19,6,2022-08-25 00:00:00,-127.53750000000002
2022-08-26,6,2022-09-01 00:00:00,-422.3875000000001
2022-09-02,6,2022-09-08 00:00:00,432.31875
2022-09-09,6,2022-09-15 00:00:00,287.4375000000001
2022-09-16,6,2022-09-22 00:00:00,-328.76249999999993
2022-09-23,6,2022-09-29 00:00:00,-211.52499999999964
2022-09-30,6,2022-10-06 00:00:00,95.0
2022-10-07,6,2022-10-13 00:00:00,376.94999999999993
2022-10-14,6,2022-10-20 00:00:00,331.9687500000001
2022-10-21,6,2022-10-27 00:00:00,-223.69375000000025
2022-10-28,6,2022-11-03 00:00:00,42.64375000000001
2022-11-04,6,2022-11-10 00:00:00,231.39374999999998
2022-11-11,6,2022-11-17 00:00:00,297.89374999999995
2022-11-18,6,2022-11-24 00:00:00,247.89999999999998
2022-11-25,6,2022-12-01 00:00:00,-475.61250000000007
2022-12-02,6,2022-12-08 00:00:00,211.325
2022-12-09,6,2022-12-15 00:00:00,-1.0375000000000796
2022-12-16,6,2022-12-22 00:00:00,304.75625
2022-12-23,6,2022-12-29 00:00:00,480.41250000000014
2022-12-30,6,2023-01-05 00:00:00,-174.20625000000013
2023-01-06,6,2023-01-12 00:00:00,-151.65000000000003
2023-01-13,6,2023-01-19 00:00:00,-180.10625000000005
2023-01-20,5,2023-01-25 00:00:00,247.78750000000002
2023-01-27,6,2023-02-02 00:00:00,-191.22500000000014
2023-02-03,6,2023-02-09 00:00:00,441.9124999999999
2023-02-10,6,2023-02-16 00:00:00,256.17499999999995
2023-02-17,6,2023-02-23 00:00:00,-149.71249999999998
2023-02-24,6,2023-03-02 00:00:00,-92.78749999999991
2023-03-03,6,2023-03-09 00:00:00,-38.49999999999994
2023-03-10,6,2023-03-16 00:00:00,-284.8062500000001
2023-03-17,6,2023-03-23 00:00:00,-195.19999999999993
2023-03-24,5,2023-03-29 00:00:00,374.0125000000001
2023-03-31,6,2023-04-06 00:00:00,58.306250000000034
2023-04-21,6,2023-04-27 00:00:00,261.54999999999995
2023-04-28,6,2023-05-04 00:00:00,-201.56874999999997
2023-05-05,6,2023-05-11 00:00:00,-81.37499999999989
2023-05-12,6,2023-05-18 00:00:00,5.087499999999977
2023-05-19,6,2023-05-25 00:00:00,-77.24374999999998
2023-05-26,6,2023-06-01 00:00:00,-26.61250000000004
2023-06-02,6,2023-06-08 00:00:00,287.38125
2023-06-09,6,2023-06-15 00:00:00,242.86875000000003
2023-06-16,6,2023-06-22 00:00:00,-78.15000000000003
2023-06-23,6,2023-06-29 00:00:00,186.975
2023-06-30,6,2023-07-06 00:00:00,-100.98125000000005
2023-07-07,6,2023-07-13 00:00:00,263.82500000000005
2023-07-14,6,2023-07-20 00:00:00,-60.11250000000001
2023-07-21,6,2023-07-27 00:00:00,388.90000000000003
2023-07-28,6,2023-08-03 00:00:00,435.91875
2023-08-04,6,2023-08-10 00:00:00,252.53750000000002
2023-08-11,6,2023-08-17 00:00:00,-138.99375000000023
2023-08-18,6,2023-08-24 00:00:00,210.4374999999999
2023-08-25,6,2023-08-31 00:00:00,251.275
2023-09-01,6,2023-09-07 00:00:00,-27.6875
2023-09-08,6,2023-09-14 00:00:00,26.693749999999994
2023-09-15,6,2023-09-21 00:00:00,-310.6875
2023-09-22,6,2023-09-28 00:00:00,351.7749999999999
2023-09-29,6,2023-10-05 00:00:00,267.125
2023-10-06,6,2023-10-12 00:00:00,-505.9
2023-10-13,6,2023-10-19 00:00:00,386.67499999999995
2023-10-20,6,2023-10-26 00:00:00,-343.30625000000015
2023-10-27,6,2023-11-02 00:00:00,-230.39999999999998
2023-11-03,6,2023-11-09 00:00:00,292.81875
2023-11-10,6,2023-11-16 00:00:00,-358.14375000000007
2023-11-17,6,2023-11-23 00:00:00,202.74999999999994
2023-11-24,6,2023-11-30 00:00:00,-116.74375000000003
2023-12-01,6,2023-12-07 00:00:00,-85.99375000000003
2023-12-08,6,2023-12-14 00:00:00,331.44999999999993
2023-12-15,6,2023-12-21 00:00:00,-249.08125
2023-12-22,6,2023-12-28 00:00:00,-98.27499999999986
2023-12-29,6,2024-01-04 00:00:00,425.65
2024-01-05,6,2024-01-11 00:00:00,-108.08750000000003
2024-01-12,6,2024-01-18 00:00:00,81.8125
2024-01-19,6,2024-01-25 00:00:00,-343.5562500000001
2024-02-02,6,2024-02-08 00:00:00,-1055.35
2024-02-09,6,2024-02-15 00:00:00,-47.931249999999864
2024-02-16,6,2024-02-22 00:00:00,419.2437500000001
2024-02-23,6,2024-02-29 00:00:00,570.8062500000001
2024-03-01,6,2024-03-07 00:00:00,-48.44375000000002
2024-03-15,6,2024-03-21 00:00:00,-74.43124999999986
2024-03-22,6,2024-03-28 00:00:00,-97.14375000000007
2024-04-05,5,2024-04-10 00:00:00,-323.23124999999993
2024-04-12,6,2024-04-18 00:00:00,-753.8562499999999
2024-04-19,6,2024-04-25 00:00:00,207.99374999999975
2024-04-26,6,2024-05-02 00:00:00,432.09375
2024-05-03,6,2024-05-09 00:00:00,-184.5875000000002
2024-05-10,6,2024-05-16 00:00:00,341.4124999999999
2024-05-17,6,2024-05-23 00:00:00,176.15625
2024-05-24,6,2024-05-30 00:00:00,272.7
2024-05-31,6,2024-06-06 00:00:00,-4848.543749999998
2024-06-07,6,2024-06-13 00:00:00,-723.6062500000005
2024-06-14,6,2024-06-20 00:00:00,-178.75624999999997
2024-06-21,6,2024-06-27 00:00:00,-623.4624999999999
2024-06-28,6,2024-07-04 00:00:00,536.875
2024-07-05,6,2024-07-11 00:00:00,299.70624999999995
2024-07-12,6,2024-07-18 00:00:00,7.79374999999996
