Date,DaysToExpiry,ExpiryDate,PnL
2021-06-04,6,2021-06-10 00:00:00,1446.2062500000002
2021-06-11,6,2021-06-17 00:00:00,-597.9312499999999
2021-06-18,6,2021-06-24 00:00:00,-961.4312499999992
2021-06-25,6,2021-07-01 00:00:00,1850.2125000000005
2021-07-02,6,2021-07-08 00:00:00,-198.35625000000005
2021-07-09,6,2021-07-15 00:00:00,1688.1750000000002
2021-07-16,6,2021-07-22 00:00:00,-904.4874999999997
2021-07-23,6,2021-07-29 00:00:00,-579.4312500000001
2021-07-30,6,2021-08-05 00:00:00,-4675.00625
2021-08-06,6,2021-08-12 00:00:00,2188.59375
2021-08-13,5,2021-08-18 00:00:00,623.0437499999999
2021-08-20,6,2021-08-26 00:00:00,1976.0249999999999
2021-08-27,6,2021-09-02 00:00:00,-7217.249999999997
2021-09-03,6,2021-09-09 00:00:00,2131.274999999999
2021-09-17,6,2021-09-23 00:00:00,-1542.0562499999996
2021-09-24,6,2021-09-30 00:00:00,1955.9062500000002
2021-10-01,6,2021-10-07 00:00:00,2539.14375
2021-10-08,6,2021-10-14 00:00:00,1558.3875000000003
2021-10-22,6,2021-10-28 00:00:00,-645.9500000000003
2021-10-29,5,2021-11-03 00:00:00,4790.38125
2021-11-12,6,2021-11-18 00:00:00,-2530.8687499999996
2021-11-26,6,2021-12-02 00:00:00,-494.0687499999999
2021-12-03,6,2021-12-09 00:00:00,3012.2625
2021-12-10,6,2021-12-16 00:00:00,2367.46875
2021-12-17,6,2021-12-23 00:00:00,-1052.5625
2021-12-24,6,2021-12-30 00:00:00,2889.6000000000004
2021-12-31,6,2022-01-06 00:00:00,709.6500000000001
2022-01-07,6,2022-01-13 00:00:00,1913.1937500000004
2022-01-14,6,2022-01-20 00:00:00,-2052.23125
2022-01-21,6,2022-01-27 00:00:00,-509.61875000000146
2022-01-28,6,2022-02-03 00:00:00,7209.01875
2022-02-04,6,2022-02-10 00:00:00,-1635.9812500000003
2022-02-11,6,2022-02-17 00:00:00,-1929.7875000000008
2022-02-18,6,2022-02-24 00:00:00,3952.74375
2022-02-25,6,2022-03-03 00:00:00,4937.68125
2022-03-04,6,2022-03-10 00:00:00,5377.89375
2022-03-11,6,2022-03-17 00:00:00,-968.8375000000005
2022-03-25,6,2022-03-31 00:00:00,2718.9750000000004
2022-04-01,6,2022-04-07 00:00:00,271.1062499999996
2022-04-08,5,2022-04-13 00:00:00,3016.0687500000004
2022-04-22,6,2022-04-28 00:00:00,-1032.256249999999
2022-04-29,6,2022-05-05 00:00:00,-2270.1187499999996
2022-05-06,6,2022-05-12 00:00:00,-4259.706249999999
2022-05-13,6,2022-05-19 00:00:00,3535.5562499999996
2022-05-20,6,2022-05-26 00:00:00,3398.1937499999995
2022-05-27,6,2022-06-02 00:00:00,708.3125000000005
2022-06-03,6,2022-06-09 00:00:00,-1049.75625
2022-06-10,6,2022-06-16 00:00:00,-9163.762499999997
2022-07-08,6,2022-07-14 00:00:00,2527.0125
2022-07-15,6,2022-07-21 00:00:00,-2197.2999999999997
2022-07-22,6,2022-07-28 00:00:00,1674.1500000000003
2022-07-29,6,2022-08-04 00:00:00,2010.3749999999995
2022-08-05,6,2022-08-11 00:00:00,2658.76875
2022-08-12,6,2022-08-18 00:00:00,934.7624999999999
2022-08-19,6,2022-08-25 00:00:00,-431.6312499999999
2022-08-26,6,2022-09-01 00:00:00,-1859.63125
2022-09-02,6,2022-09-08 00:00:00,2304.80625
2022-09-09,6,2022-09-15 00:00:00,1449.825
2022-09-16,6,2022-09-22 00:00:00,-627.3499999999995
2022-09-23,6,2022-09-29 00:00:00,-5726.787500000001
2022-09-30,6,2022-10-06 00:00:00,827.9062500000005
2022-10-07,6,2022-10-13 00:00:00,1844.7
2022-10-14,6,2022-10-20 00:00:00,1998.15
2022-10-21,6,2022-10-27 00:00:00,1216.70625
2022-10-28,6,2022-11-03 00:00:00,753.1562500000001
2022-11-04,6,2022-11-10 00:00:00,1286.4187500000003
2022-11-11,6,2022-11-17 00:00:00,1390.89375
2022-11-18,6,2022-11-24 00:00:00,1226.56875
2022-11-25,6,2022-12-01 00:00:00,-1074.5624999999998
2022-12-02,6,2022-12-08 00:00:00,1264.2562500000001
2022-12-09,6,2022-12-15 00:00:00,341.7187500000001
2022-12-16,6,2022-12-22 00:00:00,1405.25625
2022-12-23,6,2022-12-29 00:00:00,2341.7812500000005
