Date,DaysToExpiry,ExpiryDate,PnL
2021-06-04,6,2021-06-10 00:00:00,1521.425
2021-06-11,6,2021-06-17 00:00:00,718.4375000000002
2021-06-18,6,2021-06-24 00:00:00,779.8500000000001
2021-06-25,6,2021-07-01 00:00:00,1881.15
2021-07-02,6,2021-07-08 00:00:00,927.1624999999997
2021-07-09,6,2021-07-15 00:00:00,1828.9
2021-07-16,6,2021-07-22 00:00:00,456.8250000000003
2021-07-23,6,2021-07-29 00:00:00,387.5000000000001
2021-07-30,6,2021-08-05 00:00:00,-15226.549999999997
2021-08-06,6,2021-08-12 00:00:00,2299.175
2021-08-13,5,2021-08-18 00:00:00,1036.5124999999998
2021-08-20,6,2021-08-26 00:00:00,2065.15
2021-08-27,6,2021-09-02 00:00:00,-20929.949999999997
2021-09-03,6,2021-09-09 00:00:00,2186.2999999999993
2021-09-17,6,2021-09-23 00:00:00,306.0625000000007
2021-09-24,6,2021-09-30 00:00:00,1922.1750000000002
2021-10-01,6,2021-10-07 00:00:00,2997.7750000000005
2021-10-08,6,2021-10-14 00:00:00,1683.9499999999998
2021-10-22,6,2021-10-28 00:00:00,1202.3375
2021-10-29,5,2021-11-03 00:00:00,5069.125000000001
2021-11-12,6,2021-11-18 00:00:00,-357.6999999999998
2021-11-26,6,2021-12-02 00:00:00,2148.037500000001
2021-12-03,6,2021-12-09 00:00:00,3903.3999999999996
2021-12-10,6,2021-12-16 00:00:00,2603.3250000000003
2021-12-17,6,2021-12-23 00:00:00,1958.1999999999998
2021-12-24,6,2021-12-30 00:00:00,3182.249999999999
2021-12-31,6,2022-01-06 00:00:00,701.2750000000001
2022-01-07,6,2022-01-13 00:00:00,1914.625
2022-01-14,6,2022-01-20 00:00:00,2111.625
2022-01-21,6,2022-01-27 00:00:00,2040.775
2022-01-28,6,2022-02-03 00:00:00,7349.625000000002
2022-02-04,6,2022-02-10 00:00:00,1468.8374999999992
2022-02-11,6,2022-02-17 00:00:00,858.2624999999994
2022-02-18,6,2022-02-24 00:00:00,4417.975
2022-02-25,6,2022-03-03 00:00:00,4206.225
2022-03-04,6,2022-03-10 00:00:00,5584.824999999999
2022-03-11,6,2022-03-17 00:00:00,-1705.4624999999996
2022-03-25,6,2022-03-31 00:00:00,2722.4500000000007
2022-04-01,6,2022-04-07 00:00:00,1541.9125000000001
2022-04-08,5,2022-04-13 00:00:00,3194.325
2022-04-22,6,2022-04-28 00:00:00,1228.8750000000005
2022-04-29,6,2022-05-05 00:00:00,-4275.6
2022-05-06,6,2022-05-12 00:00:00,3403.0750000000007
2022-05-13,6,2022-05-19 00:00:00,3690.025
2022-05-20,6,2022-05-26 00:00:00,3643.2250000000004
2022-05-27,6,2022-06-02 00:00:00,2448.4750000000004
2022-06-03,6,2022-06-09 00:00:00,1477.5625
2022-06-10,6,2022-06-16 00:00:00,-26161.39999999999
2022-07-08,6,2022-07-14 00:00:00,2639.2999999999993
2022-07-15,6,2022-07-21 00:00:00,-6888.675000000001
2022-07-22,6,2022-07-28 00:00:00,1690.1
2022-07-29,6,2022-08-04 00:00:00,2130.05
2022-08-05,6,2022-08-11 00:00:00,2904.7749999999996
2022-08-12,6,2022-08-18 00:00:00,1027.45
2022-08-19,6,2022-08-25 00:00:00,353.9499999999997
2022-08-26,6,2022-09-01 00:00:00,381.41250000000036
2022-09-02,6,2022-09-08 00:00:00,2402.5250000000005
2022-09-09,6,2022-09-15 00:00:00,1622.2000000000005
2022-09-16,6,2022-09-22 00:00:00,1548.9125000000001
2022-09-23,6,2022-09-29 00:00:00,-13673.412500000002
2022-09-30,6,2022-10-06 00:00:00,1702.3000000000002
2022-10-07,6,2022-10-13 00:00:00,1946.6999999999998
2022-10-14,6,2022-10-20 00:00:00,2303.9
2022-10-21,6,2022-10-27 00:00:00,1487.0249999999999
2022-10-28,6,2022-11-03 00:00:00,1420.2499999999998
2022-11-04,6,2022-11-10 00:00:00,1620.3749999999998
2022-11-11,6,2022-11-17 00:00:00,1518.3750000000002
2022-11-18,6,2022-11-24 00:00:00,1369.9749999999997
2022-11-25,6,2022-12-01 00:00:00,-549.3250000000003
2022-12-02,6,2022-12-08 00:00:00,1277.725
2022-12-09,6,2022-12-15 00:00:00,1055.1500000000003
2022-12-16,6,2022-12-22 00:00:00,1542.5750000000003
2022-12-23,6,2022-12-29 00:00:00,2401.3250000000007
2022-12-30,6,2023-01-05 00:00:00,1268.5
2023-01-06,6,2023-01-12 00:00:00,1080.8625000000002
2023-01-13,6,2023-01-19 00:00:00,1709.1374999999998
2023-01-20,5,2023-01-25 00:00:00,1300.3749999999998
2023-01-27,6,2023-02-02 00:00:00,5977.250000000001
2023-02-03,6,2023-02-09 00:00:00,2584.6500000000005
2023-02-10,6,2023-02-16 00:00:00,1457.6999999999998
2023-02-17,6,2023-02-23 00:00:00,-6031.1875
2023-02-24,6,2023-03-02 00:00:00,942.6999999999999
2023-03-03,6,2023-03-09 00:00:00,922.7374999999998
2023-03-10,6,2023-03-16 00:00:00,-3635.5
2023-03-17,6,2023-03-23 00:00:00,1673.6625000000001
2023-03-24,5,2023-03-29 00:00:00,2264.6500000000005
2023-03-31,6,2023-04-06 00:00:00,223.90000000000055
2023-04-21,6,2023-04-27 00:00:00,1391.3750000000002
2023-04-28,6,2023-05-04 00:00:00,-1764.6000000000008
2023-05-05,6,2023-05-11 00:00:00,933.3750000000001
2023-05-12,6,2023-05-18 00:00:00,1544.2249999999997
2023-05-19,6,2023-05-25 00:00:00,811.0125000000003
2023-05-26,6,2023-06-01 00:00:00,801.5124999999999
2023-06-02,6,2023-06-08 00:00:00,1465.5
2023-06-09,6,2023-06-15 00:00:00,1296.375
2023-06-16,6,2023-06-22 00:00:00,633.6874999999999
2023-06-23,6,2023-06-29 00:00:00,919.1
2023-06-30,6,2023-07-06 00:00:00,-5937.649999999998
2023-07-07,6,2023-07-13 00:00:00,1578.6
2023-07-14,6,2023-07-20 00:00:00,-11707.325000000003
2023-07-21,6,2023-07-27 00:00:00,2168.55
2023-07-28,6,2023-08-03 00:00:00,3042.3249999999994
2023-08-04,6,2023-08-10 00:00:00,1343.2249999999997
2023-08-11,6,2023-08-17 00:00:00,700.6374999999997
2023-08-18,6,2023-08-24 00:00:00,1167.775
2023-08-25,6,2023-08-31 00:00:00,1404.775
2023-09-01,6,2023-09-07 00:00:00,-6620.799999999999
2023-09-08,6,2023-09-14 00:00:00,605.55
2023-09-15,6,2023-09-21 00:00:00,-3881.2249999999995
2023-09-22,6,2023-09-28 00:00:00,2052.3749999999986
2023-09-29,6,2023-10-05 00:00:00,1766.0750000000003
2023-10-06,6,2023-10-12 00:00:00,1670.9499999999998
2023-10-13,6,2023-10-19 00:00:00,2266.45
2023-10-20,6,2023-10-26 00:00:00,-28078.687499999996
2023-10-27,6,2023-11-02 00:00:00,2779.5000000000005
