Date,DaysToExpiry,ExpiryDate,PnL
2021-06-04,6,2021-06-10 00:00:00,482.06874999999997
2021-06-11,6,2021-06-17 00:00:00,413.56875
2021-06-18,6,2021-06-24 00:00:00,-828.84375
2021-06-25,6,2021-07-01 00:00:00,616.7375
2021-07-02,6,2021-07-08 00:00:00,447.4437500000001
2021-07-09,6,2021-07-15 00:00:00,562.7250000000001
2021-07-16,6,2021-07-22 00:00:00,-635.6374999999999
2021-07-23,6,2021-07-29 00:00:00,-681.7312500000002
2021-07-30,6,2021-08-05 00:00:00,85.01875000000001
2021-08-06,6,2021-08-12 00:00:00,729.53125
2021-08-13,5,2021-08-18 00:00:00,112.99374999999992
2021-08-20,6,2021-08-26 00:00:00,658.6750000000001
2021-08-27,6,2021-09-02 00:00:00,-214.04999999999995
2021-09-03,6,2021-09-09 00:00:00,710.4249999999998
2021-09-17,6,2021-09-23 00:00:00,-1043.00625
2021-09-24,6,2021-09-30 00:00:00,651.9687500000001
2021-10-01,6,2021-10-07 00:00:00,846.3812500000001
2021-10-08,6,2021-10-14 00:00:00,519.4625
2021-10-22,6,2021-10-28 00:00:00,-932.8375
2021-10-29,5,2021-11-03 00:00:00,1596.7937500000003
2021-11-12,6,2021-11-18 00:00:00,-1494.2312499999998
2021-11-26,6,2021-12-02 00:00:00,-1112.40625
2021-12-03,6,2021-12-09 00:00:00,1004.0874999999999
2021-12-10,6,2021-12-16 00:00:00,789.1562500000001
2021-12-17,6,2021-12-23 00:00:00,-1180.7375000000002
2021-12-24,6,2021-12-30 00:00:00,963.1999999999998
2021-12-31,6,2022-01-06 00:00:00,88.83749999999998
2022-01-07,6,2022-01-13 00:00:00,637.73125
2022-01-14,6,2022-01-20 00:00:00,-1306.0687500000001
2022-01-21,6,2022-01-27 00:00:00,-1394.9187499999998
2022-01-28,6,2022-02-03 00:00:00,2403.00625
2022-02-04,6,2022-02-10 00:00:00,-1725.3437500000002
2022-02-11,6,2022-02-17 00:00:00,-1366.675
2022-02-18,6,2022-02-24 00:00:00,1317.5812499999997
2022-02-25,6,2022-03-03 00:00:00,1645.89375
2022-03-04,6,2022-03-10 00:00:00,1792.63125
2022-03-11,6,2022-03-17 00:00:00,-785.8624999999997
2022-03-25,6,2022-03-31 00:00:00,906.3250000000002
2022-04-01,6,2022-04-07 00:00:00,-226.51875000000007
2022-04-08,5,2022-04-13 00:00:00,1005.3562499999999
2022-04-22,6,2022-04-28 00:00:00,-1262.3437500000002
2022-04-29,6,2022-05-05 00:00:00,-794.5812500000001
2022-05-06,6,2022-05-12 00:00:00,-2246.4187500000007
2022-05-13,6,2022-05-19 00:00:00,1178.5187500000002
