Date,DaysToExpiry,ExpiryDate,PnL
2021-06-04,6,2021-06-10 00:00:00,172.9
2021-06-11,6,2021-06-17 00:00:00,-391.2875
2021-06-18,6,2021-06-24 00:00:00,-309.23125
2021-06-25,6,2021-07-01 00:00:00,158.63750000000005
2021-07-02,6,2021-07-08 00:00:00,-185.53750000000002
2021-07-09,6,2021-07-15 00:00:00,207.2375
2021-07-16,6,2021-07-22 00:00:00,-595.3812499999999
2021-07-23,6,2021-07-29 00:00:00,-563.53125
2021-07-30,6,2021-08-05 00:00:00,36.493749999999864
2021-08-06,6,2021-08-12 00:00:00,234.69375000000002
2021-08-13,5,2021-08-18 00:00:00,229.68124999999998
2021-08-20,6,2021-08-26 00:00:00,-909.4125
2021-08-27,6,2021-09-02 00:00:00,30.068749999999994
2021-09-03,6,2021-09-09 00:00:00,243.47499999999994
2021-09-17,6,2021-09-23 00:00:00,-318.72500000000014
2021-09-24,6,2021-09-30 00:00:00,292.83124999999995
2021-10-01,6,2021-10-07 00:00:00,350.00625
2021-10-08,6,2021-10-14 00:00:00,197.44374999999997
2021-10-22,6,2021-10-28 00:00:00,355.5875
2021-10-29,5,2021-11-03 00:00:00,-1273.5062500000001
2021-11-12,6,2021-11-18 00:00:00,230.49374999999986
2021-11-26,6,2021-12-02 00:00:00,-386.60624999999993
2021-12-03,6,2021-12-09 00:00:00,371.0375
2021-12-10,6,2021-12-16 00:00:00,304.5500000000001
2021-12-17,6,2021-12-23 00:00:00,-481.9625000000001
2021-12-24,6,2021-12-30 00:00:00,370.10000000000014
2021-12-31,6,2022-01-06 00:00:00,-31.862499999999898
2022-01-07,6,2022-01-13 00:00:00,-194.04374999999982
2022-01-14,6,2022-01-20 00:00:00,247.26250000000005
2022-01-21,6,2022-01-27 00:00:00,-321.7874999999998
2022-01-28,6,2022-02-03 00:00:00,-666.8124999999991
2022-02-04,6,2022-02-10 00:00:00,-647.8562499999997
2022-02-11,6,2022-02-17 00:00:00,-467.80625
2022-02-18,6,2022-02-24 00:00:00,601.0500000000002
2022-02-25,6,2022-03-03 00:00:00,935.6875000000001
2022-03-04,6,2022-03-10 00:00:00,-1244.10625
2022-03-11,6,2022-03-17 00:00:00,-561.0562499999999
2022-03-25,6,2022-03-31 00:00:00,433.08125000000007
2022-04-01,6,2022-04-07 00:00:00,-4.249999999999943
2022-04-08,5,2022-04-13 00:00:00,323.85624999999993
2022-04-22,6,2022-04-28 00:00:00,-424.0375000000004
