Date,DaysToExpiry,ExpiryDate,PnL
2021-06-04,6,2021-06-10 00:00:00,644.1750000000002
2021-06-11,6,2021-06-17 00:00:00,-325.85000000000014
2021-06-18,6,2021-06-24 00:00:00,-136.10624999999936
2021-06-25,6,2021-07-01 00:00:00,685.5375
2021-07-02,6,2021-07-08 00:00:00,43.94999999999982
2021-07-09,6,2021-07-15 00:00:00,826.7249999999999
2021-07-16,6,2021-07-22 00:00:00,-989.8937500000002
2021-07-23,6,2021-07-29 00:00:00,-428.48125000000016
2021-07-30,6,2021-08-05 00:00:00,-3895.16875
2021-08-06,6,2021-08-12 00:00:00,883.40625
2021-08-13,5,2021-08-18 00:00:00,876.7687499999998
2021-08-20,6,2021-08-26 00:00:00,-1376.1000000000001
2021-08-27,6,2021-09-02 00:00:00,-2177.24375
2021-09-03,6,2021-09-09 00:00:00,891.6374999999998
2021-09-17,6,2021-09-23 00:00:00,-225.18749999999977
2021-09-24,6,2021-09-30 00:00:00,1078.40625
2021-10-01,6,2021-10-07 00:00:00,493.25625000000025
2021-10-08,6,2021-10-14 00:00:00,727.85625
2021-10-22,6,2021-10-28 00:00:00,1422.7875000000001
2021-10-29,5,2021-11-03 00:00:00,-1909.09375
2021-11-12,6,2021-11-18 00:00:00,-922.3812499999999
2021-11-26,6,2021-12-02 00:00:00,63.981250000000045
2021-12-03,6,2021-12-09 00:00:00,-212.07500000000027
2021-12-10,6,2021-12-16 00:00:00,452.0125000000005
2021-12-17,6,2021-12-23 00:00:00,185.26250000000005
2021-12-24,6,2021-12-30 00:00:00,-168.61249999999995
2021-12-31,6,2022-01-06 00:00:00,425.82500000000016
2022-01-07,6,2022-01-13 00:00:00,20.081249999999955
2022-01-14,6,2022-01-20 00:00:00,-2946.3625
2022-01-21,6,2022-01-27 00:00:00,82.51249999999982
2022-01-28,6,2022-02-03 00:00:00,1083.8500000000004
2022-02-04,6,2022-02-10 00:00:00,-351.11874999999986
2022-02-11,6,2022-02-17 00:00:00,-415.70624999999995
2022-02-18,6,2022-02-24 00:00:00,2314.4625
2022-02-25,6,2022-03-03 00:00:00,3293.1749999999993
2022-03-04,6,2022-03-10 00:00:00,-648.0312499999995
2022-03-11,6,2022-03-17 00:00:00,46.45625000000018
2022-03-25,6,2022-03-31 00:00:00,1794.5812500000002
2022-04-01,6,2022-04-07 00:00:00,477.0999999999997
2022-04-08,5,2022-04-13 00:00:00,-108.30624999999986
2022-04-22,6,2022-04-28 00:00:00,-262.11250000000155
2022-04-29,6,2022-05-05 00:00:00,-545.4000000000005
2022-05-06,6,2022-05-12 00:00:00,-2772.612500000001
2022-05-13,6,2022-05-19 00:00:00,610.1062500000003
2022-05-20,6,2022-05-26 00:00:00,1197.33125
2022-05-27,6,2022-06-02 00:00:00,894.66875
2022-06-03,6,2022-06-09 00:00:00,1417.5000000000002
2022-06-10,6,2022-06-16 00:00:00,-4759.262499999999
2022-06-24,6,2022-06-30 00:00:00,730.15
2022-07-01,6,2022-07-07 00:00:00,577.2999999999997
2022-07-08,6,2022-07-14 00:00:00,1091.83125
2022-07-15,6,2022-07-21 00:00:00,-2298.05625
2022-07-22,6,2022-07-28 00:00:00,1073.75625
2022-07-29,6,2022-08-04 00:00:00,413.00000000000045
2022-08-05,6,2022-08-11 00:00:00,1215.9562500000002
2022-08-12,6,2022-08-18 00:00:00,642.0937500000001
2022-08-19,6,2022-08-25 00:00:00,-133.1374999999996
2022-08-26,6,2022-09-01 00:00:00,-392.7437500000001
2022-09-02,6,2022-09-08 00:00:00,1309.7812500000002
2022-09-09,6,2022-09-15 00:00:00,909.9750000000001
2022-09-16,6,2022-09-22 00:00:00,180.0875000000001
2022-09-23,6,2022-09-29 00:00:00,333.67499999999995
2022-09-30,6,2022-10-06 00:00:00,-368.37499999999955
2022-10-07,6,2022-10-13 00:00:00,-132.92499999999973
2022-10-14,6,2022-10-20 00:00:00,434.7125000000001
2022-10-21,6,2022-10-27 00:00:00,1055.7562500000004
2022-10-28,6,2022-11-03 00:00:00,277.7499999999999
2022-11-04,6,2022-11-10 00:00:00,651.8062500000001
2022-11-11,6,2022-11-17 00:00:00,756.5250000000001
2022-11-18,6,2022-11-24 00:00:00,681.5999999999998
2022-11-25,6,2022-12-01 00:00:00,-296.9999999999999
2022-12-02,6,2022-12-08 00:00:00,715.2375
2022-12-09,6,2022-12-15 00:00:00,716.71875
2022-12-16,6,2022-12-22 00:00:00,790.0125000000002
2022-12-23,6,2022-12-29 00:00:00,1325.7375000000002
2022-12-30,6,2023-01-05 00:00:00,846.9750000000001
2023-01-06,6,2023-01-12 00:00:00,233.86874999999998
2023-01-13,6,2023-01-19 00:00:00,825.3562500000002
2023-01-20,5,2023-01-25 00:00:00,577.1812500000001
2023-01-27,6,2023-02-02 00:00:00,183.36249999999927
2023-02-03,6,2023-02-09 00:00:00,1196.6437499999995
2023-02-10,6,2023-02-16 00:00:00,-60.64375000000018
2023-02-17,6,2023-02-23 00:00:00,-1322.812499999999
2023-02-24,6,2023-03-02 00:00:00,763.9125
2023-03-03,6,2023-03-09 00:00:00,143.43749999999994
2023-03-10,6,2023-03-16 00:00:00,-2341.5500000000006
2023-03-17,6,2023-03-23 00:00:00,107.58750000000009
2023-03-24,5,2023-03-29 00:00:00,1184.9625
2023-03-31,6,2023-04-06 00:00:00,1051.63125
2023-04-21,6,2023-04-27 00:00:00,528.6187500000002
2023-04-28,6,2023-05-04 00:00:00,39.0750000000001
2023-05-05,6,2023-05-11 00:00:00,72.7937500000001
2023-05-12,6,2023-05-18 00:00:00,599.5124999999998
2023-05-19,6,2023-05-25 00:00:00,48.975000000000364
2023-05-26,6,2023-06-01 00:00:00,232.58749999999998
2023-06-02,6,2023-06-08 00:00:00,834.5250000000001
2023-06-09,6,2023-06-15 00:00:00,719.5125
2023-06-16,6,2023-06-22 00:00:00,114.87499999999977
2023-06-23,6,2023-06-29 00:00:00,332.4375
2023-06-30,6,2023-07-06 00:00:00,-881.7812499999998
2023-07-07,6,2023-07-13 00:00:00,715.95
2023-07-14,6,2023-07-20 00:00:00,-2332.7875000000004
2023-07-21,6,2023-07-27 00:00:00,1070.7187500000002
2023-07-28,6,2023-08-03 00:00:00,1081.29375
2023-08-04,6,2023-08-10 00:00:00,929.6624999999999
2023-08-11,6,2023-08-17 00:00:00,-205.6812500000001
2023-08-18,6,2023-08-24 00:00:00,547.4437500000001
2023-08-25,6,2023-08-31 00:00:00,761.4374999999998
2023-09-01,6,2023-09-07 00:00:00,545.0250000000002
2023-09-08,6,2023-09-14 00:00:00,-301.5625000000002
2023-09-15,6,2023-09-21 00:00:00,-3145.99375
2023-09-22,6,2023-09-28 00:00:00,918.58125
2023-09-29,6,2023-10-05 00:00:00,-303.62500000000006
2023-10-06,6,2023-10-12 00:00:00,-813.1812499999997
2023-10-13,6,2023-10-19 00:00:00,988.1437500000001
2023-10-20,6,2023-10-26 00:00:00,-2507.96875
2023-10-27,6,2023-11-02 00:00:00,1728.1499999999999
2023-11-03,6,2023-11-09 00:00:00,106.76874999999973
2023-11-10,6,2023-11-16 00:00:00,-2852.6937499999995
2023-11-17,6,2023-11-23 00:00:00,678.13125
2023-11-24,6,2023-11-30 00:00:00,-186.20624999999995
2023-12-01,6,2023-12-07 00:00:00,-2111.393749999999
2023-12-08,6,2023-12-14 00:00:00,839.1749999999998
2023-12-15,6,2023-12-21 00:00:00,-1200.2500000000002
2023-12-22,6,2023-12-28 00:00:00,-686.9062500000002
2023-12-29,6,2024-01-04 00:00:00,1134.375
2024-01-05,6,2024-01-11 00:00:00,782.49375
2024-01-12,6,2024-01-18 00:00:00,-2256.6124999999997
2024-01-19,6,2024-01-25 00:00:00,315.9249999999997
2024-02-02,6,2024-02-08 00:00:00,1595.7562499999995
2024-02-09,6,2024-02-15 00:00:00,1689.7687499999997
2024-02-16,6,2024-02-22 00:00:00,1343.4187500000007
2024-02-23,6,2024-02-29 00:00:00,1207.2749999999999
2024-03-01,6,2024-03-07 00:00:00,1252.1625000000004
2024-03-15,6,2024-03-21 00:00:00,1319.9249999999997
2024-03-22,6,2024-03-28 00:00:00,1245.9187499999998
2024-04-05,5,2024-04-10 00:00:00,405.13125
2024-04-12,6,2024-04-18 00:00:00,-2910.35
2024-04-19,6,2024-04-25 00:00:00,794.9437499999992
2024-04-26,6,2024-05-02 00:00:00,215.1687500000005
2024-05-03,6,2024-05-09 00:00:00,1461.4875
2024-05-10,6,2024-05-16 00:00:00,663.3187499999998
2024-05-17,6,2024-05-23 00:00:00,462.1687500000003
2024-05-24,6,2024-05-30 00:00:00,636.69375
2024-05-31,6,2024-06-06 00:00:00,-5428.943750000006
2024-06-07,6,2024-06-13 00:00:00,2539.1812499999996
2024-06-14,6,2024-06-20 00:00:00,296.7750000000001
2024-06-21,6,2024-06-27 00:00:00,-2008.6687499999994
2024-06-28,6,2024-07-04 00:00:00,1394.6062500000003
2024-07-05,6,2024-07-11 00:00:00,217.64375000000007
2024-07-12,6,2024-07-18 00:00:00,674.5125
2024-07-19,6,2024-07-25 00:00:00,807.8312499999975
2024-07-26,6,2024-08-01 00:00:00,680.1624999999995
2024-08-02,6,2024-08-08 00:00:00,-1009.7375000000004
2024-08-09,5,2024-08-14 00:00:00,1334.6999999999998
2024-08-16,6,2024-08-22 00:00:00,816.7312499999998
2024-08-23,6,2024-08-29 00:00:00,203.4937500000001
2024-08-30,6,2024-09-05 00:00:00,614.7187499999998
2024-09-06,6,2024-09-12 00:00:00,1138.6125
2024-09-13,6,2024-09-19 00:00:00,1028.98125
2024-09-20,6,2024-09-26 00:00:00,-1049.1125000000004
2024-09-27,6,2024-10-03 00:00:00,-7693.625000000001
