Date,DaysToExpiry,ExpiryDate,PnL
2021-06-04,6,2021-06-10 00:00:00,804.4499999999999
2021-06-11,6,2021-06-17 00:00:00,-611.8000000000004
2021-06-18,6,2021-06-24 00:00:00,-385.9999999999991
2021-06-25,6,2021-07-01 00:00:00,810.2000000000002
2021-07-02,6,2021-07-08 00:00:00,-137.2500000000001
2021-07-09,6,2021-07-15 00:00:00,970.35
2021-07-16,6,2021-07-22 00:00:00,-1585.8249999999998
2021-07-23,6,2021-07-29 00:00:00,-836.0124999999997
2021-07-30,6,2021-08-05 00:00:00,-3859.9375000000005
2021-08-06,6,2021-08-12 00:00:00,1029.6750000000002
2021-08-13,5,2021-08-18 00:00:00,1048.9249999999997
2021-08-20,6,2021-08-26 00:00:00,-2309.5
2021-08-27,6,2021-09-02 00:00:00,-2138.3375000000005
2021-09-03,6,2021-09-09 00:00:00,1059.7499999999998
2021-09-17,6,2021-09-23 00:00:00,-545.1750000000002
2021-09-24,6,2021-09-30 00:00:00,1226.8749999999998
2021-10-01,6,2021-10-07 00:00:00,419.0625000000002
2021-10-08,6,2021-10-14 00:00:00,909.875
2021-10-22,6,2021-10-28 00:00:00,1674.85
2021-10-29,5,2021-11-03 00:00:00,-3228.05
2021-11-12,6,2021-11-18 00:00:00,-1568.9375000000011
2021-11-26,6,2021-12-02 00:00:00,-213.2249999999999
2021-12-03,6,2021-12-09 00:00:00,-665.7249999999999
2021-12-10,6,2021-12-16 00:00:00,470.8000000000003
2021-12-17,6,2021-12-23 00:00:00,-169.18749999999955
2021-12-24,6,2021-12-30 00:00:00,-562.3250000000003
2021-12-31,6,2022-01-06 00:00:00,434.36249999999995
2022-01-07,6,2022-01-13 00:00:00,-173.96249999999986
2022-01-14,6,2022-01-20 00:00:00,-3531.9625
2022-01-21,6,2022-01-27 00:00:00,-107.97500000000036
2022-01-28,6,2022-02-03 00:00:00,427.1374999999989
2022-02-04,6,2022-02-10 00:00:00,-780.9999999999995
2022-02-11,6,2022-02-17 00:00:00,-859.9624999999992
2022-02-18,6,2022-02-24 00:00:00,2883.9500000000003
2022-02-25,6,2022-03-03 00:00:00,3818.5000000000005
2022-03-04,6,2022-03-10 00:00:00,-1586.6125000000002
2022-03-11,6,2022-03-17 00:00:00,-48.73750000000018
2022-03-25,6,2022-03-31 00:00:00,1984.825
2022-04-01,6,2022-04-07 00:00:00,413.51250000000005
2022-04-08,5,2022-04-13 00:00:00,-462.1375000000003
2022-04-22,6,2022-04-28 00:00:00,-691.200000000001
2022-04-29,6,2022-05-05 00:00:00,-755.1374999999998
2022-05-06,6,2022-05-12 00:00:00,-4198.449999999999
2022-05-13,6,2022-05-19 00:00:00,340.0375000000008
