Date,DaysToExpiry,ExpiryDate,PnL
2021-06-11,6,2021-06-17 00:00:00,-438.825
2021-06-18,6,2021-06-24 00:00:00,-429.04999999999984
2021-06-25,6,2021-07-01 00:00:00,351.43750000000006
2021-07-02,6,2021-07-08 00:00:00,-126.03749999999997
2021-07-09,6,2021-07-15 00:00:00,479.4375
2021-07-16,6,2021-07-22 00:00:00,-722.5687499999999
2021-07-23,6,2021-07-29 00:00:00,-651.75
2021-07-30,6,2021-08-05 00:00:00,117.43124999999995
2021-08-06,6,2021-08-12 00:00:00,454.6125
2021-08-13,5,2021-08-18 00:00:00,400.23749999999995
2021-08-20,6,2021-08-26 00:00:00,-738.8312500000001
2021-08-27,6,2021-09-02 00:00:00,71.34375000000006
2021-09-03,6,2021-09-09 00:00:00,454.6875
2021-09-17,6,2021-09-23 00:00:00,-364.7812500000001
2021-09-24,6,2021-09-30 00:00:00,514.49375
2021-10-01,6,2021-10-07 00:00:00,651.8937500000001
2021-10-08,6,2021-10-14 00:00:00,346.66875
2021-10-22,6,2021-10-28 00:00:00,753.4937500000001
2021-10-29,5,2021-11-03 00:00:00,-1104.2875
2021-11-12,6,2021-11-18 00:00:00,511.7125
2021-11-26,6,2021-12-02 00:00:00,-604.5374999999997
2021-12-03,6,2021-12-09 00:00:00,715.975
2021-12-10,6,2021-12-16 00:00:00,535.25
2021-12-17,6,2021-12-23 00:00:00,-853.6875000000002
2021-12-24,6,2021-12-30 00:00:00,779.44375
2021-12-31,6,2022-01-06 00:00:00,95.45625000000001
2022-01-07,6,2022-01-13 00:00:00,-279.05624999999986
2022-01-14,6,2022-01-20 00:00:00,-672.175
2022-01-21,6,2022-01-27 00:00:00,-455.79375000000005
2022-01-28,6,2022-02-03 00:00:00,-788.1125000000002
2022-02-04,6,2022-02-10 00:00:00,-988.5125
2022-02-11,6,2022-02-17 00:00:00,-896.3000000000002
2022-02-18,6,2022-02-24 00:00:00,1081.83125
2022-02-25,6,2022-03-03 00:00:00,1361.2875
2022-03-04,6,2022-03-10 00:00:00,-1373.0750000000003
2022-03-11,6,2022-03-17 00:00:00,-165.32500000000005
2022-03-25,6,2022-03-31 00:00:00,925.1312499999999
2022-04-01,6,2022-04-07 00:00:00,135.36250000000007
2022-04-08,5,2022-04-13 00:00:00,677.2562499999999
2022-04-22,6,2022-04-28 00:00:00,-689.5500000000001
2022-04-29,6,2022-05-05 00:00:00,-693.8625
2022-05-06,6,2022-05-12 00:00:00,-1372.86875
2022-05-13,6,2022-05-19 00:00:00,-172.40624999999977
2022-05-20,6,2022-05-26 00:00:00,1053.60625
2022-05-27,6,2022-06-02 00:00:00,242.64999999999975
2022-06-03,6,2022-06-09 00:00:00,812.4125000000001
2022-06-10,6,2022-06-16 00:00:00,-1275.0249999999996
2022-07-08,6,2022-07-14 00:00:00,678.36875
2022-07-15,6,2022-07-21 00:00:00,8.03125
2022-07-22,6,2022-07-28 00:00:00,560.4812499999999
2022-07-29,6,2022-08-04 00:00:00,-73.81875000000002
2022-08-05,6,2022-08-11 00:00:00,637.4375
2022-08-12,6,2022-08-18 00:00:00,311.9
2022-08-19,6,2022-08-25 00:00:00,-544.5687499999999
2022-08-26,6,2022-09-01 00:00:00,-1149.29375
2022-09-02,6,2022-09-08 00:00:00,762.9250000000002
2022-09-09,6,2022-09-15 00:00:00,469.85625000000005
2022-09-16,6,2022-09-22 00:00:00,845.0874999999999
2022-09-23,6,2022-09-29 00:00:00,-433.8187499999999
2022-09-30,6,2022-10-06 00:00:00,755.3312500000002
2022-10-07,6,2022-10-13 00:00:00,540.225
2022-10-14,6,2022-10-20 00:00:00,644.1062499999999
2022-10-21,6,2022-10-27 00:00:00,525.7624999999999
2022-10-28,6,2022-11-03 00:00:00,-50.80625000000009
2022-11-04,6,2022-11-10 00:00:00,325.41874999999993
2022-11-11,6,2022-11-17 00:00:00,388.83125000000007
2022-11-18,6,2022-11-24 00:00:00,370.175
2022-11-25,6,2022-12-01 00:00:00,-456.13749999999993
2022-12-02,6,2022-12-08 00:00:00,402.36250000000007
2022-12-09,6,2022-12-15 00:00:00,370.26250000000005
2022-12-16,6,2022-12-22 00:00:00,423.6875
2022-12-23,6,2022-12-29 00:00:00,648.01875
2022-12-30,6,2023-01-05 00:00:00,479.8375
2023-01-06,6,2023-01-12 00:00:00,-276.74375
2023-01-13,6,2023-01-19 00:00:00,443.7875
2023-01-20,5,2023-01-25 00:00:00,301.65625
2023-01-27,6,2023-02-02 00:00:00,1758.5375000000004
2023-02-03,6,2023-02-09 00:00:00,637.14375
2023-02-10,6,2023-02-16 00:00:00,350.325
2023-02-17,6,2023-02-23 00:00:00,-486.71249999999986
2023-02-24,6,2023-03-02 00:00:00,390.0375000000001
2023-03-03,6,2023-03-09 00:00:00,-63.375
2023-03-10,6,2023-03-16 00:00:00,-514.875
2023-03-17,6,2023-03-23 00:00:00,763.0375
2023-03-24,5,2023-03-29 00:00:00,688.23125
2023-03-31,6,2023-04-06 00:00:00,551.8249999999999
2023-04-21,6,2023-04-27 00:00:00,274.35
2023-04-28,6,2023-05-04 00:00:00,-263.675
2023-05-05,6,2023-05-11 00:00:00,-140.96875
2023-05-12,6,2023-05-18 00:00:00,317.91875
2023-05-19,6,2023-05-25 00:00:00,-196.06875000000002
2023-05-26,6,2023-06-01 00:00:00,5.287500000000023
2023-06-02,6,2023-06-08 00:00:00,384.87499999999994
2023-06-09,6,2023-06-15 00:00:00,361.5375
2023-06-16,6,2023-06-22 00:00:00,290.5
2023-06-23,6,2023-06-29 00:00:00,146.76874999999998
2023-06-30,6,2023-07-06 00:00:00,-33.28750000000008
2023-07-07,6,2023-07-13 00:00:00,344.14375000000007
2023-07-14,6,2023-07-20 00:00:00,-159.53125
2023-07-21,6,2023-07-27 00:00:00,620.0437499999999
2023-07-28,6,2023-08-03 00:00:00,605.20625
2023-08-04,6,2023-08-10 00:00:00,489.6375
2023-08-11,6,2023-08-17 00:00:00,-234.64375
2023-08-18,6,2023-08-24 00:00:00,264.5125
2023-08-25,6,2023-08-31 00:00:00,370.3187499999999
2023-09-01,6,2023-09-07 00:00:00,280.78749999999997
2023-09-08,6,2023-09-14 00:00:00,-357.42500000000007
2023-09-15,6,2023-09-21 00:00:00,-402.91249999999997
2023-09-22,6,2023-09-28 00:00:00,479.8375
2023-09-29,6,2023-10-05 00:00:00,-272.2937499999999
2023-10-06,6,2023-10-12 00:00:00,-659.1437499999998
2023-10-13,6,2023-10-19 00:00:00,522.9812499999999
2023-10-20,6,2023-10-26 00:00:00,-607.35625
2023-10-27,6,2023-11-02 00:00:00,828.7374999999998
2023-11-03,6,2023-11-09 00:00:00,433.7625
2023-11-10,6,2023-11-16 00:00:00,-160.98124999999993
2023-11-17,6,2023-11-23 00:00:00,358.91874999999993
2023-11-24,6,2023-11-30 00:00:00,-62.275000000000006
2023-12-01,6,2023-12-07 00:00:00,-723.2875000000001
2023-12-08,6,2023-12-14 00:00:00,457.4312499999999
2023-12-15,6,2023-12-21 00:00:00,-1503.2437499999996
2023-12-22,6,2023-12-28 00:00:00,-543.64375
2023-12-29,6,2024-01-04 00:00:00,589.35625
2024-01-05,6,2024-01-11 00:00:00,424.7625
2024-01-12,6,2024-01-18 00:00:00,-954.98125
2024-01-19,6,2024-01-25 00:00:00,-338.5999999999999
2024-02-02,6,2024-02-08 00:00:00,940.66875
2024-02-09,6,2024-02-15 00:00:00,927.4499999999999
2024-02-16,6,2024-02-22 00:00:00,788.0375000000001
2024-02-23,6,2024-02-29 00:00:00,698.23125
