Date,DaysToExpiry,ExpiryDate,PnL
2021-06-11,6,2021-06-17 00:00:00,9.175000000000068
2021-06-18,6,2021-06-24 00:00:00,223.86250000000018
2021-06-25,6,2021-07-01 00:00:00,645.9000000000001
2021-07-02,6,2021-07-08 00:00:00,219.38750000000005
2021-07-09,6,2021-07-15 00:00:00,839.325
2021-07-16,6,2021-07-22 00:00:00,-465.4375000000001
2021-07-23,6,2021-07-29 00:00:00,-66.25
2021-07-30,6,2021-08-05 00:00:00,-3800.7999999999993
2021-08-06,6,2021-08-12 00:00:00,783.5250000000001
2021-08-13,5,2021-08-18 00:00:00,715.1749999999998
2021-08-20,6,2021-08-26 00:00:00,-345.1999999999998
2021-08-27,6,2021-09-02 00:00:00,-4208.049999999999
2021-09-03,6,2021-09-09 00:00:00,774.125
2021-09-17,6,2021-09-23 00:00:00,405.42499999999984
2021-09-24,6,2021-09-30 00:00:00,918.9875
2021-10-01,6,2021-10-07 00:00:00,605.4625000000001
2021-10-08,6,2021-10-14 00:00:00,640.8625
2021-10-22,6,2021-10-28 00:00:00,1274.6875
2021-10-29,5,2021-11-03 00:00:00,-345.12500000000045
2021-11-12,6,2021-11-18 00:00:00,31.649999999999864
2021-11-26,6,2021-12-02 00:00:00,410.0
2021-12-03,6,2021-12-09 00:00:00,230.04999999999995
2021-12-10,6,2021-12-16 00:00:00,708.0
2021-12-17,6,2021-12-23 00:00:00,415.43750000000045
2021-12-24,6,2021-12-30 00:00:00,322.9000000000003
2021-12-31,6,2022-01-06 00:00:00,563.3499999999999
2022-01-07,6,2022-01-13 00:00:00,372.9000000000002
2022-01-14,6,2022-01-20 00:00:00,-2027.5250000000005
2022-01-21,6,2022-01-27 00:00:00,491.04999999999995
2022-01-28,6,2022-02-03 00:00:00,1932.2624999999998
2022-02-04,6,2022-02-10 00:00:00,129.375
2022-02-11,6,2022-02-17 00:00:00,-153.87500000000023
2022-02-18,6,2022-02-24 00:00:00,1969.7875000000001
2022-02-25,6,2022-03-03 00:00:00,2388.3999999999996
2022-03-04,6,2022-03-10 00:00:00,482.0625
2022-03-11,6,2022-03-17 00:00:00,-304.8499999999999
2022-03-25,6,2022-03-31 00:00:00,1574.4874999999997
2022-04-01,6,2022-04-07 00:00:00,687.3499999999998
2022-04-08,5,2022-04-13 00:00:00,527.4124999999997
2022-04-22,6,2022-04-28 00:00:00,11.462499999999636
2022-04-29,6,2022-05-05 00:00:00,-320.3624999999997
2022-05-06,6,2022-05-12 00:00:00,-891.6750000000002
2022-05-13,6,2022-05-19 00:00:00,1079.2875000000001
2022-05-20,6,2022-05-26 00:00:00,1256.125
2022-05-27,6,2022-06-02 00:00:00,1037.0124999999996
2022-06-03,6,2022-06-09 00:00:00,1435.4500000000003
2022-06-10,6,2022-06-16 00:00:00,-7670.749999999999
2022-07-08,6,2022-07-14 00:00:00,1258.2625
2022-07-15,6,2022-07-21 00:00:00,-2486.2125
2022-07-22,6,2022-07-28 00:00:00,1025.5625
2022-07-29,6,2022-08-04 00:00:00,516.9875
2022-08-05,6,2022-08-11 00:00:00,1154.225
2022-08-12,6,2022-08-18 00:00:00,599.1
2022-08-19,6,2022-08-25 00:00:00,162.54999999999984
2022-08-26,6,2022-09-01 00:00:00,-643.6125000000004
2022-09-02,6,2022-09-08 00:00:00,1382.475
2022-09-09,6,2022-09-15 00:00:00,854.9624999999999
2022-09-16,6,2022-09-22 00:00:00,663.5999999999997
2022-09-23,6,2022-09-29 00:00:00,864.5124999999996
2022-09-30,6,2022-10-06 00:00:00,157.81250000000023
2022-10-07,6,2022-10-13 00:00:00,151.63750000000005
2022-10-14,6,2022-10-20 00:00:00,837.3374999999999
2022-10-21,6,2022-10-27 00:00:00,1021.7749999999999
2022-10-28,6,2022-11-03 00:00:00,453.8874999999998
2022-11-04,6,2022-11-10 00:00:00,591.8875
2022-11-11,6,2022-11-17 00:00:00,670.1875000000002
2022-11-18,6,2022-11-24 00:00:00,651.1
2022-11-25,6,2022-12-01 00:00:00,-3.987500000000068
2022-12-02,6,2022-12-08 00:00:00,720.5250000000001
2022-12-09,6,2022-12-15 00:00:00,693.1
2022-12-16,6,2022-12-22 00:00:00,793.4749999999999
2022-12-23,6,2022-12-29 00:00:00,1134.4375
2022-12-30,6,2023-01-05 00:00:00,879.975
2023-01-06,6,2023-01-12 00:00:00,383.8375000000001
2023-01-13,6,2023-01-19 00:00:00,842.675
2023-01-20,5,2023-01-25 00:00:00,553.9125
2023-01-27,6,2023-02-02 00:00:00,1093.0750000000007
2023-02-03,6,2023-02-09 00:00:00,1120.8125
2023-02-10,6,2023-02-16 00:00:00,119.73749999999995
2023-02-17,6,2023-02-23 00:00:00,-895.3125
2023-02-24,6,2023-03-02 00:00:00,695.8750000000001
2023-03-03,6,2023-03-09 00:00:00,207.65000000000003
2023-03-10,6,2023-03-16 00:00:00,-1839.1750000000002
2023-03-17,6,2023-03-23 00:00:00,516.625
2023-03-24,5,2023-03-29 00:00:00,1258.8875
2023-03-31,6,2023-04-06 00:00:00,1030.975
2023-04-21,6,2023-04-27 00:00:00,486.675
2023-04-28,6,2023-05-04 00:00:00,115.8125
2023-05-05,6,2023-05-11 00:00:00,214.77500000000003
2023-05-12,6,2023-05-18 00:00:00,551.0875
2023-05-19,6,2023-05-25 00:00:00,175.825
