Date,DaysToExpiry,ExpiryDate,PnL
2021-06-11,6,2021-06-17 00:00:00,314.23749999999984
2021-06-18,6,2021-06-24 00:00:00,806.0750000000003
2021-06-25,6,2021-07-01 00:00:00,968.8499999999999
2021-07-02,6,2021-07-08 00:00:00,503.93749999999994
2021-07-09,6,2021-07-15 00:00:00,1258.9875000000002
2021-07-16,6,2021-07-22 00:00:00,-196.9437499999999
2021-07-23,6,2021-07-29 00:00:00,278.1125000000002
2021-07-30,6,2021-08-05 00:00:00,-7729.406250000001
2021-08-06,6,2021-08-12 00:00:00,1175.2875000000001
2021-08-13,5,2021-08-18 00:00:00,1072.7625000000003
2021-08-20,6,2021-08-26 00:00:00,79.99375000000055
2021-08-27,6,2021-09-02 00:00:00,-8562.48125
2021-09-03,6,2021-09-09 00:00:00,1161.1875
2021-09-17,6,2021-09-23 00:00:00,993.8312500000002
2021-09-24,6,2021-09-30 00:00:00,1378.4812500000003
2021-10-01,6,2021-10-07 00:00:00,1273.0562500000005
2021-10-08,6,2021-10-14 00:00:00,961.2937499999999
2021-10-22,6,2021-10-28 00:00:00,1912.03125
2021-10-29,5,2021-11-03 00:00:00,450.65000000000055
2021-11-12,6,2021-11-18 00:00:00,560.0500000000002
2021-11-26,6,2021-12-02 00:00:00,1228.5749999999996
2021-12-03,6,2021-12-09 00:00:00,956.1250000000002
2021-12-10,6,2021-12-16 00:00:00,1240.0125000000005
2021-12-17,6,2021-12-23 00:00:00,1402.7499999999998
2021-12-24,6,2021-12-30 00:00:00,1116.2312499999998
2021-12-31,6,2022-01-06 00:00:00,982.0062499999999
2022-01-07,6,2022-01-13 00:00:00,912.2187499999997
2022-01-14,6,2022-01-20 00:00:00,-3637.1875000000005
2022-01-21,6,2022-01-27 00:00:00,1220.74375
2022-01-28,6,2022-02-03 00:00:00,4368.575000000001
2022-02-04,6,2022-02-10 00:00:00,888.4375
2022-02-11,6,2022-02-17 00:00:00,610.0124999999998
2022-02-18,6,2022-02-24 00:00:00,2954.68125
2022-02-25,6,2022-03-03 00:00:00,3582.5999999999985
2022-03-04,6,2022-03-10 00:00:00,1926.8875000000007
2022-03-11,6,2022-03-17 00:00:00,-719.875
2022-03-25,6,2022-03-31 00:00:00,2361.73125
2022-04-01,6,2022-04-07 00:00:00,1293.6250000000002
2022-04-08,5,2022-04-13 00:00:00,1179.9687500000005
2022-04-22,6,2022-04-28 00:00:00,683.1624999999997
2022-04-29,6,2022-05-05 00:00:00,-327.14999999999964
2022-05-06,6,2022-05-12 00:00:00,-811.6812499999996
2022-05-13,6,2022-05-19 00:00:00,2123.9312500000005
2022-05-20,6,2022-05-26 00:00:00,2247.1562499999995
2022-05-27,6,2022-06-02 00:00:00,1789.7124999999996
2022-06-03,6,2022-06-09 00:00:00,2153.175
2022-06-10,6,2022-06-16 00:00:00,-14917.4
2022-07-08,6,2022-07-14 00:00:00,1887.39375
2022-07-15,6,2022-07-21 00:00:00,-4913.54375
2022-07-22,6,2022-07-28 00:00:00,1538.3437499999998
2022-07-29,6,2022-08-04 00:00:00,1027.98125
2022-08-05,6,2022-08-11 00:00:00,1731.3374999999999
2022-08-12,6,2022-08-18 00:00:00,898.6499999999999
2022-08-19,6,2022-08-25 00:00:00,620.68125
2022-08-26,6,2022-09-01 00:00:00,-123.33125000000018
2022-09-02,6,2022-09-08 00:00:00,2073.7125
2022-09-09,6,2022-09-15 00:00:00,1282.44375
2022-09-16,6,2022-09-22 00:00:00,1485.2499999999998
2022-09-23,6,2022-09-29 00:00:00,1952.0062500000006
2022-09-30,6,2022-10-06 00:00:00,920.9937500000003
2022-10-07,6,2022-10-13 00:00:00,721.7250000000004
2022-10-14,6,2022-10-20 00:00:00,1458.0062500000001
2022-10-21,6,2022-10-27 00:00:00,1532.6625000000004
2022-10-28,6,2022-11-03 00:00:00,900.5062499999997
2022-11-04,6,2022-11-10 00:00:00,887.83125
2022-11-11,6,2022-11-17 00:00:00,1005.28125
2022-11-18,6,2022-11-24 00:00:00,976.65
2022-11-25,6,2022-12-01 00:00:00,40.100000000000136
2022-12-02,6,2022-12-08 00:00:00,1080.7875
2022-12-09,6,2022-12-15 00:00:00,1039.65
2022-12-16,6,2022-12-22 00:00:00,1190.2125
2022-12-23,6,2022-12-29 00:00:00,1701.65625
2022-12-30,6,2023-01-05 00:00:00,1319.9625000000003
2023-01-06,6,2023-01-12 00:00:00,891.3812499999999
2023-01-13,6,2023-01-19 00:00:00,1264.0125
2023-01-20,5,2023-01-25 00:00:00,830.8687500000002
2023-01-27,6,2023-02-02 00:00:00,2832.6749999999997
2023-02-03,6,2023-02-09 00:00:00,1681.2187499999995
2023-02-10,6,2023-02-16 00:00:00,466.8249999999998
2023-02-17,6,2023-02-23 00:00:00,-1466.0624999999998
2023-02-24,6,2023-03-02 00:00:00,1043.8125
2023-03-03,6,2023-03-09 00:00:00,455.3999999999998
2023-03-10,6,2023-03-16 00:00:00,-2902.687500000001
2023-03-17,6,2023-03-23 00:00:00,1286.2500000000005
2023-03-24,5,2023-03-29 00:00:00,1888.33125
2023-03-31,6,2023-04-06 00:00:00,1546.4625
2023-04-21,6,2023-04-27 00:00:00,730.0125000000003
2023-04-28,6,2023-05-04 00:00:00,270.3000000000001
2023-05-05,6,2023-05-11 00:00:00,505.85624999999976
2023-05-12,6,2023-05-18 00:00:00,826.6312500000001
2023-05-19,6,2023-05-25 00:00:00,439.8562500000001
2023-05-26,6,2023-06-01 00:00:00,639.1000000000001
2023-06-02,6,2023-06-08 00:00:00,1043.475
2023-06-09,6,2023-06-15 00:00:00,976.425
2023-06-16,6,2023-06-22 00:00:00,478.81249999999994
2023-06-23,6,2023-06-29 00:00:00,469.78125
2023-06-30,6,2023-07-06 00:00:00,-1568.1499999999996
2023-07-07,6,2023-07-13 00:00:00,939.39375
2023-07-14,6,2023-07-20 00:00:00,-7709.368750000001
2023-07-21,6,2023-07-27 00:00:00,1695.13125
2023-07-28,6,2023-08-03 00:00:00,1714.18125
2023-08-04,6,2023-08-10 00:00:00,1333.3875000000003
2023-08-11,6,2023-08-17 00:00:00,238.71875000000023
2023-08-18,6,2023-08-24 00:00:00,708.0750000000002
2023-08-25,6,2023-08-31 00:00:00,1025.4937499999999
2023-09-01,6,2023-09-07 00:00:00,790.1625000000001
2023-09-08,6,2023-09-14 00:00:00,310.98750000000007
2023-09-15,6,2023-09-21 00:00:00,-5366.587500000001
2023-09-22,6,2023-09-28 00:00:00,1341.0375
2023-09-29,6,2023-10-05 00:00:00,242.35625000000005
2023-10-06,6,2023-10-12 00:00:00,156.19375000000025
2023-10-13,6,2023-10-19 00:00:00,1440.9937499999999
2023-10-20,6,2023-10-26 00:00:00,-18254.38125
2023-10-27,6,2023-11-02 00:00:00,2354.7
2023-11-03,6,2023-11-09 00:00:00,791.2374999999998
2023-11-10,6,2023-11-16 00:00:00,-4904.65625
2023-11-17,6,2023-11-23 00:00:00,979.1062499999999
2023-11-24,6,2023-11-30 00:00:00,-19.787500000000023
2023-12-01,6,2023-12-07 00:00:00,-11989.587500000001
