Date,DaysToExpiry,ExpiryDate,PnL
2021-06-11,6,2021-06-17 00:00:00,-718.95
2021-06-18,6,2021-06-24 00:00:00,-628.0874999999992
2021-06-25,6,2021-07-01 00:00:00,1088.7000000000003
2021-07-02,6,2021-07-08 00:00:00,-11.9375
2021-07-09,6,2021-07-15 00:00:00,1466.5500000000002
2021-07-16,6,2021-07-22 00:00:00,-1937.2499999999998
2021-07-23,6,2021-07-29 00:00:00,-876.2750000000001
2021-07-30,6,2021-08-05 00:00:00,-3595.6875
2021-08-06,6,2021-08-12 00:00:00,1351.0
2021-08-13,5,2021-08-18 00:00:00,1268.7499999999998
2021-08-20,6,2021-08-26 00:00:00,-2113.2375000000006
2021-08-27,6,2021-09-02 00:00:00,-4097.0875
2021-09-03,6,2021-09-09 00:00:00,1483.6999999999998
2021-09-17,6,2021-09-23 00:00:00,-96.88750000000027
2021-09-24,6,2021-09-30 00:00:00,1706.6749999999997
2021-10-01,6,2021-10-07 00:00:00,349.9000000000001
2021-10-08,6,2021-10-14 00:00:00,1090.925
2021-10-22,6,2021-10-28 00:00:00,2368.675
2021-10-29,5,2021-11-03 00:00:00,-2839.0250000000005
2021-11-12,6,2021-11-18 00:00:00,1564.25
2021-11-26,6,2021-12-02 00:00:00,-493.0000000000009
2021-12-03,6,2021-12-09 00:00:00,-750.8000000000002
2021-12-10,6,2021-12-16 00:00:00,1059.975
2021-12-17,6,2021-12-23 00:00:00,-783.8624999999993
2021-12-24,6,2021-12-30 00:00:00,-789.6625000000004
2021-12-31,6,2022-01-06 00:00:00,670.9375000000002
2022-01-07,6,2022-01-13 00:00:00,-76.08750000000055
2022-01-14,6,2022-01-20 00:00:00,1621.15
2022-01-21,6,2022-01-27 00:00:00,-77.13750000000027
2022-01-28,6,2022-02-03 00:00:00,313.1124999999993
2022-02-04,6,2022-02-10 00:00:00,-1180.5
2022-02-11,6,2022-02-17 00:00:00,-2115.6500000000005
2022-02-18,6,2022-02-24 00:00:00,3464.875
2022-02-25,6,2022-03-03 00:00:00,4660.65
