Date,vix,Position,Action,PE_Long_Time,PE_Short_Time,CE_Short_Time,CE_Long_Time,Index Value,PE_Long_Strike,PE_Short_Strike,CE_Short_Strike,CE_Long_Strike,ExpiryDate,DaysToExpiry,Day,PE_Long_Premium,PE_Short_Premium,CE_Short_Premium,CE_Long_Premium,PE_Long_Stoploss,PE_Short_Stoploss,CE_Short_Stoploss,CE_Long_Stoploss,PE_Short_target,CE_Short_target,PE_Long_Exit,PE_Short_Exit,CE_Short_Exit,CE_Long_Exit,Premium
2024-06-03,20.26,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23135.6,21900.0,22650,23650,24500,2024-06-06 00:00:00,3,Monday,46.05,138.4,145.25,46.8,0,346.0,363.125,0,27.680000000000003,29.05,,,,,381.6
2024-06-03,,0,Long,2024-06-04 09:23:00,2024-06-04 09:23:00,2024-06-06 15:00:00,2024-06-06 15:00:00,,21900.0,22650,23650,24500,2024-06-06 00:00:00,3,Monday,"[187.6, 0.05]","[436.05, 1.6]","[29.45, 29.45]","[0.05, 0.05]",0,,,0,,,Exit,SL hit,Universal exit,Exit,-308.8
2024-06-10,16.89,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23399.65,22550.0,22950,23850,24200,2024-06-13 00:00:00,3,Monday,18.25,55.9,43.65,13.2,0,139.75,109.125,0,11.18,8.73,,,,,136.2
2024-06-10,,0,Long,2024-06-12 09:53:00,2024-06-12 09:53:00,2024-06-11 09:34:00,2024-06-11 09:34:00,,22550.0,22950,23850,24200,2024-06-13 00:00:00,3,Monday,"[2.0, 2.0]","[11.0, 11.0]","[7.8, 7.8]","[1.85, 1.85]",0,,,0,,,Exit,Target hit,Target hit,Exit,-29.9
2024-06-24,13.55,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23411.0,22800.0,23050,23750,23950,2024-06-27 00:00:00,3,Monday,7.75,26.45,21.65,7.15,0,66.125,54.125,0,5.29,4.33,,,,,66.39999999999999
2024-06-24,,0,Long,2024-06-26 09:16:00,2024-06-26 09:16:00,2024-06-25 12:33:00,2024-06-25 12:33:00,,22800.0,23050,23750,23950,2024-06-27 00:00:00,3,Monday,"[2.0, 2.0]","[4.5, 4.5]","[55.95, 282.15]","[10.4, 87.8]",0,,,0,,,Exit,Target hit,SL hit,Exit,-244.9
2024-07-01,14.03,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24042.7,23450.0,23700,24400,24600,2024-07-04 00:00:00,3,Monday,11.6,33.15,28.7,9.3,0,82.875,71.75,0,6.63,5.74,,,,,81.89999999999999
2024-07-01,,0,Long,2024-07-03 09:16:00,2024-07-03 09:16:00,2024-07-04 13:04:00,2024-07-04 13:04:00,,23450.0,23700,24400,24600,2024-07-04 00:00:00,3,Monday,"[2.0, 2.0]","[4.7, 4.7]","[4.75, 4.75]","[0.5, 0.5]",0,,,0,,,Exit,Target hit,Target hit,Exit,-13.9
2024-07-08,13.3,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24324.0,23700.0,23950,24650,24800,2024-07-11 00:00:00,3,Monday,5.55,17.65,16.2,5.45,0,44.125,40.5,0,3.53,3.24,,,,,45.69999999999999
2024-07-08,,0,Long,2024-07-10 15:17:00,2024-07-10 15:17:00,2024-07-10 13:27:00,2024-07-10 13:27:00,,23700.0,23950,24650,24800,2024-07-11 00:00:00,3,Monday,"[0.65, 0.65]","[3.5, 3.5]","[3.2, 3.2]","[1.5, 1.5]",0,,,0,,,Exit,Target hit,Target hit,Exit,-9.1
2024-07-15,14.22,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24567.6,23900.0,24150,24950,25100,2024-07-18 00:00:00,3,Monday,4.85,14.4,8.0,2.65,0,36.0,20.0,0,2.8800000000000003,1.6,,,,,29.8
2024-07-15,,0,Long,2024-07-16 14:46:00,2024-07-16 14:46:00,2024-07-16 15:22:00,2024-07-16 15:22:00,,23900.0,24150,24950,25100,2024-07-18 00:00:00,3,Monday,"[1.45, 1.45]","[2.75, 2.75]","[1.5, 1.5]","[0.55, 0.55]",0,,,0,,,Exit,Target hit,Target hit,Exit,-4.5
