Date,vix,Position,Action,PE_Long_Time,PE_Short_Time,CE_Short_Time,CE_Long_Time,Index Value,PE_Long_Strike,PE_Short_Strike,CE_Short_Strike,CE_Long_Strike,ExpiryDate,DaysToExpiry,Day,PE_Long_Premium,PE_Short_Premium,CE_Short_Premium,CE_Long_Premium,PE_Long_Stoploss,PE_Short_Stoploss,CE_Short_Stoploss,CE_Long_Stoploss,PE_Short_target,CE_Short_target,PE_Long_Exit,PE_Short_Exit,CE_Short_Exit,CE_Long_Exit,Premium
2024-06-03,20.47,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,23222.8,22250.0,22700,23700,24200,2024-06-06 00:00:00,3,Monday,62.25,123.4,141.55,71.75,0,308.5,353.875,0,24.680000000000003,28.31,,,,,130.95000000000005
2024-06-03,,0,Long,2024-06-04 09:20:00,2024-06-04 09:20:00,2024-06-04 15:23:00,2024-06-04 15:23:00,,22250.0,22700,23700,24200,2024-06-06 00:00:00,3,Monday,"[164.75, 0.2]","[310.8, 3.25]","[28.05, 28.05]","[18.2, 18.2]",0,,,0,,,Exit,SL hit,Target hit,Exit,-155.90000000000003
2024-06-10,16.18,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,23261.7,22650.0,22850,23650,23800,2024-06-13 00:00:00,3,Monday,26.2,53.05,37.65,19.9,0,132.625,94.125,0,10.61,7.53,,,,,44.6
2024-06-10,,0,Long,2024-06-12 09:16:00,2024-06-12 09:16:00,2024-06-12 13:51:00,2024-06-12 13:51:00,,22650.0,22850,23650,23800,2024-06-13 00:00:00,3,Monday,"[3.45, 3.45]","[9.45, 9.45]","[6.6, 6.6]","[1.95, 1.95]",0,,,0,,,Exit,Target hit,Target hit,Exit,-10.649999999999997
2024-06-24,14.18,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,23528.3,23050.0,23200,23900,24000,2024-06-27 00:00:00,3,Monday,13.9,27.55,13.8,7.4,0,68.875,34.5,0,5.510000000000001,2.76,,,,,20.05
2024-06-24,,0,Long,2024-06-26 10:26:00,2024-06-26 10:26:00,2024-06-25 13:18:00,2024-06-25 13:18:00,,23050.0,23200,23900,24000,2024-06-27 00:00:00,3,Monday,"[3.25, 3.25]","[5.3, 5.3]","[36.75, 134.9]","[17.8, 44.05]",0,,,0,,,Exit,Target hit,SL hit,Exit,-21.0
2024-07-01,13.9,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,24130.8,23650.0,23800,24500,24600,2024-07-04 00:00:00,3,Monday,15.5,29.95,15.55,7.15,0,74.875,38.875,0,5.99,3.1100000000000003,,,,,22.85
2024-07-01,,0,Long,2024-07-03 10:28:00,2024-07-03 10:28:00,2024-07-04 10:47:00,2024-07-04 10:47:00,,23650.0,23800,24500,24600,2024-07-04 00:00:00,3,Monday,"[3.6, 3.6]","[5.75, 5.75]","[3.1, 3.1]","[1.05, 1.05]",0,,,0,,,Exit,Target hit,Target hit,Exit,-4.199999999999999
2024-07-08,13.67,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,24308.4,23850.0,23950,24650,24750,2024-07-11 00:00:00,3,Monday,7.9,14.25,10.65,4.4,0,35.625,26.625,0,2.85,2.1300000000000003,,,,,12.599999999999998
2024-07-08,,0,Long,2024-07-11 09:15:00,2024-07-11 09:15:00,2024-07-10 15:20:00,2024-07-10 15:20:00,,23850.0,23950,24650,24750,2024-07-11 00:00:00,3,Monday,"[0.9, 0.9]","[1.8, 1.8]","[2.1, 2.1]","[0.85, 0.85]",0,,,0,,,Exit,Target hit,Target hit,Exit,-2.1500000000000004
2024-07-15,14.13,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,24613.75,24050.0,24200,25000,25100,2024-07-18 00:00:00,3,Monday,6.0,11.85,4.7,2.1,0,29.625,11.75,0,2.37,0.94,,,,,8.450000000000001
2024-07-15,,0,Long,2024-07-18 09:19:00,2024-07-18 09:19:00,2024-07-18 09:15:00,2024-07-18 09:15:00,,24050.0,24200,25000,25100,2024-07-18 00:00:00,3,Monday,"[0.9, 0.9]","[2.35, 2.35]","[0.75, 0.75]","[1.0, 1.0]",0,,,0,,,Exit,Target hit,Target hit,Exit,-1.2000000000000002
2024-07-22,15.35,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,24509.4,23800.0,24100,24900,25150,2024-07-25 00:00:00,3,Monday,35.95,73.25,77.5,36.0,0,183.125,193.75,0,14.65,15.5,,,,,78.8
2024-07-22,,0,Long,2024-07-23 12:23:00,2024-07-23 12:23:00,2024-07-23 12:32:00,2024-07-23 12:32:00,,23800.0,24100,24900,25150,2024-07-25 00:00:00,3,Monday,"[93.25, 0.1]","[186.3, 0.25]","[14.55, 14.55]","[7.25, 7.25]",0,,,0,,,Exit,SL hit,Target hit,Exit,-100.35000000000002
2024-07-29,13.07,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,24824.4,24300.0,24450,25150,25250,2024-08-01 00:00:00,3,Monday,10.8,20.2,25.1,13.9,0,50.5,62.75,0,4.04,5.0200000000000005,,,,,20.599999999999994
2024-07-29,,0,Long,2024-08-01 09:15:00,2024-08-01 09:15:00,2024-08-01 10:50:00,2024-08-01 10:50:00,,24300.0,24450,25150,25250,2024-08-01 00:00:00,3,Monday,"[1.05, 1.05]","[2.8, 2.8]","[4.95, 4.95]","[1.55, 1.55]",0,,,0,,,Exit,Target hit,Target hit,Exit,-5.15
2024-08-05,20.58,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,24027.35,23000.0,23500,24600,24800,2024-08-08 00:00:00,3,Monday,45.5,90.65,24.75,12.7,0,226.625,61.875,0,18.130000000000003,4.95,,,,,57.2
2024-08-05,,0,Long,2024-08-06 09:16:00,2024-08-06 09:16:00,2024-08-07 14:06:00,2024-08-07 14:06:00,,23000.0,23500,24600,24800,2024-08-08 00:00:00,3,Monday,"[8.0, 8.0]","[15.8, 15.8]","[4.8, 4.8]","[1.2, 1.2]",0,,,0,,,Exit,Target hit,Target hit,Exit,-11.400000000000002
2024-08-12,15.68,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,24407.9,23900.0,24050,24750,24850,2024-08-14 00:00:00,2,Monday,13.6,25.75,11.7,5.55,0,64.375,29.25,0,5.15,2.34,,,,,18.300000000000004
2024-08-12,,0,Long,2024-08-13 14:08:00,2024-08-13 14:08:00,2024-08-13 15:18:00,2024-08-13 15:18:00,,23900.0,24050,24750,24850,2024-08-14 00:00:00,2,Monday,"[24.1, 0.35]","[64.45, 0.7]","[2.25, 2.25]","[1.85, 1.85]",0,,,0,,,Exit,SL hit,Target hit,Exit,-40.75
2024-08-19,14.32,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,24584.25,24050.0,24200,25000,25100,2024-08-22 00:00:00,3,Monday,8.4,17.05,6.25,3.1,0,42.625,15.625,0,3.41,1.25,,,,,11.8
2024-08-19,,0,Long,2024-08-21 09:16:00,2024-08-21 09:16:00,2024-08-22 12:07:00,2024-08-22 12:07:00,,24050.0,24200,25000,25100,2024-08-22 00:00:00,3,Monday,"[2.3, 2.3]","[3.4, 3.4]","[1.25, 1.25]","[0.5, 0.5]",0,,,0,,,Exit,Target hit,Target hit,Exit,-1.8500000000000003
2024-08-26,13.89,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,25023.65,24350.0,24600,25400,25500,2024-08-29 00:00:00,3,Monday,5.6,10.8,7.6,3.9,0,27.0,19.0,0,2.16,1.52,,,,,8.899999999999999
2024-08-26,,0,Long,2024-08-28 13:58:00,2024-08-28 13:58:00,2024-08-28 14:31:00,2024-08-28 14:31:00,,24350.0,24600,25400,25500,2024-08-29 00:00:00,3,Monday,"[1.45, 1.45]","[2.15, 2.15]","[1.3, 1.3]","[0.75, 0.75]",0,,,0,,,Exit,Target hit,Target hit,Exit,-1.25
2024-09-02,14.08,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,25260.65,24700.0,24850,25650,25800,2024-09-05 00:00:00,3,Monday,7.75,15.35,6.75,3.0,0,38.375,16.875,0,3.0700000000000003,1.35,,,,,11.35
2024-09-02,,0,Long,2024-09-05 09:15:00,2024-09-05 09:15:00,2024-09-04 09:15:00,2024-09-04 09:15:00,,24700.0,24850,25650,25800,2024-09-05 00:00:00,3,Monday,"[0.4, 0.4]","[2.0, 2.0]","[1.0, 1.0]","[1.2, 1.2]",0,,,0,,,Exit,Target hit,Target hit,Exit,-1.4
2024-09-09,14.45,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,24869.0,24300.0,24450,25250,25350,2024-09-12 00:00:00,3,Monday,7.4,14.45,14.6,7.8,0,36.125,36.5,0,2.89,2.92,,,,,13.849999999999998
2024-09-09,,0,Long,2024-09-10 15:12:00,2024-09-10 15:12:00,2024-09-11 15:29:00,2024-09-11 15:29:00,,24300.0,24450,25250,25350,2024-09-12 00:00:00,3,Monday,"[2.2, 2.2]","[2.85, 2.85]","[2.9, 2.9]","[1.4, 1.4]",0,,,0,,,Exit,Target hit,Target hit,Exit,-2.15
2024-09-16,12.51,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,25395.1,24850.0,25050,25750,25850,2024-09-19 00:00:00,3,Monday,9.25,20.05,11.85,5.85,0,50.125,29.625,0,4.010000000000001,2.37,,,,,16.799999999999997
2024-09-16,,0,Long,2024-09-19 09:16:00,2024-09-19 09:16:00,2024-09-19 10:42:00,2024-09-19 10:42:00,,24850.0,25050,25750,25850,2024-09-19 00:00:00,3,Monday,"[0.9, 0.9]","[1.9, 1.9]","[2.35, 2.35]","[1.25, 1.25]",0,,,0,,,Exit,Target hit,Target hit,Exit,-2.1
2024-09-23,13.98,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,25927.8,25250.0,25550,26350,26500,2024-09-26 00:00:00,3,Monday,15.35,30.7,14.55,7.4,0,76.75,36.375,0,6.140000000000001,2.91,,,,,22.5
2024-09-23,,0,Long,2024-09-25 14:13:00,2024-09-25 14:13:00,2024-09-25 12:09:00,2024-09-25 12:09:00,,25250.0,25550,26350,26500,2024-09-26 00:00:00,3,Monday,"[2.85, 2.85]","[6.1, 6.1]","[2.8, 2.8]","[2.1, 2.1]",0,,,0,,,Exit,Target hit,Target hit,Exit,-3.9499999999999984
2024-09-30,12.99,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,25809.35,25250.0,25450,26150,26300,2024-10-03 00:00:00,3,Monday,13.25,27.1,30.0,16.4,0,67.75,75.0,0,5.420000000000001,6.0,,,,,27.450000000000003
