Date,vix,Position,Action,PE_Long_Time,PE_Short_Time,CE_Short_Time,CE_Long_Time,Index Value,PE_Long_Strike,PE_Short_Strike,CE_Short_Strike,CE_Long_Strike,ExpiryDate,DaysToExpiry,Day,PE_Long_Premium,PE_Short_Premium,CE_Short_Premium,CE_Long_Premium,PE_Long_Stoploss,PE_Short_Stoploss,CE_Short_Stoploss,CE_Long_Stoploss,PE_Short_target,CE_Short_target,PE_Long_Exit,PE_Short_Exit,CE_Short_Exit,CE_Long_Exit,Premium
2024-06-03,20.26,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23135.6,22150,22650,23650,24150,2024-06-06 00:00:00,3,Monday,64.9,138.4,145.25,71.05,0,346.0,363.125,0,27.680000000000003,29.05,,,,,295.4
2024-06-03,,0,Long,2024-06-04 09:23:00,2024-06-04 09:23:00,2024-06-06 15:00:00,2024-06-06 15:00:00,,22150,22650,23650,24150,2024-06-06 00:00:00,3,Monday,"[253.5, 0.15]","[436.05, 1.6]","[29.45, 29.45]","[13.8, 13.8]",0,,,0,,,Exit,SL hit,Universal exit,Exit,-215.3
2024-06-10,16.89,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23399.65,22450,22950,23850,24350,2024-06-13 00:00:00,3,Monday,14.05,55.9,43.65,8.1,0,139.75,109.125,0,11.18,8.73,,,,,154.8
2024-06-10,,0,Long,2024-06-12 09:53:00,2024-06-12 09:53:00,2024-06-11 09:34:00,2024-06-11 09:34:00,,22450,22950,23850,24350,2024-06-13 00:00:00,3,Monday,"[1.45, 1.45]","[11.0, 11.0]","[7.8, 7.8]","[1.5, 1.5]",0,,,0,,,Exit,Target hit,Target hit,Exit,-31.700000000000003
2024-06-24,13.55,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23411.0,22550,23050,23750,24250,2024-06-27 00:00:00,3,Monday,3.15,26.45,21.65,2.1,0,66.125,54.125,0,5.29,4.33,,,,,85.69999999999999
2024-06-24,,0,Long,2024-06-26 09:16:00,2024-06-26 09:16:00,2024-06-25 12:33:00,2024-06-25 12:33:00,,22550,23050,23750,24250,2024-06-27 00:00:00,3,Monday,"[1.65, 1.65]","[4.5, 4.5]","[55.95, 282.15]","[1.05, 0.15]",0,,,0,,,Exit,Target hit,SL hit,Exit,-342.6
2024-07-01,14.03,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24042.7,23200,23700,24400,24900,2024-07-04 00:00:00,3,Monday,5.15,33.15,28.7,2.55,0,82.875,71.75,0,6.63,5.74,,,,,108.29999999999998
2024-07-01,,0,Long,2024-07-03 09:16:00,2024-07-03 09:16:00,2024-07-04 13:04:00,2024-07-04 13:04:00,,23200,23700,24400,24900,2024-07-04 00:00:00,3,Monday,"[1.15, 1.15]","[4.7, 4.7]","[4.75, 4.75]","[0.25, 0.25]",0,,,0,,,Exit,Target hit,Target hit,Exit,-16.099999999999998
2024-07-08,13.3,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24324.0,23450,23950,24650,25150,2024-07-11 00:00:00,3,Monday,2.6,17.65,16.2,1.5,0,44.125,40.5,0,3.53,3.24,,,,,59.49999999999999
2024-07-08,,0,Long,2024-07-10 15:17:00,2024-07-10 15:17:00,2024-07-10 13:27:00,2024-07-10 13:27:00,,23450,23950,24650,25150,2024-07-11 00:00:00,3,Monday,"[0.35, 0.35]","[3.5, 3.5]","[3.2, 3.2]","[0.8, 0.8]",0,,,0,,,Exit,Target hit,Target hit,Exit,-11.1
2024-07-15,14.22,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24567.6,23650,24150,24950,25450,2024-07-18 00:00:00,3,Monday,2.45,14.4,8.0,0.8,0,36.0,20.0,0,2.8800000000000003,1.6,,,,,38.3
2024-07-15,,0,Long,2024-07-16 14:46:00,2024-07-16 14:46:00,2024-07-16 15:22:00,2024-07-16 15:22:00,,23650,24150,24950,25450,2024-07-18 00:00:00,3,Monday,"[0.9, 0.9]","[2.75, 2.75]","[1.5, 1.5]","[0.2, 0.2]",0,,,0,,,Exit,Target hit,Target hit,Exit,-6.3
2024-07-22,15.34,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24468.25,23550,24050,24850,25350,2024-07-25 00:00:00,3,Monday,22.2,84.2,95.2,20.8,0,210.5,238.0,0,16.84,19.040000000000003,,,,,272.8
2024-07-22,,0,Long,2024-07-23 14:39:00,2024-07-23 14:39:00,2024-07-23 12:32:00,2024-07-23 12:32:00,,23550,24050,24850,25350,2024-07-25 00:00:00,3,Monday,"[5.05, 5.05]","[16.75, 16.75]","[16.75, 16.75]","[4.6, 4.6]",0,,,0,,,Exit,Target hit,Target hit,Exit,-47.7
2024-07-29,12.85,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24916.35,24050,24550,25250,25750,2024-08-01 00:00:00,3,Monday,5.15,24.65,21.3,2.3,0,61.625,53.25,0,4.93,4.260000000000001,,,,,77.0
2024-07-29,,0,Long,2024-08-01 09:15:00,2024-08-01 09:15:00,2024-08-01 09:15:00,2024-08-01 09:15:00,,24050,24550,25250,25750,2024-08-01 00:00:00,3,Monday,"[0.7, 0.7]","[3.5, 3.5]","[3.5, 3.5]","[0.4, 0.4]",0,,,0,,,Exit,Target hit,Target hit,Exit,-11.8
2024-08-05,17.07,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24215.5,23250,23750,24650,25150,2024-08-08 00:00:00,3,Monday,17.55,45.65,36.45,7.5,0,114.125,91.125,0,9.13,7.290000000000001,,,,,114.1
2024-08-05,,0,Long,2024-08-05 11:03:00,2024-08-05 11:03:00,2024-08-06 14:11:00,2024-08-06 14:11:00,,23250,23750,24650,25150,2024-08-08 00:00:00,3,Monday,"[60.0, 0.1]","[120.8, 0.15]","[7.25, 7.25]","[3.55, 3.55]",0,,,0,,,Exit,SL hit,Target hit,Exit,-68.24999999999999
2024-08-12,16.28,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24274.7,23400,23900,24600,25100,2024-08-14 00:00:00,2,Monday,8.25,34.55,29.6,1.9,0,86.375,74.0,0,6.91,5.920000000000001,,,,,108.0
2024-08-12,,0,Long,2024-08-13 10:51:00,2024-08-13 10:51:00,2024-08-12 11:19:00,2024-08-12 11:19:00,,23400,23900,24600,25100,2024-08-14 00:00:00,2,Monday,"[1.4, 1.4]","[6.6, 6.6]","[75.0, 0.2]","[2.5, 0.05]",0,,,0,,,Exit,Target hit,SL hit,Exit,-83.05000000000001
2024-08-19,14.37,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24582.5,23700,24200,25000,25500,2024-08-22 00:00:00,3,Monday,4.85,24.15,9.0,1.25,0,60.375,22.5,0,4.83,1.8,,,,,54.1
2024-08-19,,0,Long,2024-08-20 13:44:00,2024-08-20 13:44:00,2024-08-22 11:07:00,2024-08-22 11:07:00,,23700,24200,25000,25500,2024-08-22 00:00:00,3,Monday,"[1.85, 1.85]","[4.8, 4.8]","[1.8, 1.8]","[0.25, 0.25]",0,,,0,,,Exit,Target hit,Target hit,Exit,-9.0
2024-08-26,13.7,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24919.25,24050,24550,25250,25750,2024-08-29 00:00:00,3,Monday,3.5,16.55,13.85,1.3,0,41.375,34.625,0,3.3100000000000005,2.77,,,,,51.2
2024-08-26,,0,Long,2024-08-28 09:16:00,2024-08-28 09:16:00,2024-08-26 10:19:00,2024-08-26 10:19:00,,24050,24550,25250,25750,2024-08-29 00:00:00,3,Monday,"[1.3, 1.3]","[2.75, 2.75]","[41.8, 3.1]","[1.6, 0.05]",0,,,0,,,Exit,Target hit,SL hit,Exit,-46.15
2024-09-02,13.62,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,25305.25,24450,24950,25650,26150,2024-09-05 00:00:00,3,Monday,5.2,20.4,14.55,1.35,0,51.0,36.375,0,4.08,2.91,,,,,56.8
2024-09-02,,0,Long,2024-09-05 09:15:00,2024-09-05 09:15:00,2024-09-03 15:30:00,2024-09-03 15:30:00,,24450,24950,25650,26150,2024-09-05 00:00:00,3,Monday,"[0.5, 0.5]","[3.0, 3.0]","[2.9, 2.9]","[0.15, 0.15]",0,,,0,,,Exit,Target hit,Target hit,Exit,-10.5
2024-09-09,15.33,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24754.95,23850,24350,25150,25650,2024-09-12 00:00:00,3,Monday,6.35,25.4,22.3,3.1,0,63.5,55.75,0,5.08,4.46,,,,,76.5
2024-09-09,,0,Long,2024-09-10 09:15:00,2024-09-10 09:15:00,2024-09-10 12:56:00,2024-09-10 12:56:00,,23850,24350,25150,25650,2024-09-12 00:00:00,3,Monday,"[1.8, 1.8]","[4.0, 4.0]","[55.9, 188.7]","[1.5, 0.2]",0,,,0,,,Exit,Target hit,SL hit,Exit,-247.3
2024-09-16,12.77,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,25397.35,24550,25050,25750,26250,2024-09-19 00:00:00,3,Monday,5.55,24.6,15.9,2.25,0,61.5,39.75,0,4.920000000000001,3.18,,,,,65.4
2024-09-16,,0,Long,2024-09-19 09:16:00,2024-09-19 09:16:00,2024-09-19 10:35:00,2024-09-19 10:35:00,,24550,25050,25750,26250,2024-09-19 00:00:00,3,Monday,"[0.6, 0.6]","[1.9, 1.9]","[3.05, 3.05]","[0.45, 0.45]",0,,,0,,,Exit,Target hit,Target hit,Exit,-7.799999999999999
2024-09-23,13.59,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,25892.75,25000,25500,26300,26800,2024-09-26 00:00:00,3,Monday,16.05,43.45,20.75,3.25,0,108.625,51.875,0,8.690000000000001,4.15,,,,,89.80000000000001
2024-09-23,,0,Long,2024-09-25 09:20:00,2024-09-25 09:20:00,2024-09-25 11:43:00,2024-09-25 11:43:00,,25000,25500,26300,26800,2024-09-26 00:00:00,3,Monday,"[1.95, 1.95]","[8.45, 8.45]","[4.15, 4.15]","[1.8, 1.8]",0,,,0,,,Exit,Target hit,Target hit,Exit,-17.7
2024-09-30,12.6,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,26064.85,25200,25700,26400,26900,2024-10-03 00:00:00,3,Monday,4.8,22.05,23.3,2.95,0,55.125,58.25,0,4.41,4.66,,,,,75.2
2024-09-30,,0,Long,2024-09-30 13:10:00,2024-09-30 13:10:00,2024-10-01 09:53:00,2024-10-01 09:53:00,,25200,25700,26400,26900,2024-10-03 00:00:00,3,Monday,"[7.3, 1.35]","[55.25, 443.85]","[4.6, 4.6]","[1.75, 1.75]",0,,,0,,,Exit,SL hit,Target hit,Exit,-496.15
2024-02-05,15.8,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,21902.5,21050,21550,22250,22750,2024-02-08 00:00:00,3,Monday,7.35,43.05,44.6,4.1,0,107.625,111.5,0,8.61,8.92,,,,,152.4
2024-02-05,,0,Long,2024-02-07 13:22:00,2024-02-07 13:22:00,2024-02-07 11:32:00,2024-02-07 11:32:00,,21050,21550,22250,22750,2024-02-08 00:00:00,3,Monday,"[1.0, 1.0]","[8.45, 8.45]","[8.35, 8.35]","[1.1, 1.1]",0,,,0,,,Exit,Target hit,Target hit,Exit,-29.399999999999995
2024-02-12,16.12,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,21800.95,20900,21400,22200,22700,2024-02-15 00:00:00,3,Monday,4.2,31.3,22.0,2.05,0,78.25,55.0,0,6.260000000000001,4.4,,,,,94.1
2024-02-12,,0,Long,2024-02-12 13:03:00,2024-02-12 13:03:00,2024-02-13 11:48:00,2024-02-13 11:48:00,,20900,21400,22200,22700,2024-02-15 00:00:00,3,Monday,"[9.15, 0.05]","[78.7, 0.15]","[4.4, 4.4]","[1.2, 1.2]",0,,,0,,,Exit,SL hit,Target hit,Exit,-76.05000000000001
2024-02-19,16.0,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,22070.9,21150,21650,22450,22950,2024-02-22 00:00:00,3,Monday,4.2,31.5,21.4,1.9,0,78.75,53.5,0,6.300000000000001,4.28,,,,,93.6
2024-02-19,,0,Long,2024-02-21 09:17:00,2024-02-21 09:17:00,2024-02-21 14:10:00,2024-02-21 14:10:00,,21150,21650,22450,22950,2024-02-22 00:00:00,3,Monday,"[1.45, 1.45]","[6.25, 6.25]","[4.25, 4.25]","[0.75, 0.75]",0,,,0,,,Exit,Target hit,Target hit,Exit,-16.6
2024-02-26,15.67,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,22180.4,21300,21800,22600,23100,2024-02-29 00:00:00,3,Monday,3.3,30.15,19.45,2.3,0,75.375,48.625,0,6.03,3.89,,,,,87.99999999999999
2024-02-26,,0,Long,2024-02-29 13:03:00,2024-02-29 13:03:00,2024-02-28 09:28:00,2024-02-28 09:28:00,,21300,21800,22600,23100,2024-02-29 00:00:00,3,Monday,"[0.4, 0.4]","[5.95, 5.95]","[3.85, 3.85]","[0.85, 0.85]",0,,,0,,,Exit,Target hit,Target hit,Exit,-17.1
2024-03-04,15.26,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,22381.05,21550,22050,22750,23250,2024-03-07 00:00:00,3,Monday,6.4,40.1,21.45,1.7,0,100.25,53.625,0,8.020000000000001,4.29,,,,,106.9
2024-03-04,,0,Long,2024-03-06 13:52:00,2024-03-06 13:52:00,2024-03-05 10:21:00,2024-03-05 10:21:00,,21550,22050,22750,23250,2024-03-07 00:00:00,3,Monday,"[1.85, 1.85]","[7.6, 7.6]","[4.15, 4.15]","[1.2, 1.2]",0,,,0,,,Exit,Target hit,Target hit,Exit,-17.4
2024-03-11,14.33,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,22486.1,21650,22150,22850,23350,2024-03-14 00:00:00,3,Monday,3.45,30.25,16.3,1.55,0,75.625,40.75,0,6.050000000000001,3.26,,,,,83.1
2024-03-11,,0,Long,2024-03-13 11:31:00,2024-03-13 11:31:00,2024-03-12 10:46:00,2024-03-12 10:46:00,,21650,22150,22850,23350,2024-03-14 00:00:00,3,Monday,"[2.45, 0.15]","[83.65, 18.4]","[3.05, 3.05]","[0.75, 0.75]",0,,,0,,,Exit,SL hit,Target hit,Exit,-104.05
2024-03-18,14.33,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,22030.45,21200,21700,22400,22900,2024-03-21 00:00:00,3,Monday,4.05,34.85,26.45,2.1,0,87.125,66.125,0,6.970000000000001,5.29,,,,,110.3
2024-03-18,,0,Long,2024-03-21 09:16:00,2024-03-21 09:16:00,2024-03-19 13:24:00,2024-03-19 13:24:00,,21200,21700,22400,22900,2024-03-21 00:00:00,3,Monday,"[0.4, 0.4]","[3.35, 3.35]","[5.25, 5.25]","[1.35, 1.35]",0,,,0,,,Exit,Target hit,Target hit,Exit,-13.7
2024-04-01,12.75,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,22493.45,21700,22200,22800,23300,2024-04-04 00:00:00,3,Monday,3.6,34.35,29.25,2.25,0,85.875,73.125,0,6.870000000000001,5.8500000000000005,,,,,115.5
2024-04-01,,0,Long,2024-04-03 12:15:00,2024-04-03 12:15:00,2024-04-02 10:55:00,2024-04-02 10:55:00,,21700,22200,22800,23300,2024-04-04 00:00:00,3,Monday,"[1.55, 1.55]","[6.65, 6.65]","[5.85, 5.85]","[1.1, 1.1]",0,,,0,,,Exit,Target hit,Target hit,Exit,-19.7
2024-04-08,11.63,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,22584.0,21850,22350,22850,23350,2024-04-10 00:00:00,2,Monday,3.3,31.35,16.35,1.05,0,78.375,40.875,0,6.2700000000000005,3.2700000000000005,,,,,86.7
2024-04-08,,0,Long,2024-04-09 10:39:00,2024-04-09 10:39:00,2024-04-10 10:58:00,2024-04-10 10:58:00,,21850,22350,22850,23350,2024-04-10 00:00:00,2,Monday,"[2.5, 2.5]","[6.15, 6.15]","[3.25, 3.25]","[0.6, 0.6]",0,,,0,,,Exit,Target hit,Target hit,Exit,-12.6
2024-04-15,12.43,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,22328.05,21550,22050,22650,23150,2024-04-18 00:00:00,3,Monday,6.65,32.35,32.1,1.8,0,80.875,80.25,0,6.470000000000001,6.420000000000001,,,,,112.0
2024-04-15,,0,Long,2024-04-18 09:21:00,2024-04-18 09:21:00,2024-04-16 09:16:00,2024-04-16 09:16:00,,21550,22050,22650,23150,2024-04-18 00:00:00,3,Monday,"[0.6, 0.6]","[6.4, 6.4]","[5.75, 5.75]","[1.8, 1.8]",0,,,0,,,Exit,Target hit,Target hit,Exit,-19.5
2024-04-22,13.11,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,22246.85,21450,21950,22550,23050,2024-04-25 00:00:00,3,Monday,8.55,45.45,23.0,1.65,0,113.625,57.5,0,9.090000000000002,4.6000000000000005,,,,,116.5
2024-04-22,,0,Long,2024-04-23 11:31:00,2024-04-23 11:31:00,2024-04-25 09:15:00,2024-04-25 09:15:00,,21450,21950,22550,23050,2024-04-25 00:00:00,3,Monday,"[2.85, 2.85]","[8.95, 8.95]","[4.0, 4.0]","[0.4, 0.4]",0,,,0,,,Exit,Target hit,Target hit,Exit,-19.4
2024-04-29,11.95,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,22510.2,21700,22200,22800,23300,2024-05-02 00:00:00,3,Monday,2.5,19.65,28.05,1.75,0,49.125,70.125,0,3.93,5.61,,,,,86.9
2024-04-29,,0,Long,2024-04-30 14:47:00,2024-04-30 14:47:00,2024-04-30 10:04:00,2024-04-30 10:04:00,,21700,22200,22800,23300,2024-05-02 00:00:00,3,Monday,"[1.25, 1.25]","[3.7, 3.7]","[70.75, 0.35]","[2.0, 0.05]",0,,,0,,,Exit,Target hit,SL hit,Exit,-73.95
2024-05-06,16.08,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,22578.55,21700,22200,23000,23500,2024-05-09 00:00:00,3,Monday,3.0,21.15,19.25,2.1,0,52.875,48.125,0,4.23,3.85,,,,,70.6
2024-05-06,,0,Long,2024-05-06 09:42:00,2024-05-06 09:42:00,2024-05-07 13:34:00,2024-05-07 13:34:00,,21700,22200,23000,23500,2024-05-09 00:00:00,3,Monday,"[6.15, 0.15]","[53.7, 206.65]","[3.85, 3.85]","[1.85, 1.85]",0,,,0,,,Exit,SL hit,Target hit,Exit,-258.05
2024-05-13,20.69,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,21952.2,20950,21450,22450,22950,2024-05-16 00:00:00,3,Monday,2.95,21.75,15.9,2.4,0,54.375,39.75,0,4.3500000000000005,3.18,,,,,64.6
2024-05-13,,0,Long,2024-05-14 11:03:00,2024-05-14 11:03:00,2024-05-16 10:36:00,2024-05-16 10:36:00,,20950,21450,22450,22950,2024-05-16 00:00:00,3,Monday,"[1.25, 1.25]","[4.3, 4.3]","[2.9, 2.9]","[0.25, 0.25]",0,,,0,,,Exit,Target hit,Target hit,Exit,-11.4
2024-05-27,22.89,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,22986.85,21950,22450,23550,24050,2024-05-30 00:00:00,3,Monday,3.9,16.0,13.35,3.2,0,40.0,33.375,0,3.2,2.67,,,,,44.5
2024-05-27,,0,Long,2024-05-30 14:59:00,2024-05-30 14:59:00,2024-05-29 09:31:00,2024-05-29 09:31:00,,21950,22450,23550,24050,2024-05-30 00:00:00,3,Monday,"[0.1, 0.1]","[44.4, 41.6]","[2.65, 2.65]","[1.35, 1.35]",0,,,0,,,Exit,SL hit,Target hit,Exit,-88.39999999999999
2023-10-09,11.42,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,19507.35,18750,19250,19750,20250,2023-10-12 00:00:00,3,Monday,3.65,21.8,15.2,1.25,0,54.5,38.0,0,4.36,3.04,,,,,64.2
2023-10-09,,0,Long,2023-10-11 09:15:00,2023-10-11 09:15:00,2023-10-10 12:24:00,2023-10-10 12:24:00,,18750,19250,19750,20250,2023-10-12 00:00:00,3,Monday,"[2.15, 2.15]","[4.0, 4.0]","[46.35, 53.05]","[0.75, 0.05]",0,,,0,,,Exit,Target hit,SL hit,Exit,-102.3
2023-10-16,10.93,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,19721.8,18950,19450,19950,20450,2023-10-19 00:00:00,3,Monday,2.5,14.7,15.1,1.2,0,36.75,37.75,0,2.94,3.02,,,,,52.2
2023-10-16,,0,Long,2023-10-18 10:25:00,2023-10-18 10:25:00,2023-10-18 14:17:00,2023-10-18 14:17:00,,18950,19450,19950,20450,2023-10-19 00:00:00,3,Monday,"[1.35, 1.35]","[2.9, 2.9]","[3.0, 3.0]","[0.95, 0.95]",0,,,0,,,Exit,Target hit,Target hit,Exit,-7.200000000000001
2023-10-23,9.97,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,19546.3,18850,19350,19750,20250,2023-10-26 00:00:00,3,Monday,2.2,24.6,16.15,1.35,0,61.5,40.375,0,4.920000000000001,3.23,,,,,74.4
2023-10-23,,0,Long,2023-10-23 14:43:00,2023-10-23 14:43:00,2023-10-23 15:30:00,2023-10-23 15:30:00,,18850,19350,19750,20250,2023-10-26 00:00:00,3,Monday,"[1.7, 2.85]","[62.8, 482.35]","[3.0, 3.0]","[0.05, 0.05]",0,,,0,,,Exit,SL hit,Target hit,Exit,-546.5
2023-10-30,11.92,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,19012.55,18250,18750,19250,19750,2023-11-02 00:00:00,3,Monday,4.25,26.55,18.85,1.65,0,66.375,47.125,0,5.3100000000000005,3.770000000000001,,,,,79.00000000000001
2023-10-30,,0,Long,2023-10-31 09:15:00,2023-10-31 09:15:00,2023-10-30 12:01:00,2023-10-30 12:01:00,,18250,18750,19250,19750,2023-11-02 00:00:00,3,Monday,"[3.15, 3.15]","[2.15, 2.15]","[48.0, 0.15]","[1.5, 0.1]",0,,,0,,,Exit,Target hit,SL hit,Exit,-44.55
2023-11-06,11.23,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,19341.25,18600,19100,19600,20100,2023-11-09 00:00:00,3,Monday,2.3,12.5,9.45,1.15,0,31.25,23.625,0,2.5,1.89,,,,,37.0
2023-11-06,,0,Long,2023-11-08 11:31:00,2023-11-08 11:31:00,2023-11-09 09:17:00,2023-11-09 09:17:00,,18600,19100,19600,20100,2023-11-09 00:00:00,3,Monday,"[0.9, 0.9]","[2.45, 2.45]","[1.55, 1.55]","[0.4, 0.4]",0,,,0,,,Exit,Target hit,Target hit,Exit,-5.4
2023-11-13,11.38,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,19448.9,18700,19200,19700,20200,2023-11-16 00:00:00,3,Monday,1.7,8.45,6.85,1.25,0,21.125,17.125,0,1.69,1.37,,,,,24.7
2023-11-13,,0,Long,2023-11-15 14:36:00,2023-11-15 14:36:00,2023-11-15 09:15:00,2023-11-15 09:15:00,,18700,19200,19700,20200,2023-11-16 00:00:00,3,Monday,"[0.9, 0.9]","[1.65, 1.65]","[30.0, 151.0]","[0.45, 0.1]",0,,,0,,,Exit,Target hit,SL hit,Exit,-181.95
