Date,vix,Position,Action,PE_Long_Time,PE_Short_Time,CE_Short_Time,CE_Long_Time,Index Value,PE_Long_Strike,PE_Short_Strike,CE_Short_Strike,CE_Long_Strike,ExpiryDate,DaysToExpiry,Day,PE_Long_Premium,PE_Short_Premium,CE_Short_Premium,CE_Long_Premium,PE_Long_Stoploss,PE_Short_Stoploss,CE_Short_Stoploss,CE_Long_Stoploss,PE_Short_target,CE_Short_target,PE_Long_Exit,PE_Short_Exit,CE_Short_Exit,CE_Long_Exit,Premium
2024-06-03,20.47,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,23222.8,22200,22700,23700,24200,2024-06-06 00:00:00,3,Monday,58.4,123.4,141.55,71.75,0,246.8,283.1,0,12.340000000000002,14.155,,,,,134.80000000000004
2024-06-03,,0,Long,2024-06-04 09:16:00,2024-06-04 09:16:00,2024-06-05 09:18:00,2024-06-05 09:18:00,,22200,22700,23700,24200,2024-06-06 00:00:00,3,Monday,"[159.9, 0.15]","[306.35, 3.25]","[10.05, 10.05]","[5.7, 5.7]",0,,,0,,,Exit,SL hit,Target hit,Exit,-150.80000000000004
2024-06-10,16.18,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,23261.7,22350,22850,23650,24150,2024-06-13 00:00:00,3,Monday,9.15,53.05,37.65,4.5,0,106.1,75.3,0,5.305,3.765,,,,,77.04999999999998
2024-06-10,,0,Long,2024-06-12 11:44:00,2024-06-12 11:44:00,2024-06-13 09:37:00,2024-06-13 09:37:00,,22350,22850,23650,24150,2024-06-13 00:00:00,3,Monday,"[1.2, 1.2]","[5.1, 5.1]","[3.3, 3.3]","[0.25, 0.25]",0,,,0,,,Exit,Target hit,Target hit,Exit,-6.949999999999998
2024-06-24,14.18,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,23528.3,22700,23200,23900,24400,2024-06-27 00:00:00,3,Monday,3.85,27.55,13.8,1.15,0,55.1,27.6,0,2.7550000000000003,1.38,,,,,36.35
2024-06-24,,0,Long,2024-06-26 14:27:00,2024-06-26 14:27:00,2024-06-25 13:15:00,2024-06-25 13:15:00,,22700,23200,23900,24400,2024-06-27 00:00:00,3,Monday,"[1.2, 1.2]","[2.75, 2.75]","[28.9, 134.9]","[0.9, 0.15]",0,,,0,,,Exit,Target hit,SL hit,Exit,-29.55
2024-07-01,13.9,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,24130.8,23300,23800,24500,25000,2024-07-04 00:00:00,3,Monday,4.45,29.95,15.55,1.0,0,59.9,31.1,0,2.995,1.5550000000000002,,,,,40.05
2024-07-01,,0,Long,2024-07-03 14:48:00,2024-07-03 14:48:00,2024-07-04 11:45:00,2024-07-04 11:45:00,,23300,23800,24500,25000,2024-07-04 00:00:00,3,Monday,"[0.8, 0.8]","[2.95, 2.95]","[1.55, 1.55]","[0.25, 0.25]",0,,,0,,,Exit,Target hit,Target hit,Exit,-3.45
2024-07-08,13.67,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,24308.4,23450,23950,24650,25150,2024-07-11 00:00:00,3,Monday,1.95,14.25,10.65,1.05,0,28.5,21.3,0,1.425,1.0650000000000002,,,,,21.9
2024-07-08,,0,Long,2024-07-10 10:41:00,2024-07-10 10:41:00,2024-07-11 09:35:00,2024-07-11 09:35:00,,23450,23950,24650,25150,2024-07-11 00:00:00,3,Monday,"[1.85, 0.05]","[29.6, 0.1]","[1.05, 1.05]","[0.2, 0.2]",0,,,0,,,Exit,SL hit,Target hit,Exit,-28.6
2024-07-15,14.13,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,24613.75,23700,24200,25000,25500,2024-07-18 00:00:00,3,Monday,2.4,11.85,4.7,0.55,0,23.7,9.4,0,1.185,0.47,,,,,13.6
2024-07-15,,0,Long,2024-07-18 09:50:00,2024-07-18 09:50:00,2024-07-18 09:37:00,2024-07-18 09:37:00,,23700,24200,25000,25500,2024-07-18 00:00:00,3,Monday,"[0.3, 0.3]","[1.15, 1.15]","[0.45, 0.45]","[0.2, 0.2]",0,,,0,,,Exit,Target hit,Target hit,Exit,-1.1
2024-07-22,15.35,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,24509.4,23600,24100,24900,25400,2024-07-25 00:00:00,3,Monday,23.4,73.25,77.5,15.65,0,146.5,155.0,0,7.325,7.75,,,,,111.7
2024-07-22,,0,Long,2024-07-23 12:20:00,2024-07-23 12:20:00,2024-07-24 09:18:00,2024-07-24 09:18:00,,23600,24100,24900,25400,2024-07-25 00:00:00,3,Monday,"[44.1, 0.05]","[146.95, 0.25]","[7.6, 7.6]","[1.9, 1.9]",0,,,0,,,Exit,SL hit,Target hit,Exit,-108.54999999999998
2024-07-29,13.07,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,24824.4,23950,24450,25150,25650,2024-08-01 00:00:00,3,Monday,3.6,20.2,25.1,2.15,0,40.4,50.2,0,2.02,2.51,,,,,39.55
2024-07-29,,0,Long,2024-08-01 09:16:00,2024-08-01 09:16:00,2024-08-01 12:26:00,2024-08-01 12:26:00,,23950,24450,25150,25650,2024-08-01 00:00:00,3,Monday,"[0.45, 0.45]","[1.2, 1.2]","[2.5, 2.5]","[0.3, 0.3]",0,,,0,,,Exit,Target hit,Target hit,Exit,-2.95
2024-08-05,20.58,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,24027.35,23000,23500,24600,25100,2024-08-08 00:00:00,3,Monday,45.5,90.65,24.75,6.8,0,181.3,49.5,0,9.065,2.475,,,,,63.10000000000001
2024-08-05,,0,Long,2024-08-07 09:16:00,2024-08-07 09:16:00,2024-08-06 09:22:00,2024-08-06 09:22:00,,23000,23500,24600,25100,2024-08-08 00:00:00,3,Monday,"[3.85, 3.85]","[7.75, 7.75]","[58.85, 0.3]","[6.2, 0.1]",0,,,0,,,Exit,Target hit,SL hit,Exit,-56.55
2024-08-12,15.68,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,24407.9,23550,24050,24750,25250,2024-08-14 00:00:00,2,Monday,4.75,25.75,11.7,1.15,0,51.5,23.4,0,2.575,1.17,,,,,31.550000000000004
2024-08-12,,0,Long,2024-08-13 14:05:00,2024-08-13 14:05:00,2024-08-14 09:16:00,2024-08-14 09:16:00,,23550,24050,24750,25250,2024-08-14 00:00:00,2,Monday,"[2.25, 0.15]","[53.35, 0.7]","[0.8, 0.8]","[0.45, 0.45]",0,,,0,,,Exit,SL hit,Target hit,Exit,-51.45
2024-08-19,14.32,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,24584.25,23700,24200,25000,25500,2024-08-22 00:00:00,3,Monday,3.1,17.05,6.25,1.05,0,34.1,12.5,0,1.705,0.625,,,,,19.15
2024-08-19,,0,Long,2024-08-21 14:48:00,2024-08-21 14:48:00,2024-08-20 10:06:00,2024-08-20 10:06:00,,23700,24200,25000,25500,2024-08-22 00:00:00,3,Monday,"[0.95, 0.95]","[1.7, 1.7]","[12.55, 0.15]","[0.75, 0.1]",0,,,0,,,Exit,Target hit,SL hit,Exit,-12.55
2024-08-26,13.89,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,25023.65,24100,24600,25400,25900,2024-08-29 00:00:00,3,Monday,3.95,10.8,7.6,0.85,0,21.6,15.2,0,1.08,0.76,,,,,13.599999999999998
2024-08-26,,0,Long,2024-08-28 14:59:00,2024-08-28 14:59:00,2024-08-29 09:15:00,2024-08-29 09:15:00,,24100,24600,25400,25900,2024-08-29 00:00:00,3,Monday,"[0.55, 0.55]","[1.0, 1.0]","[0.7, 0.7]","[0.2, 0.2]",0,,,0,,,Exit,Target hit,Target hit,Exit,-0.95
2024-09-02,14.08,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,25260.65,24350,24850,25650,26150,2024-09-05 00:00:00,3,Monday,3.05,15.35,6.75,1.3,0,30.7,13.5,0,1.535,0.675,,,,,17.75
2024-09-02,,0,Long,2024-09-05 09:16:00,2024-09-05 09:16:00,2024-09-05 09:15:00,2024-09-05 09:15:00,,24350,24850,25650,26150,2024-09-05 00:00:00,3,Monday,"[0.3, 0.3]","[1.15, 1.15]","[0.6, 0.6]","[0.3, 0.3]",0,,,0,,,Exit,Target hit,Target hit,Exit,-1.15
2024-09-09,14.45,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,24869.0,23950,24450,25250,25750,2024-09-12 00:00:00,3,Monday,2.9,14.45,14.6,1.9,0,28.9,29.2,0,1.445,1.46,,,,,24.25
2024-09-09,,0,Long,2024-09-11 13:27:00,2024-09-11 13:27:00,2024-09-10 13:13:00,2024-09-10 13:13:00,,23950,24450,25250,25750,2024-09-12 00:00:00,3,Monday,"[0.5, 0.5]","[1.4, 1.4]","[30.5, 87.45]","[1.3, 0.1]",0,,,0,,,Exit,Target hit,SL hit,Exit,-30.1
2024-09-16,12.51,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,25395.1,24550,25050,25750,26250,2024-09-19 00:00:00,3,Monday,5.0,20.05,11.85,1.6,0,40.1,23.7,0,2.0050000000000003,1.185,,,,,25.3
2024-09-16,,0,Long,2024-09-18 13:41:00,2024-09-18 13:41:00,2024-09-19 13:01:00,2024-09-19 13:01:00,,24550,25050,25750,26250,2024-09-19 00:00:00,3,Monday,"[6.85, 0.1]","[45.95, 0.25]","[1.15, 1.15]","[0.6, 0.6]",0,,,0,,,Exit,SL hit,Target hit,Exit,-39.650000000000006
2024-09-23,13.98,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,25927.8,25050,25550,26350,26850,2024-09-26 00:00:00,3,Monday,12.05,30.7,14.55,2.75,0,61.4,29.1,0,3.0700000000000003,1.455,,,,,30.45
