Date,DaysToExpiry,ExpiryDate,PnL
2021-06-07,3,2021-06-10 00:00:00,1329.975
2021-06-14,3,2021-06-17 00:00:00,461.9187500000005
2021-06-21,3,2021-06-24 00:00:00,819.4437500000004
2021-06-28,3,2021-07-01 00:00:00,1030.4625
2021-07-05,3,2021-07-08 00:00:00,171.9999999999999
2021-07-12,3,2021-07-15 00:00:00,39.31250000000023
2021-07-19,3,2021-07-22 00:00:00,-243.4625000000001
2021-07-26,3,2021-07-29 00:00:00,-317.1437499999997
2021-08-02,3,2021-08-05 00:00:00,-3399.0562500000015
2021-08-09,3,2021-08-12 00:00:00,1016.9437499999999
2021-08-16,2,2021-08-18 00:00:00,1403.8875000000003
2021-08-23,3,2021-08-26 00:00:00,-560.3500000000001
2021-08-30,3,2021-09-02 00:00:00,-1725.2375
2021-09-06,3,2021-09-09 00:00:00,1208.6062500000003
2021-09-13,3,2021-09-16 00:00:00,-1963.8999999999996
2021-09-20,3,2021-09-23 00:00:00,-1424.53125
2021-09-27,3,2021-09-30 00:00:00,143.9499999999996
2021-10-04,3,2021-10-07 00:00:00,478.3749999999998
2021-10-11,3,2021-10-14 00:00:00,-2635.9624999999996
2021-10-18,3,2021-10-21 00:00:00,-228.15000000000032
2021-10-25,3,2021-10-28 00:00:00,2442.95625
2021-11-01,2,2021-11-03 00:00:00,243.75625000000036
2021-11-08,3,2021-11-11 00:00:00,605.9562500000002
2021-11-15,3,2021-11-18 00:00:00,-1525.0500000000002
2021-11-22,3,2021-11-25 00:00:00,16.88124999999991
2021-11-29,3,2021-12-02 00:00:00,270.8125
2021-12-13,3,2021-12-16 00:00:00,-2972.25625
2021-12-20,3,2021-12-23 00:00:00,1487.537499999999
2021-12-27,3,2021-12-30 00:00:00,1403.1624999999992
2022-01-03,3,2022-01-06 00:00:00,164.68124999999964
2022-01-10,3,2022-01-13 00:00:00,245.40625
2022-01-17,3,2022-01-20 00:00:00,-4544.6624999999985
2022-01-24,3,2022-01-27 00:00:00,403.9874999999997
2022-01-31,3,2022-02-03 00:00:00,1953.331250000001
2022-02-07,3,2022-02-10 00:00:00,240.39375000000018
2022-02-14,3,2022-02-17 00:00:00,4287.3375000000015
2022-02-21,3,2022-02-24 00:00:00,1311.1437499999993
2022-02-28,3,2022-03-03 00:00:00,2370.106249999999
2022-03-07,3,2022-03-10 00:00:00,-4801.6625
2022-03-14,3,2022-03-17 00:00:00,-3488.6812499999996
2022-03-21,3,2022-03-24 00:00:00,-679.9374999999991
2022-03-28,3,2022-03-31 00:00:00,311.868750000001
2022-04-04,3,2022-04-07 00:00:00,932.6437500000006
2022-04-11,2,2022-04-13 00:00:00,1617.09375
2022-04-18,3,2022-04-21 00:00:00,2076.6187499999996
2022-04-25,3,2022-04-28 00:00:00,2460.4875
2022-05-02,3,2022-05-05 00:00:00,1789.3312500000002
2022-05-09,3,2022-05-12 00:00:00,912.9250000000002
2022-05-16,3,2022-05-19 00:00:00,893.6499999999992
2022-05-23,3,2022-05-26 00:00:00,3027.39375
2022-05-30,3,2022-06-02 00:00:00,2100.2999999999997
2022-06-06,3,2022-06-09 00:00:00,2191.44375
2022-06-13,3,2022-06-16 00:00:00,2847.01875
2022-06-20,3,2022-06-23 00:00:00,-374.53125
2022-06-27,3,2022-06-30 00:00:00,2084.1937500000004
2022-07-04,3,2022-07-07 00:00:00,132.73750000000064
2022-07-11,3,2022-07-14 00:00:00,1351.1437500000002
2022-07-18,3,2022-07-21 00:00:00,-2575.9249999999997
2022-07-25,3,2022-07-28 00:00:00,1886.3437500000005
2022-08-01,3,2022-08-04 00:00:00,506.45624999999995
2022-08-08,3,2022-08-11 00:00:00,1544.1187499999996
2022-08-22,3,2022-08-25 00:00:00,-302.1687499999998
2022-08-29,3,2022-09-01 00:00:00,288.69374999999945
2022-09-05,3,2022-09-08 00:00:00,1729.125
2022-09-12,3,2022-09-15 00:00:00,537.3374999999999
2022-09-19,3,2022-09-22 00:00:00,431.4374999999991
2022-09-26,3,2022-09-29 00:00:00,3046.7437500000005
2022-10-03,3,2022-10-06 00:00:00,630.9812499999998
2022-10-10,3,2022-10-13 00:00:00,448.3374999999994
2022-10-17,3,2022-10-20 00:00:00,-1156.7499999999995
2022-10-31,3,2022-11-03 00:00:00,521.7187499999998
2022-11-07,3,2022-11-10 00:00:00,-291.6812500000001
2022-11-14,3,2022-11-17 00:00:00,974.60625
2022-11-21,3,2022-11-24 00:00:00,832.8749999999998
2022-11-28,3,2022-12-01 00:00:00,-2034.868749999999
2022-12-05,3,2022-12-08 00:00:00,1015.2562499999999
2022-12-12,3,2022-12-15 00:00:00,-82.53125000000045
2022-12-19,3,2022-12-22 00:00:00,107.06250000000023
2022-12-26,3,2022-12-29 00:00:00,157.1875
2023-01-02,3,2023-01-05 00:00:00,1369.8937500000002
2023-01-09,3,2023-01-12 00:00:00,-1000.9562500000002
2023-01-16,3,2023-01-19 00:00:00,-82.1437499999995
2023-01-23,2,2023-01-25 00:00:00,1192.9500000000003
2023-01-30,3,2023-02-02 00:00:00,339.6250000000018
2023-02-06,3,2023-02-09 00:00:00,1433.6624999999995
2023-02-13,3,2023-02-16 00:00:00,-1310.6124999999997
