Date,DaysToExpiry,ExpiryDate,PnL
2021-06-07,3,2021-06-10 00:00:00,380.8
2021-06-14,3,2021-06-17 00:00:00,-328.94999999999993
2021-06-21,3,2021-06-24 00:00:00,12.437499999999886
2021-06-28,3,2021-07-01 00:00:00,349.1875
2021-07-05,3,2021-07-08 00:00:00,282.61875000000003
2021-07-12,3,2021-07-15 00:00:00,-263.0937500000001
2021-07-19,3,2021-07-22 00:00:00,-393.94374999999997
2021-07-26,3,2021-07-29 00:00:00,-523.9312499999999
2021-08-02,3,2021-08-05 00:00:00,-71.65625
2021-08-09,3,2021-08-12 00:00:00,322.10625
2021-08-16,2,2021-08-18 00:00:00,483.8812500000001
2021-08-23,3,2021-08-26 00:00:00,-455.1187500000002
2021-08-30,3,2021-09-02 00:00:00,92.93750000000017
2021-09-06,3,2021-09-09 00:00:00,385.8624999999999
2021-09-13,3,2021-09-16 00:00:00,-589.6125000000001
2021-09-20,3,2021-09-23 00:00:00,-945.5999999999997
2021-09-27,3,2021-09-30 00:00:00,-327.80000000000024
2021-10-04,3,2021-10-07 00:00:00,385.1812499999999
2021-10-11,3,2021-10-14 00:00:00,-170.6500000000001
2021-10-18,3,2021-10-21 00:00:00,-621.66875
2021-10-25,3,2021-10-28 00:00:00,851.8562499999998
2021-11-01,2,2021-11-03 00:00:00,745.96875
2021-11-08,3,2021-11-11 00:00:00,-105.44999999999993
2021-11-15,3,2021-11-18 00:00:00,-320.41875000000005
2021-11-22,3,2021-11-25 00:00:00,-461.7562499999999
2021-11-29,3,2021-12-02 00:00:00,1077.4812499999998
2021-12-13,3,2021-12-16 00:00:00,-393.71249999999964
2021-12-20,3,2021-12-23 00:00:00,-2677.8375
2021-12-27,3,2021-12-30 00:00:00,130.2500000000001
2022-01-03,3,2022-01-06 00:00:00,-50.44999999999993
2022-01-10,3,2022-01-13 00:00:00,-266.6874999999999
2022-01-17,3,2022-01-20 00:00:00,-350.9000000000001
2022-01-24,3,2022-01-27 00:00:00,-105.45625000000007
2022-01-31,3,2022-02-03 00:00:00,1984.21875
2022-02-07,3,2022-02-10 00:00:00,-573.7874999999999
2022-02-14,3,2022-02-17 00:00:00,46.825000000000045
2022-02-21,3,2022-02-24 00:00:00,848.6749999999998
2022-02-28,3,2022-03-03 00:00:00,517.6124999999997
2022-03-07,3,2022-03-10 00:00:00,-855.4187499999998
2022-03-14,3,2022-03-17 00:00:00,-770.0499999999997
2022-03-21,3,2022-03-24 00:00:00,930.1687499999999
2022-03-28,3,2022-03-31 00:00:00,-485.74374999999986
2022-04-04,3,2022-04-07 00:00:00,74.96875
2022-04-11,2,2022-04-13 00:00:00,471.4562500000001
2022-04-18,3,2022-04-21 00:00:00,-612.2750000000001
2022-04-25,3,2022-04-28 00:00:00,848.84375
2022-05-02,3,2022-05-05 00:00:00,676.3375000000001
2022-05-09,3,2022-05-12 00:00:00,-130.79375000000005
2022-05-16,3,2022-05-19 00:00:00,-194.99374999999998
2022-05-23,3,2022-05-26 00:00:00,1011.0124999999999
2022-05-30,3,2022-06-02 00:00:00,712.2750000000001
2022-06-06,3,2022-06-09 00:00:00,740.3750000000001
2022-06-13,3,2022-06-16 00:00:00,963.86875
2022-06-20,3,2022-06-23 00:00:00,-474.23125000000005
2022-06-27,3,2022-06-30 00:00:00,657.03125
2022-07-04,3,2022-07-07 00:00:00,-60.681249999999864
2022-07-11,3,2022-07-14 00:00:00,481.63750000000016
2022-07-18,3,2022-07-21 00:00:00,-810.75625
2022-07-25,3,2022-07-28 00:00:00,623.41875
2022-08-01,3,2022-08-04 00:00:00,560.5625000000001
2022-08-08,3,2022-08-11 00:00:00,494.44375000000014
2022-08-22,3,2022-08-25 00:00:00,-217.71874999999994
2022-08-29,3,2022-09-01 00:00:00,-334.4312500000001
2022-09-05,3,2022-09-08 00:00:00,507.17500000000007
2022-09-12,3,2022-09-15 00:00:00,447.56875
2022-09-19,3,2022-09-22 00:00:00,-570.7750000000001
2022-09-26,3,2022-09-29 00:00:00,861.3187499999998
2022-10-03,3,2022-10-06 00:00:00,656.0312500000001
2022-10-10,3,2022-10-13 00:00:00,-11.70000000000016
2022-10-17,3,2022-10-20 00:00:00,-82.40000000000009
2022-10-31,3,2022-11-03 00:00:00,67.66249999999997
2022-11-07,3,2022-11-10 00:00:00,333.06250000000006
2022-11-14,3,2022-11-17 00:00:00,326.31874999999997
2022-11-21,3,2022-11-24 00:00:00,283.51249999999993
2022-11-28,3,2022-12-01 00:00:00,-343.0500000000002
2022-12-05,3,2022-12-08 00:00:00,348.20625
2022-12-12,3,2022-12-15 00:00:00,-332.72500000000014
2022-12-19,3,2022-12-22 00:00:00,353.11875
2022-12-26,3,2022-12-29 00:00:00,-174.2187499999999
2023-01-02,3,2023-01-05 00:00:00,377.17500000000007
2023-01-09,3,2023-01-12 00:00:00,-159.41249999999997
2023-01-16,3,2023-01-19 00:00:00,350.8000000000001
2023-01-23,2,2023-01-25 00:00:00,-354.01250000000005
2023-01-30,3,2023-02-02 00:00:00,1298.5187500000002
2023-02-06,3,2023-02-09 00:00:00,528.81875
2023-02-13,3,2023-02-16 00:00:00,-360.23750000000007
2023-02-20,3,2023-02-23 00:00:00,-379.4000000000001
2023-02-27,3,2023-03-02 00:00:00,509.8625
2023-03-06,3,2023-03-09 00:00:00,-259.85624999999993
2023-03-13,3,2023-03-16 00:00:00,-281.95624999999995
2023-03-20,3,2023-03-23 00:00:00,639.9750000000001
2023-03-27,2,2023-03-29 00:00:00,570.56875
2023-04-03,3,2023-04-06 00:00:00,-226.54375
2023-04-10,3,2023-04-13 00:00:00,294.9312500000001
2023-04-17,3,2023-04-20 00:00:00,445.4687500000001
2023-04-24,3,2023-04-27 00:00:00,47.41874999999999
2023-05-08,3,2023-05-11 00:00:00,-113.48750000000024
2023-05-15,3,2023-05-18 00:00:00,315.775
2023-05-22,3,2023-05-25 00:00:00,-35.456249999999955
2023-05-29,3,2023-06-01 00:00:00,323.18124999999986
2023-06-05,3,2023-06-08 00:00:00,201.88750000000005
2023-06-12,3,2023-06-15 00:00:00,272.45
2023-06-19,3,2023-06-22 00:00:00,-383.4500000000001
2023-06-26,3,2023-06-29 00:00:00,163.83749999999998
2023-07-03,3,2023-07-06 00:00:00,62.82499999999999
2023-07-10,3,2023-07-13 00:00:00,303.6875
2023-07-17,3,2023-07-20 00:00:00,-243.5250000000001
2023-07-24,3,2023-07-27 00:00:00,577.3062500000001
2023-07-31,3,2023-08-03 00:00:00,-322.54999999999995
2023-08-07,3,2023-08-10 00:00:00,308.6625
2023-08-14,3,2023-08-17 00:00:00,304.89375000000007
2023-08-21,3,2023-08-24 00:00:00,277.48125
2023-08-28,3,2023-08-31 00:00:00,366.0562499999999
2023-09-04,3,2023-09-07 00:00:00,239.65625000000006
2023-09-11,3,2023-09-14 00:00:00,-304.14375000000007
2023-09-18,3,2023-09-21 00:00:00,-353.8375000000002
2023-09-25,3,2023-09-28 00:00:00,404.6312500000001
2023-10-09,3,2023-10-12 00:00:00,-270.72500000000014
2023-10-16,3,2023-10-19 00:00:00,345.75
2023-10-23,3,2023-10-26 00:00:00,-287.8499999999998
2023-10-30,3,2023-11-02 00:00:00,13.362500000000182
2023-11-06,3,2023-11-09 00:00:00,273.23125
2023-11-13,3,2023-11-16 00:00:00,-342.2812500000001
2023-11-20,3,2023-11-23 00:00:00,337.00625
