Date,DaysToExpiry,ExpiryDate,PnL
2021-06-07,3,2021-06-10 00:00:00,761.6
2021-06-14,3,2021-06-17 00:00:00,455.6250000000002
2021-06-21,3,2021-06-24 00:00:00,760.9124999999998
2021-06-28,3,2021-07-01 00:00:00,698.375
2021-07-05,3,2021-07-08 00:00:00,217.33750000000003
2021-07-12,3,2021-07-15 00:00:00,280.54999999999995
2021-07-19,3,2021-07-22 00:00:00,118.58749999999998
2021-07-26,3,2021-07-29 00:00:00,97.22500000000002
2021-08-02,3,2021-08-05 00:00:00,-2163.3125
2021-08-09,3,2021-08-12 00:00:00,644.2125
2021-08-16,2,2021-08-18 00:00:00,967.7625000000002
2021-08-23,3,2021-08-26 00:00:00,17.699999999999818
2021-08-30,3,2021-09-02 00:00:00,-805.1875
2021-09-06,3,2021-09-09 00:00:00,771.7249999999998
2021-09-13,3,2021-09-16 00:00:00,-1848.3500000000001
2021-09-20,3,2021-09-23 00:00:00,-455.7374999999995
2021-09-27,3,2021-09-30 00:00:00,271.0749999999996
2021-10-04,3,2021-10-07 00:00:00,431.29999999999984
2021-10-11,3,2021-10-14 00:00:00,-1949.7250000000001
2021-10-18,3,2021-10-21 00:00:00,136.57500000000016
2021-10-25,3,2021-10-28 00:00:00,1703.7124999999996
2021-11-01,2,2021-11-03 00:00:00,565.2625
2021-11-08,3,2021-11-11 00:00:00,763.7500000000002
2021-11-15,3,2021-11-18 00:00:00,-839.0500000000002
2021-11-22,3,2021-11-25 00:00:00,383.1749999999997
2021-11-29,3,2021-12-02 00:00:00,577.3875000000003
2021-12-13,3,2021-12-16 00:00:00,-2485.4874999999997
2021-12-20,3,2021-12-23 00:00:00,-3621.0
2021-12-27,3,2021-12-30 00:00:00,1052.0875000000005
2022-01-03,3,2022-01-06 00:00:00,118.77499999999986
2022-01-10,3,2022-01-13 00:00:00,426.1250000000001
2022-01-17,3,2022-01-20 00:00:00,-3500.7625
2022-01-24,3,2022-01-27 00:00:00,566.7874999999999
2022-01-31,3,2022-02-03 00:00:00,2128.2625
2022-02-07,3,2022-02-10 00:00:00,367.42500000000007
2022-02-14,3,2022-02-17 00:00:00,1777.8250000000007
2022-02-21,3,2022-02-24 00:00:00,1138.0624999999995
2022-02-28,3,2022-03-03 00:00:00,2531.287499999999
2022-03-07,3,2022-03-10 00:00:00,-3921.4749999999985
2022-03-14,3,2022-03-17 00:00:00,-1886.025000000001
2022-03-21,3,2022-03-24 00:00:00,441.8375000000001
2022-03-28,3,2022-03-31 00:00:00,606.6375000000003
2022-04-04,3,2022-04-07 00:00:00,659.9875000000002
2022-04-11,2,2022-04-13 00:00:00,942.9125000000003
2022-04-18,3,2022-04-21 00:00:00,377.5625000000002
2022-04-25,3,2022-04-28 00:00:00,1697.6874999999998
2022-05-02,3,2022-05-05 00:00:00,1352.6750000000002
2022-05-09,3,2022-05-12 00:00:00,980.7125000000001
2022-05-16,3,2022-05-19 00:00:00,968.4624999999999
2022-05-23,3,2022-05-26 00:00:00,2022.0249999999999
2022-05-30,3,2022-06-02 00:00:00,1424.5500000000002
2022-06-06,3,2022-06-09 00:00:00,1480.7499999999998
2022-06-13,3,2022-06-16 00:00:00,1927.7374999999995
2022-06-20,3,2022-06-23 00:00:00,201.67499999999984
2022-06-27,3,2022-06-30 00:00:00,1314.0625
2022-07-04,3,2022-07-07 00:00:00,26.350000000000136
2022-07-11,3,2022-07-14 00:00:00,963.2750000000003
2022-07-18,3,2022-07-21 00:00:00,-1973.7499999999993
2022-07-25,3,2022-07-28 00:00:00,1246.8375
2022-08-01,3,2022-08-04 00:00:00,582.5875000000002
2022-08-08,3,2022-08-11 00:00:00,988.8875000000003
2022-08-22,3,2022-08-25 00:00:00,269.0375
2022-08-29,3,2022-09-01 00:00:00,358.8124999999999
2022-09-05,3,2022-09-08 00:00:00,1014.35
2022-09-12,3,2022-09-15 00:00:00,470.9374999999998
2022-09-19,3,2022-09-22 00:00:00,567.875
2022-09-26,3,2022-09-29 00:00:00,1722.6374999999996
2022-10-03,3,2022-10-06 00:00:00,623.2875000000001
2022-10-10,3,2022-10-13 00:00:00,616.6874999999997
2022-10-17,3,2022-10-20 00:00:00,-1235.4
2022-10-31,3,2022-11-03 00:00:00,476.2000000000002
2022-11-07,3,2022-11-10 00:00:00,125.06250000000011
2022-11-14,3,2022-11-17 00:00:00,652.6374999999999
2022-11-21,3,2022-11-24 00:00:00,567.0250000000001
2022-11-28,3,2022-12-01 00:00:00,-1708.7250000000001
2022-12-05,3,2022-12-08 00:00:00,696.4125
2022-12-12,3,2022-12-15 00:00:00,180.425
2022-12-19,3,2022-12-22 00:00:00,244.16250000000002
2022-12-26,3,2022-12-29 00:00:00,530.2624999999999
2023-01-02,3,2023-01-05 00:00:00,754.3500000000001
2023-01-09,3,2023-01-12 00:00:00,-201.41250000000014
2023-01-16,3,2023-01-19 00:00:00,233.2125000000002
2023-01-23,2,2023-01-25 00:00:00,11.599999999999682
2023-01-30,3,2023-02-02 00:00:00,1044.1625000000006
2023-02-06,3,2023-02-09 00:00:00,1057.6375
2023-02-13,3,2023-02-16 00:00:00,-426.3125
2023-02-20,3,2023-02-23 00:00:00,-2273.8
2023-02-27,3,2023-03-02 00:00:00,418.77499999999986
2023-03-06,3,2023-03-09 00:00:00,-17.237499999999898
2023-03-13,3,2023-03-16 00:00:00,-3449.9875
2023-03-20,3,2023-03-23 00:00:00,544.4625000000001
2023-03-27,2,2023-03-29 00:00:00,1141.1375
2023-04-03,3,2023-04-06 00:00:00,-2.374999999999659
