Date,DaysToExpiry,ExpiryDate,PnL
2021-06-07,3,2021-06-10 00:00:00,2520.275
2021-06-14,3,2021-06-17 00:00:00,-377.5124999999989
2021-06-21,3,2021-06-24 00:00:00,1183.1999999999998
2021-06-28,3,2021-07-01 00:00:00,2164.8250000000003
2021-07-05,3,2021-07-08 00:00:00,1764.5250000000003
2021-07-12,3,2021-07-15 00:00:00,-361.3125
2021-07-19,3,2021-07-22 00:00:00,-1464.3999999999992
2021-07-26,3,2021-07-29 00:00:00,-1553.3624999999993
2021-08-02,3,2021-08-05 00:00:00,-6262.5875
2021-08-09,3,2021-08-12 00:00:00,1972.8999999999999
2021-08-16,2,2021-08-18 00:00:00,3067.875000000001
2021-08-23,3,2021-08-26 00:00:00,-1496.7500000000005
2021-08-30,3,2021-09-02 00:00:00,-4117.1625
2021-09-06,3,2021-09-09 00:00:00,2500.45
2021-09-13,3,2021-09-16 00:00:00,-2495.6625000000004
2021-09-20,3,2021-09-23 00:00:00,-4008.550000000002
2021-09-27,3,2021-09-30 00:00:00,-479.1375000000003
2021-10-04,3,2021-10-07 00:00:00,2559.7749999999996
2021-10-11,3,2021-10-14 00:00:00,-2706.1499999999996
2021-10-18,3,2021-10-21 00:00:00,-1108.9374999999995
2021-10-25,3,2021-10-28 00:00:00,5384.775
2021-11-01,2,2021-11-03 00:00:00,4721.849999999999
2021-11-08,3,2021-11-11 00:00:00,-106.71249999999964
2021-11-15,3,2021-11-18 00:00:00,-1564.3624999999997
2021-11-22,3,2021-11-25 00:00:00,-923.6499999999987
2021-11-29,3,2021-12-02 00:00:00,6647.124999999999
2021-12-13,3,2021-12-16 00:00:00,-4339.362499999999
2021-12-20,3,2021-12-23 00:00:00,-11291.399999999998
2021-12-27,3,2021-12-30 00:00:00,928.5124999999998
2022-01-03,3,2022-01-06 00:00:00,36.999999999999545
2022-01-10,3,2022-01-13 00:00:00,413.77500000000055
2022-01-17,3,2022-01-20 00:00:00,-5175.375000000002
2022-01-24,3,2022-01-27 00:00:00,-314.8624999999993
2022-01-31,3,2022-02-03 00:00:00,12232.574999999997
2022-02-07,3,2022-02-10 00:00:00,-1301.3249999999998
2022-02-14,3,2022-02-17 00:00:00,1487.5250000000015
2022-02-21,3,2022-02-24 00:00:00,5768.725000000001
2022-02-28,3,2022-03-03 00:00:00,1896.387499999997
2022-03-07,3,2022-03-10 00:00:00,-5431.175000000001
2022-03-14,3,2022-03-17 00:00:00,-6732.8125
2022-03-21,3,2022-03-24 00:00:00,5958.000000000001
2022-03-28,3,2022-03-31 00:00:00,7.112500000000182
2022-04-04,3,2022-04-07 00:00:00,766.7500000000005
2022-04-11,2,2022-04-13 00:00:00,3951.2749999999996
2022-04-18,3,2022-04-21 00:00:00,-1452.5999999999995
2022-04-25,3,2022-04-28 00:00:00,5381.875
2022-05-02,3,2022-05-05 00:00:00,4423.675
2022-05-09,3,2022-05-12 00:00:00,151.01250000000164
2022-05-16,3,2022-05-19 00:00:00,906.1875
2022-05-23,3,2022-05-26 00:00:00,7186.825
2022-05-30,3,2022-06-02 00:00:00,4759.35
2022-06-06,3,2022-06-09 00:00:00,5320.85
2022-06-13,3,2022-06-16 00:00:00,6378.625
2022-06-27,3,2022-06-30 00:00:00,4755.925
2022-07-04,3,2022-07-07 00:00:00,172.26249999999982
2022-07-11,3,2022-07-14 00:00:00,3358.3
