Date,DaysToExpiry,ExpiryDate,PnL
2021-06-07,3,2021-06-10 00:00:00,580.83125
2021-06-14,3,2021-06-17 00:00:00,-56.54374999999993
2021-06-21,3,2021-06-24 00:00:00,-53.637500000000045
2021-06-28,3,2021-07-01 00:00:00,480.88125
2021-07-05,3,2021-07-08 00:00:00,-39.88124999999991
2021-07-12,3,2021-07-15 00:00:00,-96.95624999999995
2021-07-19,3,2021-07-22 00:00:00,-456.0937499999998
2021-07-26,3,2021-07-29 00:00:00,-422.74374999999986
2021-08-02,3,2021-08-05 00:00:00,30.19374999999991
2021-08-09,3,2021-08-12 00:00:00,437.94999999999993
2021-08-16,2,2021-08-18 00:00:00,672.2812500000002
2021-08-23,3,2021-08-26 00:00:00,-515.3125
2021-08-30,3,2021-09-02 00:00:00,142.2687499999999
2021-09-06,3,2021-09-09 00:00:00,565.0625
2021-09-13,3,2021-09-16 00:00:00,-101.5562500000002
2021-09-20,3,2021-09-23 00:00:00,-1012.8687500000001
2021-09-27,3,2021-09-30 00:00:00,-100.25625000000014
2021-10-04,3,2021-10-07 00:00:00,-18.531250000000114
2021-10-11,3,2021-10-14 00:00:00,-5.599999999999909
2021-10-18,3,2021-10-21 00:00:00,-261.13749999999993
2021-10-25,3,2021-10-28 00:00:00,1160.3312499999997
2021-11-01,2,2021-11-03 00:00:00,-344.36249999999995
2021-11-08,3,2021-11-11 00:00:00,-102.46875
2021-11-15,3,2021-11-18 00:00:00,-474.1
2021-11-22,3,2021-11-25 00:00:00,-728.3374999999999
2021-11-29,3,2021-12-02 00:00:00,-280.9312500000003
2021-12-13,3,2021-12-16 00:00:00,-479.15625
2021-12-20,3,2021-12-23 00:00:00,-2511.3687499999996
2021-12-27,3,2021-12-30 00:00:00,163.0062499999999
2022-01-03,3,2022-01-06 00:00:00,-61.450000000000045
2022-01-10,3,2022-01-13 00:00:00,-41.46874999999977
2022-01-17,3,2022-01-20 00:00:00,-238.75
2022-01-24,3,2022-01-27 00:00:00,-126.73125000000005
2022-01-31,3,2022-02-03 00:00:00,-283.4187500000003
2022-02-07,3,2022-02-10 00:00:00,-390.7062500000002
2022-02-14,3,2022-02-17 00:00:00,1896.3500000000004
2022-02-21,3,2022-02-24 00:00:00,-44.76875000000018
2022-02-28,3,2022-03-03 00:00:00,-165.04375000000118
2022-03-07,3,2022-03-10 00:00:00,-400.18749999999955
2022-03-14,3,2022-03-17 00:00:00,68.19999999999982
2022-03-21,3,2022-03-24 00:00:00,-849.6374999999998
2022-03-28,3,2022-03-31 00:00:00,-253.01250000000005
2022-04-04,3,2022-04-07 00:00:00,114.31874999999991
2022-04-11,2,2022-04-13 00:00:00,930.01875
2022-04-18,3,2022-04-21 00:00:00,-681.3
2022-04-25,3,2022-04-28 00:00:00,1194.2437499999999
2022-05-02,3,2022-05-05 00:00:00,1044.60625
2022-05-09,3,2022-05-12 00:00:00,-116.31249999999977
2022-05-16,3,2022-05-19 00:00:00,33.700000000000045
2022-05-23,3,2022-05-26 00:00:00,1599.75625
2022-05-30,3,2022-06-02 00:00:00,1080.0000000000002
2022-06-06,3,2022-06-09 00:00:00,1193.1499999999996
2022-06-13,3,2022-06-16 00:00:00,1338.6437500000002
2022-06-27,3,2022-06-30 00:00:00,1060.2062500000002
2022-07-04,3,2022-07-07 00:00:00,11.818749999999909
2022-07-11,3,2022-07-14 00:00:00,742.6374999999998
2022-07-18,3,2022-07-21 00:00:00,-109.92500000000007
2022-07-25,3,2022-07-28 00:00:00,942.0062500000001
2022-08-01,3,2022-08-04 00:00:00,-140.8687500000001
2022-08-08,3,2022-08-11 00:00:00,785.2
2022-08-22,3,2022-08-25 00:00:00,-458.25
2022-08-29,3,2022-09-01 00:00:00,-13.537500000000023
2022-09-05,3,2022-09-08 00:00:00,848.7750000000001
2022-09-12,3,2022-09-15 00:00:00,60.28125
2022-09-19,3,2022-09-22 00:00:00,-385.01874999999995
2022-09-26,3,2022-09-29 00:00:00,1382.9750000000001
2022-10-03,3,2022-10-06 00:00:00,193.25625000000025
2022-10-10,3,2022-10-13 00:00:00,-89.35000000000014
2022-10-17,3,2022-10-20 00:00:00,-100.45625000000007
2022-10-31,3,2022-11-03 00:00:00,109.28750000000002
2022-11-07,3,2022-11-10 00:00:00,-347.44375
2022-11-14,3,2022-11-17 00:00:00,493.84375
2022-11-21,3,2022-11-24 00:00:00,458.36875
2022-11-28,3,2022-12-01 00:00:00,-137.18124999999998
2022-12-05,3,2022-12-08 00:00:00,532.75
2022-12-12,3,2022-12-15 00:00:00,-321.6625
2022-12-19,3,2022-12-22 00:00:00,-124.15000000000009
2022-12-26,3,2022-12-29 00:00:00,-274.45000000000005
2023-01-02,3,2023-01-05 00:00:00,663.1687499999999
2023-01-09,3,2023-01-12 00:00:00,-832.4749999999999
2023-01-16,3,2023-01-19 00:00:00,-306.67499999999995
2023-01-23,2,2023-01-25 00:00:00,653.9250000000002
2023-01-30,3,2023-02-02 00:00:00,-401.0374999999999
2023-02-06,3,2023-02-09 00:00:00,788.6500000000001
2023-02-13,3,2023-02-16 00:00:00,-1108.7937500000003
2023-02-20,3,2023-02-23 00:00:00,-331.2125000000001
2023-02-27,3,2023-03-02 00:00:00,-136.9437499999999
2023-03-06,3,2023-03-09 00:00:00,-323.11875
2023-03-13,3,2023-03-16 00:00:00,-271.3625000000003
2023-03-20,3,2023-03-23 00:00:00,-105.90000000000009
2023-03-27,2,2023-03-29 00:00:00,824.8187499999999
2023-04-03,3,2023-04-06 00:00:00,117.3062500000002
2023-04-10,3,2023-04-13 00:00:00,70.67500000000013
2023-04-17,3,2023-04-20 00:00:00,671.6875000000001
2023-04-24,3,2023-04-27 00:00:00,-44.04374999999999
2023-05-08,3,2023-05-11 00:00:00,21.39999999999992
2023-05-15,3,2023-05-18 00:00:00,-751.7812500000001
2023-05-22,3,2023-05-25 00:00:00,-79.26874999999995
2023-05-29,3,2023-06-01 00:00:00,486.43749999999994
2023-06-05,3,2023-06-08 00:00:00,377.1
2023-06-12,3,2023-06-15 00:00:00,391.44999999999993
2023-06-19,3,2023-06-22 00:00:00,-266.4125
2023-06-26,3,2023-06-29 00:00:00,309.05
2023-07-03,3,2023-07-06 00:00:00,116.56249999999994
2023-07-10,3,2023-07-13 00:00:00,494.025
2023-07-17,3,2023-07-20 00:00:00,-173.30000000000007
2023-07-24,3,2023-07-27 00:00:00,839.23125
2023-07-31,3,2023-08-03 00:00:00,628.68125
2023-08-07,3,2023-08-10 00:00:00,492.81875
2023-08-14,3,2023-08-17 00:00:00,-182.49374999999986
2023-08-21,3,2023-08-24 00:00:00,-11.512499999999989
2023-08-28,3,2023-08-31 00:00:00,592.1875
2023-09-04,3,2023-09-07 00:00:00,306.87500000000006
2023-09-11,3,2023-09-14 00:00:00,-87.00625000000002
2023-09-18,3,2023-09-21 00:00:00,-186.36249999999995
2023-09-25,3,2023-09-28 00:00:00,579.4875000000002
2023-10-09,3,2023-10-12 00:00:00,-415.375
2023-10-16,3,2023-10-19 00:00:00,542.5875
2023-10-23,3,2023-10-26 00:00:00,-386.98749999999995
2023-10-30,3,2023-11-02 00:00:00,3.8000000000002956
2023-11-06,3,2023-11-09 00:00:00,378.5125
2023-11-13,3,2023-11-16 00:00:00,-471.3687500000001
2023-11-20,3,2023-11-23 00:00:00,523.81875
2023-12-04,3,2023-12-07 00:00:00,-448.74374999999975
2023-12-11,3,2023-12-14 00:00:00,559.5125
2023-12-18,3,2023-12-21 00:00:00,762.8187500000001
2024-01-01,3,2024-01-04 00:00:00,-269.08749999999986
2024-01-08,3,2024-01-11 00:00:00,-141.875
2024-01-15,3,2024-01-18 00:00:00,-424.50625000000014
2024-01-29,3,2024-02-01 00:00:00,2288.25
2024-02-05,3,2024-02-08 00:00:00,-364.7249999999999
2024-02-12,3,2024-02-15 00:00:00,-344.95624999999995
2024-02-19,3,2024-02-22 00:00:00,938.825
2024-02-26,3,2024-02-29 00:00:00,865.1124999999997
2024-03-04,3,2024-03-07 00:00:00,1091.89375
2024-03-11,3,2024-03-14 00:00:00,-631.01875
2024-03-18,3,2024-03-21 00:00:00,-481.8187499999999
2024-04-01,3,2024-04-04 00:00:00,1169.81875
2024-04-08,2,2024-04-10 00:00:00,143.48124999999993
2024-04-15,3,2024-04-18 00:00:00,-363.4625000000003
2024-04-22,3,2024-04-25 00:00:00,48.53125
2024-04-29,3,2024-05-02 00:00:00,-410.5187500000002
2024-05-06,3,2024-05-09 00:00:00,-144.86250000000007
2024-05-13,3,2024-05-16 00:00:00,-104.59999999999991
2024-05-27,3,2024-05-30 00:00:00,-296.79374999999993
2024-06-03,3,2024-06-06 00:00:00,-91.06250000000045
2024-06-10,3,2024-06-13 00:00:00,1507.1125000000002
2024-06-24,3,2024-06-27 00:00:00,-214.60625000000005
2024-07-01,3,2024-07-04 00:00:00,1127.9687499999998
2024-07-08,3,2024-07-11 00:00:00,586.39375
2024-07-15,3,2024-07-18 00:00:00,385.5687499999999
2024-07-22,3,2024-07-25 00:00:00,111.38749999999982
2024-07-29,3,2024-08-01 00:00:00,795.2125
2024-08-05,3,2024-08-08 00:00:00,11.106250000000045
2024-08-12,2,2024-08-14 00:00:00,-341.2499999999998
2024-08-19,3,2024-08-22 00:00:00,543.49375
2024-08-26,3,2024-08-29 00:00:00,-122.28750000000002
2024-09-02,3,2024-09-05 00:00:00,560.3875
2024-09-09,3,2024-09-12 00:00:00,-202.78125
2024-09-16,3,2024-09-19 00:00:00,701.4375000000001
2024-09-23,3,2024-09-26 00:00:00,875.4250000000003
2024-09-30,3,2024-10-03 00:00:00,-111.63750000000005
