Date,DaysToExpiry,ExpiryDate,PnL
2021-06-07,3,2021-06-10 00:00:00,1577.49375
2021-06-14,3,2021-06-17 00:00:00,1429.9562500000004
2021-06-21,3,2021-06-24 00:00:00,2077.5
2021-06-28,3,2021-07-01 00:00:00,1345.8187499999997
2021-07-05,3,2021-07-08 00:00:00,737.1562500000002
2021-07-12,3,2021-07-15 00:00:00,856.7437500000004
2021-07-19,3,2021-07-22 00:00:00,643.3187499999997
2021-07-26,3,2021-07-29 00:00:00,884.3312499999997
2021-08-02,3,2021-08-05 00:00:00,-12522.231249999999
2021-08-09,3,2021-08-12 00:00:00,1175.3625000000002
2021-08-16,2,2021-08-18 00:00:00,1710.05625
2021-08-23,3,2021-08-26 00:00:00,610.4124999999997
2021-08-30,3,2021-09-02 00:00:00,-8178.393750000001
2021-09-06,3,2021-09-09 00:00:00,1483.0875
2021-09-13,3,2021-09-16 00:00:00,-3027.8812500000004
2021-09-20,3,2021-09-23 00:00:00,-81.83124999999973
2021-09-27,3,2021-09-30 00:00:00,862.4312499999994
2021-10-04,3,2021-10-07 00:00:00,1116.0062499999995
2021-10-11,3,2021-10-14 00:00:00,-5011.249999999999
2021-10-18,3,2021-10-21 00:00:00,888.1374999999998
2021-10-25,3,2021-10-28 00:00:00,3171.24375
2021-11-01,2,2021-11-03 00:00:00,1884.5500000000002
2021-11-08,3,2021-11-11 00:00:00,2097.6562499999995
2021-11-15,3,2021-11-18 00:00:00,-1080.1625
2021-11-22,3,2021-11-25 00:00:00,1886.5500000000002
2021-11-29,3,2021-12-02 00:00:00,1766.7937500000003
2021-12-13,3,2021-12-16 00:00:00,-4415.706249999999
2021-12-20,3,2021-12-23 00:00:00,3737.4937500000005
2021-12-27,3,2021-12-30 00:00:00,2500.1812499999996
2022-01-03,3,2022-01-06 00:00:00,570.6250000000002
2022-01-10,3,2022-01-13 00:00:00,1542.09375
2022-01-17,3,2022-01-20 00:00:00,-8303.875
2022-01-24,3,2022-01-27 00:00:00,1702.93125
2022-01-31,3,2022-02-03 00:00:00,5286.756249999999
2022-02-07,3,2022-02-10 00:00:00,1801.0687500000001
2022-02-14,3,2022-02-17 00:00:00,4863.375000000001
2022-02-21,3,2022-02-24 00:00:00,2641.9312500000005
2022-02-28,3,2022-03-03 00:00:00,3796.106249999999
2022-03-07,3,2022-03-10 00:00:00,-7212.587499999998
2022-03-14,3,2022-03-17 00:00:00,-7064.875
2022-03-21,3,2022-03-24 00:00:00,2037.7500000000005
2022-03-28,3,2022-03-31 00:00:00,2008.3625000000006
2022-04-04,3,2022-04-07 00:00:00,1676.1562499999998
2022-04-11,2,2022-04-13 00:00:00,2297.6812499999996
2022-04-18,3,2022-04-21 00:00:00,2694.2624999999994
2022-04-25,3,2022-04-28 00:00:00,3200.1937500000013
2022-05-02,3,2022-05-05 00:00:00,2508.0562499999996
2022-05-09,3,2022-05-12 00:00:00,2696.2125
2022-05-16,3,2022-05-19 00:00:00,2614.7375
2022-05-23,3,2022-05-26 00:00:00,4031.2312500000003
2022-05-30,3,2022-06-02 00:00:00,2775.7874999999995
2022-06-06,3,2022-06-09 00:00:00,3121.1625
2022-06-13,3,2022-06-16 00:00:00,3750.8062499999996
2022-06-27,3,2022-06-30 00:00:00,2771.5687499999995
2022-07-04,3,2022-07-07 00:00:00,920.46875
2022-07-11,3,2022-07-14 00:00:00,1996.8749999999998
2022-07-18,3,2022-07-21 00:00:00,-4517.4875
2022-07-25,3,2022-07-28 00:00:00,2697.2437499999996
2022-08-01,3,2022-08-04 00:00:00,1669.3562500000005
2022-08-08,3,2022-08-11 00:00:00,2151.075
2022-08-22,3,2022-08-25 00:00:00,996.2250000000001
2022-08-29,3,2022-09-01 00:00:00,1519.8374999999996
2022-09-05,3,2022-09-08 00:00:00,2394.825
2022-09-12,3,2022-09-15 00:00:00,1389.0562499999999
2022-09-19,3,2022-09-22 00:00:00,2525.1312499999995
2022-09-26,3,2022-09-29 00:00:00,3925.4624999999996
2022-10-03,3,2022-10-06 00:00:00,2208.3937499999993
2022-10-10,3,2022-10-13 00:00:00,1546.1625000000001
2022-10-17,3,2022-10-20 00:00:00,-1917.3687499999996
2022-10-31,3,2022-11-03 00:00:00,1264.6374999999998
2022-11-07,3,2022-11-10 00:00:00,606.4937499999999
2022-11-14,3,2022-11-17 00:00:00,1323.2812500000002
2022-11-21,3,2022-11-24 00:00:00,1155.4312499999996
2022-11-28,3,2022-12-01 00:00:00,-3605.668749999999
2022-12-05,3,2022-12-08 00:00:00,1367.2124999999999
2022-12-12,3,2022-12-15 00:00:00,744.0
2022-12-19,3,2022-12-22 00:00:00,994.8374999999997
2022-12-26,3,2022-12-29 00:00:00,1456.7250000000001
2023-01-02,3,2023-01-05 00:00:00,1826.6437500000002
2023-01-09,3,2023-01-12 00:00:00,305.32500000000005
2023-01-16,3,2023-01-19 00:00:00,929.1000000000004
2023-01-23,2,2023-01-25 00:00:00,1758.0750000000003
2023-01-30,3,2023-02-02 00:00:00,3451.7250000000017
2023-02-06,3,2023-02-09 00:00:00,2046.975
2023-02-13,3,2023-02-16 00:00:00,148.01874999999995
2023-02-20,3,2023-02-23 00:00:00,-6010.812500000002
2023-02-27,3,2023-03-02 00:00:00,1397.06875
2023-03-06,3,2023-03-09 00:00:00,418.13125000000014
2023-03-13,3,2023-03-16 00:00:00,-12150.075000000003
2023-03-20,3,2023-03-23 00:00:00,1958.5875000000005
2023-03-27,2,2023-03-29 00:00:00,2188.2562499999995
2023-04-03,3,2023-04-06 00:00:00,654.9187500000005
2023-04-10,3,2023-04-13 00:00:00,878.6250000000002
2023-04-17,3,2023-04-20 00:00:00,1765.0875000000005
2023-04-24,3,2023-04-27 00:00:00,192.33125000000007
2023-05-08,3,2023-05-11 00:00:00,742.1624999999998
2023-05-15,3,2023-05-18 00:00:00,355.5062499999997
2023-05-22,3,2023-05-25 00:00:00,805.01875
2023-05-29,3,2023-06-01 00:00:00,1349.4750000000004
2023-06-05,3,2023-06-08 00:00:00,987.3750000000002
2023-06-12,3,2023-06-15 00:00:00,1053.1499999999999
2023-06-19,3,2023-06-22 00:00:00,408.5375
2023-06-26,3,2023-06-29 00:00:00,834.1125
2023-07-03,3,2023-07-06 00:00:00,920.3374999999996
2023-07-10,3,2023-07-13 00:00:00,1354.1250000000002
2023-07-17,3,2023-07-20 00:00:00,-7588.637500000001
2023-07-24,3,2023-07-27 00:00:00,2461.7062499999993
2023-07-31,3,2023-08-03 00:00:00,1757.2687499999997
2023-08-07,3,2023-08-10 00:00:00,1270.14375
2023-08-14,3,2023-08-17 00:00:00,850.1062500000003
2023-08-21,3,2023-08-24 00:00:00,730.5375000000001
2023-08-28,3,2023-08-31 00:00:00,1590.975
2023-09-04,3,2023-09-07 00:00:00,886.5374999999999
2023-09-11,3,2023-09-14 00:00:00,877.7562499999998
2023-09-18,3,2023-09-21 00:00:00,-7396.787500000001
2023-09-25,3,2023-09-28 00:00:00,1492.2750000000003
2023-10-09,3,2023-10-12 00:00:00,-1828.1374999999994
2023-10-16,3,2023-10-19 00:00:00,1499.8125
2023-10-23,3,2023-10-26 00:00:00,-22945.8375
2023-10-30,3,2023-11-02 00:00:00,1980.9
2023-11-06,3,2023-11-09 00:00:00,1037.8874999999998
2023-11-13,3,2023-11-16 00:00:00,-7553.643750000001
2023-11-20,3,2023-11-23 00:00:00,1351.7812499999995
2023-12-04,3,2023-12-07 00:00:00,-3804.3187500000013
2023-12-11,3,2023-12-14 00:00:00,1500.5250000000005
2023-12-18,3,2023-12-21 00:00:00,1768.74375
2024-01-01,3,2024-01-04 00:00:00,1140.7749999999999
2024-01-08,3,2024-01-11 00:00:00,1083.0625000000002
2024-01-15,3,2024-01-18 00:00:00,-13325.343749999998
2024-01-29,3,2024-02-01 00:00:00,5811.824999999999
2024-02-05,3,2024-02-08 00:00:00,2690.8
2024-02-12,3,2024-02-15 00:00:00,1679.5062500000001
2024-02-19,3,2024-02-22 00:00:00,2456.6624999999995
