Date,DaysToExpiry,ExpiryDate,PnL
2021-06-07,3,2021-06-10 00:00:00,2323.325
2021-06-14,3,2021-06-17 00:00:00,-803.1375000000007
2021-06-21,3,2021-06-24 00:00:00,243.73750000000018
2021-06-28,3,2021-07-01 00:00:00,1923.525
2021-07-05,3,2021-07-08 00:00:00,1658.4750000000004
2021-07-12,3,2021-07-15 00:00:00,1969.4250000000002
2021-07-19,3,2021-07-22 00:00:00,-2287.7125
2021-07-26,3,2021-07-29 00:00:00,-2502.7625
2021-08-02,3,2021-08-05 00:00:00,-6831.8125
2021-08-09,3,2021-08-12 00:00:00,1751.7999999999997
2021-08-16,2,2021-08-18 00:00:00,2689.125000000001
2021-08-23,3,2021-08-26 00:00:00,2145.4
2021-08-30,3,2021-09-02 00:00:00,-4434.212500000001
2021-09-06,3,2021-09-09 00:00:00,2260.25
2021-09-13,3,2021-09-16 00:00:00,-2996.875000000001
2021-09-20,3,2021-09-23 00:00:00,2633.625
2021-09-27,3,2021-09-30 00:00:00,-1095.4
2021-10-04,3,2021-10-07 00:00:00,2328.575
2021-10-11,3,2021-10-14 00:00:00,-3468.8624999999993
2021-10-18,3,2021-10-21 00:00:00,-2068.4375
2021-10-25,3,2021-10-28 00:00:00,4641.325
2021-11-01,2,2021-11-03 00:00:00,4470.45
2021-11-08,3,2021-11-11 00:00:00,-1197.6749999999993
2021-11-15,3,2021-11-18 00:00:00,-2631.0124999999994
2021-11-22,3,2021-11-25 00:00:00,-2356.5875000000005
2021-11-29,3,2021-12-02 00:00:00,5996.774999999999
2021-12-13,3,2021-12-16 00:00:00,-5426.374999999999
2021-12-20,3,2021-12-23 00:00:00,-7440.775
2021-12-27,3,2021-12-30 00:00:00,-44.87500000000091
2022-01-03,3,2022-01-06 00:00:00,-546.2750000000001
2022-01-10,3,2022-01-13 00:00:00,3348.925000000001
2022-01-17,3,2022-01-20 00:00:00,-6157.762499999999
2022-01-24,3,2022-01-27 00:00:00,-938.6999999999998
2022-01-31,3,2022-02-03 00:00:00,10409.524999999998
2022-02-07,3,2022-02-10 00:00:00,-2233.2124999999987
2022-02-14,3,2022-02-17 00:00:00,7585.4000000000015
2022-02-21,3,2022-02-24 00:00:00,5204.225000000001
2022-02-28,3,2022-03-03 00:00:00,-1107.1000000000022
2022-03-07,3,2022-03-10 00:00:00,-7810.987499999999
2022-03-14,3,2022-03-17 00:00:00,-7236.550000000001
2022-03-21,3,2022-03-24 00:00:00,5580.350000000001
2022-03-28,3,2022-03-31 00:00:00,4057.05
2022-04-04,3,2022-04-07 00:00:00,40.649999999999636
2022-04-11,2,2022-04-13 00:00:00,3720.075
2022-04-18,3,2022-04-21 00:00:00,-3542.037500000002
2022-04-25,3,2022-04-28 00:00:00,4776.974999999999
2022-05-02,3,2022-05-05 00:00:00,4178.425
2022-05-09,3,2022-05-12 00:00:00,5569.500000000001
2022-05-16,3,2022-05-19 00:00:00,-575.9875000000002
2022-05-23,3,2022-05-26 00:00:00,6399.025
2022-05-30,3,2022-06-02 00:00:00,4320.0
2022-06-06,3,2022-06-09 00:00:00,4772.6
2022-06-13,3,2022-06-16 00:00:00,5354.575000000001
2022-06-27,3,2022-06-30 00:00:00,4240.825000000001
2022-07-04,3,2022-07-07 00:00:00,-1116.5874999999996
2022-07-11,3,2022-07-14 00:00:00,2970.55
2022-07-18,3,2022-07-21 00:00:00,-6244.837500000001
2022-07-25,3,2022-07-28 00:00:00,3768.0250000000005
2022-08-01,3,2022-08-04 00:00:00,3723.975
2022-08-08,3,2022-08-11 00:00:00,3140.8
2022-08-22,3,2022-08-25 00:00:00,2564.4500000000007
2022-08-29,3,2022-09-01 00:00:00,-508.6500000000019
2022-09-05,3,2022-09-08 00:00:00,3395.1000000000004
2022-09-12,3,2022-09-15 00:00:00,2704.425
2022-09-19,3,2022-09-22 00:00:00,-2254.6500000000015
2022-09-26,3,2022-09-29 00:00:00,5531.900000000001
2022-10-03,3,2022-10-06 00:00:00,3999.9750000000004
2022-10-10,3,2022-10-13 00:00:00,3364.4499999999994
2022-10-17,3,2022-10-20 00:00:00,-4292.85
2022-10-31,3,2022-11-03 00:00:00,236.57500000000027
2022-11-07,3,2022-11-10 00:00:00,1841.1250000000002
2022-11-14,3,2022-11-17 00:00:00,1975.375
2022-11-21,3,2022-11-24 00:00:00,1833.475
2022-11-28,3,2022-12-01 00:00:00,-3401.812500000001
2022-12-05,3,2022-12-08 00:00:00,2131.0
2022-12-12,3,2022-12-15 00:00:00,-1953.249999999999
2022-12-19,3,2022-12-22 00:00:00,2331.4
2022-12-26,3,2022-12-29 00:00:00,3637.9999999999995
2023-01-02,3,2023-01-05 00:00:00,2652.6749999999997
2023-01-09,3,2023-01-12 00:00:00,1915.95
2023-01-16,3,2023-01-19 00:00:00,2348.7000000000003
2023-01-23,2,2023-01-25 00:00:00,2615.7
2023-01-30,3,2023-02-02 00:00:00,7627.250000000001
2023-02-06,3,2023-02-09 00:00:00,3154.6000000000004
2023-02-13,3,2023-02-16 00:00:00,-420.4249999999993
2023-02-20,3,2023-02-23 00:00:00,-5473.425000000002
2023-02-27,3,2023-03-02 00:00:00,3112.375
2023-03-06,3,2023-03-09 00:00:00,1483.9250000000002
2023-03-13,3,2023-03-16 00:00:00,-8141.562500000002
2023-03-20,3,2023-03-23 00:00:00,4201.1
2023-03-27,2,2023-03-29 00:00:00,3299.2749999999996
2023-04-03,3,2023-04-06 00:00:00,-405.68749999999955
2023-04-10,3,2023-04-13 00:00:00,1762.3500000000004
2023-04-17,3,2023-04-20 00:00:00,2686.7500000000005
2023-04-24,3,2023-04-27 00:00:00,631.825
2023-05-08,3,2023-05-11 00:00:00,1660.0999999999995
2023-05-15,3,2023-05-18 00:00:00,2093.375
2023-05-22,3,2023-05-25 00:00:00,1728.175
2023-05-29,3,2023-06-01 00:00:00,1945.75
2023-06-05,3,2023-06-08 00:00:00,1508.4
2023-06-12,3,2023-06-15 00:00:00,1565.7999999999997
