Date,DaysToExpiry,ExpiryDate,PnL
2021-06-07,3,2021-06-10 00:00:00,1078.7
2021-06-14,3,2021-06-17 00:00:00,881.2750000000001
2021-06-21,3,2021-06-24 00:00:00,584.8125000000001
2021-06-28,3,2021-07-01 00:00:00,1115.3125
2021-07-05,3,2021-07-08 00:00:00,187.26249999999993
2021-07-12,3,2021-07-15 00:00:00,-202.61250000000018
2021-07-19,3,2021-07-22 00:00:00,-30.712499999999636
2021-07-26,3,2021-07-29 00:00:00,2.77499999999975
2021-08-02,3,2021-08-05 00:00:00,-6366.799999999999
2021-08-09,3,2021-08-12 00:00:00,1116.05
2021-08-16,2,2021-08-18 00:00:00,936.375
2021-08-23,3,2021-08-26 00:00:00,311.3499999999998
2021-08-30,3,2021-09-02 00:00:00,-1652.8625
2021-09-06,3,2021-09-09 00:00:00,1026.6499999999999
2021-09-13,3,2021-09-16 00:00:00,-726.8
2021-09-20,3,2021-09-23 00:00:00,1365.3125
2021-09-27,3,2021-09-30 00:00:00,-3.4750000000001364
2021-10-04,3,2021-10-07 00:00:00,1230.1374999999998
2021-10-11,3,2021-10-14 00:00:00,-75.73749999999995
2021-10-18,3,2021-10-21 00:00:00,-138.9124999999999
2021-10-25,3,2021-10-28 00:00:00,2051.775
2021-11-01,2,2021-11-03 00:00:00,1939.7375
2021-11-08,3,2021-11-11 00:00:00,1561.1124999999997
2021-11-15,3,2021-11-18 00:00:00,-904.1624999999999
2021-11-22,3,2021-11-25 00:00:00,1900.2875000000001
2021-11-29,3,2021-12-02 00:00:00,1205.0374999999997
2021-12-06,3,2021-12-09 00:00:00,-2705.450000000001
2021-12-13,3,2021-12-16 00:00:00,2185.2875
2021-12-20,3,2021-12-23 00:00:00,-3186.8624999999997
2021-12-27,3,2021-12-30 00:00:00,1963.2999999999997
2022-01-03,3,2022-01-06 00:00:00,456.9499999999998
2022-01-10,3,2022-01-13 00:00:00,1261.8875
2022-01-17,3,2022-01-20 00:00:00,-5822.875000000001
2022-01-24,3,2022-01-27 00:00:00,3146.2000000000007
2022-01-31,3,2022-02-03 00:00:00,6002.8875
2022-02-07,3,2022-02-10 00:00:00,1017.1125000000002
2022-02-14,3,2022-02-17 00:00:00,847.7125000000001
2022-02-21,3,2022-02-24 00:00:00,-11420.037499999997
2022-02-28,3,2022-03-03 00:00:00,4249.0375
2022-03-07,3,2022-03-10 00:00:00,-4910.2750000000015
2022-03-14,3,2022-03-17 00:00:00,3072.5125000000007
2022-03-21,3,2022-03-24 00:00:00,3510.075
2022-03-28,3,2022-03-31 00:00:00,1597.6874999999998
2022-04-04,3,2022-04-07 00:00:00,1503.7875000000001
2022-04-11,2,2022-04-13 00:00:00,261.2000000000003
2022-04-18,3,2022-04-21 00:00:00,489.57500000000005
2022-04-25,3,2022-04-28 00:00:00,2241.5
2022-05-02,3,2022-05-05 00:00:00,1876.4
2022-05-09,3,2022-05-12 00:00:00,-971.9249999999997
2022-05-16,3,2022-05-19 00:00:00,1172.1499999999999
2022-05-23,3,2022-05-26 00:00:00,2509.875
2022-05-30,3,2022-06-02 00:00:00,2148.975
2022-06-06,3,2022-06-09 00:00:00,2057.3125
2022-06-13,3,2022-06-16 00:00:00,2305.6125
2022-06-27,3,2022-06-30 00:00:00,2015.5125000000003
2022-07-04,3,2022-07-07 00:00:00,987.5499999999997
2022-07-11,3,2022-07-14 00:00:00,737.9124999999999
2022-07-18,3,2022-07-21 00:00:00,-74.38749999999982
2022-07-25,3,2022-07-28 00:00:00,63.125
2022-08-01,3,2022-08-04 00:00:00,1159.2625000000003
2022-08-08,3,2022-08-11 00:00:00,1227.8
2022-08-22,3,2022-08-25 00:00:00,1103.7625
2022-08-29,3,2022-09-01 00:00:00,580.2
2022-09-05,3,2022-09-08 00:00:00,1394.5
2022-09-12,3,2022-09-15 00:00:00,1414.7
2022-09-19,3,2022-09-22 00:00:00,778.3625000000006
2022-09-26,3,2022-09-29 00:00:00,2130.15
2022-10-03,3,2022-10-06 00:00:00,558.4625000000003
2022-10-10,3,2022-10-13 00:00:00,1788.9250000000002
2022-10-17,3,2022-10-20 00:00:00,967.1000000000003
2022-10-31,3,2022-11-03 00:00:00,589.525
2022-11-07,3,2022-11-10 00:00:00,877.1125
2022-11-14,3,2022-11-17 00:00:00,832.6749999999998
2022-11-21,3,2022-11-24 00:00:00,800.0375000000001
2022-11-28,3,2022-12-01 00:00:00,-58.987499999999955
2022-12-05,3,2022-12-08 00:00:00,1021.7125000000003
2022-12-12,3,2022-12-15 00:00:00,115.6875
2022-12-19,3,2022-12-22 00:00:00,197.26249999999982
2022-12-26,3,2022-12-29 00:00:00,1520.875
2023-01-02,3,2023-01-05 00:00:00,1110.8125
2023-01-09,3,2023-01-12 00:00:00,218.29999999999995
2023-01-16,3,2023-01-19 00:00:00,124.1875
2023-01-23,2,2023-01-25 00:00:00,-1039.0874999999996
2023-01-30,3,2023-02-02 00:00:00,683.5625
2023-02-06,3,2023-02-09 00:00:00,1436.7124999999999
2023-02-13,3,2023-02-16 00:00:00,-293.13750000000005
2023-02-20,3,2023-02-23 00:00:00,684.3375000000001
2023-02-27,3,2023-03-02 00:00:00,1389.2625
2023-03-06,3,2023-03-09 00:00:00,-200.07499999999993
2023-03-13,3,2023-03-16 00:00:00,1856.6000000000001
2023-03-20,3,2023-03-23 00:00:00,854.175
2023-03-27,2,2023-03-29 00:00:00,1095.45
2023-04-03,3,2023-04-06 00:00:00,-99.97499999999991
2023-04-10,3,2023-04-13 00:00:00,141.9375
2023-04-17,3,2023-04-20 00:00:00,687.7375
2023-04-24,3,2023-04-27 00:00:00,498.32500000000005
2023-05-08,3,2023-05-11 00:00:00,762.7999999999998
2023-05-15,3,2023-05-18 00:00:00,-1484.8250000000003
2023-05-22,3,2023-05-25 00:00:00,720.6625
2023-05-29,3,2023-06-01 00:00:00,916.95
2023-06-05,3,2023-06-08 00:00:00,989.1875
2023-06-12,3,2023-06-15 00:00:00,553.7875
2023-06-19,3,2023-06-22 00:00:00,672.8125
2023-06-26,3,2023-06-29 00:00:00,73.72500000000008
2023-07-03,3,2023-07-06 00:00:00,820.2625000000002
2023-07-10,3,2023-07-13 00:00:00,805.1250000000001
2023-07-17,3,2023-07-20 00:00:00,-1354.3750000000002
2023-07-24,3,2023-07-27 00:00:00,1452.675
2023-07-31,3,2023-08-03 00:00:00,-2029.9624999999999
2023-08-07,3,2023-08-10 00:00:00,767.6625000000001
2023-08-14,3,2023-08-17 00:00:00,702.8874999999999
2023-08-21,3,2023-08-24 00:00:00,696.675
2023-08-28,3,2023-08-31 00:00:00,812.5875
2023-09-04,3,2023-09-07 00:00:00,498.95
2023-09-11,3,2023-09-14 00:00:00,193.5625
2023-09-18,3,2023-09-21 00:00:00,-3997.4375
2023-09-25,3,2023-09-28 00:00:00,840.2374999999998
2023-10-09,3,2023-10-12 00:00:00,181.92500000000007
2023-10-16,3,2023-10-19 00:00:00,953.675
2023-10-23,3,2023-10-26 00:00:00,-9515.2375
2023-10-30,3,2023-11-02 00:00:00,1424.1
2023-11-06,3,2023-11-09 00:00:00,662.5749999999999
2023-11-13,3,2023-11-16 00:00:00,-4141.725
2023-11-20,3,2023-11-23 00:00:00,976.3125000000001
2023-12-04,3,2023-12-07 00:00:00,262.72500000000014
2023-12-11,3,2023-12-14 00:00:00,979.3125
2023-12-18,3,2023-12-21 00:00:00,218.54999999999995
