Date,DaysToExpiry,ExpiryDate,PnL
2021-06-07,3,2021-06-10 00:00:00,1266.6374999999996
2021-06-14,3,2021-06-17 00:00:00,1020.5624999999997
2021-06-21,3,2021-06-24 00:00:00,190.61250000000018
2021-06-28,3,2021-07-01 00:00:00,1352.6812500000005
2021-07-05,3,2021-07-08 00:00:00,-34.537500000000136
2021-07-12,3,2021-07-15 00:00:00,-700.1500000000001
2021-07-19,3,2021-07-22 00:00:00,-682.1750000000002
2021-07-26,3,2021-07-29 00:00:00,-671.7125000000003
2021-08-02,3,2021-08-05 00:00:00,-6709.575000000001
2021-08-09,3,2021-08-12 00:00:00,1342.4250000000004
2021-08-16,2,2021-08-18 00:00:00,1084.2749999999999
2021-08-23,3,2021-08-26 00:00:00,98.56874999999968
2021-08-30,3,2021-09-02 00:00:00,-1783.4625000000005
2021-09-06,3,2021-09-09 00:00:00,1127.9625000000003
2021-09-13,3,2021-09-16 00:00:00,1165.0124999999998
2021-09-20,3,2021-09-23 00:00:00,2166.20625
2021-09-27,3,2021-09-30 00:00:00,-540.3187499999999
2021-10-04,3,2021-10-07 00:00:00,1543.8562499999998
2021-10-11,3,2021-10-14 00:00:00,1521.5249999999996
2021-10-18,3,2021-10-21 00:00:00,-841.9499999999998
2021-10-25,3,2021-10-28 00:00:00,2456.5125
2021-11-01,2,2021-11-03 00:00:00,2274.13125
2021-11-08,3,2021-11-11 00:00:00,1731.0562499999996
2021-11-15,3,2021-11-18 00:00:00,-1649.5812499999997
2021-11-22,3,2021-11-25 00:00:00,2063.4562499999993
2021-11-29,3,2021-12-02 00:00:00,884.6687500000007
2021-12-06,3,2021-12-09 00:00:00,-3287.4187500000007
2021-12-13,3,2021-12-16 00:00:00,2887.8187500000004
2021-12-20,3,2021-12-23 00:00:00,-4145.887500000001
2021-12-27,3,2021-12-30 00:00:00,2418.4875
2022-01-03,3,2022-01-06 00:00:00,-106.60000000000036
2022-01-10,3,2022-01-13 00:00:00,1537.63125
2022-01-17,3,2022-01-20 00:00:00,-6362.31875
2022-01-24,3,2022-01-27 00:00:00,3724.8375000000005
2022-01-31,3,2022-02-03 00:00:00,6735.61875
2022-02-07,3,2022-02-10 00:00:00,2522.6062500000003
2022-02-14,3,2022-02-17 00:00:00,-103.29374999999982
2022-02-21,3,2022-02-24 00:00:00,-12401.168749999997
2022-02-28,3,2022-03-03 00:00:00,4376.718750000002
2022-03-07,3,2022-03-10 00:00:00,-7076.9312500000015
2022-03-14,3,2022-03-17 00:00:00,5246.71875
2022-03-21,3,2022-03-24 00:00:00,3872.1375000000007
2022-03-28,3,2022-03-31 00:00:00,1882.25625
2022-04-04,3,2022-04-07 00:00:00,1561.74375
2022-04-11,2,2022-04-13 00:00:00,-294.1750000000002
2022-04-18,3,2022-04-21 00:00:00,2435.7750000000005
2022-04-25,3,2022-04-28 00:00:00,2803.35
2022-05-02,3,2022-05-05 00:00:00,2274.6375
2022-05-09,3,2022-05-12 00:00:00,3093.6187499999987
2022-05-16,3,2022-05-19 00:00:00,641.5437500000007
2022-05-23,3,2022-05-26 00:00:00,3120.9374999999995
2022-05-30,3,2022-06-02 00:00:00,2500.8749999999995
2022-06-06,3,2022-06-09 00:00:00,2412.618749999999
2022-06-13,3,2022-06-16 00:00:00,2725.2937499999994
2022-06-27,3,2022-06-30 00:00:00,2392.4062500000005
2022-07-04,3,2022-07-07 00:00:00,671.431250000001
2022-07-11,3,2022-07-14 00:00:00,982.7062499999997
2022-07-18,3,2022-07-21 00:00:00,-477.7062500000004
2022-07-25,3,2022-07-28 00:00:00,-834.3187499999999
2022-08-01,3,2022-08-04 00:00:00,1360.9687499999998
2022-08-08,3,2022-08-11 00:00:00,1437.2625000000003
2022-08-22,3,2022-08-25 00:00:00,1301.26875
2022-08-29,3,2022-09-01 00:00:00,58.51249999999982
2022-09-05,3,2022-09-08 00:00:00,1622.9249999999997
2022-09-12,3,2022-09-15 00:00:00,1782.825
2022-09-19,3,2022-09-22 00:00:00,176.04375000000027
2022-09-26,3,2022-09-29 00:00:00,3028.575
2022-10-03,3,2022-10-06 00:00:00,419.80624999999964
2022-10-10,3,2022-10-13 00:00:00,2146.3875
2022-10-17,3,2022-10-20 00:00:00,777.10625
2022-10-31,3,2022-11-03 00:00:00,306.2562499999997
2022-11-07,3,2022-11-10 00:00:00,1048.40625
2022-11-14,3,2022-11-17 00:00:00,977.9624999999999
2022-11-21,3,2022-11-24 00:00:00,932.7937499999999
2022-11-28,3,2022-12-01 00:00:00,-591.3937499999997
2022-12-05,3,2022-12-08 00:00:00,1188.7312499999996
2022-12-12,3,2022-12-15 00:00:00,-493.50625000000036
2022-12-19,3,2022-12-22 00:00:00,-207.21249999999964
2022-12-26,3,2022-12-29 00:00:00,1793.5500000000002
2023-01-02,3,2023-01-05 00:00:00,1284.5062500000004
2023-01-09,3,2023-01-12 00:00:00,-91.50625000000014
2023-01-16,3,2023-01-19 00:00:00,-505.37499999999955
2023-01-23,2,2023-01-25 00:00:00,-1512.1625000000001
2023-01-30,3,2023-02-02 00:00:00,-1110.1749999999993
2023-02-06,3,2023-02-09 00:00:00,1712.75625
2023-02-13,3,2023-02-16 00:00:00,-632.6749999999997
2023-02-20,3,2023-02-23 00:00:00,306.25
2023-02-27,3,2023-03-02 00:00:00,1618.85625
2023-03-06,3,2023-03-09 00:00:00,-720.9625000000001
2023-03-13,3,2023-03-16 00:00:00,2228.9625
2023-03-20,3,2023-03-23 00:00:00,194.25
2023-03-27,2,2023-03-29 00:00:00,1281.225
2023-04-03,3,2023-04-06 00:00:00,-390.90625
2023-04-10,3,2023-04-13 00:00:00,-122.72500000000014
2023-04-17,3,2023-04-20 00:00:00,833.3437499999998
2023-04-24,3,2023-04-27 00:00:00,594.6750000000002
2023-05-08,3,2023-05-11 00:00:00,895.8750000000002
2023-05-15,3,2023-05-18 00:00:00,-2179.7000000000003
2023-05-22,3,2023-05-25 00:00:00,874.3312499999997
2023-05-29,3,2023-06-01 00:00:00,1062.7125
