Date,vix,Position,Action,PE_Long_Time,PE_Short_Time,CE_Short_Time,CE_Long_Time,Index Value,PE_Long_Strike,PE_Short_Strike,CE_Short_Strike,CE_Long_Strike,ExpiryDate,DaysToExpiry,Day,PE_Long_Premium,PE_Short_Premium,CE_Short_Premium,CE_Long_Premium,PE_Long_Stoploss,PE_Short_Stoploss,CE_Short_Stoploss,CE_Long_Stoploss,PE_Short_target,CE_Short_target,PE_Long_Exit,PE_Short_Exit,CE_Short_Exit,CE_Long_Exit,Premium
2024-06-03,20.26,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23135.6,22200.0,22650,23650,24150,2024-06-06 00:00:00,3,Monday,69.65,138.4,145.25,71.05,0,346.0,363.125,0,27.680000000000003,29.05,,,,,285.9
2024-06-03,,0,Long,2024-06-04 09:23:00,2024-06-04 09:23:00,2024-06-06 15:00:00,2024-06-06 15:00:00,,22200.0,22650,23650,24150,2024-06-06 00:00:00,3,Monday,"[266.4, 0.15]","[436.05, 1.6]","[29.45, 29.45]","[13.8, 13.8]",0,,,0,,,Exit,SL hit,Universal exit,Exit,-202.40000000000003
2024-06-04,25.22,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,22478.85,21450.0,22000,23000,23500,2024-06-06 00:00:00,2,Tuesday,142.05,279.55,235.65,119.4,0,698.875,589.125,0,55.91,47.13,,,,,507.5
2024-06-04,,0,Long,2024-06-04 12:11:00,2024-06-04 12:11:00,2024-06-05 09:16:00,2024-06-05 09:16:00,,21450.0,22000,23000,23500,2024-06-06 00:00:00,2,Tuesday,"[409.3, 0.05]","[735.8, 0.1]","[28.55, 28.55]","[16.65, 16.65]",0,,,0,,,Exit,SL hit,Target hit,Exit,-350.35
2024-06-05,21.94,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,22008.2,21400.0,21700,22300,23550,2024-06-06 00:00:00,1,Wednesday,71.0,137.0,80.1,39.95,0,342.5,200.25,0,27.4,16.02,,,,,212.3
2024-06-05,,0,Long,2024-06-05 11:30:00,2024-06-05 11:30:00,2024-06-05 11:27:00,2024-06-05 11:27:00,,21400.0,21700,22300,23550,2024-06-06 00:00:00,1,Wednesday,"[12.45, 12.45]","[26.75, 26.75]","[214.1, 472.55]","[39.3, 33.9]",0,,,0,,,Exit,Target hit,SL hit,Exit,-642.05
2024-06-06,17.85,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,22714.7,22550.0,22700,22700,22850,2024-06-06 00:00:00,0,Thursday,62.15,121.45,117.25,64.35,0,303.625,293.125,0,24.290000000000003,23.450000000000003,,,,,224.4
2024-06-06,,0,Long,2024-06-06 11:00:00,2024-06-06 11:00:00,2024-06-06 14:42:00,2024-06-06 14:42:00,,22550.0,22700,22700,22850,2024-06-06 00:00:00,0,Thursday,"[9.95, 9.95]","[24.25, 24.25]","[22.85, 22.85]","[1.7, 1.7]",0,,,0,,,Exit,Target hit,Target hit,Exit,-70.9
2024-06-07,16.98,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,22919.25,22000.0,22300,23500,24050,2024-06-13 00:00:00,6,Friday,28.3,56.15,46.2,23.9,0,140.375,115.5,0,11.23,9.24,,,,,100.29999999999998
2024-06-07,,0,Long,2024-06-10 09:28:00,2024-06-10 09:28:00,2024-06-07 14:17:00,2024-06-07 14:17:00,,22000.0,22300,23500,24050,2024-06-13 00:00:00,6,Friday,"[5.95, 5.95]","[10.2, 10.2]","[117.6, 0.35]","[22.55, 0.05]",0,,,0,,,Exit,Target hit,SL hit,Exit,-103.85
2024-06-10,16.89,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23399.65,22700.0,22950,23850,24050,2024-06-13 00:00:00,3,Monday,27.75,55.9,43.65,22.0,0,139.75,109.125,0,11.18,8.73,,,,,99.6
2024-06-10,,0,Long,2024-06-12 09:53:00,2024-06-12 09:53:00,2024-06-11 09:34:00,2024-06-11 09:34:00,,22700.0,22950,23850,24050,2024-06-13 00:00:00,3,Monday,"[3.75, 3.75]","[11.0, 11.0]","[7.8, 7.8]","[3.3, 3.3]",0,,,0,,,Exit,Target hit,Target hit,Exit,-23.5
2024-06-11,15.92,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23282.7,22800.0,22950,23650,23800,2024-06-13 00:00:00,2,Tuesday,25.35,47.25,28.1,12.85,0,118.125,70.25,0,9.45,5.620000000000001,,,,,74.29999999999998
2024-06-11,,0,Long,2024-06-12 10:42:00,2024-06-12 10:42:00,2024-06-12 15:01:00,2024-06-12 15:01:00,,22800.0,22950,23650,23800,2024-06-13 00:00:00,2,Tuesday,"[5.05, 5.05]","[8.9, 8.9]","[5.6, 5.6]","[1.4, 1.4]",0,,,0,,,Exit,Target hit,Target hit,Exit,-16.1
2024-06-12,14.56,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23355.3,23000.0,23150,23550,23650,2024-06-13 00:00:00,1,Wednesday,17.55,37.55,23.9,10.15,0,93.875,59.75,0,7.51,4.78,,,,,67.49999999999999
2024-06-12,,0,Long,2024-06-13 09:16:00,2024-06-13 09:16:00,2024-06-13 10:29:00,2024-06-13 10:29:00,,23000.0,23150,23550,23650,2024-06-13 00:00:00,1,Wednesday,"[2.25, 2.25]","[6.0, 6.0]","[4.55, 4.55]","[1.7, 1.7]",0,,,0,,,Exit,Target hit,Target hit,Exit,-13.2
2024-06-13,14.08,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23418.2,23300.0,23400,23400,23500,2024-06-13 00:00:00,0,Thursday,21.8,51.6,66.0,26.05,0,129.0,165.0,0,10.32,13.2,,,,,139.5
2024-06-13,,0,Long,2024-06-13 14:59:00,2024-06-13 14:59:00,2024-06-13 14:11:00,2024-06-13 14:11:00,,23300.0,23400,23400,23500,2024-06-13 00:00:00,0,Thursday,"[0.55, 0.55]","[9.4, 9.4]","[13.2, 13.2]","[1.3, 1.3]",0,,,0,,,Exit,Target hit,Target hit,Exit,-41.5
2024-06-14,13.18,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23351.9,22750.0,22900,23800,23950,2024-06-20 00:00:00,6,Friday,11.8,22.0,13.7,5.95,0,55.0,34.25,0,4.4,2.74,,,,,35.900000000000006
2024-06-14,,0,Long,2024-06-18 10:00:00,2024-06-18 10:00:00,2024-06-20 10:34:00,2024-06-20 10:34:00,,22750.0,22900,23800,23950,2024-06-20 00:00:00,6,Friday,"[2.9, 2.9]","[4.3, 4.3]","[2.55, 2.55]","[0.9, 0.9]",0,,,0,,,Exit,Target hit,Target hit,Exit,-6.1
2024-06-18,13.4,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23515.0,23000.0,23200,23800,23900,2024-06-20 00:00:00,2,Tuesday,8.25,17.8,13.8,5.4,0,44.5,34.5,0,3.5600000000000005,2.76,,,,,35.900000000000006
2024-06-18,,0,Long,2024-06-20 09:15:00,2024-06-20 09:15:00,2024-06-20 10:34:00,2024-06-20 10:34:00,,23000.0,23200,23800,23900,2024-06-20 00:00:00,2,Tuesday,"[1.05, 1.05]","[2.9, 2.9]","[2.55, 2.55]","[1.15, 1.15]",0,,,0,,,Exit,Target hit,Target hit,Exit,-6.499999999999998
2024-06-19,13.17,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23557.3,23250.0,23350,23750,23800,2024-06-20 00:00:00,1,Wednesday,12.35,22.35,20.05,11.95,0,55.875,50.125,0,4.470000000000001,4.010000000000001,,,,,36.20000000000002
2024-06-19,,0,Long,2024-06-19 10:26:00,2024-06-19 10:26:00,2024-06-20 10:39:00,2024-06-20 10:39:00,,23250.0,23350,23750,23800,2024-06-20 00:00:00,1,Wednesday,"[33.8, 0.2]","[60.15, 0.3]","[4.0, 4.0]","[2.5, 2.5]",0,,,0,,,Exit,SL hit,Target hit,Exit,-29.44999999999999
2024-06-20,13.8,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23497.6,23400.0,23500,23500,23600,2024-06-20 00:00:00,0,Thursday,41.7,81.7,60.8,29.25,0,204.25,152.0,0,16.34,12.16,,,,,143.1
2024-06-20,,0,Long,2024-06-20 11:46:00,2024-06-20 11:46:00,2024-06-20 15:00:00,2024-06-20 15:00:00,,23400.0,23500,23500,23600,2024-06-20 00:00:00,0,Thursday,"[5.5, 5.5]","[16.0, 16.0]","[59.25, 59.25]","[1.9, 1.9]",0,,,0,,,Exit,Target hit,Universal exit,Exit,-135.7
2024-06-21,13.36,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23607.85,22900.0,23100,24100,24250,2024-06-27 00:00:00,6,Friday,8.9,19.25,9.5,4.45,0,48.125,23.75,0,3.85,1.9,,,,,30.8
2024-06-21,,0,Long,2024-06-26 10:36:00,2024-06-26 10:36:00,2024-06-27 12:15:00,2024-06-27 12:15:00,,22900.0,23100,24100,24250,2024-06-27 00:00:00,6,Friday,"[2.15, 2.15]","[3.85, 3.85]","[29.25, 3.25]","[3.65, 0.15]",0,,,0,,,Exit,Target hit,SL hit,Exit,-32.1
2024-06-24,13.55,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23411.0,22900.0,23050,23750,23850,2024-06-27 00:00:00,3,Monday,12.4,26.45,21.65,12.1,0,66.125,54.125,0,5.29,4.33,,,,,47.19999999999999
2024-06-24,,0,Long,2024-06-26 09:16:00,2024-06-26 09:16:00,2024-06-25 12:33:00,2024-06-25 12:33:00,,22900.0,23050,23750,23850,2024-06-27 00:00:00,3,Monday,"[2.75, 2.75]","[4.5, 4.5]","[55.95, 282.15]","[25.35, 180.4]",0,,,0,,,Exit,Target hit,SL hit,Exit,-135.84999999999997
2024-06-25,14.05,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23579.75,23150.0,23300,23900,24000,2024-06-27 00:00:00,2,Tuesday,13.35,28.6,12.6,6.3,0,71.5,31.5,0,5.720000000000001,2.52,,,,,43.10000000000001
2024-06-25,,0,Long,2024-06-26 11:54:00,2024-06-26 11:54:00,2024-06-25 13:17:00,2024-06-25 13:17:00,,23150.0,23300,23900,24000,2024-06-27 00:00:00,2,Tuesday,"[3.65, 3.65]","[5.65, 5.65]","[33.5, 134.9]","[15.85, 44.05]",0,,,0,,,Exit,Target hit,SL hit,Exit,-112.5
2024-06-26,14.42,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23696.55,23350.0,23500,23900,24000,2024-06-27 00:00:00,1,Wednesday,15.7,34.7,21.1,9.2,0,86.75,52.75,0,6.940000000000001,4.220000000000001,,,,,61.80000000000001
2024-06-26,,0,Long,2024-06-26 14:38:00,2024-06-26 14:38:00,2024-06-26 11:31:00,2024-06-26 11:31:00,,23350.0,23500,23900,24000,2024-06-27 00:00:00,1,Wednesday,"[3.8, 3.8]","[6.9, 6.9]","[54.9, 134.9]","[24.5, 44.05]",0,,,0,,,Exit,Target hit,SL hit,Exit,-127.45000000000005
2024-06-27,14.1,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23819.7,23700.0,23800,23800,23900,2024-06-27 00:00:00,0,Thursday,26.0,63.4,70.15,33.6,0,158.5,175.375,0,12.68,14.03,,,,,147.90000000000003
2024-06-27,,0,Long,2024-06-27 10:28:00,2024-06-27 10:28:00,2024-06-27 10:05:00,2024-06-27 10:05:00,,23700.0,23800,23800,23900,2024-06-27 00:00:00,0,Thursday,"[5.2, 5.2]","[11.95, 11.95]","[181.85, 230.35]","[105.0, 134.9]",0,,,0,,,Exit,Target hit,SL hit,Exit,-185.79999999999995
2024-06-28,14.14,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24131.95,23400.0,23650,24650,24800,2024-07-04 00:00:00,6,Friday,18.2,38.95,14.25,6.4,0,97.375,35.625,0,7.790000000000001,2.85,,,,,57.2
2024-06-28,,0,Long,2024-07-02 14:38:00,2024-07-02 14:38:00,2024-07-02 11:41:00,2024-07-02 11:41:00,,23400.0,23650,24650,24800,2024-07-04 00:00:00,6,Friday,"[3.1, 3.1]","[7.75, 7.75]","[2.65, 2.65]","[1.1, 1.1]",0,,,0,,,Exit,Target hit,Target hit,Exit,-12.4
2024-07-01,14.03,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24042.7,23550.0,23700,24400,24550,2024-07-04 00:00:00,3,Monday,17.4,33.15,28.7,12.45,0,82.875,71.75,0,6.63,5.74,,,,,63.99999999999999
2024-07-01,,0,Long,2024-07-03 09:16:00,2024-07-03 09:16:00,2024-07-04 13:04:00,2024-07-04 13:04:00,,23550.0,23700,24400,24550,2024-07-04 00:00:00,3,Monday,"[2.5, 2.5]","[4.7, 4.7]","[4.75, 4.75]","[0.75, 0.75]",0,,,0,,,Exit,Target hit,Target hit,Exit,-12.4
