Date,vix,Position,Action,PE_Long_Time,PE_Short_Time,CE_Short_Time,CE_Long_Time,Index Value,PE_Long_Strike,PE_Short_Strike,CE_Short_Strike,CE_Long_Strike,ExpiryDate,DaysToExpiry,Day,PE_Long_Premium,PE_Short_Premium,CE_Short_Premium,CE_Long_Premium,PE_Long_Stoploss,PE_Short_Stoploss,CE_Short_Stoploss,CE_Long_Stoploss,PE_Short_target,CE_Short_target,PE_Long_Exit,PE_Short_Exit,CE_Short_Exit,CE_Long_Exit,Premium
2024-06-03,20.26,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23135.6,22150,22650,23650,24150,2024-06-06 00:00:00,3,Monday,64.9,138.4,145.25,71.05,0,276.8,290.5,0,41.52,43.575,,,,,590.8
2024-06-03,,0,Long,2024-06-04 09:16:00,2024-06-04 09:16:00,2024-06-04 12:09:00,2024-06-04 12:09:00,,22150,22650,23650,24150,2024-06-06 00:00:00,3,Monday,"[152.85, 0.15]","[285.6, 1.6]","[42.7, 42.7]","[27.1, 27.1]",0,,,0,,,Exit,SL hit,Target hit,Exit,-462.10000000000014
2024-06-04,25.22,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,22478.85,21500,22000,23000,23500,2024-06-06 00:00:00,2,Tuesday,150.0,279.55,235.65,119.4,0,559.1,471.3,0,83.865,70.695,,,,,983.2000000000004
2024-06-04,,0,Long,2024-06-04 12:03:00,2024-06-04 12:03:00,2024-06-04 12:25:00,2024-06-04 12:25:00,,21500,22000,23000,23500,2024-06-06 00:00:00,2,Tuesday,"[315.0, 0.05]","[574.45, 0.1]","[64.1, 64.1]","[41.0, 41.0]",0,,,0,,,Exit,SL hit,Target hit,Exit,-870.8
2024-06-05,21.94,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,22008.2,21200,21700,22300,22800,2024-06-06 00:00:00,1,Wednesday,44.6,137.0,80.1,21.55,0,274.0,160.2,0,41.1,24.03,,,,,603.8
2024-06-05,,0,Long,2024-06-05 11:07:00,2024-06-05 11:07:00,2024-06-05 11:11:00,2024-06-05 11:11:00,,21200,21700,22300,22800,2024-06-06 00:00:00,1,Wednesday,"[11.85, 11.85]","[40.7, 40.7]","[166.7, 472.55]","[35.35, 9.65]",0,,,0,,,Exit,Target hit,SL hit,Exit,-972.35
2024-06-06,17.85,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,22714.7,22200,22700,22700,23200,2024-06-06 00:00:00,0,Thursday,10.5,121.45,117.25,10.65,0,242.9,234.5,0,36.435,35.175,,,,,870.1999999999999
2024-06-06,,0,Long,2024-06-06 10:37:00,2024-06-06 10:37:00,2024-06-06 14:32:00,2024-06-06 14:32:00,,22200,22700,22700,23200,2024-06-06 00:00:00,0,Thursday,"[2.05, 2.05]","[33.5, 33.5]","[29.65, 29.65]","[0.25, 0.25]",0,,,0,,,Exit,Target hit,Target hit,Exit,-243.4
2024-06-07,16.98,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,22919.25,21800,22300,23500,24000,2024-06-13 00:00:00,6,Friday,18.35,56.15,46.2,9.75,0,112.3,92.4,0,16.845,13.86,,,,,297.0
2024-06-07,,0,Long,2024-06-10 09:16:00,2024-06-10 09:16:00,2024-06-07 11:52:00,2024-06-07 11:52:00,,21800,22300,23500,24000,2024-06-13 00:00:00,6,Friday,"[5.3, 5.3]","[14.1, 14.1]","[97.0, 0.35]","[17.85, 0.05]",0,,,0,,,Exit,Target hit,SL hit,Exit,-272.95000000000005
2024-06-10,16.89,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23399.65,22450,22950,23850,24350,2024-06-13 00:00:00,3,Monday,14.05,55.9,43.65,8.1,0,111.8,87.3,0,16.77,13.095,,,,,309.6
2024-06-10,,0,Long,2024-06-12 09:16:00,2024-06-12 09:16:00,2024-06-11 09:16:00,2024-06-11 09:16:00,,22450,22950,23850,24350,2024-06-13 00:00:00,3,Monday,"[1.45, 1.45]","[15.75, 15.75]","[11.3, 11.3]","[2.2, 2.2]",0,,,0,,,Exit,Target hit,Target hit,Exit,-93.6
2024-06-11,15.92,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23282.7,22450,22950,23650,24150,2024-06-13 00:00:00,2,Tuesday,5.7,47.25,28.1,2.65,0,94.5,56.2,0,14.175,8.43,,,,,268.0
2024-06-11,,0,Long,2024-06-12 09:27:00,2024-06-12 09:27:00,2024-06-12 09:18:00,2024-06-12 09:18:00,,22450,22950,23650,24150,2024-06-13 00:00:00,2,Tuesday,"[1.55, 1.55]","[14.1, 14.1]","[8.4, 8.4]","[1.2, 1.2]",0,,,0,,,Exit,Target hit,Target hit,Exit,-79.0
2024-06-12,14.56,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23355.3,22650,23150,23550,24050,2024-06-13 00:00:00,1,Wednesday,3.45,37.55,23.9,1.35,0,75.1,47.8,0,11.265,7.169999999999999,,,,,226.6
