Date,vix,Position,Action,PE_Long_Time,PE_Short_Time,CE_Short_Time,CE_Long_Time,Index Value,PE_Long_Strike,PE_Short_Strike,CE_Short_Strike,CE_Long_Strike,ExpiryDate,DaysToExpiry,Day,PE_Long_Premium,PE_Short_Premium,CE_Short_Premium,CE_Long_Premium,PE_Long_Stoploss,PE_Short_Stoploss,CE_Short_Stoploss,CE_Long_Stoploss,PE_Short_target,CE_Short_target,PE_Long_Exit,PE_Short_Exit,CE_Short_Exit,CE_Long_Exit,Premium
2024-06-03,20.47,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,23222.8,22200,22700,23700,24200,2024-06-06 00:00:00,3,Monday,58.4,123.4,141.55,71.75,0,308.5,353.875,0,12.340000000000002,14.155,,,,,134.80000000000004
2024-06-03,,0,Long,2024-06-04 09:20:00,2024-06-04 09:20:00,2024-06-05 09:18:00,2024-06-05 09:18:00,,22200,22700,23700,24200,2024-06-06 00:00:00,3,Monday,"[152.95, 0.15]","[310.8, 3.25]","[10.05, 10.05]","[5.7, 5.7]",0,,,0,,,Exit,SL hit,Target hit,Exit,-162.20000000000005
2024-06-04,26.78,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,21909.85,20900,21400,22400,22900,2024-06-06 00:00:00,2,Tuesday,78.8,180.1,158.4,95.85,0,450.25,396.0,0,18.01,15.840000000000002,,,,,163.85000000000002
2024-06-04,,0,Long,2024-06-05 11:09:00,2024-06-05 11:09:00,2024-06-06 10:16:00,2024-06-06 10:16:00,,20900,21400,22400,22900,2024-06-06 00:00:00,2,Tuesday,"[5.5, 5.5]","[17.2, 17.2]","[411.9, 374.15]","[58.9, 1.05]",0,,,0,,,Exit,Target hit,SL hit,Exit,-364.69999999999993
2024-06-05,19.19,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,22537.4,21800,22300,22800,23300,2024-06-06 00:00:00,1,Wednesday,20.25,99.0,59.9,9.85,0,247.5,149.75,0,9.9,5.99,,,,,128.8
2024-06-05,,0,Long,2024-06-06 09:54:00,2024-06-06 09:54:00,2024-06-06 14:37:00,2024-06-06 14:37:00,,21800,22300,22800,23300,2024-06-06 00:00:00,1,Wednesday,"[0.85, 0.85]","[9.55, 9.55]","[5.9, 5.9]","[0.25, 0.25]",0,,,0,,,Exit,Target hit,Target hit,Exit,-14.35
2024-06-06,17.28,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,22724.85,22200,22700,22700,23200,2024-06-06 00:00:00,0,Thursday,0.25,39.2,40.4,0.3,0,98.0,101.0,0,3.92,4.04,,,,,79.05
2024-06-06,,0,Long,2024-06-06 14:59:00,2024-06-06 14:59:00,2024-06-06 15:00:00,2024-06-06 15:00:00,,22200,22700,22700,23200,2024-06-06 00:00:00,0,Thursday,"[0.15, 0.15]","[3.65, 3.65]","[75.1, 75.1]","[0.2, 0.2]",0,,,0,,,Exit,Target hit,Universal exit,Exit,-78.4
2024-06-07,16.64,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,23260.4,22150,22650,23850,24350,2024-06-13 00:00:00,6,Friday,17.25,51.55,32.85,6.85,0,128.875,82.125,0,5.155,3.285,,,,,60.3
2024-06-07,,0,Long,2024-06-12 09:16:00,2024-06-12 09:16:00,2024-06-11 14:41:00,2024-06-11 14:41:00,,22150,22650,23850,24350,2024-06-13 00:00:00,6,Friday,"[1.15, 1.15]","[3.45, 3.45]","[3.2, 3.2]","[1.0, 1.0]",0,,,0,,,Exit,Target hit,Target hit,Exit,-4.5
