Date,vix,Position,Action,PE_Long_Time,PE_Short_Time,CE_Short_Time,CE_Long_Time,Index Value,PE_Long_Strike,PE_Short_Strike,CE_Short_Strike,CE_Long_Strike,ExpiryDate,DaysToExpiry,Day,PE_Long_Premium,PE_Short_Premium,CE_Short_Premium,CE_Long_Premium,PE_Long_Stoploss,PE_Short_Stoploss,CE_Short_Stoploss,CE_Long_Stoploss,PE_Short_target,CE_Short_target,PE_Long_Exit,PE_Short_Exit,CE_Short_Exit,CE_Long_Exit,Premium
2024-06-03,20.47,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,23222.8,22200,22700,23700,24200,2024-06-06 00:00:00,3,Monday,58.4,123.4,141.55,71.75,0,370.2000000000001,424.65,0,37.02,42.465,,,,,404.40000000000015
2024-06-03,,0,Long,2024-06-04 09:23:00,2024-06-04 09:23:00,2024-06-04 12:09:00,2024-06-04 12:09:00,,22200,22700,23700,24200,2024-06-06 00:00:00,3,Monday,"[266.4, 0.15]","[454.55, 3.25]","[40.55, 40.55]","[25.2, 25.2]",0,,,0,,,Exit,SL hit,Target hit,Exit,-240.40000000000003
2024-06-04,26.78,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,21909.85,20900,21400,22400,22900,2024-06-06 00:00:00,2,Tuesday,78.8,180.1,158.4,95.85,0,540.3,475.2000000000001,0,54.03,47.52,,,,,491.55000000000007
2024-06-04,,0,Long,2024-06-05 09:43:00,2024-06-05 09:43:00,2024-06-05 09:21:00,2024-06-05 09:21:00,,20900,21400,22400,22900,2024-06-06 00:00:00,2,Tuesday,"[13.15, 13.15]","[51.75, 51.75]","[39.1, 39.1]","[16.4, 16.4]",0,,,0,,,Exit,Target hit,Target hit,Exit,-183.90000000000003
2024-06-05,19.19,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,22537.4,21800,22300,22800,23300,2024-06-06 00:00:00,1,Wednesday,20.25,99.0,59.9,9.85,0,297.0,179.7,0,29.7,17.97,,,,,386.4
2024-06-05,,0,Long,2024-06-06 09:16:00,2024-06-06 09:16:00,2024-06-06 14:20:00,2024-06-06 14:20:00,,21800,22300,22800,23300,2024-06-06 00:00:00,1,Wednesday,"[2.1, 2.1]","[21.75, 21.75]","[17.5, 17.5]","[0.35, 0.35]",0,,,0,,,Exit,Target hit,Target hit,Exit,-110.4
2024-06-06,17.28,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,22724.85,22200,22700,22700,23200,2024-06-06 00:00:00,0,Thursday,0.25,39.2,40.4,0.3,0,117.6,121.2,0,11.76,12.12,,,,,237.15
2024-06-06,,0,Long,2024-06-06 14:47:00,2024-06-06 14:47:00,2024-06-06 15:00:00,2024-06-06 15:00:00,,22200,22700,22700,23200,2024-06-06 00:00:00,0,Thursday,"[0.25, 0.25]","[9.95, 9.95]","[75.1, 75.1]","[0.2, 0.2]",0,,,0,,,Exit,Target hit,Universal exit,Exit,-253.8
2024-06-07,16.64,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,23260.4,22150,22650,23850,24350,2024-06-13 00:00:00,6,Friday,17.25,51.55,32.85,6.85,0,154.64999999999998,98.55,0,15.464999999999998,9.855,,,,,180.9
2024-06-07,,0,Long,2024-06-11 09:24:00,2024-06-11 09:24:00,2024-06-11 09:30:00,2024-06-11 09:30:00,,22150,22650,23850,24350,2024-06-13 00:00:00,6,Friday,"[2.5, 2.5]","[15.45, 15.45]","[9.85, 9.85]","[1.8, 1.8]",0,,,0,,,Exit,Target hit,Target hit,Exit,-63.00000000000001
2024-06-10,16.18,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,23261.7,22350,22850,23650,24150,2024-06-13 00:00:00,3,Monday,9.15,53.05,37.65,4.5,0,159.14999999999998,112.95,0,15.915,11.295,,,,,231.15
