Date,vix,Position,Action,PE_Long_Time,PE_Short_Time,CE_Short_Time,CE_Long_Time,Index Value,PE_Long_Strike,PE_Short_Strike,CE_Short_Strike,CE_Long_Strike,ExpiryDate,DaysToExpiry,Day,PE_Long_Premium,PE_Short_Premium,CE_Short_Premium,CE_Long_Premium,PE_Long_Stoploss,PE_Short_Stoploss,CE_Short_Stoploss,CE_Long_Stoploss,PE_Short_target,CE_Short_target,PE_Long_Exit,PE_Short_Exit,CE_Short_Exit,CE_Long_Exit,Premium
2024-06-06,17.85,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,22714.7,22450.0,22700,22700,23350,2024-06-06 00:00:00,0,Thursday,37.3,121.45,117.25,37.75,0,303.625,293.125,0,12.145,11.725,,,,,327.29999999999995
2024-06-06,,0,Long,2024-06-06 14:47:00,2024-06-06 14:47:00,2024-06-06 15:00:00,2024-06-06 15:00:00,,22450.0,22700,22700,23350,2024-06-06 00:00:00,0,Thursday,"[0.3, 0.3]","[9.95, 9.95]","[75.1, 75.1]","[32.55, 32.55]",0,,,0,,,Exit,Target hit,Universal exit,Exit,-104.4
2024-06-13,14.08,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23418.2,23250.0,23400,23400,23500,2024-06-13 00:00:00,0,Thursday,14.4,51.6,66.0,26.05,0,129.0,165.0,0,5.16,6.6000000000000005,,,,,154.29999999999998
2024-06-13,,0,Long,2024-06-13 15:00:00,2024-06-13 15:00:00,2024-06-13 14:57:00,2024-06-13 14:57:00,,23250.0,23400,23400,23500,2024-06-13 00:00:00,0,Thursday,"[0.4, 0.4]","[8.35, 8.35]","[5.9, 5.9]","[0.35, 0.35]",0,,,0,,,Exit,Universal exit,Target hit,Exit,-27.0
2024-06-20,13.8,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23497.6,23350.0,23500,23500,23650,2024-06-20 00:00:00,0,Thursday,28.2,81.7,60.8,19.5,0,204.25,152.0,0,8.17,6.08,,,,,189.6
2024-06-20,,0,Long,2024-06-20 13:21:00,2024-06-20 13:21:00,2024-06-20 15:00:00,2024-06-20 15:00:00,,23350.0,23500,23500,23650,2024-06-20 00:00:00,0,Thursday,"[2.3, 2.3]","[7.7, 7.7]","[59.25, 59.25]","[0.45, 0.45]",0,,,0,,,Exit,Target hit,Universal exit,Exit,-128.4
2024-06-27,14.1,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23819.7,23650.0,23800,23800,23950,2024-06-27 00:00:00,0,Thursday,16.95,63.4,70.15,23.1,0,158.5,175.375,0,6.34,7.015000000000001,,,,,187.00000000000003
2024-06-27,,0,Long,2024-06-27 12:51:00,2024-06-27 12:51:00,2024-06-27 10:05:00,2024-06-27 10:05:00,,23650.0,23800,23800,23950,2024-06-27 00:00:00,0,Thursday,"[2.0, 2.0]","[6.3, 6.3]","[181.85, 230.35]","[74.95, 87.8]",0,,,0,,,Exit,Target hit,SL hit,Exit,-258.05
2024-07-04,13.12,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24362.45,24250.0,24350,24350,24450,2024-07-04 00:00:00,0,Thursday,16.45,44.45,58.25,21.1,0,111.125,145.625,0,4.445,5.825,,,,,130.3
2024-07-04,,0,Long,2024-07-04 15:00:00,2024-07-04 15:00:00,2024-07-04 13:47:00,2024-07-04 13:47:00,,24250.0,24350,24350,24450,2024-07-04 00:00:00,0,Thursday,"[0.85, 0.85]","[47.7, 47.7]","[4.95, 4.95]","[1.05, 1.05]",0,,,0,,,Exit,Universal exit,Target hit,Exit,-101.5
