Date,vix,Position,Action,PE_Long_Time,PE_Short_Time,CE_Short_Time,CE_Long_Time,Index Value,PE_Long_Strike,PE_Short_Strike,CE_Short_Strike,CE_Long_Strike,ExpiryDate,DaysToExpiry,Day,PE_Long_Premium,PE_Short_Premium,CE_Short_Premium,CE_Long_Premium,PE_Long_Stoploss,PE_Short_Stoploss,CE_Short_Stoploss,CE_Long_Stoploss,PE_Short_target,CE_Short_target,PE_Long_Exit,PE_Short_Exit,CE_Short_Exit,CE_Long_Exit,Premium
2024-06-06,17.85,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,22714.7,22550.0,22700,22700,22850,2024-06-06 00:00:00,0,Thursday,62.15,121.45,117.25,64.35,0,242.9,234.5,0,24.290000000000003,23.450000000000003,,,,,112.2
2024-06-06,,0,Long,2024-06-06 11:00:00,2024-06-06 11:00:00,2024-06-06 14:42:00,2024-06-06 14:42:00,,22550.0,22700,22700,22850,2024-06-06 00:00:00,0,Thursday,"[9.95, 9.95]","[24.25, 24.25]","[22.85, 22.85]","[1.7, 1.7]",0,,,0,,,Exit,Target hit,Target hit,Exit,-35.45
2024-06-13,14.08,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23418.2,23300.0,23400,23400,23500,2024-06-13 00:00:00,0,Thursday,21.8,51.6,66.0,26.05,0,103.2,132.0,0,10.32,13.2,,,,,69.75
2024-06-13,,0,Long,2024-06-13 14:59:00,2024-06-13 14:59:00,2024-06-13 14:11:00,2024-06-13 14:11:00,,23300.0,23400,23400,23500,2024-06-13 00:00:00,0,Thursday,"[0.55, 0.55]","[9.4, 9.4]","[13.2, 13.2]","[1.3, 1.3]",0,,,0,,,Exit,Target hit,Target hit,Exit,-20.75
2024-06-20,13.8,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23497.6,23400.0,23500,23500,23600,2024-06-20 00:00:00,0,Thursday,41.7,81.7,60.8,29.25,0,163.4,121.6,0,16.34,12.16,,,,,71.55
2024-06-20,,0,Long,2024-06-20 11:46:00,2024-06-20 11:46:00,2024-06-20 13:28:00,2024-06-20 13:28:00,,23400.0,23500,23500,23600,2024-06-20 00:00:00,0,Thursday,"[5.5, 5.5]","[16.0, 16.0]","[128.25, 59.25]","[52.65, 1.9]",0,,,0,,,Exit,Target hit,SL hit,Exit,-86.1
2024-06-27,14.1,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23819.7,23700.0,23800,23800,23900,2024-06-27 00:00:00,0,Thursday,26.0,63.4,70.15,33.6,0,126.8,140.3,0,12.68,14.03,,,,,73.95000000000002
2024-06-27,,0,Long,2024-06-27 10:28:00,2024-06-27 10:28:00,2024-06-27 10:00:00,2024-06-27 10:00:00,,23700.0,23800,23800,23900,2024-06-27 00:00:00,0,Thursday,"[5.2, 5.2]","[11.95, 11.95]","[147.0, 230.35]","[76.6, 134.9]",0,,,0,,,Exit,Target hit,SL hit,Exit,-77.14999999999999
2024-07-04,13.12,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24362.45,24300.0,24350,24350,24400,2024-07-04 00:00:00,0,Thursday,27.55,44.45,58.25,36.15,0,88.9,116.5,0,8.89,11.65,,,,,39.0
2024-07-04,,0,Long,2024-07-04 15:00:00,2024-07-04 15:00:00,2024-07-04 13:13:00,2024-07-04 13:13:00,,24300.0,24350,24350,24400,2024-07-04 00:00:00,0,Thursday,"[5.9, 5.9]","[47.7, 47.7]","[10.95, 10.95]","[4.1, 4.1]",0,,,0,,,Exit,Universal exit,Target hit,Exit,-48.650000000000006
2024-07-11,14.27,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24346.85,24300.0,24350,24350,24400,2024-07-11 00:00:00,0,Thursday,31.6,54.6,35.95,20.65,0,109.2,71.9,0,10.920000000000002,7.190000000000001,,,,,38.30000000000001
2024-07-11,,0,Long,2024-07-11 10:13:00,2024-07-11 10:13:00,2024-07-11 10:48:00,2024-07-11 10:48:00,,24300.0,24350,24350,24400,2024-07-11 00:00:00,0,Thursday,"[79.0, 2.4]","[120.0, 17.1]","[6.75, 6.75]","[4.15, 4.15]",0,,,0,,,Exit,SL hit,Target hit,Exit,-43.6
2024-07-18,14.64,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24538.45,24450.0,24550,24550,24600,2024-07-18 00:00:00,0,Thursday,20.2,50.8,36.65,18.55,0,101.6,73.3,0,10.16,7.33,,,,,48.69999999999999
2024-07-18,,0,Long,2024-07-18 13:15:00,2024-07-18 13:15:00,2024-07-18 09:45:00,2024-07-18 09:45:00,,24450.0,24550,24550,24600,2024-07-18 00:00:00,0,Thursday,"[4.35, 4.35]","[10.1, 10.1]","[75.9, 257.75]","[46.5, 207.55]",0,,,0,,,Exit,Target hit,SL hit,Exit,-35.15
2024-07-25,11.97,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24248.2,24150.0,24250,24250,24350,2024-07-25 00:00:00,0,Thursday,30.9,67.15,51.85,23.1,0,134.3,103.7,0,13.43,10.37,,,,,65.0
