Date,vix,Position,Action,PE_Long_Time,PE_Short_Time,CE_Short_Time,CE_Long_Time,Index Value,PE_Long_Strike,PE_Short_Strike,CE_Short_Strike,CE_Long_Strike,ExpiryDate,DaysToExpiry,Day,PE_Long_Premium,PE_Short_Premium,CE_Short_Premium,CE_Long_Premium,PE_Long_Stoploss,PE_Short_Stoploss,CE_Short_Stoploss,CE_Long_Stoploss,PE_Short_target,CE_Short_target,PE_Long_Exit,PE_Short_Exit,CE_Short_Exit,CE_Long_Exit,Premium
2024-06-06,17.85,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,22714.7,22200,22700,22700,23200,2024-06-06 00:00:00,0,Thursday,10.5,121.45,117.25,10.65,0,242.9,234.5,0,24.290000000000003,23.450000000000003,,,,,870.1999999999999
2024-06-06,,0,Long,2024-06-06 11:00:00,2024-06-06 11:00:00,2024-06-06 14:42:00,2024-06-06 14:42:00,,22200,22700,22700,23200,2024-06-06 00:00:00,0,Thursday,"[1.75, 1.75]","[24.25, 24.25]","[22.85, 22.85]","[0.25, 0.25]",0,,,0,,,Exit,Target hit,Target hit,Exit,-180.4
2024-06-13,14.08,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23418.2,22900,23400,23400,23900,2024-06-13 00:00:00,0,Thursday,1.1,51.6,66.0,0.65,0,103.2,132.0,0,10.32,13.2,,,,,463.4
2024-06-13,,0,Long,2024-06-13 14:59:00,2024-06-13 14:59:00,2024-06-13 14:11:00,2024-06-13 14:11:00,,22900,23400,23400,23900,2024-06-13 00:00:00,0,Thursday,"[0.15, 0.15]","[9.4, 9.4]","[13.2, 13.2]","[0.15, 0.15]",0,,,0,,,Exit,Target hit,Target hit,Exit,-89.2
2024-06-20,13.8,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23497.6,23000,23500,23500,24000,2024-06-20 00:00:00,0,Thursday,1.85,81.7,60.8,1.05,0,163.4,121.6,0,16.34,12.16,,,,,558.4
2024-06-20,,0,Long,2024-06-20 11:46:00,2024-06-20 11:46:00,2024-06-20 13:28:00,2024-06-20 13:28:00,,23000,23500,23500,24000,2024-06-20 00:00:00,0,Thursday,"[0.55, 0.55]","[16.0, 16.0]","[128.25, 59.25]","[0.55, 0.15]",0,,,0,,,Exit,Target hit,SL hit,Exit,-504.0
2024-06-27,14.1,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23819.7,23300,23800,23800,24300,2024-06-27 00:00:00,0,Thursday,1.1,63.4,70.15,1.0,0,126.8,140.3,0,12.68,14.03,,,,,525.8000000000001
2024-06-27,,0,Long,2024-06-27 10:28:00,2024-06-27 10:28:00,2024-06-27 10:00:00,2024-06-27 10:00:00,,23300,23800,23800,24300,2024-06-27 00:00:00,0,Thursday,"[0.8, 0.8]","[11.95, 11.95]","[147.0, 230.35]","[1.3, 0.15]",0,,,0,,,Exit,Target hit,SL hit,Exit,-711.9000000000001
2024-07-04,13.12,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24362.45,23850,24350,24350,24850,2024-07-04 00:00:00,0,Thursday,1.0,44.45,58.25,0.5,0,88.9,116.5,0,8.89,11.65,,,,,404.8
2024-07-04,,0,Long,2024-07-04 15:00:00,2024-07-04 15:00:00,2024-07-04 13:13:00,2024-07-04 13:13:00,,23850,24350,24350,24850,2024-07-04 00:00:00,0,Thursday,"[0.1, 0.1]","[47.7, 47.7]","[10.95, 10.95]","[0.2, 0.2]",0,,,0,,,Exit,Universal exit,Target hit,Exit,-233.40000000000003
2024-07-11,14.27,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24346.85,23850,24350,24350,24850,2024-07-11 00:00:00,0,Thursday,0.65,54.6,35.95,0.4,0,109.2,71.9,0,10.920000000000002,7.190000000000001,,,,,358.00000000000006
2024-07-11,,0,Long,2024-07-11 10:13:00,2024-07-11 10:13:00,2024-07-11 10:48:00,2024-07-11 10:48:00,,23850,24350,24350,24850,2024-07-11 00:00:00,0,Thursday,"[0.4, 0.05]","[120.0, 17.1]","[6.75, 6.75]","[0.45, 0.45]",0,,,0,,,Exit,SL hit,Target hit,Exit,-401.05
2024-07-18,14.64,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24538.45,24050,24550,24550,25050,2024-07-18 00:00:00,0,Thursday,0.75,50.8,36.65,0.45,0,101.6,73.3,0,10.16,7.33,,,,,344.99999999999994
2024-07-18,,0,Long,2024-07-18 13:15:00,2024-07-18 13:15:00,2024-07-18 09:45:00,2024-07-18 09:45:00,,24050,24550,24550,25050,2024-07-18 00:00:00,0,Thursday,"[0.5, 0.5]","[10.1, 10.1]","[75.9, 257.75]","[0.45, 0.2]",0,,,0,,,Exit,Target hit,SL hit,Exit,-522.3000000000001
2024-07-25,11.97,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24248.2,23750,24250,24250,24750,2024-07-25 00:00:00,0,Thursday,1.15,67.15,51.85,1.1,0,134.3,103.7,0,13.43,10.37,,,,,467.0
2024-07-25,,0,Long,2024-07-25 11:11:00,2024-07-25 11:11:00,2024-07-25 11:54:00,2024-07-25 11:54:00,,23750,24250,24250,24750,2024-07-25 00:00:00,0,Thursday,"[0.75, 0.75]","[11.65, 11.65]","[107.65, 152.5]","[0.85, 0.1]",0,,,0,,,Exit,Target hit,SL hit,Exit,-516.4000000000001
2024-08-01,13.06,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,25054.15,24550,25050,25050,25550,2024-08-01 00:00:00,0,Thursday,1.2,48.25,65.95,0.6,0,96.5,131.9,0,9.65,13.19,,,,,449.6
