Date,DaysToExpiry,ExpiryDate,PnL
2021-06-10,0,2021-06-10 00:00:00,862.9874999999997
2021-06-17,0,2021-06-17 00:00:00,1095.4375000000005
2021-06-24,0,2021-06-24 00:00:00,276.93750000000045
2021-07-01,0,2021-07-01 00:00:00,1249.5999999999995
2021-07-08,0,2021-07-08 00:00:00,-2359.4624999999996
2021-07-15,0,2021-07-15 00:00:00,924.5250000000001
2021-07-22,0,2021-07-22 00:00:00,-138.30000000000018
2021-07-29,0,2021-07-29 00:00:00,456.3749999999998
2021-08-05,0,2021-08-05 00:00:00,139.31250000000045
2021-08-12,0,2021-08-12 00:00:00,-111.30000000000064
2021-08-26,0,2021-08-26 00:00:00,331.6125000000002
2021-09-02,0,2021-09-02 00:00:00,123.21250000000009
2021-09-09,0,2021-09-09 00:00:00,1630.6750000000002
2021-09-16,0,2021-09-16 00:00:00,-881.9375000000009
2021-09-23,0,2021-09-23 00:00:00,41.09999999999991
2021-09-30,0,2021-09-30 00:00:00,1970.3500000000006
2021-10-07,0,2021-10-07 00:00:00,1672.4875
2021-10-14,0,2021-10-14 00:00:00,1265.5375
2021-10-21,0,2021-10-21 00:00:00,-912.8375000000005
2021-10-28,0,2021-10-28 00:00:00,-1267.7124999999987
2021-11-11,0,2021-11-11 00:00:00,-1234.6374999999998
2021-11-18,0,2021-11-18 00:00:00,-848.2374999999993
2021-11-25,0,2021-11-25 00:00:00,-636.4250000000011
2021-12-02,0,2021-12-02 00:00:00,-860.9500000000007
2021-12-09,0,2021-12-09 00:00:00,1495.8625000000006
2021-12-16,0,2021-12-16 00:00:00,-109.02499999999918
2021-12-23,0,2021-12-23 00:00:00,1897.4
2021-12-30,0,2021-12-30 00:00:00,1780.275
2022-01-06,0,2022-01-06 00:00:00,446.6999999999998
2022-01-13,0,2022-01-13 00:00:00,849.4375000000002
2022-01-20,0,2022-01-20 00:00:00,-1724.3249999999998
2022-01-27,0,2022-01-27 00:00:00,5050.7
2022-02-03,0,2022-02-03 00:00:00,-1358.2624999999998
2022-02-10,0,2022-02-10 00:00:00,-1062.375
