Date,DaysToExpiry,ExpiryDate,PnL
2021-06-10,0,2021-06-10 00:00:00,447.625
2021-06-17,0,2021-06-17 00:00:00,668.7125000000001
2021-06-24,0,2021-06-24 00:00:00,-40.662500000000364
2021-07-01,0,2021-07-01 00:00:00,878.4249999999997
2021-07-08,0,2021-07-08 00:00:00,-2154.937500000001
2021-07-15,0,2021-07-15 00:00:00,526.6750000000002
2021-07-22,0,2021-07-22 00:00:00,-294.8499999999999
2021-07-29,0,2021-07-29 00:00:00,56.71250000000009
2021-08-05,0,2021-08-05 00:00:00,-259.6374999999998
2021-08-12,0,2021-08-12 00:00:00,-270.37500000000045
2021-08-26,0,2021-08-26 00:00:00,122.58750000000009
2021-09-02,0,2021-09-02 00:00:00,-37.125
2021-09-09,0,2021-09-09 00:00:00,1527.7000000000003
2021-09-16,0,2021-09-16 00:00:00,-845.3249999999994
2021-09-23,0,2021-09-23 00:00:00,-112.92500000000018
2021-09-30,0,2021-09-30 00:00:00,2175.9750000000004
2021-10-07,0,2021-10-07 00:00:00,1402.3125000000002
2021-10-14,0,2021-10-14 00:00:00,1677.6624999999997
2021-10-21,0,2021-10-21 00:00:00,-1025.2000000000016
2021-10-28,0,2021-10-28 00:00:00,-1188.1750000000002
2021-11-11,0,2021-11-11 00:00:00,-996.0249999999996
2021-11-18,0,2021-11-18 00:00:00,-876.0124999999998
2021-11-25,0,2021-11-25 00:00:00,-869.9875000000002
2021-12-02,0,2021-12-02 00:00:00,-642.5375000000013
2021-12-09,0,2021-12-09 00:00:00,225.07500000000027
2021-12-16,0,2021-12-16 00:00:00,-20.09999999999991
2021-12-23,0,2021-12-23 00:00:00,1617.675
2021-12-30,0,2021-12-30 00:00:00,1932.3250000000003
2022-01-06,0,2022-01-06 00:00:00,2126.3749999999995
2022-01-13,0,2022-01-13 00:00:00,-107.69999999999982
2022-01-20,0,2022-01-20 00:00:00,-1503.3874999999998
2022-01-27,0,2022-01-27 00:00:00,3872.075
2022-02-03,0,2022-02-03 00:00:00,-1401.187500000001
2022-02-10,0,2022-02-10 00:00:00,-1119.187499999999
2022-02-17,0,2022-02-17 00:00:00,581.0375000000013
2022-02-24,0,2022-02-24 00:00:00,-4391.700000000003
2022-03-03,0,2022-03-03 00:00:00,-2680.5125
2022-03-10,0,2022-03-10 00:00:00,3183.6374999999994
2022-03-17,0,2022-03-17 00:00:00,-412.5375000000013
2022-03-24,0,2022-03-24 00:00:00,1876.6499999999996
2022-03-31,0,2022-03-31 00:00:00,352.0375000000008
2022-04-07,0,2022-04-07 00:00:00,2188.875000000001
2022-04-21,0,2022-04-21 00:00:00,46.04999999999973
2022-04-28,0,2022-04-28 00:00:00,-1381.2125000000005
2022-05-05,0,2022-05-05 00:00:00,2050.537500000001
2022-05-12,0,2022-05-12 00:00:00,-756.0499999999993
2022-05-19,0,2022-05-19 00:00:00,-2967.7625000000007
2022-05-26,0,2022-05-26 00:00:00,1291.0374999999995
2022-06-02,0,2022-06-02 00:00:00,-1521.0249999999996
2022-06-09,0,2022-06-09 00:00:00,-1398.5
2022-06-16,0,2022-06-16 00:00:00,-1242.8500000000013
2022-06-23,0,2022-06-23 00:00:00,-236.28750000000036
2022-06-30,0,2022-06-30 00:00:00,1019.1499999999992
2022-07-07,0,2022-07-07 00:00:00,2705.6375000000003
2022-07-14,0,2022-07-14 00:00:00,-1355.7874999999995
2022-07-21,0,2022-07-21 00:00:00,-706.5749999999994
2022-07-28,0,2022-07-28 00:00:00,-710.0999999999999
2022-08-04,0,2022-08-04 00:00:00,-850.7625000000007
2022-08-11,0,2022-08-11 00:00:00,2147.8125000000005
2022-08-18,0,2022-08-18 00:00:00,-1656.8374999999996
2022-08-25,0,2022-08-25 00:00:00,-1487.3249999999998
2022-09-01,0,2022-09-01 00:00:00,1326.8999999999996
2022-09-08,0,2022-09-08 00:00:00,2425.05
2022-09-15,0,2022-09-15 00:00:00,-1625.9125000000004
2022-09-22,0,2022-09-22 00:00:00,3331.8624999999993
2022-09-29,0,2022-09-29 00:00:00,-964.4625000000005
2022-10-06,0,2022-10-06 00:00:00,462.8125
2022-10-13,0,2022-10-13 00:00:00,-410.28749999999854
2022-10-20,0,2022-10-20 00:00:00,-623.712500000001
2022-10-27,0,2022-10-27 00:00:00,-710.6500000000005
2022-11-03,0,2022-11-03 00:00:00,1985.1499999999994
2022-11-10,0,2022-11-10 00:00:00,407.3874999999998
2022-11-17,0,2022-11-17 00:00:00,1448.5375
2022-11-24,0,2022-11-24 00:00:00,-652.4625000000001
2022-12-01,0,2022-12-01 00:00:00,512.6374999999998
2022-12-08,0,2022-12-08 00:00:00,-67.11250000000064
2022-12-15,0,2022-12-15 00:00:00,-609.2749999999994
2022-12-22,0,2022-12-22 00:00:00,-1152.6875
2022-12-29,0,2022-12-29 00:00:00,1982.7625
2023-01-05,0,2023-01-05 00:00:00,-330.7999999999997
2023-01-12,0,2023-01-12 00:00:00,-353.400000000001
2023-01-19,0,2023-01-19 00:00:00,823.1500000000001
2023-02-02,0,2023-02-02 00:00:00,3272.125
2023-02-09,0,2023-02-09 00:00:00,-1228.5
2023-02-16,0,2023-02-16 00:00:00,-135.39999999999964
2023-02-23,0,2023-02-23 00:00:00,-502.7999999999997
2023-03-02,0,2023-03-02 00:00:00,1400.825
2023-03-09,0,2023-03-09 00:00:00,-2114.3250000000016
2023-03-16,0,2023-03-16 00:00:00,-849.1625000000004
2023-03-23,0,2023-03-23 00:00:00,38.73750000000064
2023-04-06,0,2023-04-06 00:00:00,172.625
2023-04-13,0,2023-04-13 00:00:00,516.75
2023-04-20,0,2023-04-20 00:00:00,-199.70000000000027
2023-04-27,0,2023-04-27 00:00:00,337.44999999999936
2023-05-04,0,2023-05-04 00:00:00,-453.85000000000036
2023-05-11,0,2023-05-11 00:00:00,2149.2
2023-05-18,0,2023-05-18 00:00:00,-390.6999999999998
2023-05-25,0,2023-05-25 00:00:00,1944.25
2023-06-01,0,2023-06-01 00:00:00,652.3999999999999
2023-06-08,0,2023-06-08 00:00:00,-1833.4
2023-06-15,0,2023-06-15 00:00:00,-1985.1125000000002
2023-06-22,0,2023-06-22 00:00:00,-981.5
2023-07-06,0,2023-07-06 00:00:00,-1470.1249999999995
2023-07-13,0,2023-07-13 00:00:00,-2676.4375
2023-07-20,0,2023-07-20 00:00:00,-1622.2874999999995
2023-07-27,0,2023-07-27 00:00:00,-1362.387499999998
2023-08-03,0,2023-08-03 00:00:00,-1373.625
2023-08-10,0,2023-08-10 00:00:00,-444.7625000000007
2023-08-17,0,2023-08-17 00:00:00,1756.4374999999998
2023-08-24,0,2023-08-24 00:00:00,-573.7250000000004
2023-08-31,0,2023-08-31 00:00:00,526.5125
