Date,DaysToExpiry,ExpiryDate,PnL
2021-06-10,0,2021-06-10 00:00:00,-115.0625
2021-06-17,0,2021-06-17 00:00:00,-311.4000000000001
2021-06-24,0,2021-06-24 00:00:00,-889.9500000000007
2021-07-01,0,2021-07-01 00:00:00,893.2749999999996
2021-07-08,0,2021-07-08 00:00:00,-1720.0124999999966
2021-07-15,0,2021-07-15 00:00:00,468.6500000000001
2021-07-22,0,2021-07-22 00:00:00,-609.9000000000005
2021-07-29,0,2021-07-29 00:00:00,-544.5625
2021-08-05,0,2021-08-05 00:00:00,-1700.874999999999
2021-08-12,0,2021-08-12 00:00:00,-1407.6624999999995
2021-08-26,0,2021-08-26 00:00:00,-248.99999999999955
2021-09-02,0,2021-09-02 00:00:00,-1644.3750000000027
2021-09-09,0,2021-09-09 00:00:00,1977.6749999999995
2021-09-16,0,2021-09-16 00:00:00,-1926.7375000000002
2021-09-23,0,2021-09-23 00:00:00,-1630.4749999999995
2021-09-30,0,2021-09-30 00:00:00,2107.9500000000016
2021-10-07,0,2021-10-07 00:00:00,1113.5999999999995
2021-10-14,0,2021-10-14 00:00:00,2186.1
2021-10-21,0,2021-10-21 00:00:00,-4115.924999999999
2021-10-28,0,2021-10-28 00:00:00,-3973.1624999999995
2021-11-11,0,2021-11-11 00:00:00,-1409.8749999999995
2021-11-18,0,2021-11-18 00:00:00,-3029.7999999999993
2021-11-25,0,2021-11-25 00:00:00,-236.4375
2021-12-02,0,2021-12-02 00:00:00,-140.2250000000031
2021-12-09,0,2021-12-09 00:00:00,318.15000000000236
2021-12-16,0,2021-12-16 00:00:00,-906.5374999999995
2021-12-23,0,2021-12-23 00:00:00,1212.275
2021-12-30,0,2021-12-30 00:00:00,1771.025
2022-01-06,0,2022-01-06 00:00:00,2202.3250000000007
2022-01-13,0,2022-01-13 00:00:00,161.58750000000055
2022-01-20,0,2022-01-20 00:00:00,-1388.712499999996
2022-01-27,0,2022-01-27 00:00:00,4801.475000000001
2022-02-03,0,2022-02-03 00:00:00,-1511.5124999999998
2022-02-10,0,2022-02-10 00:00:00,-1268.1375000000016
2022-02-17,0,2022-02-17 00:00:00,1862.062500000001
2022-02-24,0,2022-02-24 00:00:00,-6250.137499999999
2022-03-03,0,2022-03-03 00:00:00,-3482.175000000002
2022-03-10,0,2022-03-10 00:00:00,4433.7750000000015
2022-03-17,0,2022-03-17 00:00:00,-2103.225000000002
2022-03-24,0,2022-03-24 00:00:00,2950.7250000000004
2022-03-31,0,2022-03-31 00:00:00,-421.34999999999945
2022-04-07,0,2022-04-07 00:00:00,2472.525000000001
2022-04-21,0,2022-04-21 00:00:00,-1370.0500000000002
