Date,DaysToExpiry,ExpiryDate,PnL
2021-06-10,0,2021-06-10 00:00:00,2804.8875
2021-06-17,0,2021-06-17 00:00:00,2704.9125000000004
2021-06-24,0,2021-06-24 00:00:00,1679.0250000000005
2021-07-01,0,2021-07-01 00:00:00,2854.8000000000006
2021-07-08,0,2021-07-08 00:00:00,-6424.96875
2021-07-15,0,2021-07-15 00:00:00,2022.1687499999994
2021-07-22,0,2021-07-22 00:00:00,966.5250000000001
2021-07-29,0,2021-07-29 00:00:00,1326.9562499999993
2021-08-05,0,2021-08-05 00:00:00,-325.4375
2021-08-12,0,2021-08-12 00:00:00,-1145.2874999999995
2021-08-26,0,2021-08-26 00:00:00,1795.3687499999996
2021-09-02,0,2021-09-02 00:00:00,-578.1625000000004
2021-09-09,0,2021-09-09 00:00:00,3689.0062500000004
2021-09-16,0,2021-09-16 00:00:00,-2414.3062499999996
2021-09-23,0,2021-09-23 00:00:00,-1273.78125
2021-09-30,0,2021-09-30 00:00:00,6258.750000000001
2021-10-07,0,2021-10-07 00:00:00,3581.2500000000005
2021-10-14,0,2021-10-14 00:00:00,4665.450000000001
2021-10-21,0,2021-10-21 00:00:00,-2520.206250000001
2021-10-28,0,2021-10-28 00:00:00,-6755.225000000002
2021-11-11,0,2021-11-11 00:00:00,-803.9812499999989
2021-11-18,0,2021-11-18 00:00:00,-2960.550000000003
2021-11-25,0,2021-11-25 00:00:00,-2513.543749999999
2021-12-02,0,2021-12-02 00:00:00,-475.27500000000146
2021-12-09,0,2021-12-09 00:00:00,3685.499999999999
2021-12-16,0,2021-12-16 00:00:00,-81.65000000000055
2021-12-23,0,2021-12-23 00:00:00,4315.3499999999985
2021-12-30,0,2021-12-30 00:00:00,4645.8375
2022-01-06,0,2022-01-06 00:00:00,5964.31875
2022-01-13,0,2022-01-13 00:00:00,3155.9999999999995
2022-01-20,0,2022-01-20 00:00:00,-5525.8062500000015
2022-01-27,0,2022-01-27 00:00:00,9421.5
2022-02-03,0,2022-02-03 00:00:00,-4187.637500000001
2022-02-10,0,2022-02-10 00:00:00,-2064.0875000000015
2022-02-17,0,2022-02-17 00:00:00,5857.275000000003
2022-02-24,0,2022-02-24 00:00:00,-8642.49375
2022-03-03,0,2022-03-03 00:00:00,-5141.212500000003
2022-03-10,0,2022-03-10 00:00:00,2449.9312499999987
2022-03-17,0,2022-03-17 00:00:00,244.3125
2022-03-24,0,2022-03-24 00:00:00,6048.375
2022-03-31,0,2022-03-31 00:00:00,2635.7062499999993
2022-04-07,0,2022-04-07 00:00:00,5158.0875000000015
2022-04-21,0,2022-04-21 00:00:00,-2548.46875
2022-04-28,0,2022-04-28 00:00:00,-2054.1187499999996
2022-05-05,0,2022-05-05 00:00:00,-4580.25625
2022-05-12,0,2022-05-12 00:00:00,3494.1937500000013
2022-05-19,0,2022-05-19 00:00:00,-2287.2187500000036
2022-05-26,0,2022-05-26 00:00:00,-1158.5687500000004
2022-06-02,0,2022-06-02 00:00:00,-2117.8125
2022-06-09,0,2022-06-09 00:00:00,-4160.981250000001
2022-06-16,0,2022-06-16 00:00:00,-12624.268750000001
2022-06-23,0,2022-06-23 00:00:00,7446.843750000001
2022-06-30,0,2022-06-30 00:00:00,5124.506249999999
2022-07-07,0,2022-07-07 00:00:00,7329.487500000002
2022-07-14,0,2022-07-14 00:00:00,-2296.062500000002
2022-07-21,0,2022-07-21 00:00:00,896.4750000000004
2022-07-28,0,2022-07-28 00:00:00,-923.7249999999995
2022-08-04,0,2022-08-04 00:00:00,-1529.6000000000004
2022-08-11,0,2022-08-11 00:00:00,5305.78125
2022-08-18,0,2022-08-18 00:00:00,-1291.2374999999975
2022-08-25,0,2022-08-25 00:00:00,-2923.59375
2022-09-01,0,2022-09-01 00:00:00,7319.137499999999
2022-09-08,0,2022-09-08 00:00:00,6014.8875
2022-09-15,0,2022-09-15 00:00:00,-1849.9562499999993
2022-09-22,0,2022-09-22 00:00:00,8622.506250000002
2022-09-29,0,2022-09-29 00:00:00,-711.3187500000004
2022-10-06,0,2022-10-06 00:00:00,3477.7312500000016
2022-10-13,0,2022-10-13 00:00:00,2392.4437500000004
2022-10-20,0,2022-10-20 00:00:00,-1001.6625000000013
2022-10-27,0,2022-10-27 00:00:00,-861.5500000000011
2022-11-03,0,2022-11-03 00:00:00,5381.25
2022-11-10,0,2022-11-10 00:00:00,2433.3750000000005
2022-11-17,0,2022-11-17 00:00:00,3224.7562499999995
2022-11-24,0,2022-11-24 00:00:00,-3155.7625
2022-12-01,0,2022-12-01 00:00:00,-45.26875000000018
2022-12-08,0,2022-12-08 00:00:00,1367.3812499999995
2022-12-15,0,2022-12-15 00:00:00,-3094.0999999999985
2022-12-22,0,2022-12-22 00:00:00,810.2249999999995
2022-12-29,0,2022-12-29 00:00:00,-1533.8249999999998
2023-01-05,0,2023-01-05 00:00:00,-351.3625000000002
2023-01-12,0,2023-01-12 00:00:00,-963.0687499999985
2023-01-19,0,2023-01-19 00:00:00,4734.5250000000015
2023-02-02,0,2023-02-02 00:00:00,8540.400000000001
2023-02-09,0,2023-02-09 00:00:00,-715.8562499999998
2023-02-16,0,2023-02-16 00:00:00,3070.59375
2023-02-23,0,2023-02-23 00:00:00,1783.2937499999998
2023-03-02,0,2023-03-02 00:00:00,3893.4749999999995
2023-03-09,0,2023-03-09 00:00:00,-4587.65
2023-03-16,0,2023-03-16 00:00:00,-3001.449999999999
2023-03-23,0,2023-03-23 00:00:00,-1135.4124999999995
2023-04-06,0,2023-04-06 00:00:00,124.08125000000018
2023-04-13,0,2023-04-13 00:00:00,622.7687500000002
2023-04-20,0,2023-04-20 00:00:00,886.5187500000011
2023-04-27,0,2023-04-27 00:00:00,1214.0812499999993
2023-05-04,0,2023-05-04 00:00:00,-4295.112500000001
2023-05-11,0,2023-05-11 00:00:00,4983.50625
2023-05-18,0,2023-05-18 00:00:00,-618.3124999999991
2023-05-25,0,2023-05-25 00:00:00,4455.881249999999
2023-06-01,0,2023-06-01 00:00:00,2461.1625000000004
2023-06-08,0,2023-06-08 00:00:00,-2669.893750000001
2023-06-15,0,2023-06-15 00:00:00,-1460.9624999999996
2023-06-22,0,2023-06-22 00:00:00,-622.9437500000004
2023-07-06,0,2023-07-06 00:00:00,-964.1812500000005
2023-07-13,0,2023-07-13 00:00:00,-3189.918749999999
2023-07-20,0,2023-07-20 00:00:00,-5102.893749999999
2023-07-27,0,2023-07-27 00:00:00,-6100.787499999999
2023-08-03,0,2023-08-03 00:00:00,-2390.84375
2023-08-10,0,2023-08-10 00:00:00,1608.1499999999987
2023-08-17,0,2023-08-17 00:00:00,4471.55625
2023-08-24,0,2023-08-24 00:00:00,-3468.3374999999996
2023-08-31,0,2023-08-31 00:00:00,2396.5499999999997
2023-09-07,0,2023-09-07 00:00:00,-5624.78125
2023-09-14,0,2023-09-14 00:00:00,-2059.5187499999984
2023-09-21,0,2023-09-21 00:00:00,-1335.237500000001
2023-09-28,0,2023-09-28 00:00:00,-8220.756250000002
2023-10-05,0,2023-10-05 00:00:00,929.1375000000007
2023-10-12,0,2023-10-12 00:00:00,4062.35625
2023-10-19,0,2023-10-19 00:00:00,-3128.0750000000007
2023-10-26,0,2023-10-26 00:00:00,719.1750000000002
2023-11-02,0,2023-11-02 00:00:00,3464.83125
2023-11-09,0,2023-11-09 00:00:00,821.3625000000006
2023-11-16,0,2023-11-16 00:00:00,-5064.043749999999
2023-11-23,0,2023-11-23 00:00:00,107.23124999999982
2023-11-30,0,2023-11-30 00:00:00,911.6687499999998
2023-12-07,0,2023-12-07 00:00:00,1446.8249999999998
2023-12-14,0,2023-12-14 00:00:00,1072.5250000000005
2023-12-21,0,2023-12-21 00:00:00,-2636.675000000001
2023-12-28,0,2023-12-28 00:00:00,6803.5125
2024-01-04,0,2024-01-04 00:00:00,1251.3187499999995
2024-01-11,0,2024-01-11 00:00:00,-1372.9437499999995
2024-01-18,0,2024-01-18 00:00:00,6374.79375
2024-01-25,0,2024-01-25 00:00:00,-4801.00625
2024-02-01,0,2024-02-01 00:00:00,11261.193749999999
2024-02-08,0,2024-02-08 00:00:00,-8256.650000000001
2024-02-15,0,2024-02-15 00:00:00,6218.30625
2024-02-22,0,2024-02-22 00:00:00,8056.950000000001
2024-02-29,0,2024-02-29 00:00:00,8163.750000000001
2024-03-07,0,2024-03-07 00:00:00,6213.749999999999
2024-03-14,0,2024-03-14 00:00:00,-3585.324999999999
2024-03-21,0,2024-03-21 00:00:00,5822.2875
2024-03-28,0,2024-03-28 00:00:00,-9190.168749999999
2024-04-04,0,2024-04-04 00:00:00,-208.29999999999927
2024-04-18,0,2024-04-18 00:00:00,-5332.725
2024-04-25,0,2024-04-25 00:00:00,-6769.24375
2024-05-02,0,2024-05-02 00:00:00,6237.80625
2024-05-09,0,2024-05-09 00:00:00,-7745.55625
2024-05-16,0,2024-05-16 00:00:00,-175.96249999999964
2024-05-23,0,2024-05-23 00:00:00,-8292.543749999999
2024-05-30,0,2024-05-30 00:00:00,-6321.356249999999
2024-06-06,0,2024-06-06 00:00:00,12771.09375
2024-06-13,0,2024-06-13 00:00:00,6922.33125
2024-06-20,0,2024-06-20 00:00:00,4729.987499999999
2024-06-27,0,2024-06-27 00:00:00,-5990.00625
2024-07-04,0,2024-07-04 00:00:00,3098.2875000000013
2024-07-11,0,2024-07-11 00:00:00,-1212.1749999999984
2024-07-18,0,2024-07-18 00:00:00,-5628.531250000002
2024-07-25,0,2024-07-25 00:00:00,-2551.65625
2024-08-01,0,2024-08-01 00:00:00,3108.412500000002
2024-08-08,0,2024-08-08 00:00:00,9153.1875
2024-08-22,0,2024-08-22 00:00:00,3231.7312500000016
2024-08-29,0,2024-08-29 00:00:00,-4098.949999999999
2024-09-05,0,2024-09-05 00:00:00,4581.4875
2024-09-12,0,2024-09-12 00:00:00,-13987.19375
2024-09-19,0,2024-09-19 00:00:00,-1687.6937499999985
2024-09-26,0,2024-09-26 00:00:00,-4505.756250000004
