Date,DaysToExpiry,ExpiryDate,PnL
2021-06-10,0,2021-06-10 00:00:00,729.4499999999998
2021-06-17,0,2021-06-17 00:00:00,751.4000000000003
2021-06-24,0,2021-06-24 00:00:00,459.9375000000002
2021-07-01,0,2021-07-01 00:00:00,873.3249999999998
2021-07-08,0,2021-07-08 00:00:00,-1639.4562499999997
2021-07-15,0,2021-07-15 00:00:00,601.1062499999999
2021-07-22,0,2021-07-22 00:00:00,247.6875
2021-07-29,0,2021-07-29 00:00:00,376.6687499999998
2021-08-05,0,2021-08-05 00:00:00,-179.59999999999968
2021-08-12,0,2021-08-12 00:00:00,-589.8000000000002
2021-08-26,0,2021-08-26 00:00:00,502.50625000000036
2021-09-02,0,2021-09-02 00:00:00,-97.33749999999986
2021-09-09,0,2021-09-09 00:00:00,1188.00625
2021-09-16,0,2021-09-16 00:00:00,-779.2437499999999
2021-09-23,0,2021-09-23 00:00:00,-206.18125000000032
2021-09-30,0,2021-09-30 00:00:00,1823.65
2021-10-07,0,2021-10-07 00:00:00,1100.3249999999998
2021-10-14,0,2021-10-14 00:00:00,1365.7749999999996
2021-10-21,0,2021-10-21 00:00:00,-1120.3437500000005
2021-10-28,0,2021-10-28 00:00:00,-1771.1500000000005
2021-11-11,0,2021-11-11 00:00:00,-361.4187500000003
2021-11-18,0,2021-11-18 00:00:00,-1638.2999999999997
2021-11-25,0,2021-11-25 00:00:00,-723.3812499999999
2021-12-02,0,2021-12-02 00:00:00,-375.3000000000002
2021-12-09,0,2021-12-09 00:00:00,1050.4875000000004
2021-12-16,0,2021-12-16 00:00:00,-502.6124999999997
2021-12-23,0,2021-12-23 00:00:00,1339.9750000000001
2021-12-30,0,2021-12-30 00:00:00,1424.8875
2022-01-06,0,2022-01-06 00:00:00,1724.24375
2022-01-13,0,2022-01-13 00:00:00,966.15
2022-01-20,0,2022-01-20 00:00:00,-1562.0812500000002
2022-01-27,0,2022-01-27 00:00:00,2893.325
2022-02-03,0,2022-02-03 00:00:00,-1218.2875000000008
2022-02-10,0,2022-02-10 00:00:00,-934.3625000000006
2022-02-17,0,2022-02-17 00:00:00,2113.0375
2022-02-24,0,2022-02-24 00:00:00,-2585.406250000001
2022-03-03,0,2022-03-03 00:00:00,-1874.0750000000007
2022-03-10,0,2022-03-10 00:00:00,2513.718749999999
2022-03-17,0,2022-03-17 00:00:00,-116.77500000000009
2022-03-24,0,2022-03-24 00:00:00,1909.0874999999994
2022-03-31,0,2022-03-31 00:00:00,756.10625
2022-04-07,0,2022-04-07 00:00:00,1552.7124999999999
2022-04-21,0,2022-04-21 00:00:00,-413.5062499999999
2022-04-28,0,2022-04-28 00:00:00,-454.93124999999964
2022-05-05,0,2022-05-05 00:00:00,2257.65625
2022-05-12,0,2022-05-12 00:00:00,865.5187500000006
2022-05-19,0,2022-05-19 00:00:00,-918.6812500000005
2022-05-26,0,2022-05-26 00:00:00,-2090.14375
2022-06-02,0,2022-06-02 00:00:00,-841.0250000000001
2022-06-09,0,2022-06-09 00:00:00,-1472.8437499999995
2022-06-16,0,2022-06-16 00:00:00,-1783.9437500000004
2022-06-23,0,2022-06-23 00:00:00,2295.70625
2022-06-30,0,2022-06-30 00:00:00,1595.8062499999994
2022-07-07,0,2022-07-07 00:00:00,2185.6125
2022-07-14,0,2022-07-14 00:00:00,-1201.3374999999996
2022-07-21,0,2022-07-21 00:00:00,172.85000000000014
2022-07-28,0,2022-07-28 00:00:00,-491.5374999999999
2022-08-04,0,2022-08-04 00:00:00,-769.375
2022-08-11,0,2022-08-11 00:00:00,1849.39375
2022-08-18,0,2022-08-18 00:00:00,-504.625
2022-08-25,0,2022-08-25 00:00:00,-941.7062500000002
2022-09-01,0,2022-09-01 00:00:00,2393.2749999999996
2022-09-08,0,2022-09-08 00:00:00,1758.775
2022-09-15,0,2022-09-15 00:00:00,-536.6937500000004
2022-09-22,0,2022-09-22 00:00:00,2545.91875
2022-09-29,0,2022-09-29 00:00:00,-459.3062500000001
2022-10-06,0,2022-10-06 00:00:00,1022.89375
2022-10-13,0,2022-10-13 00:00:00,668.98125
2022-10-20,0,2022-10-20 00:00:00,-628.0499999999997
2022-10-27,0,2022-10-27 00:00:00,-431.9500000000003
2022-11-03,0,2022-11-03 00:00:00,1715.475
2022-11-10,0,2022-11-10 00:00:00,677.2999999999997
