Date,DaysToExpiry,ExpiryDate,PnL
2021-06-10,0,2021-06-10 00:00:00,149.96249999999986
2021-06-17,0,2021-06-17 00:00:00,751.4000000000003
2021-06-24,0,2021-06-24 00:00:00,459.9375000000002
2021-07-01,0,2021-07-01 00:00:00,873.3249999999998
2021-07-08,0,2021-07-08 00:00:00,-880.6937499999999
2021-07-15,0,2021-07-15 00:00:00,92.31874999999991
2021-07-22,0,2021-07-22 00:00:00,-264.8874999999998
2021-07-29,0,2021-07-29 00:00:00,-149.79375000000005
2021-08-05,0,2021-08-05 00:00:00,-179.59999999999968
2021-08-12,0,2021-08-12 00:00:00,-261.54999999999995
2021-08-26,0,2021-08-26 00:00:00,502.50625000000036
2021-09-02,0,2021-09-02 00:00:00,352.11249999999995
2021-09-09,0,2021-09-09 00:00:00,1188.00625
2021-09-16,0,2021-09-16 00:00:00,-318.43124999999964
2021-09-23,0,2021-09-23 00:00:00,29.906249999999773
2021-09-30,0,2021-09-30 00:00:00,1823.65
2021-10-07,0,2021-10-07 00:00:00,1100.3249999999998
2021-10-14,0,2021-10-14 00:00:00,1365.7749999999996
2021-10-21,0,2021-10-21 00:00:00,-394.40625
2021-10-28,0,2021-10-28 00:00:00,-864.6750000000006
2021-11-11,0,2021-11-11 00:00:00,-955.78125
2021-11-18,0,2021-11-18 00:00:00,-830.5750000000003
2021-11-25,0,2021-11-25 00:00:00,-113.59375
2021-12-02,0,2021-12-02 00:00:00,84.25000000000045
2021-12-09,0,2021-12-09 00:00:00,-127.42499999999973
2021-12-16,0,2021-12-16 00:00:00,102.125
2021-12-23,0,2021-12-23 00:00:00,1339.9750000000001
2021-12-30,0,2021-12-30 00:00:00,1424.8875
2022-01-06,0,2022-01-06 00:00:00,1724.24375
2022-01-13,0,2022-01-13 00:00:00,-457.9500000000003
2022-01-20,0,2022-01-20 00:00:00,-887.90625
2022-01-27,0,2022-01-27 00:00:00,2893.325
2022-02-03,0,2022-02-03 00:00:00,-566.8375000000001
2022-02-10,0,2022-02-10 00:00:00,-383.9124999999999
2022-02-17,0,2022-02-17 00:00:00,-304.64999999999964
2022-02-24,0,2022-02-24 00:00:00,-1018.6437500000002
2022-03-03,0,2022-03-03 00:00:00,-951.1875000000009
2022-03-10,0,2022-03-10 00:00:00,2513.718749999999
2022-03-17,0,2022-03-17 00:00:00,-309.9375
2022-03-24,0,2022-03-24 00:00:00,1909.0874999999994
2022-03-31,0,2022-03-31 00:00:00,756.10625
2022-04-07,0,2022-04-07 00:00:00,1552.7124999999999
2022-04-21,0,2022-04-21 00:00:00,96.54375000000005
2022-04-28,0,2022-04-28 00:00:00,101.83125000000018
2022-05-05,0,2022-05-05 00:00:00,125.56874999999991
2022-05-12,0,2022-05-12 00:00:00,-540.90625
2022-05-19,0,2022-05-19 00:00:00,-1118.156250000001
2022-05-26,0,2022-05-26 00:00:00,-1133.1687499999998
2022-06-02,0,2022-06-02 00:00:00,-803.1499999999996
2022-06-09,0,2022-06-09 00:00:00,-645.9062500000005
2022-06-16,0,2022-06-16 00:00:00,-1020.1312500000004
2022-06-23,0,2022-06-23 00:00:00,-647.1812499999996
2022-06-30,0,2022-06-30 00:00:00,1595.8062499999994
2022-07-07,0,2022-07-07 00:00:00,2185.6125
2022-07-14,0,2022-07-14 00:00:00,-385.7624999999998
2022-07-21,0,2022-07-21 00:00:00,-609.8999999999996
2022-07-28,0,2022-07-28 00:00:00,-0.4250000000001819
2022-08-04,0,2022-08-04 00:00:00,-374.2125000000001
2022-08-11,0,2022-08-11 00:00:00,1849.39375
2022-08-18,0,2022-08-18 00:00:00,-504.625
2022-08-25,0,2022-08-25 00:00:00,-309.19375000000036
2022-09-01,0,2022-09-01 00:00:00,-729.8750000000005
2022-09-08,0,2022-09-08 00:00:00,1758.775
2022-09-15,0,2022-09-15 00:00:00,27.643750000000182
2022-09-22,0,2022-09-22 00:00:00,2545.91875
2022-09-29,0,2022-09-29 00:00:00,88.61875000000009
2022-10-06,0,2022-10-06 00:00:00,1022.89375
2022-10-13,0,2022-10-13 00:00:00,-848.5437499999998
2022-10-20,0,2022-10-20 00:00:00,15.824999999999818
2022-10-27,0,2022-10-27 00:00:00,98.29999999999995
2022-11-03,0,2022-11-03 00:00:00,1715.475
2022-11-10,0,2022-11-10 00:00:00,15.749999999999545
2022-11-17,0,2022-11-17 00:00:00,1191.0687500000001
2022-11-24,0,2022-11-24 00:00:00,-431.61249999999995
2022-12-01,0,2022-12-01 00:00:00,-130.81874999999968
2022-12-08,0,2022-12-08 00:00:00,438.11874999999986
2022-12-15,0,2022-12-15 00:00:00,-44.512500000000045
2022-12-22,0,2022-12-22 00:00:00,-413.9249999999997
2022-12-29,0,2022-12-29 00:00:00,1478.4250000000002
2023-01-05,0,2023-01-05 00:00:00,181.25
2023-01-12,0,2023-01-12 00:00:00,-257.0562500000001
2023-01-19,0,2023-01-19 00:00:00,50.54999999999927
2023-02-02,0,2023-02-02 00:00:00,2561.7499999999995
2023-02-09,0,2023-02-09 00:00:00,-677.6937499999999
2023-02-16,0,2023-02-16 00:00:00,-39.49375000000009
2023-02-23,0,2023-02-23 00:00:00,-892.2437499999992
2023-03-02,0,2023-03-02 00:00:00,1191.775
2023-03-09,0,2023-03-09 00:00:00,-712.8000000000002
2023-03-16,0,2023-03-16 00:00:00,-1096.0124999999998
2023-03-23,0,2023-03-23 00:00:00,-571.4875000000002
2023-04-06,0,2023-04-06 00:00:00,150.35625000000005
2023-04-13,0,2023-04-13 00:00:00,-110.98125000000005
2023-04-20,0,2023-04-20 00:00:00,106.13125000000014
2023-04-27,0,2023-04-27 00:00:00,251.9312500000001
2023-05-04,0,2023-05-04 00:00:00,-763.0000000000005
2023-05-11,0,2023-05-11 00:00:00,1456.64375
2023-05-18,0,2023-05-18 00:00:00,376.75
2023-05-25,0,2023-05-25 00:00:00,1278.24375
2023-06-01,0,2023-06-01 00:00:00,758.5250000000002
2023-06-08,0,2023-06-08 00:00:00,-350.4562500000004
2023-06-15,0,2023-06-15 00:00:00,-1638.3874999999994
2023-06-22,0,2023-06-22 00:00:00,31.806249999999864
2023-07-06,0,2023-07-06 00:00:00,-653.15625
2023-07-13,0,2023-07-13 00:00:00,-2063.2062499999997
2023-07-20,0,2023-07-20 00:00:00,-872.34375
2023-07-27,0,2023-07-27 00:00:00,-352.7874999999999
2023-08-03,0,2023-08-03 00:00:00,-80.26875000000018
2023-08-10,0,2023-08-10 00:00:00,469.13750000000005
2023-08-17,0,2023-08-17 00:00:00,1368.05625
2023-08-24,0,2023-08-24 00:00:00,-340.53750000000014
2023-08-31,0,2023-08-31 00:00:00,681.4374999999998
2023-09-07,0,2023-09-07 00:00:00,-468.08124999999995
2023-09-14,0,2023-09-14 00:00:00,-843.0562499999996
2023-09-21,0,2023-09-21 00:00:00,-257.1125000000002
2023-09-28,0,2023-09-28 00:00:00,-1630.0937499999995
2023-10-05,0,2023-10-05 00:00:00,263.0000000000002
2023-10-12,0,2023-10-12 00:00:00,63.84375000000023
2023-10-19,0,2023-10-19 00:00:00,-405.5499999999995
2023-10-26,0,2023-10-26 00:00:00,-352.1124999999997
2023-11-02,0,2023-11-02 00:00:00,-442.1187500000001
2023-11-09,0,2023-11-09 00:00:00,225.81250000000045
2023-11-16,0,2023-11-16 00:00:00,-383.4312500000001
2023-11-23,0,2023-11-23 00:00:00,194.81874999999968
2023-11-30,0,2023-11-30 00:00:00,-31.36875000000009
2023-12-07,0,2023-12-07 00:00:00,431.77499999999986
2023-12-14,0,2023-12-14 00:00:00,223.26250000000005
2023-12-21,0,2023-12-21 00:00:00,409.69999999999936
2023-12-28,0,2023-12-28 00:00:00,1990.0875
2024-01-04,0,2024-01-04 00:00:00,333.7812500000002
2024-01-11,0,2024-01-11 00:00:00,-275.0062499999997
2024-01-18,0,2024-01-18 00:00:00,-1352.9812500000003
2024-01-25,0,2024-01-25 00:00:00,-715.743750000001
2024-02-01,0,2024-02-01 00:00:00,3280.2937500000003
2024-02-08,0,2024-02-08 00:00:00,-878.8125
2024-02-15,0,2024-02-15 00:00:00,2062.66875
2024-02-22,0,2024-02-22 00:00:00,-928.6125000000002
2024-02-29,0,2024-02-29 00:00:00,2555.8625000000006
2024-03-07,0,2024-03-07 00:00:00,1722.8000000000002
2024-03-14,0,2024-03-14 00:00:00,-842.7250000000004
2024-03-21,0,2024-03-21 00:00:00,1726.1374999999998
2024-03-28,0,2024-03-28 00:00:00,-1375.0062499999995
2024-04-04,0,2024-04-04 00:00:00,-725.5125000000003
2024-04-18,0,2024-04-18 00:00:00,-629.9625000000001
2024-04-25,0,2024-04-25 00:00:00,-686.7062499999997
2024-05-02,0,2024-05-02 00:00:00,2054.01875
2024-05-09,0,2024-05-09 00:00:00,-1267.4437500000004
2024-05-16,0,2024-05-16 00:00:00,-653.9874999999993
2024-05-23,0,2024-05-23 00:00:00,-624.5187499999997
2024-05-30,0,2024-05-30 00:00:00,-1191.8062500000005
2024-06-06,0,2024-06-06 00:00:00,3859.3437499999995
2024-06-13,0,2024-06-13 00:00:00,2073.8812500000004
2024-06-20,0,2024-06-20 00:00:00,-324.6624999999999
2024-06-27,0,2024-06-27 00:00:00,-847.7937499999989
2024-07-04,0,2024-07-04 00:00:00,873.6875000000002
2024-07-11,0,2024-07-11 00:00:00,-1058.8749999999995
2024-07-18,0,2024-07-18 00:00:00,-52.70625000000064
2024-07-25,0,2024-07-25 00:00:00,-234.03125
2024-08-01,0,2024-08-01 00:00:00,864.4374999999995
2024-08-08,0,2024-08-08 00:00:00,2913.45
2024-08-22,0,2024-08-22 00:00:00,1004.01875
2024-08-29,0,2024-08-29 00:00:00,-1080.15
2024-09-05,0,2024-09-05 00:00:00,1354.2
2024-09-12,0,2024-09-12 00:00:00,-1216.19375
2024-09-19,0,2024-09-19 00:00:00,-82.39375000000018
2024-09-26,0,2024-09-26 00:00:00,-1214.0687500000004
