Date,DaysToExpiry,ExpiryDate,PnL
2021-06-10,0,2021-06-10 00:00:00,1029.375
2021-06-17,0,2021-06-17 00:00:00,2254.2000000000003
2021-06-24,0,2021-06-24 00:00:00,1379.812500000001
2021-07-01,0,2021-07-01 00:00:00,2619.9750000000004
2021-07-08,0,2021-07-08 00:00:00,-5040.831250000001
2021-07-15,0,2021-07-15 00:00:00,785.7437499999996
2021-07-22,0,2021-07-22 00:00:00,-282.08750000000055
2021-07-29,0,2021-07-29 00:00:00,77.08125000000018
2021-08-05,0,2021-08-05 00:00:00,-704.1875
2021-08-12,0,2021-08-12 00:00:00,-681.125
2021-08-26,0,2021-08-26 00:00:00,1507.5187499999997
2021-09-02,0,2021-09-02 00:00:00,-30.675000000000182
2021-09-09,0,2021-09-09 00:00:00,3564.01875
2021-09-16,0,2021-09-16 00:00:00,-1609.2687499999993
2021-09-23,0,2021-09-23 00:00:00,-1002.34375
2021-09-30,0,2021-09-30 00:00:00,5470.950000000001
2021-10-07,0,2021-10-07 00:00:00,3300.9750000000004
2021-10-14,0,2021-10-14 00:00:00,4097.325000000001
2021-10-21,0,2021-10-21 00:00:00,-1462.2312500000007
2021-10-28,0,2021-10-28 00:00:00,-5173.312500000002
2021-11-11,0,2021-11-11 00:00:00,-2275.231249999999
2021-11-18,0,2021-11-18 00:00:00,-1679.9375000000036
2021-11-25,0,2021-11-25 00:00:00,-1767.40625
2021-12-02,0,2021-12-02 00:00:00,-206.79999999999927
2021-12-09,0,2021-12-09 00:00:00,795.6374999999989
2021-12-16,0,2021-12-16 00:00:00,752.0374999999995
2021-12-23,0,2021-12-23 00:00:00,4019.924999999999
2021-12-30,0,2021-12-30 00:00:00,4274.6625
2022-01-06,0,2022-01-06 00:00:00,5172.731250000001
2022-01-13,0,2022-01-13 00:00:00,50.25
2022-01-20,0,2022-01-20 00:00:00,-4423.643750000001
2022-01-27,0,2022-01-27 00:00:00,8679.975
2022-02-03,0,2022-02-03 00:00:00,-3149.8624999999993
2022-02-10,0,2022-02-10 00:00:00,-1428.2249999999985
2022-02-17,0,2022-02-17 00:00:00,1112.362500000002
2022-02-24,0,2022-02-24 00:00:00,-6107.393749999997
2022-03-03,0,2022-03-03 00:00:00,-3882.500000000002
2022-03-10,0,2022-03-10 00:00:00,7541.156249999999
2022-03-17,0,2022-03-17 00:00:00,-736.6499999999996
2022-03-24,0,2022-03-24 00:00:00,5727.2625
2022-03-31,0,2022-03-31 00:00:00,2268.3187499999985
2022-04-07,0,2022-04-07 00:00:00,4658.137500000002
2022-04-21,0,2022-04-21 00:00:00,-1918.4812499999998
2022-04-28,0,2022-04-28 00:00:00,-1459.4812500000007
2022-05-05,0,2022-05-05 00:00:00,2785.5562500000024
2022-05-12,0,2022-05-12 00:00:00,-216.2937499999989
2022-05-19,0,2022-05-19 00:00:00,-3154.993750000005
2022-05-26,0,2022-05-26 00:00:00,312.24374999999964
2022-06-02,0,2022-06-02 00:00:00,-2447.324999999999
2022-06-09,0,2022-06-09 00:00:00,-2859.34375
2022-06-16,0,2022-06-16 00:00:00,-11415.61875
2022-06-23,0,2022-06-23 00:00:00,-718.1812499999996
2022-06-30,0,2022-06-30 00:00:00,4787.418749999999
2022-07-07,0,2022-07-07 00:00:00,6556.837500000002
2022-07-14,0,2022-07-14 00:00:00,-1134.5625
2022-07-21,0,2022-07-21 00:00:00,-1046.949999999999
2022-07-28,0,2022-07-28 00:00:00,-326.99999999999727
2022-08-04,0,2022-08-04 00:00:00,-1156.7250000000013
2022-08-11,0,2022-08-11 00:00:00,5548.18125
2022-08-18,0,2022-08-18 00:00:00,-1513.8749999999982
2022-08-25,0,2022-08-25 00:00:00,-1904.7562499999985
2022-09-01,0,2022-09-01 00:00:00,941.3749999999982
2022-09-08,0,2022-09-08 00:00:00,5276.325000000001
2022-09-15,0,2022-09-15 00:00:00,-1202.293749999999
2022-09-22,0,2022-09-22 00:00:00,7637.756250000002
2022-09-29,0,2022-09-29 00:00:00,-236.61874999999964
2022-10-06,0,2022-10-06 00:00:00,3068.6812500000015
2022-10-13,0,2022-10-13 00:00:00,-1028.106249999999
2022-10-20,0,2022-10-20 00:00:00,-107.8125
2022-10-27,0,2022-10-27 00:00:00,-202.52499999999964
2022-11-03,0,2022-11-03 00:00:00,5146.424999999999
2022-11-10,0,2022-11-10 00:00:00,708.8000000000002
2022-11-17,0,2022-11-17 00:00:00,3573.2062499999997
2022-11-24,0,2022-11-24 00:00:00,-2357.8625
2022-12-01,0,2022-12-01 00:00:00,617.5437499999998
