Date,DaysToExpiry,ExpiryDate,PnL
2021-06-10,0,2021-06-10 00:00:00,1968.3999999999999
2021-06-17,0,2021-06-17 00:00:00,1944.6750000000009
2021-06-24,0,2021-06-24 00:00:00,1364.275
2021-07-01,0,2021-07-01 00:00:00,2127.9249999999993
2021-07-08,0,2021-07-08 00:00:00,-5254.7249999999985
2021-07-15,0,2021-07-15 00:00:00,1545.0624999999998
2021-07-22,0,2021-07-22 00:00:00,778.175
2021-07-29,0,2021-07-29 00:00:00,1084.1124999999997
2021-08-05,0,2021-08-05 00:00:00,-423.5874999999992
2021-08-12,0,2021-08-12 00:00:00,14.174999999999727
2021-08-26,0,2021-08-26 00:00:00,1315.5875000000008
2021-09-02,0,2021-09-02 00:00:00,-461.6124999999997
2021-09-09,0,2021-09-09 00:00:00,2555.2874999999995
2021-09-16,0,2021-09-16 00:00:00,-1715.5875
2021-09-23,0,2021-09-23 00:00:00,-1299.9000000000005
2021-09-30,0,2021-09-30 00:00:00,3584.175
2021-10-07,0,2021-10-07 00:00:00,2521.325
2021-10-14,0,2021-10-14 00:00:00,2345.2249999999995
2021-10-21,0,2021-10-21 00:00:00,-1923.8000000000002
2021-10-28,0,2021-10-28 00:00:00,-5579.262500000001
2021-11-11,0,2021-11-11 00:00:00,-364.83750000000055
2021-11-18,0,2021-11-18 00:00:00,-1860.6249999999982
2021-11-25,0,2021-11-25 00:00:00,-2283.800000000001
2021-12-02,0,2021-12-02 00:00:00,-59.30000000000018
2021-12-09,0,2021-12-09 00:00:00,2754.9500000000003
2021-12-16,0,2021-12-16 00:00:00,1610.6750000000002
2021-12-23,0,2021-12-23 00:00:00,3035.9750000000004
2021-12-30,0,2021-12-30 00:00:00,2766.45
2022-01-06,0,2022-01-06 00:00:00,1893.0875
2022-01-13,0,2022-01-13 00:00:00,2311.05
2022-01-20,0,2022-01-20 00:00:00,-4783.637500000002
2022-01-27,0,2022-01-27 00:00:00,7066.825
2022-02-03,0,2022-02-03 00:00:00,-3446.575
2022-02-10,0,2022-02-10 00:00:00,-750.6999999999998
2022-02-17,0,2022-02-17 00:00:00,4074.0249999999996
2022-02-24,0,2022-02-24 00:00:00,-7231.2125
2022-03-03,0,2022-03-03 00:00:00,-3281.5750000000007
2022-03-10,0,2022-03-10 00:00:00,1926.187499999999
2022-03-17,0,2022-03-17 00:00:00,470.375
2022-03-24,0,2022-03-24 00:00:00,4340.299999999999
2022-03-31,0,2022-03-31 00:00:00,1938.9375
2022-04-07,0,2022-04-07 00:00:00,1772.2249999999995
2022-04-21,0,2022-04-21 00:00:00,-2353.925
2022-04-28,0,2022-04-28 00:00:00,-1751.9499999999998
2022-05-05,0,2022-05-05 00:00:00,-474.6374999999998
2022-05-12,0,2022-05-12 00:00:00,2526.4125000000013
2022-05-19,0,2022-05-19 00:00:00,-1257.1625000000022
2022-05-26,0,2022-05-26 00:00:00,5398.462500000001
2022-06-02,0,2022-06-02 00:00:00,-1111.4000000000015
2022-06-09,0,2022-06-09 00:00:00,-2698.2375
2022-06-16,0,2022-06-16 00:00:00,-11599.362500000001
2022-06-23,0,2022-06-23 00:00:00,5681.6625
2022-06-30,0,2022-06-30 00:00:00,3737.012499999999
2022-07-07,0,2022-07-07 00:00:00,4247.5
2022-07-14,0,2022-07-14 00:00:00,-203.39999999999964
2022-07-21,0,2022-07-21 00:00:00,703.7000000000012
2022-07-28,0,2022-07-28 00:00:00,-734.3625000000002
2022-08-04,0,2022-08-04 00:00:00,-1072.3374999999996
2022-08-11,0,2022-08-11 00:00:00,3620.5125
2022-08-18,0,2022-08-18 00:00:00,-686.5999999999995
2022-08-25,0,2022-08-25 00:00:00,-2199.0375000000004
2022-09-01,0,2022-09-01 00:00:00,4609.249999999998
2022-09-08,0,2022-09-08 00:00:00,3487.25
2022-09-15,0,2022-09-15 00:00:00,-1769.5750000000007
2022-09-22,0,2022-09-22 00:00:00,6349.2875
2022-09-29,0,2022-09-29 00:00:00,-893.9124999999985
2022-10-06,0,2022-10-06 00:00:00,2545.7374999999997
2022-10-13,0,2022-10-13 00:00:00,1774.2374999999993
2022-10-20,0,2022-10-20 00:00:00,208.4000000000001
2022-10-27,0,2022-10-27 00:00:00,-288.1999999999998
