Date,DaysToExpiry,ExpiryDate,PnL
2021-06-10,0,2021-06-10 00:00:00,134.23749999999995
2021-06-17,0,2021-06-17 00:00:00,135.2187499999999
2021-06-24,0,2021-06-24 00:00:00,-196.88124999999968
2021-07-01,0,2021-07-01 00:00:00,75.19374999999991
2021-07-08,0,2021-07-08 00:00:00,160.98749999999995
2021-07-15,0,2021-07-15 00:00:00,-145.38750000000005
2021-07-22,0,2021-07-22 00:00:00,174.175
2021-07-29,0,2021-07-29 00:00:00,-13.399999999999977
2021-08-05,0,2021-08-05 00:00:00,183.91250000000014
2021-08-12,0,2021-08-12 00:00:00,97.07499999999999
2021-08-26,0,2021-08-26 00:00:00,-212.3750000000001
2021-09-02,0,2021-09-02 00:00:00,158.56250000000006
2021-09-09,0,2021-09-09 00:00:00,148.18125000000003
2021-09-16,0,2021-09-16 00:00:00,-258.6812500000002
2021-09-23,0,2021-09-23 00:00:00,-205.74374999999998
2021-09-30,0,2021-09-30 00:00:00,65.48749999999995
2021-10-07,0,2021-10-07 00:00:00,-223.45000000000005
2021-10-14,0,2021-10-14 00:00:00,-107.04374999999993
2021-10-21,0,2021-10-21 00:00:00,-116.2375000000003
2021-10-28,0,2021-10-28 00:00:00,174.89374999999973
2021-11-11,0,2021-11-11 00:00:00,196.93124999999998
2021-11-18,0,2021-11-18 00:00:00,-2.356249999999932
2021-11-25,0,2021-11-25 00:00:00,169.07500000000016
2021-12-02,0,2021-12-02 00:00:00,196.75625000000002
2021-12-09,0,2021-12-09 00:00:00,-189.27499999999998
2021-12-16,0,2021-12-16 00:00:00,-278.5375
2021-12-23,0,2021-12-23 00:00:00,117.27499999999998
2021-12-30,0,2021-12-30 00:00:00,-192.54999999999984
2022-01-06,0,2022-01-06 00:00:00,248.16875000000005
2022-01-13,0,2022-01-13 00:00:00,94.80624999999998
2022-01-20,0,2022-01-20 00:00:00,-449.1875000000001
2022-01-27,0,2022-01-27 00:00:00,-113.54374999999993
2022-02-03,0,2022-02-03 00:00:00,-139.73125000000016
2022-02-10,0,2022-02-10 00:00:00,54.3125
2022-02-17,0,2022-02-17 00:00:00,-73.19999999999993
2022-02-24,0,2022-02-24 00:00:00,-39.85624999999993
2022-03-03,0,2022-03-03 00:00:00,57.06875000000002
2022-03-10,0,2022-03-10 00:00:00,-26.46249999999975
2022-03-17,0,2022-03-17 00:00:00,60.212500000000205
2022-03-24,0,2022-03-24 00:00:00,120.91874999999982
2022-03-31,0,2022-03-31 00:00:00,-126.96249999999998
2022-04-07,0,2022-04-07 00:00:00,-4.75
2022-04-21,0,2022-04-21 00:00:00,189.24374999999998
2022-04-28,0,2022-04-28 00:00:00,188.45
2022-05-05,0,2022-05-05 00:00:00,138.71249999999998
2022-05-12,0,2022-05-12 00:00:00,-38.50625000000025
2022-05-19,0,2022-05-19 00:00:00,186.4999999999999
2022-05-26,0,2022-05-26 00:00:00,366.3937500000001
2022-06-02,0,2022-06-02 00:00:00,-23.49375000000009
2022-06-09,0,2022-06-09 00:00:00,-360.50625
2022-06-16,0,2022-06-16 00:00:00,0.5874999999999773
2022-06-23,0,2022-06-23 00:00:00,-93.43124999999986
2022-06-30,0,2022-06-30 00:00:00,-95.57500000000039
2022-07-07,0,2022-07-07 00:00:00,11.212499999999977
2022-07-14,0,2022-07-14 00:00:00,-237.19375000000002
2022-07-21,0,2022-07-21 00:00:00,-110.75625000000002
2022-07-28,0,2022-07-28 00:00:00,184.20000000000005
2022-08-04,0,2022-08-04 00:00:00,84.21249999999986
2022-08-11,0,2022-08-11 00:00:00,171.29374999999982
2022-08-18,0,2022-08-18 00:00:00,-331.5625
2022-08-25,0,2022-08-25 00:00:00,374.0875000000001
2022-09-01,0,2022-09-01 00:00:00,177.92499999999973
2022-09-08,0,2022-09-08 00:00:00,-128.10624999999993
2022-09-15,0,2022-09-15 00:00:00,-85.24374999999986
2022-09-22,0,2022-09-22 00:00:00,-223.03750000000014
2022-09-29,0,2022-09-29 00:00:00,240.21875
2022-10-06,0,2022-10-06 00:00:00,177.5625
2022-10-13,0,2022-10-13 00:00:00,261.36249999999995
2022-10-20,0,2022-10-20 00:00:00,-148.07499999999993
2022-10-27,0,2022-10-27 00:00:00,3.262499999999932
2022-11-03,0,2022-11-03 00:00:00,-188.46249999999998
2022-11-10,0,2022-11-10 00:00:00,-0.7937499999999318
2022-11-17,0,2022-11-17 00:00:00,107.68750000000011
2022-11-24,0,2022-11-24 00:00:00,60.68124999999998
2022-12-01,0,2022-12-01 00:00:00,34.38125000000002
2022-12-08,0,2022-12-08 00:00:00,55.450000000000045
2022-12-15,0,2022-12-15 00:00:00,-87.64374999999995
2022-12-22,0,2022-12-22 00:00:00,-212.05624999999998
2022-12-29,0,2022-12-29 00:00:00,-268.1687499999998
2023-01-05,0,2023-01-05 00:00:00,68.45625000000007
2023-01-12,0,2023-01-12 00:00:00,67.58749999999998
2023-01-19,0,2023-01-19 00:00:00,129.07499999999993
2023-02-02,0,2023-02-02 00:00:00,154.18124999999998
2023-02-09,0,2023-02-09 00:00:00,89.81875000000002
2023-02-16,0,2023-02-16 00:00:00,-69.21250000000009
2023-02-23,0,2023-02-23 00:00:00,224.79374999999993
2023-03-02,0,2023-03-02 00:00:00,83.05624999999998
2023-03-09,0,2023-03-09 00:00:00,89.33749999999998
2023-03-16,0,2023-03-16 00:00:00,-51.718750000000114
2023-03-23,0,2023-03-23 00:00:00,162.7500000000001
2023-04-06,0,2023-04-06 00:00:00,203.52500000000003
2023-04-13,0,2023-04-13 00:00:00,-56.14375000000007
2023-04-20,0,2023-04-20 00:00:00,60.612499999999955
2023-04-27,0,2023-04-27 00:00:00,-43.031250000000114
2023-05-04,0,2023-05-04 00:00:00,-182.50625000000002
