Date,DaysToExpiry,ExpiryDate,PnL
2021-06-10,0,2021-06-10 00:00:00,1056.9499999999998
2021-06-17,0,2021-06-17 00:00:00,1280.4499999999998
2021-06-24,0,2021-06-24 00:00:00,-791.9250000000002
2021-07-01,0,2021-07-01 00:00:00,739.125
2021-07-08,0,2021-07-08 00:00:00,1162.25
2021-07-15,0,2021-07-15 00:00:00,-595.9749999999995
2021-07-22,0,2021-07-22 00:00:00,1189.175
2021-07-29,0,2021-07-29 00:00:00,336.09999999999945
2021-08-05,0,2021-08-05 00:00:00,1178.3750000000005
2021-08-12,0,2021-08-12 00:00:00,717.9250000000004
2021-08-26,0,2021-08-26 00:00:00,-854.4749999999995
2021-09-02,0,2021-09-02 00:00:00,1305.4500000000003
2021-09-09,0,2021-09-09 00:00:00,992.5249999999999
2021-09-16,0,2021-09-16 00:00:00,-1178.1500000000005
2021-09-23,0,2021-09-23 00:00:00,1580.2250000000001
2021-09-30,0,2021-09-30 00:00:00,1306.75
2021-10-07,0,2021-10-07 00:00:00,-506.0250000000001
2021-10-14,0,2021-10-14 00:00:00,-165.82499999999982
2021-10-21,0,2021-10-21 00:00:00,-3748.5
2021-10-28,0,2021-10-28 00:00:00,4096.5
2021-11-11,0,2021-11-11 00:00:00,2110.775
2021-11-18,0,2021-11-18 00:00:00,1980.8000000000002
2021-11-25,0,2021-11-25 00:00:00,1851.2999999999997
2021-12-02,0,2021-12-02 00:00:00,1873.8999999999996
2021-12-09,0,2021-12-09 00:00:00,-540.1500000000005
2021-12-16,0,2021-12-16 00:00:00,2178.875
2021-12-23,0,2021-12-23 00:00:00,1407.3249999999998
2021-12-30,0,2021-12-30 00:00:00,-925.6999999999989
2022-01-06,0,2022-01-06 00:00:00,1629.1999999999998
2022-01-13,0,2022-01-13 00:00:00,896.5000000000005
2022-01-20,0,2022-01-20 00:00:00,3143.7
2022-01-27,0,2022-01-27 00:00:00,-918.1999999999998
2022-02-03,0,2022-02-03 00:00:00,-773.6750000000002
2022-02-10,0,2022-02-10 00:00:00,1046.375
2022-02-17,0,2022-02-17 00:00:00,1349.4249999999997
2022-02-24,0,2022-02-24 00:00:00,34.474999999999454
2022-03-03,0,2022-03-03 00:00:00,577.25
2022-03-10,0,2022-03-10 00:00:00,-2055.5875000000015
2022-03-17,0,2022-03-17 00:00:00,1818.7250000000004
2022-03-24,0,2022-03-24 00:00:00,1475.225
2022-03-31,0,2022-03-31 00:00:00,-1072.225
2022-04-07,0,2022-04-07 00:00:00,1369.0749999999998
2022-04-21,0,2022-04-21 00:00:00,1258.6499999999996
2022-04-28,0,2022-04-28 00:00:00,1081.4250000000006
2022-05-05,0,2022-05-05 00:00:00,1659.2250000000004
2022-05-12,0,2022-05-12 00:00:00,2630.7000000000007
2022-05-19,0,2022-05-19 00:00:00,2139.45
2022-05-26,0,2022-05-26 00:00:00,1172.2999999999993
2022-06-02,0,2022-06-02 00:00:00,790.0249999999996
2022-06-09,0,2022-06-09 00:00:00,-1514.8249999999998
2022-06-16,0,2022-06-16 00:00:00,-240.97499999999945
2022-06-23,0,2022-06-23 00:00:00,-3890.675000000001
2022-06-30,0,2022-06-30 00:00:00,534.1499999999987
2022-07-07,0,2022-07-07 00:00:00,771.6250000000005
2022-07-14,0,2022-07-14 00:00:00,-817.0749999999998
2022-07-21,0,2022-07-21 00:00:00,-281.27499999999964
2022-07-28,0,2022-07-28 00:00:00,1518.5
2022-08-04,0,2022-08-04 00:00:00,-1035.0124999999998
2022-08-11,0,2022-08-11 00:00:00,1742.7000000000003
2022-08-18,0,2022-08-18 00:00:00,-1580.0249999999996
2022-08-25,0,2022-08-25 00:00:00,-756.9500000000007
2022-09-01,0,2022-09-01 00:00:00,2450.5999999999995
2022-09-08,0,2022-09-08 00:00:00,-215.77499999999964
2022-09-15,0,2022-09-15 00:00:00,-21.574999999999818
2022-09-22,0,2022-09-22 00:00:00,-972.0
2022-09-29,0,2022-09-29 00:00:00,2266.975
2022-10-06,0,2022-10-06 00:00:00,1659.75
2022-10-13,0,2022-10-13 00:00:00,1929.6
2022-10-20,0,2022-10-20 00:00:00,-1325.2625000000012
2022-10-27,0,2022-10-27 00:00:00,147.30000000000018
2022-11-03,0,2022-11-03 00:00:00,-1201.999999999999
2022-11-10,0,2022-11-10 00:00:00,292.7999999999988
2022-11-17,0,2022-11-17 00:00:00,1006.2249999999999
2022-11-24,0,2022-11-24 00:00:00,528.4749999999999
2022-12-01,0,2022-12-01 00:00:00,417.12500000000045
2022-12-08,0,2022-12-08 00:00:00,593.8000000000002
2022-12-15,0,2022-12-15 00:00:00,-2082.187499999999
2022-12-22,0,2022-12-22 00:00:00,-99.17500000000018
2022-12-29,0,2022-12-29 00:00:00,-5122.775000000001
2023-01-05,0,2023-01-05 00:00:00,910.0500000000006
2023-01-12,0,2023-01-12 00:00:00,1253.125
2023-01-19,0,2023-01-19 00:00:00,1306.8750000000005
2023-02-02,0,2023-02-02 00:00:00,2024.9
2023-02-09,0,2023-02-09 00:00:00,813.4249999999993
2023-02-16,0,2023-02-16 00:00:00,-96.70000000000118
2023-02-23,0,2023-02-23 00:00:00,1541.8500000000004
2023-03-02,0,2023-03-02 00:00:00,628.0500000000002
2023-03-09,0,2023-03-09 00:00:00,1018.6500000000005
2023-03-16,0,2023-03-16 00:00:00,-1439.0874999999996
2023-03-23,0,2023-03-23 00:00:00,1152.3000000000006
2023-04-06,0,2023-04-06 00:00:00,1320.2999999999997
2023-04-13,0,2023-04-13 00:00:00,-21.699999999999818
2023-04-20,0,2023-04-20 00:00:00,614.6999999999998
2023-04-27,0,2023-04-27 00:00:00,671.7750000000001
2023-05-04,0,2023-05-04 00:00:00,-778.5250000000001
2023-05-11,0,2023-05-11 00:00:00,589.837500000001
2023-05-18,0,2023-05-18 00:00:00,-1353.025000000001
2023-05-25,0,2023-05-25 00:00:00,-1774.1875000000005
2023-06-01,0,2023-06-01 00:00:00,782.1749999999997
2023-06-08,0,2023-06-08 00:00:00,-2655.325
2023-06-15,0,2023-06-15 00:00:00,581.8000000000002
2023-06-22,0,2023-06-22 00:00:00,1511.525
2023-07-06,0,2023-07-06 00:00:00,-572.4749999999995
2023-07-13,0,2023-07-13 00:00:00,-766.4250000000011
2023-07-20,0,2023-07-20 00:00:00,1737.1
2023-07-27,0,2023-07-27 00:00:00,-395.34999999999945
2023-08-03,0,2023-08-03 00:00:00,3332.6249999999995
2023-08-10,0,2023-08-10 00:00:00,1017.25
2023-08-17,0,2023-08-17 00:00:00,-1173.5249999999996
2023-08-24,0,2023-08-24 00:00:00,-1341.8249999999998
2023-08-31,0,2023-08-31 00:00:00,304.6750000000002
2023-09-07,0,2023-09-07 00:00:00,-1733.9875000000002
2023-09-14,0,2023-09-14 00:00:00,1477.6249999999995
2023-09-21,0,2023-09-21 00:00:00,581.1749999999995
2023-09-28,0,2023-09-28 00:00:00,1190.6999999999998
2023-10-05,0,2023-10-05 00:00:00,624.3250000000003
2023-10-12,0,2023-10-12 00:00:00,719.8250000000003
2023-10-19,0,2023-10-19 00:00:00,262.3749999999998
2023-10-26,0,2023-10-26 00:00:00,412.52500000000055
2023-11-02,0,2023-11-02 00:00:00,-1913.7499999999995
2023-11-09,0,2023-11-09 00:00:00,1074.5749999999998
2023-11-16,0,2023-11-16 00:00:00,-343.3249999999998
2023-11-23,0,2023-11-23 00:00:00,610.0999999999997
2023-11-30,0,2023-11-30 00:00:00,-1985.2625000000003
2023-12-07,0,2023-12-07 00:00:00,825.7500000000002
