Filename,Total PnL,Max Drawdown,Max Drawdown Percentage,31M Monthly PnL,11M Monthly PnL,Daily 3M PnL ,min pnl ,Max Investment,ROI % ,ROI with DD,Max Drawdown Date,Time to Recover,Peak Date Before Max Drawdown,Total Trades,No. of Winners,No. of Losers,Win %,Loss %,Max Profit,Max Loss,Median PnL,Median Profit,Median Loss,SD,SD Profit,SD Loss,Last 15 Months Max Drawdown,Last 15 Months Max Drawdown Percentage,Last 15 Months Max Drawdown Date,Last 15 Months Time to Recover,Last 15 Months Peak Date Before Max Drawdown,Sortino Ratio,Dmonthly11_PnL_Ratio,Max_Drawdown_Ratio,Dmonthly11_PnL_Z,Max_Drawdown_Z,Win%_Z,Sortino_Ratio_Z,Final_Z_Score
"NIFTY_candle_5T_short_0_long_500_entry_14,30_exit_15,00_premium_1st_week_short_sl_3_short_pt_0,2_lots_1_exit_full_Tuesday.csv",28799.65,2918.5,33.562686021129785,719.9912499999998,781.6753906250002,1131.7718750000001,719.9912499999998,45000,63.999222222222215,60.10131786262091,2022-09-20,49,2022-09-06,163,104,59,63.80368098159509,36.19631901840491,2926.5687500000013,-1693.4437499999997,310.075,508.15312500000005,-522.925,695.1507893228211,415.3817640386229,405.3369648228517,2347.6437499999993,158.03395250015777,2024-01-16,140,2023-09-12,1.4432220615646647,0.017370564236111115,0.06485555555555556,0.8278232874955961,0.036406786711897725,0.388888888888889,1.0,2.985860945228143
"NIFTY_candle_5T_short_0_long_500_entry_14,30_exit_15,00_premium_1st_week_short_sl_2,5_short_pt_0,2_lots_1_exit_full_Tuesday.csv",28651.8875,2605.4000000000005,26.582510143866603,716.2971875000001,667.014453125,635.8156250000003,716.2971875000001,45000,63.67086111111111,60.18621311867981,2022-09-20,42,2022-09-06,163,99,64,60.736196319018404,39.263803680981596,2926.5687500000013,-1827.2625,263.2,509.75000000000006,-373.8687500000001,673.0965249929161,431.1235608849557,403.8459376914503,2192.8375000000015,18.194584677103613,2024-07-09,70,2024-06-11,1.4394033299503624,0.014822543402777779,0.05789777777777779,0.7013184589642173,0.01799686234561173,0.29629629629629634,0.9973394876314025,2.8288092323981564
"NIFTY_candle_5T_short_0_long_0,33_entry_14,30_exit_15,00_premium_1st_week_short_sl_3_short_pt_0,2_lots_1_exit_full_Tuesday.csv",20702.3125,2299.325,45.46108352713514,517.5578125,658.4265625000003,1312.5859375,517.5578125,45000,46.00513888888889,43.76872714356917,2022-09-20,56,2022-09-06,163,103,60,63.190184049079754,36.809815950920246,4204.2,-1390.5624999999998,245.975,397.3250000000001,-427.040625,620.2476590044835,449.3353419118204,338.79040065967064,2272.4749999999995,275.6122889867574,2024-01-16,140,2023-09-12,1.1291872843950366,0.014631701388888895,0.051096111111111106,0.691843482964114,0.0,0.37037037037037046,0.7812118019238609,2.65824047007316
"NIFTY_candle_5T_short_0_long_500_entry_14,30_exit_15,00_premium_1st_week_short_sl_3_short_pt_0,3_lots_1_exit_full_Tuesday.csv",22974.3875,2967.4625,45.53771727318852,574.3596875000004,621.1941406250002,925.6968750000001,574.3596875000004,45000,51.054194444444484,47.895774140647944,2022-09-20,56,2022-09-06,163,107,56,65.6441717791411,34.355828220858896,2509.9437500000013,-1740.1562499999998,287.025,468.15625,-556.1500000000001,663.591083661619,361.9830811995855,413.1913106745152,2867.2437499999996,259.7567535430975,2024-01-16,147,2023-09-12,1.0633323502925704,0.013804314236111115,0.06594361111111112,0.6507651414835655,0.03928572609798615,0.44444444444444453,0.7353306339316972,2.569032271539499
"NIFTY_candle_5T_short_0_long_500_entry_14,30_exit_15,00_premium_1st_week_short_sl_2,5_short_pt_0,2_lots_4_exit_3_4th_Tuesday.csv",113693.50000000001,14799.937500000004,93.73797591620551,2842.3374999999996,3005.460937500001,4635.225000000002,2842.3374999999996,180000,63.163055555555545,58.364238438218194,2022-05-10,112,2022-02-22,163,104,59,63.80368098159509,36.19631901840491,11706.275000000003,-13069.862499999996,1052.8,2009.9375000000002,-1148.0875,2913.9372501866615,1744.3246267984962,2403.782376856527,13069.862499999996,241.32559680014012,2024-01-16,28,2024-01-09,0.9577978115518145,0.016697005208333338,0.08222187500000001,0.7943822464334162,0.08235718031516934,0.388888888888889,0.6618046640566652,2.5682741746193565
"NIFTY_candle_5T_short_0_long_500_entry_14,30_exit_15,00_premium_1st_week_short_sl_3_short_pt_0,2_lots_4_exit_3_4th_Tuesday.csv",113672.23749999999,18891.375000000007,100.17067278216524,2841.8059374999993,3334.7773437500005,6085.328125000002,2841.8059374999993,180000,63.15124305555555,57.1529245549235,2022-05-10,140,2022-02-22,163,105,58,64.41717791411043,35.58282208588957,11706.275000000003,-13069.862499999996,1240.3000000000004,2026.2250000000004,-1337.59375,3052.252196207574,1664.2471482312114,2624.19120857943,13069.862499999996,232.27620187982188,2024-01-16,28,2024-01-09,0.877148711562848,0.018526540798611112,0.10495208333333338,0.8852155249970638,0.1425001497533573,0.4074074074074074,0.605616392738176,2.552035471685586
"NIFTY_candle_5T_short_0_long_500_entry_14,30_exit_15,00_premium_1st_week_short_sl_3_short_pt_0,2_lots_3_exit_2_3rd_Tuesday.csv",84872.58750000001,16638.6125,125.23818126050249,2121.8146875,2553.1019531250013,4953.5562500000015,2121.8146875,135000,62.86858333333335,55.97030077019467,2022-05-10,196,2022-02-22,163,111,52,68.09815950920246,31.901840490797547,8779.706250000003,-11376.41875,930.225,1478.9062499999995,-892.3125000000002,2415.0762895625057,1269.9568874668819,2387.875583396737,11376.41875,237.2295822282464,2024-01-16,28,2024-01-09,0.7189715827060985,0.018911866319444453,0.12324898148148147,0.904346270830887,0.19091280704185004,0.5185185185185188,0.4954143020291839,2.4681070250774804
"NIFTY_candle_5T_short_0_long_500_entry_14,30_exit_15,00_premium_1st_week_short_sl_2,5_short_pt_0,3_lots_1_exit_full_Tuesday.csv",22801.375,2654.3625,34.03571563093794,570.0343750000004,492.96132812500025,446.7843750000002,570.0343750000004,45000,50.66972222222226,47.84740326764417,2022-09-20,56,2022-09-06,163,100,63,61.34969325153374,38.65030674846626,2509.9437500000013,-1740.1562499999998,248.05,472.509375,-406.5687499999999,624.6852863041659,379.2246303763654,367.7817486079141,2632.4187499999994,323.0035967085132,2024-01-16,140,2023-09-12,1.1828601518336428,0.010954696180555562,0.058985833333333335,0.509286532367807,0.020875801731700103,0.3148148148148149,0.8186057175223523,2.4644238555658666
"NIFTY_candle_5T_short_0_long_500_entry_14,30_exit_15,00_premium_1st_week_short_sl_2,5_short_pt_0,2_lots_3_exit_2_3rd_Tuesday.csv",85041.6125,13899.862500000007,123.12612802143663,2126.0403125000003,2338.4464843750006,3999.4093750000015,2126.0403125000003,135000,62.99378703703705,57.113291491454525,2022-05-10,112,2022-02-22,163,108,55,66.25766871165644,33.74233128834356,8779.706250000003,-11376.41875,789.6000000000001,1472.0624999999995,-700.8312499999997,2311.5882007576165,1308.7625472915392,2207.28880134085,11376.41875,242.94408845265247,2024-01-16,28,2024-01-09,0.7797078078113425,0.01732182581018519,0.1029619444444445,0.8254035089231491,0.13723434397556045,0.4629629629629629,0.5377292627112146,2.457379909140285
"NIFTY_candle_5T_short_0_long_0,33_entry_14,30_exit_15,00_premium_1st_week_short_sl_2,5_short_pt_0,2_lots_1_exit_full_Tuesday.csv",20228.1125,2884.74375,0.0,505.7028124999999,563.6671875000002,912.5796875000001,505.7028124999999,45000,44.9513611111111,42.243334548490715,2021-10-19,238,2021-06-08,163,97,66,59.50920245398773,40.49079754601227,4204.2,-1791.675,219.24375000000003,400.1500000000001,-316.6499999999999,608.4990566112792,464.7868726626432,355.4241898995899,2028.5374999999995,353.8468247478876,2024-01-16,140,2023-09-12,1.0429870082976804,0.012525937500000004,0.06410541666666666,0.5872959470073665,0.03442195755383497,0.25925925925925936,0.7211560232263982,2.4036596423095595
