Date,vix,Position,Action,PE_Long_Time,PE_Short_Time,CE_Short_Time,CE_Long_Time,Index Value,PE_Long_Strike,PE_Short_Strike,CE_Short_Strike,CE_Long_Strike,ExpiryDate,DaysToExpiry,Day,PE_Long_Premium,PE_Short_Premium,CE_Short_Premium,CE_Long_Premium,PE_Long_Stoploss,PE_Short_Stoploss,CE_Short_Stoploss,CE_Long_Stoploss,PE_Short_target,CE_Short_target,PE_Long_Exit,PE_Short_Exit,CE_Short_Exit,CE_Long_Exit,Premium
2024-06-04,25.22,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,22478.85,21150.0,22000,23000,23900,2024-06-06 00:00:00,2,Tuesday,98.3,279.55,235.65,76.75,0,698.875,589.125,0,27.955,23.565,,,,,1360.6
2024-06-04,,0,Long,2024-06-04 12:11:00,2024-06-04 12:11:00,2024-06-05 09:19:00,2024-06-05 09:19:00,,21150.0,22000,23000,23900,2024-06-06 00:00:00,2,Tuesday,"[271.6, 0.05]","[735.8, 0.1]","[14.2, 14.2]","[4.8, 4.8]",0,,,0,,,Exit,SL hit,Target hit,Exit,-501.9499999999999
2024-06-11,15.92,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23282.7,22700.0,22950,23650,23850,2024-06-13 00:00:00,2,Tuesday,16.6,47.25,28.1,9.85,0,118.125,70.25,0,4.7250000000000005,2.8100000000000005,,,,,195.6
2024-06-11,,0,Long,2024-06-13 09:15:00,2024-06-13 09:15:00,2024-06-13 09:45:00,2024-06-13 09:45:00,,22700.0,22950,23650,23850,2024-06-13 00:00:00,2,Tuesday,"[0.7, 0.7]","[4.4, 4.4]","[2.75, 2.75]","[0.65, 0.65]",0,,,0,,,Exit,Target hit,Target hit,Exit,-23.200000000000003
2024-06-18,13.4,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23515.0,22900.0,23200,23800,23900,2024-06-20 00:00:00,2,Tuesday,6.0,17.8,13.8,5.4,0,44.5,34.5,0,1.7800000000000002,1.38,,,,,80.80000000000001
2024-06-18,,0,Long,2024-06-20 11:21:00,2024-06-20 11:21:00,2024-06-20 12:11:00,2024-06-20 12:11:00,,22900.0,23200,23800,23900,2024-06-20 00:00:00,2,Tuesday,"[0.45, 0.45]","[1.7, 1.7]","[1.3, 1.3]","[0.7, 0.7]",0,,,0,,,Exit,Target hit,Target hit,Exit,-7.4
2024-06-25,14.05,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23579.75,23100.0,23300,23900,24050,2024-06-27 00:00:00,2,Tuesday,10.5,28.6,12.6,4.2,0,71.5,31.5,0,2.8600000000000003,1.26,,,,,106.0
2024-06-25,,0,Long,2024-06-26 15:08:00,2024-06-26 15:08:00,2024-06-25 13:17:00,2024-06-25 13:17:00,,23100.0,23300,23900,24050,2024-06-27 00:00:00,2,Tuesday,"[1.7, 1.7]","[2.85, 2.85]","[33.5, 134.9]","[10.15, 16.1]",0,,,0,,,Exit,Target hit,SL hit,Exit,-384.3500000000001
2024-07-02,13.82,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24144.5,23600.0,23850,24450,24600,2024-07-04 00:00:00,2,Tuesday,9.05,30.05,21.6,6.6,0,75.125,54.0,0,3.0050000000000003,2.16,,,,,144.00000000000003
2024-07-02,,0,Long,2024-07-03 15:30:00,2024-07-03 15:30:00,2024-07-04 13:04:00,2024-07-04 13:04:00,,23600.0,23850,24450,24600,2024-07-04 00:00:00,2,Tuesday,"[1.1, 1.1]","[2.9, 2.9]","[2.1, 2.1]","[0.5, 0.5]",0,,,0,,,Exit,Target hit,Target hit,Exit,-13.6
