Date,vix,Position,Action,PE_Long_Time,PE_Short_Time,CE_Short_Time,CE_Long_Time,Index Value,PE_Long_Strike,PE_Short_Strike,CE_Short_Strike,CE_Long_Strike,ExpiryDate,DaysToExpiry,Day,PE_Long_Premium,PE_Short_Premium,CE_Short_Premium,CE_Long_Premium,PE_Long_Stoploss,PE_Short_Stoploss,CE_Short_Stoploss,CE_Long_Stoploss,PE_Short_target,CE_Short_target,PE_Long_Exit,PE_Short_Exit,CE_Short_Exit,CE_Long_Exit,Premium
2024-06-04,25.22,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,22478.85,21150.0,22000,23000,23900,2024-06-06 00:00:00,2,Tuesday,98.3,279.55,235.65,76.75,0,559.1,471.3,0,55.91,47.13,,,,,1020.4500000000002
2024-06-04,,0,Long,2024-06-04 12:03:00,2024-06-04 12:03:00,2024-06-05 09:16:00,2024-06-05 09:16:00,,21150.0,22000,23000,23900,2024-06-06 00:00:00,2,Tuesday,"[187.55, 0.05]","[574.45, 0.1]","[28.55, 28.55]","[26.25, 26.25]",0,,,0,,,Exit,SL hit,Target hit,Exit,-780.75
2024-06-11,15.92,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23282.7,22700.0,22950,23650,23850,2024-06-13 00:00:00,2,Tuesday,16.6,47.25,28.1,9.85,0,94.5,56.2,0,9.45,5.620000000000001,,,,,146.70000000000002
2024-06-11,,0,Long,2024-06-12 10:42:00,2024-06-12 10:42:00,2024-06-12 15:01:00,2024-06-12 15:01:00,,22700.0,22950,23650,23850,2024-06-13 00:00:00,2,Tuesday,"[3.6, 3.6]","[8.9, 8.9]","[5.6, 5.6]","[1.0, 1.0]",0,,,0,,,Exit,Target hit,Target hit,Exit,-29.7
2024-06-18,13.4,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23515.0,22900.0,23200,23800,23900,2024-06-20 00:00:00,2,Tuesday,6.0,17.8,13.8,5.4,0,35.6,27.6,0,3.5600000000000005,2.76,,,,,60.60000000000001
2024-06-18,,0,Long,2024-06-20 09:15:00,2024-06-20 09:15:00,2024-06-19 14:37:00,2024-06-19 14:37:00,,22900.0,23200,23800,23900,2024-06-20 00:00:00,2,Tuesday,"[0.5, 0.5]","[2.9, 2.9]","[28.7, 0.15]","[10.35, 0.1]",0,,,0,,,Exit,Target hit,SL hit,Exit,-43.95
2024-06-25,14.05,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23579.75,23100.0,23300,23900,24050,2024-06-27 00:00:00,2,Tuesday,10.5,28.6,12.6,4.2,0,57.2,25.2,0,5.720000000000001,2.52,,,,,79.5
2024-06-25,,0,Long,2024-06-26 11:54:00,2024-06-26 11:54:00,2024-06-25 13:01:00,2024-06-25 13:01:00,,23100.0,23300,23900,24050,2024-06-27 00:00:00,2,Tuesday,"[3.2, 3.2]","[5.65, 5.65]","[26.25, 134.9]","[7.3, 16.1]",0,,,0,,,Exit,Target hit,SL hit,Exit,-164.05
2024-07-02,13.82,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24144.5,23600.0,23850,24450,24600,2024-07-04 00:00:00,2,Tuesday,9.05,30.05,21.6,6.6,0,60.1,43.2,0,6.010000000000001,4.32,,,,,108.0
2024-07-02,,0,Long,2024-07-03 12:02:00,2024-07-03 12:02:00,2024-07-04 11:02:00,2024-07-04 11:02:00,,23600.0,23850,24450,24600,2024-07-04 00:00:00,2,Tuesday,"[2.2, 2.2]","[5.95, 5.95]","[4.2, 4.2]","[0.8, 0.8]",0,,,0,,,Exit,Target hit,Target hit,Exit,-21.45
2024-07-09,13.76,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24360.55,23850.0,24050,24650,24750,2024-07-11 00:00:00,2,Tuesday,5.1,16.05,10.6,4.15,0,32.1,21.2,0,3.2100000000000004,2.12,,,,,52.2
2024-07-09,,0,Long,2024-07-10 10:36:00,2024-07-10 10:36:00,2024-07-10 15:20:00,2024-07-10 15:20:00,,23850.0,24050,24650,24750,2024-07-11 00:00:00,2,Tuesday,"[8.3, 0.05]","[35.65, 0.1]","[2.1, 2.1]","[0.85, 0.85]",0,,,0,,,Exit,SL hit,Target hit,Exit,-58.49999999999999
2024-07-16,14.35,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24623.2,24100.0,24300,24900,25050,2024-07-18 00:00:00,2,Tuesday,4.9,14.4,8.35,2.15,0,28.8,16.7,0,2.8800000000000003,1.67,,,,,47.1
2024-07-16,,0,Long,2024-07-18 09:42:00,2024-07-18 09:42:00,2024-07-18 09:15:00,2024-07-18 09:15:00,,24100.0,24300,24900,25050,2024-07-18 00:00:00,2,Tuesday,"[0.75, 0.75]","[2.7, 2.7]","[1.6, 1.6]","[0.55, 0.55]",0,,,0,,,Exit,Target hit,Target hit,Exit,-9.000000000000002
2024-07-23,15.15,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24532.2,23650.0,24200,24900,25300,2024-07-25 00:00:00,2,Tuesday,34.0,102.65,79.4,24.3,0,205.3,158.8,0,20.53,15.880000000000004,,,,,371.2500000000001
2024-07-23,,0,Long,2024-07-23 12:23:00,2024-07-23 12:23:00,2024-07-23 12:32:00,2024-07-23 12:32:00,,23650.0,24200,24900,25300,2024-07-25 00:00:00,2,Tuesday,"[66.15, 0.1]","[230.0, 0.3]","[14.55, 14.55]","[4.95, 4.95]",0,,,0,,,Exit,SL hit,Target hit,Exit,-356.7
2024-07-30,13.02,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24836.0,24300.0,24550,25150,25300,2024-08-01 00:00:00,2,Tuesday,6.9,23.15,18.55,6.6,0,46.3,37.1,0,4.63,3.71,,,,,84.6
2024-07-30,,0,Long,2024-08-01 09:15:00,2024-08-01 09:15:00,2024-08-01 11:43:00,2024-08-01 11:43:00,,24300.0,24550,25150,25300,2024-08-01 00:00:00,2,Tuesday,"[1.05, 1.05]","[3.5, 3.5]","[3.4, 3.4]","[1.0, 1.0]",0,,,0,,,Exit,Target hit,Target hit,Exit,-14.55
2024-08-06,17.59,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24318.6,23450.0,23900,24700,25000,2024-08-08 00:00:00,2,Tuesday,12.55,38.75,27.85,8.45,0,77.5,55.7,0,7.75,5.57,,,,,136.8
2024-08-06,,0,Long,2024-08-06 10:38:00,2024-08-06 10:38:00,2024-08-07 09:47:00,2024-08-07 09:47:00,,23450.0,23900,24700,25000,2024-08-08 00:00:00,2,Tuesday,"[30.8, 0.1]","[77.65, 0.3]","[5.3, 5.3]","[1.85, 1.85]",0,,,0,,,Exit,SL hit,Target hit,Exit,-104.25000000000004
2024-08-13,15.96,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24324.15,23850.0,24050,24550,24700,2024-08-14 00:00:00,1,Tuesday,7.4,24.0,25.65,7.65,0,48.0,51.3,0,4.800000000000001,5.13,,,,,103.79999999999998
2024-08-13,,0,Long,2024-08-13 13:58:00,2024-08-13 13:58:00,2024-08-13 15:30:00,2024-08-13 15:30:00,,23850.0,24050,24550,24700,2024-08-14 00:00:00,1,Tuesday,"[11.05, 0.25]","[48.9, 0.7]","[4.75, 4.75]","[2.3, 2.3]",0,,,0,,,Exit,SL hit,Target hit,Exit,-83.5
2024-08-20,13.89,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24622.4,24100.0,24300,24900,25050,2024-08-22 00:00:00,2,Tuesday,6.0,17.85,12.25,3.35,0,35.7,24.5,0,3.5700000000000003,2.45,,,,,62.250000000000014
2024-08-20,,0,Long,2024-08-21 11:26:00,2024-08-21 11:26:00,2024-08-20 10:01:00,2024-08-20 10:01:00,,24100.0,24300,24900,25050,2024-08-22 00:00:00,2,Tuesday,"[1.9, 1.9]","[3.5, 3.5]","[24.6, 0.3]","[5.4, 0.1]",0,,,0,,,Exit,Target hit,SL hit,Exit,-43.400000000000006
2024-08-27,13.92,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,25002.7,24450.0,24700,25300,25450,2024-08-29 00:00:00,2,Tuesday,5.5,17.05,11.2,3.05,0,34.1,22.4,0,3.41,2.24,,,,,59.1
2024-08-27,,0,Long,2024-08-28 13:47:00,2024-08-28 13:47:00,2024-08-29 09:16:00,2024-08-29 09:16:00,,24450.0,24700,25300,25450,2024-08-29 00:00:00,2,Tuesday,"[1.7, 1.7]","[3.35, 3.35]","[1.65, 1.65]","[0.6, 0.6]",0,,,0,,,Exit,Target hit,Target hit,Exit,-8.099999999999998
2024-09-03,13.83,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,25268.05,24750.0,24950,25550,25700,2024-09-05 00:00:00,2,Tuesday,5.45,15.2,13.05,3.7,0,30.4,26.1,0,3.04,2.6100000000000003,,,,,57.3
2024-09-03,,0,Long,2024-09-04 09:16:00,2024-09-04 09:16:00,2024-09-04 13:05:00,2024-09-04 13:05:00,,24750.0,24950,25550,25700,2024-09-05 00:00:00,2,Tuesday,"[9.25, 0.1]","[30.75, 0.15]","[2.6, 2.6]","[1.55, 1.55]",0,,,0,,,Exit,SL hit,Target hit,Exit,-46.2
2024-09-10,13.93,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24994.25,24500.0,24700,25300,25450,2024-09-12 00:00:00,2,Tuesday,5.0,16.9,9.8,3.2,0,33.8,19.6,0,3.38,1.96,,,,,55.49999999999999
2024-09-10,,0,Long,2024-09-10 09:55:00,2024-09-10 09:55:00,2024-09-10 13:13:00,2024-09-10 13:13:00,,24500.0,24700,25300,25450,2024-09-12 00:00:00,2,Tuesday,"[12.15, 0.4]","[39.7, 0.45]","[20.1, 41.9]","[5.75, 0.85]",0,,,0,,,Exit,SL hit,SL hit,Exit,-124.9
2024-09-17,12.67,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,25378.9,24850.0,25100,25700,25850,2024-09-19 00:00:00,2,Tuesday,9.65,27.95,13.4,4.8,0,55.9,26.8,0,5.59,2.68,,,,,80.69999999999999
2024-09-17,,0,Long,2024-09-18 13:41:00,2024-09-18 13:41:00,2024-09-18 10:47:00,2024-09-18 10:47:00,,24850.0,25100,25700,25850,2024-09-19 00:00:00,2,Tuesday,"[18.55, 0.1]","[56.85, 0.25]","[27.05, 0.45]","[11.0, 0.35]",0,,,0,,,Exit,SL hit,SL hit,Exit,-108.95
2024-09-24,13.91,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,25932.9,25300.0,25650,26250,26450,2024-09-26 00:00:00,2,Tuesday,10.7,33.6,18.8,6.0,0,67.2,37.6,0,6.720000000000001,3.76,,,,,107.10000000000002
2024-09-24,,0,Long,2024-09-25 15:12:00,2024-09-25 15:12:00,2024-09-25 12:26:00,2024-09-25 12:26:00,,25300.0,25650,26250,26450,2024-09-26 00:00:00,2,Tuesday,"[2.65, 2.65]","[6.4, 6.4]","[3.75, 3.75]","[2.2, 2.2]",0,,,0,,,Exit,Target hit,Target hit,Exit,-15.900000000000002
2024-02-06,15.78,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,21792.9,21250.0,21500,22100,22300,2024-02-08 00:00:00,2,Tuesday,15.05,46.3,33.65,11.8,0,92.6,67.3,0,9.26,6.73,,,,,159.29999999999995
2024-02-06,,0,Long,2024-02-07 09:16:00,2024-02-07 09:16:00,2024-02-07 09:15:00,2024-02-07 09:15:00,,21250.0,21500,22100,22300,2024-02-08 00:00:00,2,Tuesday,"[2.9, 2.9]","[7.25, 7.25]","[99.0, 0.2]","[18.0, 0.15]",0,,,0,,,Exit,Target hit,SL hit,Exit,-175.1
2024-02-13,16.46,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,21576.45,21050.0,21300,21900,22100,2024-02-15 00:00:00,2,Tuesday,14.5,46.2,34.25,11.15,0,92.4,68.5,0,9.24,6.8500000000000005,,,,,164.40000000000003
2024-02-13,,0,Long,2024-02-14 12:16:00,2024-02-14 12:16:00,2024-02-14 11:40:00,2024-02-14 11:40:00,,21050.0,21300,21900,22100,2024-02-15 00:00:00,2,Tuesday,"[2.4, 2.4]","[9.2, 9.2]","[6.8, 6.8]","[1.8, 1.8]",0,,,0,,,Exit,Target hit,Target hit,Exit,-35.4
2024-02-20,16.32,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,22089.8,21550.0,21800,22400,22550,2024-02-22 00:00:00,2,Tuesday,12.4,40.15,20.9,7.05,0,80.3,41.8,0,8.03,4.18,,,,,124.79999999999998
2024-02-20,,0,Long,2024-02-21 11:11:00,2024-02-21 11:11:00,2024-02-21 14:38:00,2024-02-21 14:38:00,,21550.0,21800,22400,22550,2024-02-22 00:00:00,2,Tuesday,"[2.2, 2.2]","[7.95, 7.95]","[4.15, 4.15]","[1.95, 1.95]",0,,,0,,,Exit,Target hit,Target hit,Exit,-23.850000000000005
2024-02-27,15.87,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,22126.0,21650.0,21850,22450,22600,2024-02-29 00:00:00,2,Tuesday,14.3,39.0,25.4,9.25,0,78.0,50.8,0,7.800000000000001,5.08,,,,,122.54999999999998
2024-02-27,,0,Long,2024-02-29 10:15:00,2024-02-29 10:15:00,2024-02-28 12:04:00,2024-02-28 12:04:00,,21650.0,21850,22450,22600,2024-02-29 00:00:00,2,Tuesday,"[16.1, 0.35]","[80.15, 2.15]","[5.05, 5.05]","[2.25, 2.25]",0,,,0,,,Exit,SL hit,Target hit,Exit,-138.3
2024-03-05,14.96,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,22366.45,21800.0,22050,22650,22800,2024-03-07 00:00:00,2,Tuesday,8.95,29.55,19.05,5.35,0,59.1,38.1,0,5.91,3.810000000000001,,,,,102.90000000000002
2024-03-05,,0,Long,2024-03-06 14:30:00,2024-03-06 14:30:00,2024-03-06 11:08:00,2024-03-06 11:08:00,,21800.0,22050,22650,22800,2024-03-07 00:00:00,2,Tuesday,"[2.5, 2.5]","[5.7, 5.7]","[3.75, 3.75]","[1.8, 1.8]",0,,,0,,,Exit,Target hit,Target hit,Exit,-15.449999999999998
2024-03-12,14.05,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,22331.55,21850.0,22050,22650,22800,2024-03-14 00:00:00,2,Tuesday,6.0,21.0,20.3,6.05,0,42.0,40.6,0,4.2,4.0600000000000005,,,,,87.75
2024-03-12,,0,Long,2024-03-13 11:31:00,2024-03-13 11:31:00,2024-03-13 13:33:00,2024-03-13 13:33:00,,21850.0,22050,22650,22800,2024-03-14 00:00:00,2,Tuesday,"[12.15, 0.2]","[47.55, 0.75]","[3.7, 3.7]","[2.4, 2.4]",0,,,0,,,Exit,SL hit,Target hit,Exit,-75.24999999999999
2024-03-19,14.33,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,21937.55,21450.0,21650,22250,22450,2024-03-21 00:00:00,2,Tuesday,11.8,33.8,27.55,7.8,0,67.6,55.1,0,6.76,5.510000000000001,,,,,125.25
2024-03-19,,0,Long,2024-03-21 09:16:00,2024-03-21 09:16:00,2024-03-20 10:00:00,2024-03-20 10:00:00,,21450.0,21650,22250,22450,2024-03-21 00:00:00,2,Tuesday,"[0.85, 0.85]","[2.25, 2.25]","[5.5, 5.5]","[1.95, 1.95]",0,,,0,,,Exit,Target hit,Target hit,Exit,-14.85
2024-03-26,13.02,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,22064.95,21550.0,21800,22300,22450,2024-03-28 00:00:00,2,Tuesday,8.8,28.5,38.2,11.3,0,57.0,76.4,0,5.7,7.640000000000001,,,,,139.8
2024-03-26,,0,Long,2024-03-27 11:17:00,2024-03-27 11:17:00,2024-03-28 09:52:00,2024-03-28 09:52:00,,21550.0,21800,22300,22450,2024-03-28 00:00:00,2,Tuesday,"[1.7, 1.7]","[5.55, 5.55]","[79.4, 156.5]","[13.8, 21.9]",0,,,0,,,Exit,Target hit,SL hit,Exit,-277.35
2024-04-02,12.09,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,22443.1,22000.0,22200,22700,22850,2024-04-04 00:00:00,2,Tuesday,9.05,28.65,18.8,5.9,0,57.3,37.6,0,5.73,3.76,,,,,97.5
2024-04-02,,0,Long,2024-04-03 13:40:00,2024-04-03 13:40:00,2024-04-03 15:12:00,2024-04-03 15:12:00,,22000.0,22200,22700,22850,2024-04-04 00:00:00,2,Tuesday,"[2.8, 2.8]","[5.65, 5.65]","[3.75, 3.75]","[1.15, 1.15]",0,,,0,,,Exit,Target hit,Target hit,Exit,-16.350000000000005
2024-04-09,11.5,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,22705.35,22350.0,22550,22850,22950,2024-04-10 00:00:00,1,Tuesday,9.25,30.25,23.3,7.8,0,60.5,46.6,0,6.050000000000001,4.66,,,,,109.5
2024-04-09,,0,Long,2024-04-10 11:00:00,2024-04-10 11:00:00,2024-04-10 10:04:00,2024-04-10 10:04:00,,22350.0,22550,22850,22950,2024-04-10 00:00:00,1,Tuesday,"[2.3, 2.3]","[5.7, 5.7]","[4.65, 4.65]","[1.55, 1.55]",0,,,0,,,Exit,Target hit,Target hit,Exit,-19.5
2024-04-16,12.56,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,22187.45,21750.0,21950,22450,22650,2024-04-18 00:00:00,2,Tuesday,10.1,27.85,17.4,5.7,0,55.7,34.8,0,5.57,3.48,,,,,88.35
2024-04-16,,0,Long,2024-04-18 09:16:00,2024-04-18 09:16:00,2024-04-18 09:20:00,2024-04-18 09:20:00,,21750.0,21950,22450,22650,2024-04-18 00:00:00,2,Tuesday,"[1.1, 1.1]","[3.55, 3.55]","[3.4, 3.4]","[0.7, 0.7]",0,,,0,,,Exit,Target hit,Target hit,Exit,-15.449999999999998
