Date,vix,Position,Action,PE_Long_Time,PE_Short_Time,CE_Short_Time,CE_Long_Time,Index Value,PE_Long_Strike,PE_Short_Strike,CE_Short_Strike,CE_Long_Strike,ExpiryDate,DaysToExpiry,Day,PE_Long_Premium,PE_Short_Premium,CE_Short_Premium,CE_Long_Premium,PE_Long_Stoploss,PE_Short_Stoploss,CE_Short_Stoploss,CE_Long_Stoploss,PE_Short_target,CE_Short_target,PE_Long_Exit,PE_Short_Exit,CE_Short_Exit,CE_Long_Exit,Premium
2024-06-04,26.78,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,21909.85,20750.0,21400,22400,23600,2024-06-06 00:00:00,2,Tuesday,60.95,180.1,158.4,53.05,0,360.2,316.8,0,36.02,31.680000000000003,,,,,449.0
2024-06-04,,0,Long,2024-06-05 10:10:00,2024-06-05 10:10:00,2024-06-05 09:25:00,2024-06-05 09:25:00,,20750.0,21400,22400,23600,2024-06-06 00:00:00,2,Tuesday,"[6.85, 6.85]","[35.45, 35.45]","[29.95, 29.95]","[4.6, 4.6]",0,,,0,,,Exit,Target hit,Target hit,Exit,-107.9
2024-06-11,14.82,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,23345.45,22800.0,23050,23650,23800,2024-06-13 00:00:00,2,Tuesday,11.5,33.5,19.3,5.9,0,67.0,38.6,0,6.7,3.86,,,,,70.8
2024-06-11,,0,Long,2024-06-13 09:16:00,2024-06-13 09:16:00,2024-06-13 09:36:00,2024-06-13 09:36:00,,22800.0,23050,23650,23800,2024-06-13 00:00:00,2,Tuesday,"[0.8, 0.8]","[2.95, 2.95]","[3.8, 3.8]","[0.95, 0.95]",0,,,0,,,Exit,Target hit,Target hit,Exit,-10.0
2024-06-18,12.93,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,23539.35,23100.0,23300,23800,23900,2024-06-20 00:00:00,2,Tuesday,6.45,18.3,8.55,3.3,0,36.6,17.1,0,3.66,1.7100000000000002,,,,,34.2
2024-06-18,,0,Long,2024-06-19 10:25:00,2024-06-19 10:25:00,2024-06-19 14:33:00,2024-06-19 14:33:00,,23100.0,23300,23800,23900,2024-06-20 00:00:00,2,Tuesday,"[11.15, 0.15]","[40.0, 0.25]","[20.45, 0.15]","[7.55, 0.1]",0,,,0,,,Exit,SL hit,SL hit,Exit,-41.89999999999999
2024-06-25,14.25,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,23693.55,23100.0,23400,24000,24150,2024-06-27 00:00:00,2,Tuesday,8.6,27.45,13.55,3.7,0,54.9,27.1,0,5.49,2.7100000000000004,,,,,57.4
2024-06-25,,0,Long,2024-06-26 14:18:00,2024-06-26 14:18:00,2024-06-26 11:34:00,2024-06-26 11:34:00,,23100.0,23400,24000,24150,2024-06-27 00:00:00,2,Tuesday,"[2.35, 2.35]","[5.45, 5.45]","[29.45, 44.05]","[7.4, 0.45]",0,,,0,,,Exit,Target hit,SL hit,Exit,-71.85000000000001
2024-07-02,13.7,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,24123.85,23550.0,23800,24400,24550,2024-07-04 00:00:00,2,Tuesday,5.65,18.95,18.4,4.9,0,37.9,36.8,0,3.79,3.68,,,,,53.59999999999999
2024-07-02,,0,Long,2024-07-03 13:37:00,2024-07-03 13:37:00,2024-07-03 09:15:00,2024-07-03 09:15:00,,23550.0,23800,24400,24550,2024-07-04 00:00:00,2,Tuesday,"[1.8, 1.8]","[3.7, 3.7]","[45.05, 0.3]","[9.95, 0.2]",0,,,0,,,Exit,Target hit,SL hit,Exit,-38.99999999999999
