Date,vix,Position,Action,PE_Long_Time,PE_Short_Time,CE_Short_Time,CE_Long_Time,Index Value,PE_Long_Strike,PE_Short_Strike,CE_Short_Strike,CE_Long_Strike,ExpiryDate,DaysToExpiry,Day,PE_Long_Premium,PE_Short_Premium,CE_Short_Premium,CE_Long_Premium,PE_Long_Stoploss,PE_Short_Stoploss,CE_Short_Stoploss,CE_Long_Stoploss,PE_Short_target,CE_Short_target,PE_Long_Exit,PE_Short_Exit,CE_Short_Exit,CE_Long_Exit,Premium
2024-06-04,26.78,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,21909.85,21000.0,21400,22400,23150,2024-06-06 00:00:00,2,Tuesday,93.15,180.1,158.4,79.55,0,450.25,396.0,0,18.01,15.840000000000002,,,,,331.6
2024-06-04,,0,Long,2024-06-05 11:09:00,2024-06-05 11:09:00,2024-06-06 10:16:00,2024-06-06 10:16:00,,21000.0,21400,22400,23150,2024-06-06 00:00:00,2,Tuesday,"[6.75, 6.75]","[17.2, 17.2]","[411.9, 374.15]","[40.1, 19.1]",0,,,0,,,Exit,Target hit,SL hit,Exit,-747.7499999999999
2024-06-11,14.82,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,23345.45,22900.0,23050,23650,23750,2024-06-13 00:00:00,2,Tuesday,17.45,33.5,19.3,8.65,0,83.75,48.25,0,3.35,1.93,,,,,53.39999999999999
2024-06-11,,0,Long,2024-06-13 09:16:00,2024-06-13 09:16:00,2024-06-13 10:23:00,2024-06-13 10:23:00,,22900.0,23050,23650,23750,2024-06-13 00:00:00,2,Tuesday,"[1.2, 1.2]","[2.95, 2.95]","[1.9, 1.9]","[0.8, 0.8]",0,,,0,,,Exit,Target hit,Target hit,Exit,-5.699999999999999
2024-06-18,12.93,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,23539.35,23150.0,23300,23800,23850,2024-06-20 00:00:00,2,Tuesday,8.0,18.3,8.55,5.05,0,45.75,21.375,0,1.83,0.8550000000000001,,,,,27.6
2024-06-18,,0,Long,2024-06-19 10:31:00,2024-06-19 10:31:00,2024-06-19 14:35:00,2024-06-19 14:35:00,,23150.0,23300,23800,23850,2024-06-20 00:00:00,2,Tuesday,"[17.55, 0.2]","[47.6, 0.25]","[22.7, 0.15]","[13.65, 0.1]",0,,,0,,,Exit,SL hit,SL hit,Exit,-39.2
2024-06-25,14.25,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,23693.55,23250.0,23400,24000,24100,2024-06-27 00:00:00,2,Tuesday,14.65,27.45,13.55,5.55,0,68.625,33.875,0,2.745,1.3550000000000002,,,,,41.6
2024-06-25,,0,Long,2024-06-27 09:19:00,2024-06-27 09:19:00,2024-06-26 11:35:00,2024-06-26 11:35:00,,23250.0,23400,24000,24100,2024-06-27 00:00:00,2,Tuesday,"[0.9, 0.9]","[2.7, 2.7]","[37.7, 44.05]","[16.0, 3.25]",0,,,0,,,Exit,Target hit,SL hit,Exit,-66.10000000000001
2024-07-02,13.7,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,24123.85,23650.0,23800,24400,24500,2024-07-04 00:00:00,2,Tuesday,8.75,18.95,18.4,7.6,0,47.375,46.0,0,1.895,1.84,,,,,41.99999999999999
2024-07-02,,0,Long,2024-07-04 09:15:00,2024-07-04 09:15:00,2024-07-03 09:46:00,2024-07-03 09:46:00,,23650.0,23800,24400,24500,2024-07-04 00:00:00,2,Tuesday,"[0.6, 0.6]","[1.0, 1.0]","[46.4, 0.3]","[20.45, 0.25]",0,,,0,,,Exit,Target hit,SL hit,Exit,-26.8
2024-07-09,14.39,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,24413.2,23950.0,24100,24700,24750,2024-07-11 00:00:00,2,Tuesday,4.9,10.15,8.45,4.85,0,25.375,21.125,0,1.015,0.845,,,,,17.700000000000003
2024-07-09,,0,Long,2024-07-10 10:23:00,2024-07-10 10:23:00,2024-07-11 09:29:00,2024-07-11 09:29:00,,23950.0,24100,24700,24750,2024-07-11 00:00:00,2,Tuesday,"[14.7, 0.1]","[36.15, 0.1]","[0.8, 0.8]","[0.65, 0.65]",0,,,0,,,Exit,SL hit,Target hit,Exit,-21.750000000000004
2024-07-16,14.26,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,24607.95,24200.0,24300,24900,25000,2024-07-18 00:00:00,2,Tuesday,4.35,8.25,3.2,1.35,0,20.625,8.0,0,0.8250000000000001,0.32,,,,,11.5
2024-07-16,,0,Long,2024-07-18 13:25:00,2024-07-18 13:25:00,2024-07-18 14:05:00,2024-07-18 14:05:00,,24200.0,24300,24900,25000,2024-07-18 00:00:00,2,Tuesday,"[0.6, 0.6]","[0.8, 0.8]","[8.45, 0.75]","[1.75, 0.25]",0,,,0,,,Exit,Target hit,SL hit,Exit,-7.599999999999999
2024-07-23,13.16,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,24442.4,24000.0,24150,24750,24900,2024-07-25 00:00:00,2,Tuesday,18.7,35.85,31.7,16.15,0,89.625,79.25,0,3.5850000000000004,3.17,,,,,65.4
2024-07-23,,0,Long,2024-07-25 11:49:00,2024-07-25 11:49:00,2024-07-25 09:15:00,2024-07-25 09:15:00,,24000.0,24150,24750,24900,2024-07-25 00:00:00,2,Tuesday,"[1.55, 1.55]","[3.5, 3.5]","[2.0, 2.0]","[0.8, 0.8]",0,,,0,,,Exit,Target hit,Target hit,Exit,-6.3
2024-07-30,12.83,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,24951.6,24500.0,24650,25250,25350,2024-08-01 00:00:00,2,Tuesday,9.25,19.0,9.2,3.65,0,47.5,23.0,0,1.9,0.92,,,,,30.6
2024-07-30,,0,Long,2024-08-01 10:01:00,2024-08-01 10:01:00,2024-08-01 12:30:00,2024-08-01 12:30:00,,24500.0,24650,25250,25350,2024-08-01 00:00:00,2,Tuesday,"[0.85, 0.85]","[1.9, 1.9]","[0.9, 0.9]","[0.6, 0.6]",0,,,0,,,Exit,Target hit,Target hit,Exit,-2.7
