Date,vix,Position,Action,PE_Long_Time,PE_Short_Time,CE_Short_Time,CE_Long_Time,Index Value,PE_Long_Strike,PE_Short_Strike,CE_Short_Strike,CE_Long_Strike,ExpiryDate,DaysToExpiry,Day,PE_Long_Premium,PE_Short_Premium,CE_Short_Premium,CE_Long_Premium,PE_Long_Stoploss,PE_Short_Stoploss,CE_Short_Stoploss,CE_Long_Stoploss,PE_Short_target,CE_Short_target,PE_Long_Exit,PE_Short_Exit,CE_Short_Exit,CE_Long_Exit,Premium
2024-06-04,25.22,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,22478.85,21500,22000,23000,23500,2024-06-06 00:00:00,2,Tuesday,150.0,279.55,235.65,119.4,0,698.875,589.125,0,27.955,23.565,,,,,737.4000000000001
2024-06-04,,0,Long,2024-06-04 12:11:00,2024-06-04 12:11:00,2024-06-05 09:19:00,2024-06-05 09:19:00,,21500,22000,23000,23500,2024-06-06 00:00:00,2,Tuesday,"[433.2, 0.05]","[735.8, 0.1]","[14.2, 14.2]","[7.05, 7.05]",0,,,0,,,Exit,SL hit,Target hit,Exit,-626.6999999999998
2024-06-11,15.92,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23282.7,22450,22950,23650,24150,2024-06-13 00:00:00,2,Tuesday,5.7,47.25,28.1,2.65,0,118.125,70.25,0,4.7250000000000005,2.8100000000000005,,,,,201.0
2024-06-11,,0,Long,2024-06-13 09:15:00,2024-06-13 09:15:00,2024-06-13 09:45:00,2024-06-13 09:45:00,,22450,22950,23650,24150,2024-06-13 00:00:00,2,Tuesday,"[0.6, 0.6]","[4.4, 4.4]","[2.75, 2.75]","[0.25, 0.25]",0,,,0,,,Exit,Target hit,Target hit,Exit,-18.9
2024-06-18,13.4,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23515.0,22700,23200,23800,24300,2024-06-20 00:00:00,2,Tuesday,3.45,17.8,13.8,1.15,0,44.5,34.5,0,1.7800000000000002,1.38,,,,,81.00000000000001
2024-06-18,,0,Long,2024-06-20 11:21:00,2024-06-20 11:21:00,2024-06-20 12:11:00,2024-06-20 12:11:00,,22700,23200,23800,24300,2024-06-20 00:00:00,2,Tuesday,"[0.3, 0.3]","[1.7, 1.7]","[1.3, 1.3]","[0.2, 0.2]",0,,,0,,,Exit,Target hit,Target hit,Exit,-7.5
2024-06-25,14.05,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23579.75,22800,23300,23900,24400,2024-06-27 00:00:00,2,Tuesday,3.15,28.6,12.6,0.9,0,71.5,31.5,0,2.8600000000000003,1.26,,,,,111.45000000000002
2024-06-25,,0,Long,2024-06-26 15:08:00,2024-06-26 15:08:00,2024-06-25 13:17:00,2024-06-25 13:17:00,,22800,23300,23900,24400,2024-06-27 00:00:00,2,Tuesday,"[1.05, 1.05]","[2.85, 2.85]","[33.5, 134.9]","[1.0, 0.15]",0,,,0,,,Exit,Target hit,SL hit,Exit,-205.15
2024-07-02,13.82,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24144.5,23350,23850,24450,24950,2024-07-04 00:00:00,2,Tuesday,3.45,30.05,21.6,1.0,0,75.125,54.0,0,3.0050000000000003,2.16,,,,,141.60000000000002
2024-07-02,,0,Long,2024-07-03 15:30:00,2024-07-03 15:30:00,2024-07-04 13:04:00,2024-07-04 13:04:00,,23350,23850,24450,24950,2024-07-04 00:00:00,2,Tuesday,"[0.05, 0.05]","[2.9, 2.9]","[2.1, 2.1]","[0.15, 0.15]",0,,,0,,,Exit,Target hit,Target hit,Exit,-14.400000000000002
