Date,vix,Position,Action,PE_Long_Time,PE_Short_Time,CE_Short_Time,CE_Long_Time,Index Value,PE_Long_Strike,PE_Short_Strike,CE_Short_Strike,CE_Long_Strike,ExpiryDate,DaysToExpiry,Day,PE_Long_Premium,PE_Short_Premium,CE_Short_Premium,CE_Long_Premium,PE_Long_Stoploss,PE_Short_Stoploss,CE_Short_Stoploss,CE_Long_Stoploss,PE_Short_target,CE_Short_target,PE_Long_Exit,PE_Short_Exit,CE_Short_Exit,CE_Long_Exit,Premium
2024-06-04,25.22,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,22478.85,21500,22000,23000,23500,2024-06-06 00:00:00,2,Tuesday,150.0,279.55,235.65,119.4,0,838.6500000000001,706.95,0,55.91,47.13,,,,,491.60000000000014
2024-06-04,,0,Long,2024-06-04 12:24:00,2024-06-04 12:24:00,2024-06-05 09:16:00,2024-06-05 09:16:00,,21500,22000,23000,23500,2024-06-06 00:00:00,2,Tuesday,"[496.4, 0.05]","[847.25, 0.1]","[28.55, 28.55]","[16.65, 16.65]",0,,,0,,,Exit,SL hit,Target hit,Exit,-374.7000000000001
2024-06-11,15.92,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23282.7,22450,22950,23650,24150,2024-06-13 00:00:00,2,Tuesday,5.7,47.25,28.1,2.65,0,141.75,84.30000000000001,0,9.45,5.620000000000001,,,,,134.0
2024-06-11,,0,Long,2024-06-12 10:42:00,2024-06-12 10:42:00,2024-06-12 15:01:00,2024-06-12 15:01:00,,22450,22950,23650,24150,2024-06-13 00:00:00,2,Tuesday,"[1.7, 1.7]","[8.9, 8.9]","[5.6, 5.6]","[0.4, 0.4]",0,,,0,,,Exit,Target hit,Target hit,Exit,-24.8
2024-06-18,13.4,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23515.0,22700,23200,23800,24300,2024-06-20 00:00:00,2,Tuesday,3.45,17.8,13.8,1.15,0,53.400000000000006,41.400000000000006,0,3.5600000000000005,2.76,,,,,54.0
2024-06-18,,0,Long,2024-06-20 09:15:00,2024-06-20 09:15:00,2024-06-20 10:34:00,2024-06-20 10:34:00,,22700,23200,23800,24300,2024-06-20 00:00:00,2,Tuesday,"[0.5, 0.5]","[2.9, 2.9]","[2.55, 2.55]","[0.35, 0.35]",0,,,0,,,Exit,Target hit,Target hit,Exit,-9.2
2024-06-25,14.05,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,23579.75,22800,23300,23900,24400,2024-06-27 00:00:00,2,Tuesday,3.15,28.6,12.6,0.9,0,85.80000000000001,37.8,0,5.720000000000001,2.52,,,,,74.30000000000001
2024-06-25,,0,Long,2024-06-26 11:54:00,2024-06-26 11:54:00,2024-06-25 14:13:00,2024-06-25 14:13:00,,22800,23300,23900,24400,2024-06-27 00:00:00,2,Tuesday,"[1.9, 1.9]","[5.65, 5.65]","[40.2, 134.9]","[1.2, 0.15]",0,,,0,,,Exit,Target hit,SL hit,Exit,-181.25000000000003
2024-07-02,13.82,1,Short,09:30:00,09:30:00,09:30:00,09:30:00,24144.5,23350,23850,24450,24950,2024-07-04 00:00:00,2,Tuesday,3.45,30.05,21.6,1.0,0,90.15,64.80000000000001,0,6.010000000000001,4.32,,,,,94.4
2024-07-02,,0,Long,2024-07-03 12:02:00,2024-07-03 12:02:00,2024-07-04 11:02:00,2024-07-04 11:02:00,,23350,23850,24450,24950,2024-07-04 00:00:00,2,Tuesday,"[1.5, 1.5]","[5.95, 5.95]","[4.2, 4.2]","[0.25, 0.25]",0,,,0,,,Exit,Target hit,Target hit,Exit,-16.8
