Date,vix,Position,Action,PE_Long_Time,PE_Short_Time,CE_Short_Time,CE_Long_Time,Index Value,PE_Long_Strike,PE_Short_Strike,CE_Short_Strike,CE_Long_Strike,ExpiryDate,DaysToExpiry,Day,PE_Long_Premium,PE_Short_Premium,CE_Short_Premium,CE_Long_Premium,PE_Long_Stoploss,PE_Short_Stoploss,CE_Short_Stoploss,CE_Long_Stoploss,PE_Short_target,CE_Short_target,PE_Long_Exit,PE_Short_Exit,CE_Short_Exit,CE_Long_Exit,Premium
2024-06-04,26.78,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,21909.85,20900,21400,22400,22900,2024-06-06 00:00:00,2,Tuesday,78.8,180.1,158.4,95.85,0,540.3,475.2000000000001,0,54.03,47.52,,,,,655.4000000000001
2024-06-04,,0,Long,2024-06-05 09:43:00,2024-06-05 09:43:00,2024-06-05 09:21:00,2024-06-05 09:21:00,,20900,21400,22400,22900,2024-06-06 00:00:00,2,Tuesday,"[13.15, 13.15]","[51.75, 51.75]","[39.1, 39.1]","[16.4, 16.4]",0,,,0,,,Exit,Target hit,Target hit,Exit,-245.2
2024-06-11,14.82,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,23345.45,22550,23050,23650,24150,2024-06-13 00:00:00,2,Tuesday,4.45,33.5,19.3,1.5,0,100.5,57.900000000000006,0,10.05,5.79,,,,,187.4
2024-06-11,,0,Long,2024-06-13 09:15:00,2024-06-13 09:15:00,2024-06-12 15:01:00,2024-06-12 15:01:00,,22550,23050,23650,24150,2024-06-13 00:00:00,2,Tuesday,"[0.65, 0.65]","[7.4, 7.4]","[5.6, 5.6]","[0.4, 0.4]",0,,,0,,,Exit,Target hit,Target hit,Exit,-47.8
2024-06-18,12.93,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,23539.35,22800,23300,23800,24300,2024-06-20 00:00:00,2,Tuesday,2.5,18.3,8.55,0.7,0,54.900000000000006,25.65,0,5.49,2.565,,,,,94.6
2024-06-18,,0,Long,2024-06-20 10:58:00,2024-06-20 10:58:00,2024-06-19 14:36:00,2024-06-19 14:36:00,,22800,23300,23800,24300,2024-06-20 00:00:00,2,Tuesday,"[0.35, 0.35]","[5.3, 5.3]","[27.25, 0.15]","[0.75, 0.05]",0,,,0,,,Exit,Target hit,SL hit,Exit,-99.4
2024-06-25,14.25,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,23693.55,22900,23400,24000,24500,2024-06-27 00:00:00,2,Tuesday,4.85,27.45,13.55,0.75,0,82.35,40.650000000000006,0,8.235,4.065,,,,,141.6
2024-06-25,,0,Long,2024-06-26 11:58:00,2024-06-26 11:58:00,2024-06-26 14:19:00,2024-06-26 14:19:00,,22900,23400,24000,24500,2024-06-27 00:00:00,2,Tuesday,"[2.0, 2.0]","[8.2, 8.2]","[42.1, 44.05]","[0.95, 0.1]",0,,,0,,,Exit,Target hit,SL hit,Exit,-192.2
2024-07-02,13.7,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,24123.85,23300,23800,24400,24900,2024-07-04 00:00:00,2,Tuesday,2.45,18.95,18.4,0.8,0,56.85,55.2,0,5.685,5.52,,,,,136.39999999999998
2024-07-02,,0,Long,2024-07-03 10:42:00,2024-07-03 10:42:00,2024-07-03 09:53:00,2024-07-03 09:53:00,,23300,23800,24400,24900,2024-07-04 00:00:00,2,Tuesday,"[1.6, 1.6]","[5.6, 5.6]","[56.8, 0.3]","[0.95, 0.1]",0,,,0,,,Exit,Target hit,SL hit,Exit,-183.75
2024-07-09,14.39,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,24413.2,23600,24100,24700,25200,2024-07-11 00:00:00,2,Tuesday,2.05,10.15,8.45,0.8,0,30.450000000000003,25.35,0,3.045,2.535,,,,,63.00000000000001
2024-07-09,,0,Long,2024-07-10 10:23:00,2024-07-10 10:23:00,2024-07-10 13:01:00,2024-07-10 13:01:00,,23600,24100,24700,25200,2024-07-11 00:00:00,2,Tuesday,"[1.6, 0.1]","[36.15, 0.1]","[2.45, 2.45]","[0.8, 0.8]",0,,,0,,,Exit,SL hit,Target hit,Exit,-110.25
2024-07-16,14.26,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,24607.95,23800,24300,24900,25400,2024-07-18 00:00:00,2,Tuesday,1.4,8.25,3.2,0.45,0,24.75,9.6,0,2.475,0.96,,,,,38.4
2024-07-16,,0,Long,2024-07-18 09:47:00,2024-07-18 09:47:00,2024-07-18 09:25:00,2024-07-18 09:25:00,,23800,24300,24900,25400,2024-07-18 00:00:00,2,Tuesday,"[0.3, 0.3]","[2.3, 2.3]","[0.9, 0.9]","[0.25, 0.25]",0,,,0,,,Exit,Target hit,Target hit,Exit,-10.6
2024-07-23,13.16,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,24442.4,23650,24150,24750,25250,2024-07-25 00:00:00,2,Tuesday,5.6,35.85,31.7,3.7,0,107.55,95.1,0,10.755,9.51,,,,,233.0
2024-07-23,,0,Long,2024-07-25 10:31:00,2024-07-25 10:31:00,2024-07-24 12:20:00,2024-07-24 12:20:00,,23650,24150,24750,25250,2024-07-25 00:00:00,2,Tuesday,"[0.75, 0.75]","[10.05, 10.05]","[9.4, 9.4]","[1.7, 1.7]",0,,,0,,,Exit,Target hit,Target hit,Exit,-68.0
2024-07-30,12.83,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,24951.6,24150,24650,25250,25750,2024-08-01 00:00:00,2,Tuesday,3.55,19.0,9.2,0.85,0,57.0,27.6,0,5.7,2.76,,,,,95.2
2024-07-30,,0,Long,2024-08-01 09:16:00,2024-08-01 09:16:00,2024-08-01 09:56:00,2024-08-01 09:56:00,,24150,24650,25250,25750,2024-08-01 00:00:00,2,Tuesday,"[0.55, 0.55]","[3.95, 3.95]","[2.45, 2.45]","[0.25, 0.25]",0,,,0,,,Exit,Target hit,Target hit,Exit,-22.4
2024-08-06,18.71,1,Short,14:30:00,14:30:00,14:30:00,14:30:00,24036.75,23150,23650,24450,24950,2024-08-08 00:00:00,2,Tuesday,15.5,44.95,19.75,4.1,0,134.85000000000002,59.25,0,13.485,5.925,,,,,180.4
