Date,DaysToExpiry,ExpiryDate,PnL
2021-06-08,2,2021-06-10 00:00:00,859.9625000000002
2021-06-15,2,2021-06-17 00:00:00,-1328.3374999999999
2021-06-22,2,2021-06-24 00:00:00,878.6875000000002
2021-06-29,2,2021-07-01 00:00:00,822.3875000000002
2021-07-06,2,2021-07-08 00:00:00,707.8999999999999
2021-07-13,2,2021-07-15 00:00:00,466.17499999999995
2021-07-20,2,2021-07-22 00:00:00,-1.5625
2021-07-27,2,2021-07-29 00:00:00,253.54999999999984
2021-08-03,2,2021-08-05 00:00:00,-3743.375
2021-08-10,2,2021-08-12 00:00:00,658.7749999999999
2021-08-17,1,2021-08-18 00:00:00,1009.375
2021-08-24,2,2021-08-26 00:00:00,421.4000000000002
2021-08-31,2,2021-09-02 00:00:00,-1919.237499999999
2021-09-07,2,2021-09-09 00:00:00,892.3375
2021-09-14,2,2021-09-16 00:00:00,-958.8874999999998
2021-09-21,2,2021-09-23 00:00:00,-2357.5249999999996
2021-09-28,2,2021-09-30 00:00:00,36.987499999999955
2021-10-05,2,2021-10-07 00:00:00,567.825
2021-10-12,2,2021-10-14 00:00:00,-2066.2874999999995
2021-10-19,2,2021-10-21 00:00:00,-3090.825
2021-10-26,2,2021-10-28 00:00:00,1373.9374999999998
2021-11-02,1,2021-11-03 00:00:00,547.3125000000002
2021-11-09,2,2021-11-11 00:00:00,1158.6375
2021-11-16,2,2021-11-18 00:00:00,-1180.8999999999999
2021-11-23,2,2021-11-25 00:00:00,1414.6125
2021-11-30,2,2021-12-02 00:00:00,1543.8499999999997
2021-12-07,2,2021-12-09 00:00:00,-4122.175
2021-12-14,2,2021-12-16 00:00:00,1641.8750000000002
2021-12-21,2,2021-12-23 00:00:00,-90.01249999999982
2021-12-28,2,2021-12-30 00:00:00,1363.0125000000003
2022-01-04,2,2022-01-06 00:00:00,356.875
2022-01-11,2,2022-01-13 00:00:00,1161.7624999999998
2022-01-18,2,2022-01-20 00:00:00,-4866.55
2022-01-25,2,2022-01-27 00:00:00,2911.2374999999993
2022-02-01,2,2022-02-03 00:00:00,4662.062500000002
2022-02-08,2,2022-02-10 00:00:00,-1202.8999999999992
2022-02-15,2,2022-02-17 00:00:00,350.4875000000002
2022-02-22,2,2022-02-24 00:00:00,2529.4625
2022-03-08,2,2022-03-10 00:00:00,-6835.450000000001
2022-03-15,2,2022-03-17 00:00:00,3338.7250000000004
2022-03-22,2,2022-03-24 00:00:00,848.2124999999999
2022-03-29,2,2022-03-31 00:00:00,925.0749999999999
2022-04-05,2,2022-04-07 00:00:00,-2431.7
2022-04-12,1,2022-04-13 00:00:00,1094.1250000000005
2022-04-19,2,2022-04-21 00:00:00,268.0749999999997
2022-04-26,2,2022-04-28 00:00:00,1249.05
2022-05-10,2,2022-05-12 00:00:00,-4177.862499999999
2022-05-17,2,2022-05-19 00:00:00,906.4624999999994
2022-05-24,2,2022-05-26 00:00:00,2119.4125
2022-05-31,2,2022-06-02 00:00:00,1500.8875000000003
2022-06-07,2,2022-06-09 00:00:00,1274.4875
2022-06-14,2,2022-06-16 00:00:00,720.9124999999999
2022-06-21,2,2022-06-23 00:00:00,1101.625
2022-06-28,2,2022-06-30 00:00:00,1538.0000000000002
2022-07-05,2,2022-07-07 00:00:00,1069.175
2022-07-12,2,2022-07-14 00:00:00,1024.4624999999999
2022-07-19,2,2022-07-21 00:00:00,-1412.7875000000004
2022-07-26,2,2022-07-28 00:00:00,1142.6000000000001
2022-08-02,2,2022-08-04 00:00:00,1235.65
2022-08-16,2,2022-08-18 00:00:00,611.55
2022-08-23,2,2022-08-25 00:00:00,935.7000000000002
2022-08-30,2,2022-09-01 00:00:00,271.1874999999999
2022-09-06,2,2022-09-08 00:00:00,1256.6625
2022-09-13,2,2022-09-15 00:00:00,-753.2125000000001
2022-09-20,2,2022-09-22 00:00:00,1412.5375000000004
2022-09-27,2,2022-09-29 00:00:00,289.3125
2022-10-04,2,2022-10-06 00:00:00,948.5125
2022-10-11,2,2022-10-13 00:00:00,175.71250000000032
2022-10-18,2,2022-10-20 00:00:00,972.8000000000003
2022-10-25,2,2022-10-27 00:00:00,619.2875000000001
2022-11-01,2,2022-11-03 00:00:00,504.67499999999984
2022-11-15,2,2022-11-17 00:00:00,669.4875
2022-11-22,2,2022-11-24 00:00:00,-140.5000000000001
2022-11-29,2,2022-12-01 00:00:00,-1389.1875
2022-12-06,2,2022-12-08 00:00:00,923.6375
2022-12-13,2,2022-12-15 00:00:00,980.4999999999998
2022-12-20,2,2022-12-22 00:00:00,802.125
2022-12-27,2,2022-12-29 00:00:00,997.0124999999999
2023-01-03,2,2023-01-05 00:00:00,836.2
2023-01-10,2,2023-01-12 00:00:00,-91.6500000000002
2023-01-17,2,2023-01-19 00:00:00,204.5999999999999
2023-01-24,1,2023-01-25 00:00:00,-3487.7375
2023-01-31,2,2023-02-02 00:00:00,3092.9124999999995
2023-02-07,2,2023-02-09 00:00:00,1144.9
2023-02-14,2,2023-02-16 00:00:00,-1922.275
2023-02-21,2,2023-02-23 00:00:00,-3153.7124999999996
2023-02-28,2,2023-03-02 00:00:00,1225.9499999999998
2023-03-14,2,2023-03-16 00:00:00,-367.3749999999998
2023-03-21,2,2023-03-23 00:00:00,1356.5375
2023-03-28,1,2023-03-29 00:00:00,1260.6125000000002
2023-04-11,2,2023-04-13 00:00:00,176.0125
2023-04-18,2,2023-04-20 00:00:00,-1.5
2023-04-25,2,2023-04-27 00:00:00,477.275
2023-05-02,2,2023-05-04 00:00:00,521.6750000000001
2023-05-09,2,2023-05-11 00:00:00,598.8625
2023-05-16,2,2023-05-18 00:00:00,-1434.1999999999998
2023-05-23,2,2023-05-25 00:00:00,558.3875000000003
2023-05-30,2,2023-06-01 00:00:00,746.9874999999998
2023-06-06,2,2023-06-08 00:00:00,582.2750000000001
2023-06-13,2,2023-06-15 00:00:00,499.8500000000001
2023-06-20,2,2023-06-22 00:00:00,-36.39999999999998
2023-06-27,2,2023-06-29 00:00:00,256.7625000000001
2023-07-04,2,2023-07-06 00:00:00,845.8875000000003
2023-07-11,2,2023-07-13 00:00:00,609.3625000000001
2023-07-18,2,2023-07-20 00:00:00,1181.6125000000002
2023-07-25,2,2023-07-27 00:00:00,1160.2
2023-08-01,2,2023-08-03 00:00:00,-4506.975
2023-08-08,2,2023-08-10 00:00:00,747.9500000000002
2023-08-22,2,2023-08-24 00:00:00,653.775
2023-08-29,2,2023-08-31 00:00:00,673.0375
2023-09-05,2,2023-09-07 00:00:00,479.40000000000003
2023-09-12,2,2023-09-14 00:00:00,20.300000000000182
2023-09-26,2,2023-09-28 00:00:00,902.0624999999999
2023-10-03,2,2023-10-05 00:00:00,-87.78750000000014
2023-10-10,2,2023-10-12 00:00:00,221.88749999999993
2023-10-17,2,2023-10-19 00:00:00,-414.91250000000014
2023-10-31,2,2023-11-02 00:00:00,1296.05
2023-11-07,2,2023-11-09 00:00:00,655.175
2023-11-21,2,2023-11-23 00:00:00,661.2625000000002
2023-11-28,2,2023-11-30 00:00:00,-1888.8999999999999
2023-12-05,2,2023-12-07 00:00:00,178.81250000000023
2023-12-12,2,2023-12-14 00:00:00,3.549999999999727
2023-12-19,2,2023-12-21 00:00:00,199.23750000000007
2023-12-26,2,2023-12-28 00:00:00,-2508.425
2024-01-02,2,2024-01-04 00:00:00,199.0374999999999
2024-01-09,2,2024-01-11 00:00:00,316.71249999999975
2024-01-16,2,2024-01-18 00:00:00,-8044.7125
2024-01-23,2,2024-01-25 00:00:00,-3820.8000000000006
2024-01-30,2,2024-02-01 00:00:00,3827.6500000000005
2024-02-06,2,2024-02-08 00:00:00,339.537499999999
2024-02-13,2,2024-02-15 00:00:00,2094.4
2024-02-20,2,2024-02-22 00:00:00,1632.1249999999993
2024-02-27,2,2024-02-29 00:00:00,1539.2625000000003
2024-03-05,2,2024-03-07 00:00:00,1410.3500000000001
2024-03-12,2,2024-03-14 00:00:00,272.83749999999964
2024-03-19,2,2024-03-21 00:00:00,1795.5874999999996
2024-03-26,2,2024-03-28 00:00:00,-3613.525000000001
2024-04-02,2,2024-04-04 00:00:00,1305.6499999999999
2024-04-09,1,2024-04-10 00:00:00,1451.625
2024-04-16,2,2024-04-18 00:00:00,1173.5625
2024-04-23,2,2024-04-25 00:00:00,1875.3874999999998
2024-04-30,2,2024-05-02 00:00:00,1021.6375
2024-05-07,2,2024-05-09 00:00:00,-3712.262499999999
2024-05-14,2,2024-05-16 00:00:00,878.0750000000002
2024-05-21,2,2024-05-23 00:00:00,664.9749999999999
2024-05-28,2,2024-05-30 00:00:00,-3398.7499999999995
2024-06-04,2,2024-06-06 00:00:00,5048.000000000002
2024-06-11,2,2024-06-13 00:00:00,1896.8249999999996
2024-06-18,2,2024-06-20 00:00:00,781.5500000000002
2024-06-25,2,2024-06-27 00:00:00,-2430.6375
2024-07-02,2,2024-07-04 00:00:00,1398.4250000000004
2024-07-09,2,2024-07-11 00:00:00,-18.037500000000364
2024-07-16,2,2024-07-18 00:00:00,602.575
