Date,DaysToExpiry,ExpiryDate,PnL
2021-06-08,2,2021-06-10 00:00:00,1895.5750000000005
2021-06-15,2,2021-06-17 00:00:00,-2155.2999999999997
2021-06-22,2,2021-06-24 00:00:00,1085.5625000000002
2021-06-29,2,2021-07-01 00:00:00,1850.7250000000004
2021-07-06,2,2021-07-08 00:00:00,759.2999999999997
2021-07-13,2,2021-07-15 00:00:00,660.9124999999999
2021-07-20,2,2021-07-22 00:00:00,835.3375000000001
2021-07-27,2,2021-07-29 00:00:00,1498.3249999999998
2021-08-03,2,2021-08-05 00:00:00,-11336.1125
2021-08-10,2,2021-08-12 00:00:00,886.0999999999997
2021-08-17,1,2021-08-18 00:00:00,2103.5
2021-08-24,2,2021-08-26 00:00:00,1447.7000000000003
2021-08-31,2,2021-09-02 00:00:00,-4885.0875000000015
2021-09-07,2,2021-09-09 00:00:00,2045.0749999999998
2021-09-14,2,2021-09-16 00:00:00,-1829.3999999999996
2021-09-21,2,2021-09-23 00:00:00,-5081.174999999999
2021-09-28,2,2021-09-30 00:00:00,1359.2
2021-10-05,2,2021-10-07 00:00:00,2136.8125
2021-10-12,2,2021-10-14 00:00:00,-5674.087500000001
2021-10-19,2,2021-10-21 00:00:00,-7806.162500000001
2021-10-26,2,2021-10-28 00:00:00,-1188.4375
2021-11-02,1,2021-11-03 00:00:00,1963.225
2021-11-09,2,2021-11-11 00:00:00,2524.3250000000003
2021-11-16,2,2021-11-18 00:00:00,-1342.9624999999992
2021-11-23,2,2021-11-25 00:00:00,2407.5499999999997
2021-11-30,2,2021-12-02 00:00:00,1658.5499999999997
2021-12-07,2,2021-12-09 00:00:00,-11271.825000000003
2021-12-14,2,2021-12-16 00:00:00,3445.3500000000004
2021-12-21,2,2021-12-23 00:00:00,1895.525
2021-12-28,2,2021-12-30 00:00:00,2987.5250000000005
2022-01-04,2,2022-01-06 00:00:00,1836.1125000000002
2022-01-11,2,2022-01-13 00:00:00,2615.325
2022-01-18,2,2022-01-20 00:00:00,-13641.475000000006
2022-01-25,2,2022-01-27 00:00:00,5278.337499999999
2022-02-01,2,2022-02-03 00:00:00,11142.125000000004
2022-02-08,2,2022-02-10 00:00:00,-3192.175
2022-02-15,2,2022-02-17 00:00:00,1790.5125000000003
2022-02-22,2,2022-02-24 00:00:00,4122.15
2022-03-08,2,2022-03-10 00:00:00,-16575.912500000002
2022-03-15,2,2022-03-17 00:00:00,1849.812499999999
2022-03-22,2,2022-03-24 00:00:00,4158.3
2022-03-29,2,2022-03-31 00:00:00,2178.3999999999996
2022-04-05,2,2022-04-07 00:00:00,-5731.999999999999
2022-04-12,1,2022-04-13 00:00:00,1536.800000000001
2022-04-19,2,2022-04-21 00:00:00,1731.9
2022-04-26,2,2022-04-28 00:00:00,1842.8625
2022-05-10,2,2022-05-12 00:00:00,-10465.3625
2022-05-17,2,2022-05-19 00:00:00,3005.9874999999993
2022-05-24,2,2022-05-26 00:00:00,4640.625
2022-05-31,2,2022-06-02 00:00:00,2804.8250000000007
2022-06-07,2,2022-06-09 00:00:00,3047.8250000000003
2022-06-14,2,2022-06-16 00:00:00,3617.2749999999996
2022-06-21,2,2022-06-23 00:00:00,3042.975
2022-06-28,2,2022-06-30 00:00:00,3266.8
2022-07-05,2,2022-07-07 00:00:00,1923.3999999999996
2022-07-12,2,2022-07-14 00:00:00,2158.9249999999997
2022-07-19,2,2022-07-21 00:00:00,-3368.4500000000003
2022-07-26,2,2022-07-28 00:00:00,-4865.4375
2022-08-02,2,2022-08-04 00:00:00,2622.8
2022-08-16,2,2022-08-18 00:00:00,1412.8
2022-08-23,2,2022-08-25 00:00:00,2204.7000000000003
2022-08-30,2,2022-09-01 00:00:00,1106.8749999999998
2022-09-06,2,2022-09-08 00:00:00,1875.7624999999998
2022-09-13,2,2022-09-15 00:00:00,276.38750000000005
2022-09-20,2,2022-09-22 00:00:00,2438.425
2022-09-27,2,2022-09-29 00:00:00,2093.625
2022-10-04,2,2022-10-06 00:00:00,2123.175
2022-10-11,2,2022-10-13 00:00:00,1985.262500000001
2022-10-18,2,2022-10-20 00:00:00,2132.4500000000003
2022-10-25,2,2022-10-27 00:00:00,1291.9250000000002
2022-11-01,2,2022-11-03 00:00:00,1696.15
2022-11-15,2,2022-11-17 00:00:00,1362.0249999999999
2022-11-22,2,2022-11-24 00:00:00,-231.60000000000014
2022-11-29,2,2022-12-01 00:00:00,-1909.7749999999996
2022-12-06,2,2022-12-08 00:00:00,2099.775
2022-12-13,2,2022-12-15 00:00:00,1549.5874999999992
2022-12-20,2,2022-12-22 00:00:00,431.22500000000036
2022-12-27,2,2022-12-29 00:00:00,1768.2
2023-01-03,2,2023-01-05 00:00:00,1126.8375
2023-01-10,2,2023-01-12 00:00:00,775.2625
2023-01-17,2,2023-01-19 00:00:00,1460.8624999999997
2023-01-24,1,2023-01-25 00:00:00,-9231.4
2023-01-31,2,2023-02-02 00:00:00,4549.625
2023-02-07,2,2023-02-09 00:00:00,1759.7124999999999
2023-02-14,2,2023-02-16 00:00:00,-4244.7625
2023-02-21,2,2023-02-23 00:00:00,-8374.1375
2023-02-28,2,2023-03-02 00:00:00,1924.1749999999997
2023-03-14,2,2023-03-16 00:00:00,2007.4
2023-03-21,2,2023-03-23 00:00:00,2797.825
2023-03-28,1,2023-03-29 00:00:00,2791.725
2023-04-11,2,2023-04-13 00:00:00,761.2375000000001
2023-04-18,2,2023-04-20 00:00:00,868.4499999999998
2023-04-25,2,2023-04-27 00:00:00,1068.5
2023-05-02,2,2023-05-04 00:00:00,1217.9
2023-05-09,2,2023-05-11 00:00:00,1336.925
2023-05-16,2,2023-05-18 00:00:00,-2718.0
2023-05-23,2,2023-05-25 00:00:00,1311.5250000000005
2023-05-30,2,2023-06-01 00:00:00,1713.9749999999997
2023-06-06,2,2023-06-08 00:00:00,1202.75
2023-06-13,2,2023-06-15 00:00:00,1088.4000000000003
2023-06-20,2,2023-06-22 00:00:00,800.85
2023-06-27,2,2023-06-29 00:00:00,513.5250000000001
2023-07-04,2,2023-07-06 00:00:00,1988.6250000000005
2023-07-11,2,2023-07-13 00:00:00,1378.1250000000002
2023-07-18,2,2023-07-20 00:00:00,2392.425
2023-07-25,2,2023-07-27 00:00:00,2562.7999999999997
2023-08-01,2,2023-08-03 00:00:00,-12704.2375
2023-08-08,2,2023-08-10 00:00:00,1131.2000000000003
2023-08-22,2,2023-08-24 00:00:00,1432.7
2023-08-29,2,2023-08-31 00:00:00,1571.125
2023-09-05,2,2023-09-07 00:00:00,1033.45
2023-09-12,2,2023-09-14 00:00:00,1438.35
2023-09-26,2,2023-09-28 00:00:00,2040.3749999999998
2023-10-03,2,2023-10-05 00:00:00,1396.3999999999996
2023-10-10,2,2023-10-12 00:00:00,918.6374999999999
2023-10-17,2,2023-10-19 00:00:00,1063.9249999999997
2023-10-31,2,2023-11-02 00:00:00,1916.4999999999998
2023-11-07,2,2023-11-09 00:00:00,1510.15
2023-11-21,2,2023-11-23 00:00:00,1471.8250000000003
2023-11-28,2,2023-11-30 00:00:00,-4613.575000000001
2023-12-05,2,2023-12-07 00:00:00,2015.2875000000001
2023-12-12,2,2023-12-14 00:00:00,1158.6625000000001
2023-12-19,2,2023-12-21 00:00:00,1318.8374999999999
2023-12-26,2,2023-12-28 00:00:00,-6546.999999999999
2024-01-02,2,2024-01-04 00:00:00,1425.75
2024-01-09,2,2024-01-11 00:00:00,1402.4499999999994
2024-01-16,2,2024-01-18 00:00:00,-21427.275
2024-01-23,2,2024-01-25 00:00:00,-11007.425
2024-01-30,2,2024-02-01 00:00:00,8635.0
2024-02-06,2,2024-02-08 00:00:00,2829.112499999999
2024-02-13,2,2024-02-15 00:00:00,2297.5750000000003
2024-02-20,2,2024-02-22 00:00:00,3687.349999999999
2024-02-27,2,2024-02-29 00:00:00,2137.9625000000005
2024-03-05,2,2024-03-07 00:00:00,3030.6000000000004
2024-03-12,2,2024-03-14 00:00:00,1852.3625000000002
2024-03-19,2,2024-03-21 00:00:00,3766.824999999999
2024-03-26,2,2024-03-28 00:00:00,-7454.3
2024-04-02,2,2024-04-04 00:00:00,2962.6
2024-04-09,1,2024-04-10 00:00:00,3276.95
2024-04-16,2,2024-04-18 00:00:00,2588.425
2024-04-23,2,2024-04-25 00:00:00,181.6875
2024-04-30,2,2024-05-02 00:00:00,2024.3375
2024-05-07,2,2024-05-09 00:00:00,-9988.6625
2024-05-14,2,2024-05-16 00:00:00,2022.7000000000003
2024-05-21,2,2024-05-23 00:00:00,-868.0625000000005
2024-05-28,2,2024-05-30 00:00:00,-8597.662499999999
2024-06-04,2,2024-06-06 00:00:00,23050.512500000004
2024-06-11,2,2024-06-13 00:00:00,4225.75
2024-06-18,2,2024-06-20 00:00:00,1353.5250000000003
2024-06-25,2,2024-06-27 00:00:00,-7028.987500000001
2024-07-02,2,2024-07-04 00:00:00,3175.600000000001
2024-07-09,2,2024-07-11 00:00:00,923.4249999999997
2024-07-16,2,2024-07-18 00:00:00,1380.8000000000002
2024-07-23,2,2024-07-25 00:00:00,7518.112500000003
2024-07-30,2,2024-08-01 00:00:00,2484.25
2024-08-06,2,2024-08-08 00:00:00,3100.4374999999995
2024-08-13,1,2024-08-14 00:00:00,2254.6499999999996
2024-08-20,2,2024-08-22 00:00:00,1476.425
2024-08-27,2,2024-08-29 00:00:00,1850.6000000000001
2024-09-03,2,2024-09-05 00:00:00,1230.1875
2024-09-10,2,2024-09-12 00:00:00,-2402.55
2024-09-17,2,2024-09-19 00:00:00,1213.275
2024-09-24,2,2024-09-26 00:00:00,1887.2000000000005
