Date,DaysToExpiry,ExpiryDate,PnL
2021-06-08,2,2021-06-10 00:00:00,385.6812500000001
2021-06-15,2,2021-06-17 00:00:00,-1253.9249999999997
2021-06-22,2,2021-06-24 00:00:00,373.21250000000003
2021-06-29,2,2021-07-01 00:00:00,340.88750000000005
2021-07-06,2,2021-07-08 00:00:00,164.58124999999998
2021-07-13,2,2021-07-15 00:00:00,198.44375000000005
2021-07-20,2,2021-07-22 00:00:00,240.98749999999998
2021-07-27,2,2021-07-29 00:00:00,-325.11875
2021-08-03,2,2021-08-05 00:00:00,59.18750000000006
2021-08-10,2,2021-08-12 00:00:00,299.36875
2021-08-17,1,2021-08-18 00:00:00,380.59999999999997
2021-08-24,2,2021-08-26 00:00:00,-150.78125000000006
2021-08-31,2,2021-09-02 00:00:00,-345.59375
2021-09-07,2,2021-09-09 00:00:00,398.23124999999993
2021-09-14,2,2021-09-16 00:00:00,-518.4562499999998
2021-09-21,2,2021-09-23 00:00:00,-1224.0062499999997
2021-09-28,2,2021-09-30 00:00:00,-504.3124999999999
2021-10-05,2,2021-10-07 00:00:00,538.49375
2021-10-12,2,2021-10-14 00:00:00,-311.94999999999993
2021-10-19,2,2021-10-21 00:00:00,-411.14375
2021-10-26,2,2021-10-28 00:00:00,-351.56875
2021-11-02,1,2021-11-03 00:00:00,461.6875000000001
2021-11-09,2,2021-11-11 00:00:00,544.05625
2021-11-16,2,2021-11-18 00:00:00,-1033.0437499999998
2021-11-23,2,2021-11-25 00:00:00,626.7750000000001
2021-11-30,2,2021-12-02 00:00:00,613.8
2021-12-07,2,2021-12-09 00:00:00,-336.10000000000025
2021-12-14,2,2021-12-16 00:00:00,636.4625
2021-12-21,2,2021-12-23 00:00:00,349.9375000000001
2021-12-28,2,2021-12-30 00:00:00,550.7375000000001
2022-01-04,2,2022-01-06 00:00:00,-357.02499999999964
2022-01-11,2,2022-01-13 00:00:00,526.43125
2022-01-18,2,2022-01-20 00:00:00,-392.225
2022-01-25,2,2022-01-27 00:00:00,1108.6374999999996
2022-02-01,2,2022-02-03 00:00:00,1958.993750000001
2022-02-08,2,2022-02-10 00:00:00,-749.89375
2022-02-15,2,2022-02-17 00:00:00,106.30625000000009
2022-02-22,2,2022-02-24 00:00:00,1000.46875
2022-03-08,2,2022-03-10 00:00:00,-1172.1312500000004
2022-03-15,2,2022-03-17 00:00:00,671.7
2022-03-22,2,2022-03-24 00:00:00,1009.68125
2022-03-29,2,2022-03-31 00:00:00,394.18125
2022-04-05,2,2022-04-07 00:00:00,-1054.3625000000002
2022-04-12,1,2022-04-13 00:00:00,442.92500000000024
2022-04-19,2,2022-04-21 00:00:00,-310.07500000000016
2022-04-26,2,2022-04-28 00:00:00,507.34375
2022-05-10,2,2022-05-12 00:00:00,-1186.5375000000001
2022-05-17,2,2022-05-19 00:00:00,-66.19999999999993
2022-05-24,2,2022-05-26 00:00:00,882.1500000000001
2022-05-31,2,2022-06-02 00:00:00,587.6812500000001
2022-06-07,2,2022-06-09 00:00:00,506.18750000000006
2022-06-14,2,2022-06-16 00:00:00,897.3937500000002
2022-06-21,2,2022-06-23 00:00:00,-2.1687500000000455
2022-06-28,2,2022-06-30 00:00:00,627.4625000000001
2022-07-05,2,2022-07-07 00:00:00,483.61875
2022-07-12,2,2022-07-14 00:00:00,272.55
2022-07-19,2,2022-07-21 00:00:00,-141.37500000000006
2022-07-26,2,2022-07-28 00:00:00,-709.0937500000003
2022-08-02,2,2022-08-04 00:00:00,485.5875
2022-08-16,2,2022-08-18 00:00:00,283.60625
2022-08-23,2,2022-08-25 00:00:00,456.78125
2022-08-30,2,2022-09-01 00:00:00,-114.85000000000014
2022-09-06,2,2022-09-08 00:00:00,565.65
2022-09-13,2,2022-09-15 00:00:00,-945.9312500000001
2022-09-20,2,2022-09-22 00:00:00,616.4750000000001
2022-09-27,2,2022-09-29 00:00:00,-660.5625000000001
2022-10-04,2,2022-10-06 00:00:00,399.26875
2022-10-11,2,2022-10-13 00:00:00,572.7187500000001
2022-10-18,2,2022-10-20 00:00:00,369.08750000000003
2022-10-25,2,2022-10-27 00:00:00,215.14375000000007
2022-11-01,2,2022-11-03 00:00:00,354.2187499999999
2022-11-15,2,2022-11-17 00:00:00,255.00000000000003
2022-11-22,2,2022-11-24 00:00:00,-122.48125000000002
2022-11-29,2,2022-12-01 00:00:00,-411.5500000000002
2022-12-06,2,2022-12-08 00:00:00,367.3000000000001
2022-12-13,2,2022-12-15 00:00:00,434.48124999999993
2022-12-20,2,2022-12-22 00:00:00,240.5625
2022-12-27,2,2022-12-29 00:00:00,452.50625
2023-01-03,2,2023-01-05 00:00:00,351.51874999999995
2023-01-10,2,2023-01-12 00:00:00,-389.8500000000001
2023-01-17,2,2023-01-19 00:00:00,-399.3187500000001
2023-01-24,1,2023-01-25 00:00:00,-628.7312500000003
2023-01-31,2,2023-02-02 00:00:00,1267.81875
2023-02-07,2,2023-02-09 00:00:00,455.41875
2023-02-14,2,2023-02-16 00:00:00,-286.90000000000003
2023-02-21,2,2023-02-23 00:00:00,-446.23125
2023-02-28,2,2023-03-02 00:00:00,495.94374999999997
2023-03-14,2,2023-03-16 00:00:00,-1307.4499999999998
2023-03-21,2,2023-03-23 00:00:00,527.1625
2023-03-28,1,2023-03-29 00:00:00,457.14375000000007
2023-04-11,2,2023-04-13 00:00:00,202.58125
2023-04-18,2,2023-04-20 00:00:00,272.00624999999997
2023-04-25,2,2023-04-27 00:00:00,208.98125000000002
2023-05-02,2,2023-05-04 00:00:00,223.68750000000003
2023-05-09,2,2023-05-11 00:00:00,234.84374999999994
2023-05-16,2,2023-05-18 00:00:00,-648.19375
2023-05-23,2,2023-05-25 00:00:00,248.31875000000014
2023-05-30,2,2023-06-01 00:00:00,345.21875
2023-06-06,2,2023-06-08 00:00:00,209.95
2023-06-13,2,2023-06-15 00:00:00,208.72500000000002
2023-06-20,2,2023-06-22 00:00:00,-354.23749999999995
2023-06-27,2,2023-06-29 00:00:00,92.84999999999998
2023-07-04,2,2023-07-06 00:00:00,377.94375
2023-07-11,2,2023-07-13 00:00:00,274.93750000000006
2023-07-18,2,2023-07-20 00:00:00,397.95625
