Date,DaysToExpiry,ExpiryDate,PnL
2021-06-08,2,2021-06-10 00:00:00,1048.03125
2021-06-15,2,2021-06-17 00:00:00,-3043.0249999999996
2021-06-22,2,2021-06-24 00:00:00,968.9624999999997
2021-06-29,2,2021-07-01 00:00:00,898.5
2021-07-06,2,2021-07-08 00:00:00,753.7687500000002
2021-07-13,2,2021-07-15 00:00:00,476.6062499999998
2021-07-20,2,2021-07-22 00:00:00,679.9875000000001
2021-07-27,2,2021-07-29 00:00:00,-318.4687499999998
2021-08-03,2,2021-08-05 00:00:00,-3342.2874999999995
2021-08-10,2,2021-08-12 00:00:00,798.3187499999996
2021-08-17,1,2021-08-18 00:00:00,1070.6625000000001
2021-08-24,2,2021-08-26 00:00:00,-16.781249999999545
2021-08-31,2,2021-09-02 00:00:00,-2409.1187499999996
2021-09-07,2,2021-09-09 00:00:00,1055.38125
2021-09-14,2,2021-09-16 00:00:00,-1657.63125
2021-09-21,2,2021-09-23 00:00:00,-4376.49375
2021-09-28,2,2021-09-30 00:00:00,-625.3999999999992
2021-10-05,2,2021-10-07 00:00:00,1479.13125
2021-10-12,2,2021-10-14 00:00:00,-2640.2250000000004
2021-10-19,2,2021-10-21 00:00:00,-3400.75625
2021-10-26,2,2021-10-28 00:00:00,1479.9562500000004
2021-11-02,1,2021-11-03 00:00:00,1382.1
2021-11-09,2,2021-11-11 00:00:00,1469.3062499999999
2021-11-16,2,2021-11-18 00:00:00,-2509.5437500000003
2021-11-23,2,2021-11-25 00:00:00,1687.1624999999995
2021-11-30,2,2021-12-02 00:00:00,1656.6374999999998
2021-12-07,2,2021-12-09 00:00:00,-2742.975
2021-12-14,2,2021-12-16 00:00:00,1829.8500000000001
2021-12-21,2,2021-12-23 00:00:00,818.7750000000003
2021-12-28,2,2021-12-30 00:00:00,1523.4375000000005
2022-01-04,2,2022-01-06 00:00:00,-211.31249999999955
2022-01-11,2,2022-01-13 00:00:00,1329.3187499999997
2022-01-18,2,2022-01-20 00:00:00,-2933.687500000002
2022-01-25,2,2022-01-27 00:00:00,3030.4875000000006
2022-02-01,2,2022-02-03 00:00:00,4653.618750000002
2022-02-08,2,2022-02-10 00:00:00,-2542.5812499999993
2022-02-15,2,2022-02-17 00:00:00,70.20625000000064
2022-02-22,2,2022-02-24 00:00:00,2944.593750000001
2022-03-08,2,2022-03-10 00:00:00,-6153.756249999999
2022-03-15,2,2022-03-17 00:00:00,3928.6124999999997
2022-03-22,2,2022-03-24 00:00:00,2468.49375
2022-03-29,2,2022-03-31 00:00:00,982.6312500000004
2022-04-05,2,2022-04-07 00:00:00,-4056.9374999999995
2022-04-12,1,2022-04-13 00:00:00,1275.7500000000005
2022-04-19,2,2022-04-21 00:00:00,-273.72500000000014
2022-04-26,2,2022-04-28 00:00:00,1382.7187499999995
2022-05-10,2,2022-05-12 00:00:00,-5308.174999999999
2022-05-17,2,2022-05-19 00:00:00,465.47500000000036
2022-05-24,2,2022-05-26 00:00:00,2359.425
2022-05-31,2,2022-06-02 00:00:00,1476.0187500000009
2022-06-07,2,2022-06-09 00:00:00,1204.1999999999996
2022-06-14,2,2022-06-16 00:00:00,2265.0187500000006
2022-06-21,2,2022-06-23 00:00:00,867.1437500000004
2022-06-28,2,2022-06-30 00:00:00,1762.0125000000003
2022-07-05,2,2022-07-07 00:00:00,1344.80625
2022-07-12,2,2022-07-14 00:00:00,735.1499999999999
2022-07-19,2,2022-07-21 00:00:00,-1098.3000000000006
2022-07-26,2,2022-07-28 00:00:00,1289.0437499999998
2022-08-02,2,2022-08-04 00:00:00,1335.5625
2022-08-16,2,2022-08-18 00:00:00,750.2062500000002
2022-08-23,2,2022-08-25 00:00:00,1120.3687499999996
2022-08-30,2,2022-09-01 00:00:00,-3.674999999999841
2022-09-06,2,2022-09-08 00:00:00,1568.9999999999995
2022-09-13,2,2022-09-15 00:00:00,-1560.5812499999997
2022-09-20,2,2022-09-22 00:00:00,1463.1
2022-09-27,2,2022-09-29 00:00:00,-807.5624999999991
2022-10-04,2,2022-10-06 00:00:00,978.13125
2022-10-11,2,2022-10-13 00:00:00,1449.2437500000005
2022-10-18,2,2022-10-20 00:00:00,1047.4875000000002
2022-10-25,2,2022-10-27 00:00:00,619.7437500000002
2022-11-01,2,2022-11-03 00:00:00,885.46875
2022-11-15,2,2022-11-17 00:00:00,788.5499999999996
2022-11-22,2,2022-11-24 00:00:00,-399.88125
2022-11-29,2,2022-12-01 00:00:00,-1355.850000000001
2022-12-06,2,2022-12-08 00:00:00,886.3125000000005
2022-12-13,2,2022-12-15 00:00:00,1083.7687499999995
2022-12-20,2,2022-12-22 00:00:00,797.4375000000001
2022-12-27,2,2022-12-29 00:00:00,1081.8562500000003
2023-01-03,2,2023-01-05 00:00:00,967.4437499999997
2023-01-10,2,2023-01-12 00:00:00,-594.7249999999999
2023-01-17,2,2023-01-19 00:00:00,-445.5062499999997
2023-01-24,1,2023-01-25 00:00:00,-3496.7562499999995
2023-01-31,2,2023-02-02 00:00:00,3330.0187499999984
2023-02-07,2,2023-02-09 00:00:00,1195.8187500000004
2023-02-14,2,2023-02-16 00:00:00,-1449.0249999999992
2023-02-21,2,2023-02-23 00:00:00,-2930.70625
2023-02-28,2,2023-03-02 00:00:00,1318.2187499999995
2023-03-14,2,2023-03-16 00:00:00,-2106.874999999998
2023-03-21,2,2023-03-23 00:00:00,1475.4374999999998
2023-03-28,1,2023-03-29 00:00:00,1232.1187500000005
2023-04-11,2,2023-04-13 00:00:00,542.04375
2023-04-18,2,2023-04-20 00:00:00,685.10625
2023-04-25,2,2023-04-27 00:00:00,552.01875
2023-05-02,2,2023-05-04 00:00:00,540.975
2023-05-09,2,2023-05-11 00:00:00,603.9187500000002
2023-05-16,2,2023-05-18 00:00:00,-2214.3687499999996
2023-05-23,2,2023-05-25 00:00:00,595.1062500000003
2023-05-30,2,2023-06-01 00:00:00,867.6937499999997
2023-06-06,2,2023-06-08 00:00:00,597.4124999999998
2023-06-13,2,2023-06-15 00:00:00,574.8000000000001
2023-06-20,2,2023-06-22 00:00:00,-483.2250000000005
2023-06-27,2,2023-06-29 00:00:00,278.54999999999995
2023-07-04,2,2023-07-06 00:00:00,922.5562500000003
2023-07-11,2,2023-07-13 00:00:00,716.6250000000002
2023-07-18,2,2023-07-20 00:00:00,1232.56875
2023-07-25,2,2023-07-27 00:00:00,1360.4437500000004
2023-08-01,2,2023-08-03 00:00:00,-3010.5562499999996
2023-08-08,2,2023-08-10 00:00:00,749.7000000000003
2023-08-22,2,2023-08-24 00:00:00,760.3499999999999
2023-08-29,2,2023-08-31 00:00:00,563.475
2023-09-05,2,2023-09-07 00:00:00,607.5000000000001
2023-09-12,2,2023-09-14 00:00:00,1136.7937499999998
2023-09-26,2,2023-09-28 00:00:00,1036.44375
2023-10-03,2,2023-10-05 00:00:00,1151.7187500000002
2023-10-10,2,2023-10-12 00:00:00,48.19374999999968
2023-10-17,2,2023-10-19 00:00:00,-1089.8437499999998
2023-10-31,2,2023-11-02 00:00:00,1523.11875
2023-11-07,2,2023-11-09 00:00:00,682.14375
2023-11-21,2,2023-11-23 00:00:00,731.325
2023-11-28,2,2023-11-30 00:00:00,-1297.3687499999996
2023-12-05,2,2023-12-07 00:00:00,1500.3937500000002
2023-12-12,2,2023-12-14 00:00:00,-487.3312499999995
2023-12-19,2,2023-12-21 00:00:00,-844.7437500000001
