Date,DaysToExpiry,ExpiryDate,PnL
2021-06-08,2,2021-06-10 00:00:00,453.50625
2021-06-15,2,2021-06-17 00:00:00,-927.0437499999999
2021-06-22,2,2021-06-24 00:00:00,401.2125000000001
2021-06-29,2,2021-07-01 00:00:00,496.5375
2021-07-06,2,2021-07-08 00:00:00,451.15000000000003
2021-07-13,2,2021-07-15 00:00:00,264.04375
2021-07-20,2,2021-07-22 00:00:00,-406.9687499999999
2021-07-27,2,2021-07-29 00:00:00,-401.8812499999999
2021-08-03,2,2021-08-05 00:00:00,188.67500000000013
2021-08-10,2,2021-08-12 00:00:00,389.36875000000003
2021-08-17,1,2021-08-18 00:00:00,488.94375
2021-08-24,2,2021-08-26 00:00:00,24.574999999999932
2021-08-31,2,2021-09-02 00:00:00,-462.1374999999998
2021-09-07,2,2021-09-09 00:00:00,460.50625
2021-09-14,2,2021-09-16 00:00:00,382.19375000000014
2021-09-21,2,2021-09-23 00:00:00,-630.2875000000001
2021-09-28,2,2021-09-30 00:00:00,-650.89375
2021-10-05,2,2021-10-07 00:00:00,-25.375
2021-10-12,2,2021-10-14 00:00:00,-243.44375000000014
2021-10-19,2,2021-10-21 00:00:00,-674.5937499999998
2021-10-26,2,2021-10-28 00:00:00,716.7937499999999
2021-11-02,1,2021-11-03 00:00:00,-178.22500000000014
2021-11-09,2,2021-11-11 00:00:00,752.09375
2021-11-16,2,2021-11-18 00:00:00,-845.6312499999999
2021-11-23,2,2021-11-25 00:00:00,732.6625000000001
2021-11-30,2,2021-12-02 00:00:00,830.9749999999999
2021-12-07,2,2021-12-09 00:00:00,-494.5687499999997
2021-12-14,2,2021-12-16 00:00:00,1052.00625
2021-12-21,2,2021-12-23 00:00:00,1169.7562500000004
2021-12-28,2,2021-12-30 00:00:00,761.1437500000001
2022-01-04,2,2022-01-06 00:00:00,-348.9999999999999
2022-01-11,2,2022-01-13 00:00:00,695.5937499999999
2022-01-18,2,2022-01-20 00:00:00,-548.3499999999999
2022-01-25,2,2022-01-27 00:00:00,1474.1374999999996
2022-02-01,2,2022-02-03 00:00:00,2439.4062500000005
2022-02-08,2,2022-02-10 00:00:00,-250.85000000000014
2022-02-15,2,2022-02-17 00:00:00,-288.9250000000002
2022-02-22,2,2022-02-24 00:00:00,1411.00625
2022-03-08,2,2022-03-10 00:00:00,-1734.1312500000004
2022-03-15,2,2022-03-17 00:00:00,1568.2812500000002
2022-03-22,2,2022-03-24 00:00:00,-816.8937500000002
2022-03-29,2,2022-03-31 00:00:00,580.225
2022-04-05,2,2022-04-07 00:00:00,-618.5062500000001
2022-04-12,1,2022-04-13 00:00:00,678.7437500000002
2022-04-19,2,2022-04-21 00:00:00,-466.36874999999986
2022-04-26,2,2022-04-28 00:00:00,817.6312499999999
2022-05-10,2,2022-05-12 00:00:00,-1001.4375
2022-05-17,2,2022-05-19 00:00:00,-213.63125000000014
2022-05-24,2,2022-05-26 00:00:00,1177.43125
2022-05-31,2,2022-06-02 00:00:00,829.3874999999999
2022-06-07,2,2022-06-09 00:00:00,849.5562500000001
2022-06-14,2,2022-06-16 00:00:00,-874.7187500000002
2022-06-28,2,2022-06-30 00:00:00,921.1750000000002
2022-07-05,2,2022-07-07 00:00:00,632.85625
2022-07-12,2,2022-07-14 00:00:00,823.53125
2022-07-19,2,2022-07-21 00:00:00,-627.05
2022-07-26,2,2022-07-28 00:00:00,758.8000000000002
2022-08-02,2,2022-08-04 00:00:00,608.8562499999998
2022-08-16,2,2022-08-18 00:00:00,354.59375
2022-08-23,2,2022-08-25 00:00:00,543.65
2022-08-30,2,2022-09-01 00:00:00,-70.375
2022-09-06,2,2022-09-08 00:00:00,786.4000000000001
2022-09-13,2,2022-09-15 00:00:00,-1452.31875
2022-09-20,2,2022-09-22 00:00:00,812.9437499999999
2022-09-27,2,2022-09-29 00:00:00,-692.5624999999998
2022-10-04,2,2022-10-06 00:00:00,580.35625
2022-10-11,2,2022-10-13 00:00:00,-807.075
2022-10-18,2,2022-10-20 00:00:00,508.43750000000006
2022-10-25,2,2022-10-27 00:00:00,394.72499999999997
2022-11-01,2,2022-11-03 00:00:00,-101.63125000000002
2022-11-15,2,2022-11-17 00:00:00,336.85
2022-11-22,2,2022-11-24 00:00:00,311.15625
2022-11-29,2,2022-12-01 00:00:00,-1007.2874999999999
2022-12-06,2,2022-12-08 00:00:00,525.05
2022-12-13,2,2022-12-15 00:00:00,578.1562499999998
2022-12-20,2,2022-12-22 00:00:00,490.53125
2022-12-27,2,2022-12-29 00:00:00,646.0375
2023-01-03,2,2023-01-05 00:00:00,534.59375
2023-01-10,2,2023-01-12 00:00:00,-511.61249999999984
2023-01-17,2,2023-01-19 00:00:00,-339.03750000000014
2023-01-24,1,2023-01-25 00:00:00,-471.1125000000003
2023-01-31,2,2023-02-02 00:00:00,1672.4624999999996
2023-02-07,2,2023-02-09 00:00:00,634.7500000000001
2023-02-14,2,2023-02-16 00:00:00,-628.0375000000003
2023-02-21,2,2023-02-23 00:00:00,-506.7874999999999
2023-02-28,2,2023-03-02 00:00:00,715.71875
2023-03-14,2,2023-03-16 00:00:00,-1196.8374999999996
2023-03-21,2,2023-03-23 00:00:00,690.3812499999999
2023-03-28,1,2023-03-29 00:00:00,780.6312499999999
2023-04-11,2,2023-04-13 00:00:00,-139.21249999999992
2023-04-18,2,2023-04-20 00:00:00,-443.04999999999995
2023-04-25,2,2023-04-27 00:00:00,265.0875
2023-05-02,2,2023-05-04 00:00:00,296.79375000000005
2023-05-09,2,2023-05-11 00:00:00,349.00625
2023-05-16,2,2023-05-18 00:00:00,-628.8187499999999
2023-05-23,2,2023-05-25 00:00:00,292.88750000000005
2023-05-30,2,2023-06-01 00:00:00,414.55000000000007
2023-06-06,2,2023-06-08 00:00:00,287.4875
2023-06-13,2,2023-06-15 00:00:00,250.5875
2023-06-20,2,2023-06-22 00:00:00,-354.5500000000001
2023-06-27,2,2023-06-29 00:00:00,149.37499999999994
2023-07-04,2,2023-07-06 00:00:00,388.33124999999995
2023-07-11,2,2023-07-13 00:00:00,359.55625
2023-07-18,2,2023-07-20 00:00:00,615.9625000000001
2023-07-25,2,2023-07-27 00:00:00,656.1125000000002
2023-08-01,2,2023-08-03 00:00:00,-299.11874999999986
2023-08-08,2,2023-08-10 00:00:00,447.5125
2023-08-22,2,2023-08-24 00:00:00,349.46875
2023-08-29,2,2023-08-31 00:00:00,409.5625
2023-09-05,2,2023-09-07 00:00:00,237.94374999999997
2023-09-12,2,2023-09-14 00:00:00,-459.66874999999993
2023-09-26,2,2023-09-28 00:00:00,489.44375
2023-10-03,2,2023-10-05 00:00:00,-716.85625
2023-10-10,2,2023-10-12 00:00:00,-149.6562499999999
2023-10-17,2,2023-10-19 00:00:00,-767.21875
2023-10-31,2,2023-11-02 00:00:00,822.7
2023-11-07,2,2023-11-09 00:00:00,409.8375
2023-11-21,2,2023-11-23 00:00:00,403.5625
2023-11-28,2,2023-11-30 00:00:00,-342.9937500000001
2023-12-05,2,2023-12-07 00:00:00,-703.5437500000003
2023-12-12,2,2023-12-14 00:00:00,-445.6187500000001
2023-12-19,2,2023-12-21 00:00:00,619.0375
2023-12-26,2,2023-12-28 00:00:00,-426.2624999999998
2024-01-02,2,2024-01-04 00:00:00,-500.73125000000005
2024-01-09,2,2024-01-11 00:00:00,-254.35624999999993
2024-01-16,2,2024-01-18 00:00:00,-1450.3625
2024-01-23,2,2024-01-25 00:00:00,-279.41250000000014
2024-01-30,2,2024-02-01 00:00:00,2201.7625000000003
2024-02-06,2,2024-02-08 00:00:00,-896.3000000000006
2024-02-13,2,2024-02-15 00:00:00,1278.8
2024-02-20,2,2024-02-22 00:00:00,1001.1187499999999
2024-02-27,2,2024-02-29 00:00:00,1047.9250000000002
2024-03-05,2,2024-03-07 00:00:00,783.4000000000001
2024-03-12,2,2024-03-14 00:00:00,-598.01875
2024-03-19,2,2024-03-21 00:00:00,1005.7187499999999
2024-03-26,2,2024-03-28 00:00:00,1082.19375
2024-04-02,2,2024-04-04 00:00:00,783.69375
2024-04-09,1,2024-04-10 00:00:00,892.5875000000001
2024-04-16,2,2024-04-18 00:00:00,803.8937500000001
2024-04-23,2,2024-04-25 00:00:00,1015.3499999999999
2024-04-30,2,2024-05-02 00:00:00,578.11875
2024-05-07,2,2024-05-09 00:00:00,-626.8312500000002
2024-05-14,2,2024-05-16 00:00:00,532.79375
2024-05-21,2,2024-05-23 00:00:00,351.35625000000016
2024-05-28,2,2024-05-30 00:00:00,-601.3499999999999
2024-06-04,2,2024-06-06 00:00:00,-2127.649999999998
2024-06-11,2,2024-06-13 00:00:00,1149.9375
2024-06-18,2,2024-06-20 00:00:00,465.2375
2024-06-25,2,2024-06-27 00:00:00,-85.23124999999982
2024-07-02,2,2024-07-04 00:00:00,826.3124999999999
2024-07-09,2,2024-07-11 00:00:00,-495.45625000000007
2024-07-16,2,2024-07-18 00:00:00,359.925
2024-07-23,2,2024-07-25 00:00:00,2141.3375000000005
2024-07-30,2,2024-08-01 00:00:00,637.1812500000001
2024-08-06,2,2024-08-08 00:00:00,-812.1499999999999
2024-08-13,1,2024-08-14 00:00:00,-510.1187500000001
2024-08-20,2,2024-08-22 00:00:00,-201.375
2024-08-27,2,2024-08-29 00:00:00,423.03124999999994
2024-09-03,2,2024-09-05 00:00:00,-384.80624999999975
2024-09-10,2,2024-09-12 00:00:00,433.74375000000003
2024-09-17,2,2024-09-19 00:00:00,718.4187500000002
2024-09-24,2,2024-09-26 00:00:00,739.10625
