Date,DaysToExpiry,ExpiryDate,PnL
2021-06-08,2,2021-06-10 00:00:00,1360.51875
2021-06-15,2,2021-06-17 00:00:00,-2186.4937500000005
2021-06-22,2,2021-06-24 00:00:00,1203.6374999999998
2021-06-29,2,2021-07-01 00:00:00,1489.6125
2021-07-06,2,2021-07-08 00:00:00,1353.4499999999998
2021-07-13,2,2021-07-15 00:00:00,792.13125
2021-07-20,2,2021-07-22 00:00:00,-446.9937500000001
2021-07-27,2,2021-07-29 00:00:00,-213.3187499999999
2021-08-03,2,2021-08-05 00:00:00,-3424.7375
2021-08-10,2,2021-08-12 00:00:00,1168.1062499999998
2021-08-17,1,2021-08-18 00:00:00,1466.83125
2021-08-24,2,2021-08-26 00:00:00,545.8999999999999
2021-08-31,2,2021-09-02 00:00:00,-2479.7374999999997
2021-09-07,2,2021-09-09 00:00:00,1381.5187499999997
2021-09-14,2,2021-09-16 00:00:00,1146.5812500000002
2021-09-21,2,2021-09-23 00:00:00,-2746.8374999999996
2021-09-28,2,2021-09-30 00:00:00,-682.6062499999998
2021-10-05,2,2021-10-07 00:00:00,682.6375
2021-10-12,2,2021-10-14 00:00:00,-2908.1437499999997
2021-10-19,2,2021-10-21 00:00:00,-3762.2437499999996
2021-10-26,2,2021-10-28 00:00:00,2150.3812500000004
2021-11-02,1,2021-11-03 00:00:00,403.3625000000002
2021-11-09,2,2021-11-11 00:00:00,2256.28125
2021-11-16,2,2021-11-18 00:00:00,-1788.2312500000003
2021-11-23,2,2021-11-25 00:00:00,2197.9874999999997
2021-11-30,2,2021-12-02 00:00:00,2492.9249999999997
2021-12-07,2,2021-12-09 00:00:00,-4807.86875
2021-12-14,2,2021-12-16 00:00:00,3156.0187500000006
2021-12-21,2,2021-12-23 00:00:00,3509.26875
2021-12-28,2,2021-12-30 00:00:00,2283.43125
2022-01-04,2,2022-01-06 00:00:00,93.03750000000036
2022-01-11,2,2022-01-13 00:00:00,2086.78125
2022-01-18,2,2022-01-20 00:00:00,-10060.875
2022-01-25,2,2022-01-27 00:00:00,4422.412500000001
2022-02-01,2,2022-02-03 00:00:00,7318.218750000002
2022-02-08,2,2022-02-10 00:00:00,-946.9749999999995
2022-02-15,2,2022-02-17 00:00:00,-94.125
2022-02-22,2,2022-02-24 00:00:00,4233.018749999999
2022-03-08,2,2022-03-10 00:00:00,-10116.043749999997
2022-03-15,2,2022-03-17 00:00:00,4704.84375
2022-03-22,2,2022-03-24 00:00:00,-94.85625000000073
2022-03-29,2,2022-03-31 00:00:00,1740.6750000000002
2022-04-05,2,2022-04-07 00:00:00,-2861.7312500000003
2022-04-12,1,2022-04-13 00:00:00,2036.23125
2022-04-19,2,2022-04-21 00:00:00,-203.51875000000018
2022-04-26,2,2022-04-28 00:00:00,2452.8937499999997
2022-05-10,2,2022-05-12 00:00:00,-5204.849999999999
2022-05-17,2,2022-05-19 00:00:00,602.6687499999998
2022-05-24,2,2022-05-26 00:00:00,3532.29375
2022-05-31,2,2022-06-02 00:00:00,2488.1625000000004
2022-06-07,2,2022-06-09 00:00:00,2548.6687499999994
2022-06-14,2,2022-06-16 00:00:00,-369.3312500000002
2022-06-28,2,2022-06-30 00:00:00,2763.5250000000005
2022-07-05,2,2022-07-07 00:00:00,1898.56875
2022-07-12,2,2022-07-14 00:00:00,2470.593749999999
2022-07-19,2,2022-07-21 00:00:00,-2098.2999999999997
